strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
VETO_LOW05,K200,5,BULL_2025,49,0.0004427046001719344,0.02193877551020408,0.0004427046001719344,0.0003768882736413221,0.00031107194711070985,gross_delta,0.0004427046001719344,-2.5359803080686528e-05,0.0009368389659225407,0.97
VETO_LOW05,K200,5,BULL_2025,49,0.0004427046001719344,0.02193877551020408,0.0004427046001719344,0.0003768882736413221,0.00031107194711070985,net_delta_30,0.0003768882736413221,-8.964567147825013e-05,0.0008690050532205651,0.9366666666666666
VETO_LOW05,K200,5,BULL_2025,49,0.0004427046001719344,0.02193877551020408,0.0004427046001719344,0.0003768882736413221,0.00031107194711070985,net_delta_60,0.00031107194711070985,-0.00013878529295152948,0.0007918119517351187,0.9043333333333333
VETO_LOW05,K200,5,EARLY_2016_2019,192,1.7429299301012213e-05,0.02682291666666667,1.7429299301012213e-05,-6.30394506989878e-05,-0.0001435082006989878,gross_delta,1.7429299301012213e-05,-0.00018371592957929937,0.000222124787011281,0.5645
VETO_LOW05,K200,5,EARLY_2016_2019,192,1.7429299301012213e-05,0.02682291666666667,1.7429299301012213e-05,-6.30394506989878e-05,-0.0001435082006989878,net_delta_30,-6.30394506989878e-05,-0.00026365016285467873,0.00014349660713951857,0.276
VETO_LOW05,K200,5,EARLY_2016_2019,192,1.7429299301012213e-05,0.02682291666666667,1.7429299301012213e-05,-6.30394506989878e-05,-0.0001435082006989878,net_delta_60,-0.0001435082006989878,-0.00035705815026934574,6.604206858225212e-05,0.09433333333333334
VETO_LOW05,K200,5,LATE_2020_2022,149,-8.442776702984155e-05,0.017281879194630874,-8.442776702984155e-05,-0.00013627340461373416,-0.00018811904219762676,gross_delta,-8.442776702984155e-05,-0.0004389012398608325,0.00025693303946531864,0.319
VETO_LOW05,K200,5,LATE_2020_2022,149,-8.442776702984155e-05,0.017281879194630874,-8.442776702984155e-05,-0.00013627340461373416,-0.00018811904219762676,net_delta_30,-0.00013627340461373416,-0.0004982353147561082,0.00018410953760553486,0.20016666666666666
VETO_LOW05,K200,5,LATE_2020_2022,149,-8.442776702984155e-05,0.017281879194630874,-8.442776702984155e-05,-0.00013627340461373416,-0.00018811904219762676,net_delta_60,-0.00018811904219762676,-0.0005347893847713057,0.00013836378565055431,0.1285
VETO_LOW05,K200,5,NORMAL_2023_2024,97,-0.00013641460227967965,0.018170103092783503,-0.00013641460227967965,-0.0001909249115580302,-0.00024543522083638066,gross_delta,-0.00013641460227967965,-0.0005513249006748023,0.00025635352252498716,0.253
VETO_LOW05,K200,5,NORMAL_2023_2024,97,-0.00013641460227967965,0.018170103092783503,-0.00013641460227967965,-0.0001909249115580302,-0.00024543522083638066,net_delta_30,-0.0001909249115580302,-0.0005899587424047507,0.00020496839732722056,0.173
VETO_LOW05,K200,5,NORMAL_2023_2024,97,-0.00013641460227967965,0.018170103092783503,-0.00013641460227967965,-0.0001909249115580302,-0.00024543522083638066,net_delta_60,-0.00024543522083638066,-0.0006580179772417864,0.00015013219274040578,0.1125
VETO_LOW05,K200,5,YTD_2026,28,0.0008553182144195097,0.018973214285714277,0.0008553182144195097,0.0007983985715623671,0.0007414789287052241,gross_delta,0.0008553182144195097,-2.7238142327925886e-05,0.0018570342841987817,0.9708333333333333
VETO_LOW05,K200,5,YTD_2026,28,0.0008553182144195097,0.018973214285714277,0.0008553182144195097,0.0007983985715623671,0.0007414789287052241,net_delta_30,0.0007983985715623671,-4.2368153198575535e-05,0.0017884432410276972,0.9638333333333333
VETO_LOW05,K200,5,YTD_2026,28,0.0008553182144195097,0.018973214285714277,0.0008553182144195097,0.0007983985715623671,0.0007414789287052241,net_delta_60,0.0007414789287052241,-0.00011406397799493578,0.0017802748660131877,0.9481666666666667
VETO_LOW05,K200,10,BULL_2025,25,0.0009447517130600782,0.018500000000000006,0.0009447517130600782,0.0008892517130600782,0.000833751713060078,gross_delta,0.0009447517130600782,0.00012060360970762968,0.0016939305725961035,0.9888333333333333
VETO_LOW05,K200,10,BULL_2025,25,0.0009447517130600782,0.018500000000000006,0.0009447517130600782,0.0008892517130600782,0.000833751713060078,net_delta_30,0.0008892517130600782,7.318119303152995e-05,0.0016450393084333217,0.9843333333333333
VETO_LOW05,K200,10,BULL_2025,25,0.0009447517130600782,0.018500000000000006,0.0009447517130600782,0.0008892517130600782,0.000833751713060078,net_delta_60,0.000833751713060078,-9.722592161165357e-07,0.0015959759054653623,0.9746666666666667
VETO_LOW05,K200,10,EARLY_2016_2019,96,-5.40680315946243e-05,0.027669270833333332,-5.40680315946243e-05,-0.00013707584409462423,-0.00022008365659462422,gross_delta,-5.40680315946243e-05,-0.0004702117464300643,0.00037812369318220994,0.3883333333333333
VETO_LOW05,K200,10,EARLY_2016_2019,96,-5.40680315946243e-05,0.027669270833333332,-5.40680315946243e-05,-0.00013707584409462423,-0.00022008365659462422,net_delta_30,-0.00013707584409462423,-0.0005554692142287499,0.0002624386450572031,0.25366666666666665
VETO_LOW05,K200,10,EARLY_2016_2019,96,-5.40680315946243e-05,0.027669270833333332,-5.40680315946243e-05,-0.00013707584409462423,-0.00022008365659462422,net_delta_60,-0.00022008365659462422,-0.0006202528056070014,0.00017560705415288675,0.13766666666666666
VETO_LOW05,K200,10,LATE_2020_2022,75,-0.00022660799396343457,0.015,-0.00022660799396343457,-0.0002716079939634345,-0.00031660799396343456,gross_delta,-0.00022660799396343457,-0.0008431915409746906,0.0003640544052464138,0.23583333333333334
VETO_LOW05,K200,10,LATE_2020_2022,75,-0.00022660799396343457,0.015,-0.00022660799396343457,-0.0002716079939634345,-0.00031660799396343456,net_delta_30,-0.0002716079939634345,-0.0008996582734405054,0.0003204813716650766,0.184
VETO_LOW05,K200,10,LATE_2020_2022,75,-0.00022660799396343457,0.015,-0.00022660799396343457,-0.0002716079939634345,-0.00031660799396343456,net_delta_60,-0.00031660799396343456,-0.0009327758587241103,0.00027179467664977875,0.1575
VETO_LOW05,K200,10,NORMAL_2023_2024,48,0.0006493002551735872,0.021614583333333336,0.0006493002551735872,0.0005844565051735872,0.0005196127551735873,gross_delta,0.0006493002551735872,-0.00012354894020154814,0.0014599221092738124,0.9486666666666667
VETO_LOW05,K200,10,NORMAL_2023_2024,48,0.0006493002551735872,0.021614583333333336,0.0006493002551735872,0.0005844565051735872,0.0005196127551735873,net_delta_30,0.0005844565051735872,-0.00020131893758903741,0.0014008682834713024,0.927
VETO_LOW05,K200,10,NORMAL_2023_2024,48,0.0006493002551735872,0.021614583333333336,0.0006493002551735872,0.0005844565051735872,0.0005196127551735873,net_delta_60,0.0005196127551735873,-0.00028166021629973684,0.0013156924231028442,0.8998333333333334
VETO_LOW05,K200,10,YTD_2026,13,0.00011698947741960389,0.0201923076923077,0.00011698947741960389,5.641255434268088e-05,-4.164368734242252e-06,gross_delta,0.00011698947741960389,-0.0013088370802787363,0.0013136456223319074,0.5826666666666667
VETO_LOW05,K200,10,YTD_2026,13,0.00011698947741960389,0.0201923076923077,0.00011698947741960389,5.641255434268088e-05,-4.164368734242252e-06,net_delta_30,5.641255434268088e-05,-0.001374856705185815,0.0012596945025179912,0.546
