weight,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
0.05,K200,10,YTD_2026,13,-0.0005544401906714397,0.004326923076923072,-0.0005544401906714397,-0.000567420959902209,-0.0005804017291329782,gross_delta,-0.0005544401906714397,-0.002302489085805376,0.0008218092622558012,0.2791666666666667
0.05,K200,10,YTD_2026,13,-0.0005544401906714397,0.004326923076923072,-0.0005544401906714397,-0.000567420959902209,-0.0005804017291329782,net_delta_30,-0.000567420959902209,-0.0022803088499642765,0.0007661756835409665,0.25466666666666665
0.05,K200,10,YTD_2026,13,-0.0005544401906714397,0.004326923076923072,-0.0005544401906714397,-0.000567420959902209,-0.0005804017291329782,net_delta_60,-0.0005804017291329782,-0.0022180138322853084,0.0007494656154464617,0.245
0.05,KOSDAQ,10,BULL_2025,25,5.579228921957238e-05,0.007000000000000002,5.579228921957238e-05,3.479228921957244e-05,1.3792289219572429e-05,gross_delta,5.579228921957238e-05,-0.001505714115840401,0.0013336340838774143,0.5426666666666666
0.05,KOSDAQ,10,BULL_2025,25,5.579228921957238e-05,0.007000000000000002,5.579228921957238e-05,3.479228921957244e-05,1.3792289219572429e-05,net_delta_30,3.479228921957244e-05,-0.0015064566736496538,0.0013509462031526002,0.5355
0.05,KOSDAQ,10,BULL_2025,25,5.579228921957238e-05,0.007000000000000002,5.579228921957238e-05,3.479228921957244e-05,1.3792289219572429e-05,net_delta_60,1.3792289219572429e-05,-0.001490706489540602,0.0013468895837031166,0.5465
0.05,KOSDAQ,10,EARLY_2016_2019,98,2.8986866521523765e-05,0.00025510204081632504,2.8986866521523765e-05,2.8221560399074804e-05,2.7456254276625823e-05,gross_delta,2.8986866521523765e-05,-0.00023079658428806166,0.00028410899678519603,0.5715
0.05,KOSDAQ,10,EARLY_2016_2019,98,2.8986866521523765e-05,0.00025510204081632504,2.8986866521523765e-05,2.8221560399074804e-05,2.7456254276625823e-05,net_delta_30,2.8221560399074804e-05,-0.00022273326724791965,0.0002867870025400387,0.5726666666666667
0.05,KOSDAQ,10,EARLY_2016_2019,98,2.8986866521523765e-05,0.00025510204081632504,2.8986866521523765e-05,2.8221560399074804e-05,2.7456254276625823e-05,net_delta_60,2.7456254276625823e-05,-0.00022463402239871963,0.0002959229823436824,0.5825
0.05,KOSDAQ,10,LATE_2020_2022,75,0.0001982368695120045,0.002333333333333335,0.0001982368695120045,0.00019123686951200437,0.00018423686951200434,gross_delta,0.0001982368695120045,-0.0005303941996449485,0.0008913396180220072,0.7076666666666667
0.05,KOSDAQ,10,LATE_2020_2022,75,0.0001982368695120045,0.002333333333333335,0.0001982368695120045,0.00019123686951200437,0.00018423686951200434,net_delta_30,0.00019123686951200437,-0.000528007468229392,0.000878564162548345,0.7093333333333334
0.05,KOSDAQ,10,LATE_2020_2022,75,0.0001982368695120045,0.002333333333333335,0.0001982368695120045,0.00019123686951200437,0.00018423686951200434,net_delta_60,0.00018423686951200434,-0.0005140702494563198,0.0008841002712757025,0.7065
0.05,KOSDAQ,10,NORMAL_2023_2024,48,-0.0005013386263403203,0.004687499999999995,-0.0005013386263403203,-0.0005154011263403202,-0.0005294636263403202,gross_delta,-0.0005013386263403203,-0.00153915996994599,0.00046020508928257107,0.16483333333333333
0.05,KOSDAQ,10,NORMAL_2023_2024,48,-0.0005013386263403203,0.004687499999999995,-0.0005013386263403203,-0.0005154011263403202,-0.0005294636263403202,net_delta_30,-0.0005154011263403202,-0.0014797049050025652,0.0004413946773882457,0.15116666666666667
0.05,KOSDAQ,10,NORMAL_2023_2024,48,-0.0005013386263403203,0.004687499999999995,-0.0005013386263403203,-0.0005154011263403202,-0.0005294636263403202,net_delta_60,-0.0005294636263403202,-0.0015453553299900713,0.0004252187812742483,0.14783333333333334
0.05,KOSDAQ,10,YTD_2026,13,0.0003729376146801268,0.007211538461538465,0.0003729376146801268,0.00035130299929551136,0.000329668383910896,gross_delta,0.0003729376146801268,-0.001650233314233769,0.0022965784609500777,0.6491666666666667
0.05,KOSDAQ,10,YTD_2026,13,0.0003729376146801268,0.007211538461538465,0.0003729376146801268,0.00035130299929551136,0.000329668383910896,net_delta_30,0.00035130299929551136,-0.0015799254423084883,0.0023056706736725393,0.6495
0.05,KOSDAQ,10,YTD_2026,13,0.0003729376146801268,0.007211538461538465,0.0003729376146801268,0.00035130299929551136,0.000329668383910896,net_delta_60,0.000329668383910896,-0.0015511985419872274,0.0022514329888174032,0.6461666666666667
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0011122899923474436,0.003500000000000001,0.0011122899923474436,0.0011017899923474437,0.0010912899923474436,gross_delta,0.0011122899923474436,-0.0010454694480040965,0.0028624289510209466,0.8528333333333333
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0011122899923474436,0.003500000000000001,0.0011122899923474436,0.0011017899923474437,0.0010912899923474436,net_delta_30,0.0011017899923474437,-0.0009639493152870493,0.002874185829110242,0.8563333333333333
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0011122899923474436,0.003500000000000001,0.0011122899923474436,0.0011017899923474437,0.0010912899923474436,net_delta_60,0.0010912899923474436,-0.0009486690304728159,0.0028589628775501433,0.8611666666666666
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,98,0.00046167348500795335,0.0034438775510204065,0.00046167348500795335,0.00045134185235489203,0.0004410102197018308,gross_delta,0.00046167348500795335,5.0110462132625095e-05,0.0008628541725769395,0.9863333333333333
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,98,0.00046167348500795335,0.0034438775510204065,0.00046167348500795335,0.00045134185235489203,0.0004410102197018308,net_delta_30,0.00045134185235489203,3.3241030106301304e-05,0.0008508291053451853,0.982
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,98,0.00046167348500795335,0.0034438775510204065,0.00046167348500795335,0.00045134185235489203,0.0004410102197018308,net_delta_60,0.0004410102197018308,2.3336982684311722e-05,0.0008318407694850147,0.9795
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,0.0006886972520466822,0.007499999999999994,0.0006886972520466822,0.0006661972520466822,0.0006436972520466823,gross_delta,0.0006886972520466822,-1.7732479741550517e-05,0.001478940481243368,0.9715
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,0.0006886972520466822,0.007499999999999994,0.0006886972520466822,0.0006661972520466822,0.0006436972520466823,net_delta_30,0.0006661972520466822,-4.7731114054514525e-05,0.00146144325625753,0.9653333333333334
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,0.0006886972520466822,0.007499999999999994,0.0006886972520466822,0.0006661972520466822,0.0006436972520466823,net_delta_60,0.0006436972520466823,-7.620957096013853e-05,0.001405332322454611,0.9598333333333333
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00021848820022301303,0.008854166666666661,-0.00021848820022301303,-0.000245050700223013,-0.0002716132002230129,gross_delta,-0.00021848820022301303,-0.0014072813899959214,0.0009355091977832541,0.36333333333333334
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00021848820022301303,0.008854166666666661,-0.00021848820022301303,-0.000245050700223013,-0.0002716132002230129,net_delta_30,-0.000245050700223013,-0.0013968448482527106,0.000928655557867715,0.3505
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00021848820022301303,0.008854166666666661,-0.00021848820022301303,-0.000245050700223013,-0.0002716132002230129,net_delta_60,-0.0002716132002230129,-0.0014379274414301172,0.0008765856877353481,0.32816666666666666
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0010214294945606489,0.01442307692307693,0.0010214294945606489,0.000978160263791418,0.0009348910330221871,gross_delta,0.0010214294945606489,-0.0026584057299920867,0.004178653395428464,0.7153333333333334
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0010214294945606489,0.01442307692307693,0.0010214294945606489,0.000978160263791418,0.0009348910330221871,net_delta_30,0.000978160263791418,-0.0026835891833159923,0.0041475239762688776,0.7155
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0010214294945606489,0.01442307692307693,0.0010214294945606489,0.000978160263791418,0.0009348910330221871,net_delta_60,0.0009348910330221871,-0.0027066858586324762,0.004032627868625382,0.7018333333333333
0.05,KOSPI_ALL,10,BULL_2025,25,0.0004092950578798419,-0.0012500000000000022,0.0004092950578798419,0.00041304505787984183,0.0004167950578798419,gross_delta,0.0004092950578798419,-0.0007718583423955462,0.001555325012595668,0.7488333333333334
0.05,KOSPI_ALL,10,BULL_2025,25,0.0004092950578798419,-0.0012500000000000022,0.0004092950578798419,0.00041304505787984183,0.0004167950578798419,net_delta_30,0.00041304505787984183,-0.0007811804144107594,0.0015490723826249821,0.7525
0.05,KOSPI_ALL,10,BULL_2025,25,0.0004092950578798419,-0.0012500000000000022,0.0004092950578798419,0.00041304505787984183,0.0004167950578798419,net_delta_60,0.0004167950578798419,-0.0007664562220428808,0.0016062891666582375,0.7603333333333333
0.05,KOSPI_ALL,10,EARLY_2016_2019,98,0.0001324784951862004,0.0014030612244897954,0.0001324784951862004,0.00012826931151273103,0.0001240601278392617,gross_delta,0.0001324784951862004,-0.0002956913295506163,0.0005365002305620065,0.7368333333333333
0.05,KOSPI_ALL,10,EARLY_2016_2019,98,0.0001324784951862004,0.0014030612244897954,0.0001324784951862004,0.00012826931151273103,0.0001240601278392617,net_delta_30,0.00012826931151273103,-0.0003028665475447008,0.0005422803932858724,0.7415
0.05,KOSPI_ALL,10,EARLY_2016_2019,98,0.0001324784951862004,0.0014030612244897954,0.0001324784951862004,0.00012826931151273103,0.0001240601278392617,net_delta_60,0.0001240601278392617,-0.00031071179738936664,0.0005305429506579203,0.7206666666666667
0.05,KOSPI_ALL,10,LATE_2020_2022,75,0.00015073171549327024,0.002500000000000003,0.00015073171549327024,0.00014323171549327027,0.00013573171549327034,gross_delta,0.00015073171549327024,-0.00046576954418849287,0.0008053516479187044,0.6818333333333333
0.05,KOSPI_ALL,10,LATE_2020_2022,75,0.00015073171549327024,0.002500000000000003,0.00015073171549327024,0.00014323171549327027,0.00013573171549327034,net_delta_30,0.00014323171549327027,-0.00048025949236731003,0.0007805388904249961,0.6743333333333333
0.05,KOSPI_ALL,10,LATE_2020_2022,75,0.00015073171549327024,0.002500000000000003,0.00015073171549327024,0.00014323171549327027,0.00013573171549327034,net_delta_60,0.00013573171549327034,-0.000496475238765254,0.0007687108428509017,0.6603333333333333
0.05,KOSPI_ALL,10,NORMAL_2023_2024,48,0.00016049165563087326,0.004947916666666663,0.00016049165563087326,0.0001456479056308733,0.00013080415563087328,gross_delta,0.00016049165563087326,-0.0008149425986532034,0.0010644227666850694,0.6501666666666667
0.05,KOSPI_ALL,10,NORMAL_2023_2024,48,0.00016049165563087326,0.004947916666666663,0.00016049165563087326,0.0001456479056308733,0.00013080415563087328,net_delta_30,0.0001456479056308733,-0.0008564835339335005,0.0010407973174583257,0.6295
0.05,KOSPI_ALL,10,NORMAL_2023_2024,48,0.00016049165563087326,0.004947916666666663,0.00016049165563087326,0.0001456479056308733,0.00013080415563087328,net_delta_60,0.00013080415563087328,-0.0008707065600723245,0.001033933208198115,0.618
0.05,KOSPI_ALL,10,YTD_2026,13,0.00047178332443339837,0.007211538461538465,0.00047178332443339837,0.00045014870904878294,0.0004285140936641676,gross_delta,0.00047178332443339837,-0.0005428246723509134,0.0017906217039206373,0.7501666666666666
0.05,KOSPI_ALL,10,YTD_2026,13,0.00047178332443339837,0.007211538461538465,0.00047178332443339837,0.00045014870904878294,0.0004285140936641676,net_delta_30,0.00045014870904878294,-0.0005690895633210962,0.001701139112039338,0.7373333333333333
0.05,KOSPI_ALL,10,YTD_2026,13,0.00047178332443339837,0.007211538461538465,0.00047178332443339837,0.00045014870904878294,0.0004285140936641676,net_delta_60,0.0004285140936641676,-0.000600862114519292,0.0017163798589411542,0.7335
0.05,KOSPI_EX_K200,10,BULL_2025,25,0.0005950146169354454,0.0005000000000000071,0.0005950146169354454,0.0005935146169354454,0.0005920146169354454,gross_delta,0.0005950146169354454,0.00014685023768710342,0.0010963272173813961,0.9965
0.05,KOSPI_EX_K200,10,BULL_2025,25,0.0005950146169354454,0.0005000000000000071,0.0005950146169354454,0.0005935146169354454,0.0005920146169354454,net_delta_30,0.0005935146169354454,0.00016311172500545288,0.0010958164228978115,0.9978333333333333
0.05,KOSPI_EX_K200,10,BULL_2025,25,0.0005950146169354454,0.0005000000000000071,0.0005950146169354454,0.0005935146169354454,0.0005920146169354454,net_delta_60,0.0005920146169354454,0.00014739673691169372,0.0011057149002978058,0.9973333333333333
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,98,5.771323658591424e-05,-1.699320956058913e-18,5.771323658591424e-05,5.771323658591423e-05,5.771323658591423e-05,gross_delta,5.771323658591424e-05,-0.00018804921632406603,0.0002986994837058469,0.6688333333333333
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,98,5.771323658591424e-05,-1.699320956058913e-18,5.771323658591424e-05,5.771323658591423e-05,5.771323658591423e-05,net_delta_30,5.771323658591423e-05,-0.00018726324159141705,0.00030369644660341153,0.6808333333333333
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,98,5.771323658591424e-05,-1.699320956058913e-18,5.771323658591424e-05,5.771323658591423e-05,5.771323658591423e-05,net_delta_60,5.771323658591423e-05,-0.00018793871197012258,0.0002956440536227634,0.6806666666666666
0.05,KOSPI_EX_K200,10,LATE_2020_2022,75,-1.0562112299264172e-06,0.0022499999999999985,-1.0562112299264172e-06,-7.806211229926443e-06,-1.4556211229926399e-05,gross_delta,-1.0562112299264172e-06,-0.00036174241187930575,0.00038468506144985785,0.49883333333333335
0.05,KOSPI_EX_K200,10,LATE_2020_2022,75,-1.0562112299264172e-06,0.0022499999999999985,-1.0562112299264172e-06,-7.806211229926443e-06,-1.4556211229926399e-05,net_delta_30,-7.806211229926443e-06,-0.0003707937285086406,0.0003679686820875155,0.4735
0.05,KOSPI_EX_K200,10,LATE_2020_2022,75,-1.0562112299264172e-06,0.0022499999999999985,-1.0562112299264172e-06,-7.806211229926443e-06,-1.4556211229926399e-05,net_delta_60,-1.4556211229926399e-05,-0.00038151846047291936,0.00035403553452084387,0.4558333333333333
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00012502243605554437,0.003124999999999997,-0.00012502243605554437,-0.00013439743605554437,-0.00014377243605554434,gross_delta,-0.00012502243605554437,-0.0004113033671109046,0.0001541138940861485,0.20483333333333334
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00012502243605554437,0.003124999999999997,-0.00012502243605554437,-0.00013439743605554437,-0.00014377243605554434,net_delta_30,-0.00013439743605554437,-0.00043214733078028193,0.00013698592452519238,0.17133333333333334
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00012502243605554437,0.003124999999999997,-0.00012502243605554437,-0.00013439743605554437,-0.00014377243605554434,net_delta_60,-0.00014377243605554434,-0.00043104355523652693,0.00014219947966807956,0.16166666666666665
0.05,KOSPI_EX_K200,10,YTD_2026,13,6.973127725056662e-05,0.0014423076923076807,6.973127725056662e-05,6.540435417364354e-05,6.107743109672063e-05,gross_delta,6.973127725056662e-05,-0.000990318101601551,0.0015689148007954608,0.5406666666666666
0.05,KOSPI_EX_K200,10,YTD_2026,13,6.973127725056662e-05,0.0014423076923076807,6.973127725056662e-05,6.540435417364354e-05,6.107743109672063e-05,net_delta_30,6.540435417364354e-05,-0.0009893880685463753,0.0015661260550986083,0.5303333333333333
0.05,KOSPI_EX_K200,10,YTD_2026,13,6.973127725056662e-05,0.0014423076923076807,6.973127725056662e-05,6.540435417364354e-05,6.107743109672063e-05,net_delta_60,6.107743109672063e-05,-0.0009690465284554815,0.0015291213811113036,0.5398333333333334
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.0018179785601855909,0.0067500000000000095,0.0018179785601855909,0.0017977285601855908,0.0017774785601855907,gross_delta,0.0018179785601855909,-0.0006061740890214739,0.004334943180881543,0.9223333333333333
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.0018179785601855909,0.0067500000000000095,0.0018179785601855909,0.0017977285601855908,0.0017774785601855907,net_delta_30,0.0017977285601855908,-0.0006625006473494811,0.00433305100280952,0.9185
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.0018179785601855909,0.0067500000000000095,0.0018179785601855909,0.0017977285601855908,0.0017774785601855907,net_delta_60,0.0017774785601855907,-0.000712476133362247,0.0043171759953238706,0.921
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,98,0.000581946431761163,0.0037627551020408194,0.000581946431761163,0.0005706581664550407,0.0005593699011489181,gross_delta,0.000581946431761163,5.955091208847975e-05,0.0011225837277250362,0.9866666666666667
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,98,0.000581946431761163,0.0037627551020408194,0.000581946431761163,0.0005706581664550407,0.0005593699011489181,net_delta_30,0.0005706581664550407,5.777967094565047e-05,0.0011162633288072869,0.9838333333333333
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,98,0.000581946431761163,0.0037627551020408194,0.000581946431761163,0.0005706581664550407,0.0005593699011489181,net_delta_60,0.0005593699011489181,2.5975109462603296e-05,0.0011109936879728057,0.9808333333333333
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.000581787178866368,0.01608333333333334,0.000581787178866368,0.000533537178866368,0.00048528717886636816,gross_delta,0.000581787178866368,-0.0006017211326011094,0.0017708216602099545,0.8248333333333333
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.000581787178866368,0.01608333333333334,0.000581787178866368,0.000533537178866368,0.00048528717886636816,net_delta_30,0.000533537178866368,-0.0006190415010259222,0.0017091315063913642,0.8098333333333333
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.000581787178866368,0.01608333333333334,0.000581787178866368,0.000533537178866368,0.00048528717886636816,net_delta_60,0.00048528717886636816,-0.0006823654681759607,0.0016587143659736148,0.7908333333333334
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,-8.936350404886056e-05,0.012890624999999998,-8.936350404886056e-05,-0.0001280353790488606,-0.00016670725404886047,gross_delta,-8.936350404886056e-05,-0.001185570263111837,0.0009753251920042974,0.4483333333333333
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,-8.936350404886056e-05,0.012890624999999998,-8.936350404886056e-05,-0.0001280353790488606,-0.00016670725404886047,net_delta_30,-0.0001280353790488606,-0.0012571640043178643,0.0008896625511896401,0.4166666666666667
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,-8.936350404886056e-05,0.012890624999999998,-8.936350404886056e-05,-0.0001280353790488606,-0.00016670725404886047,net_delta_60,-0.00016670725404886047,-0.0012660777905782372,0.0008919403930380316,0.3958333333333333
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,0.004598102305162535,0.01346153846153846,0.004598102305162535,0.004557717689777919,0.004517333074393303,gross_delta,0.004598102305162535,0.0017301001886488843,0.008076005372686303,1.0
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,0.004598102305162535,0.01346153846153846,0.004598102305162535,0.004557717689777919,0.004517333074393303,net_delta_30,0.004557717689777919,0.0017152777055088233,0.008099179531725396,1.0
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,0.004598102305162535,0.01346153846153846,0.004598102305162535,0.004557717689777919,0.004517333074393303,net_delta_60,0.004517333074393303,0.0016774385991920285,0.00803363582760983,1.0
0.1,K200,5,BULL_2025,49,0.0005817663229524557,0.0030612244897959243,0.0005817663229524557,0.0005725826494830679,0.0005633989760136801,gross_delta,0.0005817663229524557,6.557896870924127e-05,0.0011156436640568851,0.9868333333333333
0.1,K200,5,BULL_2025,49,0.0005817663229524557,0.0030612244897959243,0.0005817663229524557,0.0005725826494830679,0.0005633989760136801,net_delta_30,0.0005725826494830679,5.588341734601344e-05,0.0010864137036120467,0.9831666666666666
0.1,K200,5,BULL_2025,49,0.0005817663229524557,0.0030612244897959243,0.0005817663229524557,0.0005725826494830679,0.0005633989760136801,net_delta_60,0.0005633989760136801,3.8118754156629544e-05,0.0010770404492797328,0.9828333333333333
0.1,K200,5,EARLY_2016_2019,196,-2.0271362049971247e-05,0.0014030612244897924,-2.0271362049971247e-05,-2.4480545723440598e-05,-2.8689729396909983e-05,gross_delta,-2.0271362049971247e-05,-0.0002451958102918581,0.0001826043411337349,0.42933333333333334
0.1,K200,5,EARLY_2016_2019,196,-2.0271362049971247e-05,0.0014030612244897924,-2.0271362049971247e-05,-2.4480545723440598e-05,-2.8689729396909983e-05,net_delta_30,-2.4480545723440598e-05,-0.00023709210380680007,0.00017586139416031133,0.41983333333333334
0.1,K200,5,EARLY_2016_2019,196,-2.0271362049971247e-05,0.0014030612244897924,-2.0271362049971247e-05,-2.4480545723440598e-05,-2.8689729396909983e-05,net_delta_60,-2.8689729396909983e-05,-0.0002454952009598906,0.00017466639306505205,0.4035
0.1,K200,5,LATE_2020_2022,149,1.901585431803985e-05,0.0019714765100671138,1.901585431803985e-05,1.3101424787838514e-05,7.186995257637172e-06,gross_delta,1.901585431803985e-05,-0.00024052388225614209,0.0002766716651572314,0.5648333333333333
0.1,K200,5,LATE_2020_2022,149,1.901585431803985e-05,0.0019714765100671138,1.901585431803985e-05,1.3101424787838514e-05,7.186995257637172e-06,net_delta_30,1.3101424787838514e-05,-0.00023918692469614204,0.0002696305741106419,0.5316666666666666
0.1,K200,5,LATE_2020_2022,149,1.901585431803985e-05,0.0019714765100671138,1.901585431803985e-05,1.3101424787838514e-05,7.186995257637172e-06,net_delta_60,7.186995257637172e-06,-0.0002529614933939807,0.00026742800738556737,0.5201666666666667
0.1,K200,5,NORMAL_2023_2024,97,0.00042878509386372934,0.0036082474226804117,0.00042878509386372934,0.0004179603515956882,0.00040713560932764686,gross_delta,0.00042878509386372934,0.00010236526183538288,0.000769709502047766,0.9955
0.1,K200,5,NORMAL_2023_2024,97,0.00042878509386372934,0.0036082474226804117,0.00042878509386372934,0.0004179603515956882,0.00040713560932764686,net_delta_30,0.0004179603515956882,8.62977729447233e-05,0.0007526871643082748,0.9936666666666667
0.1,K200,5,NORMAL_2023_2024,97,0.00042878509386372934,0.0036082474226804117,0.00042878509386372934,0.0004179603515956882,0.00040713560932764686,net_delta_60,0.00040713560932764686,8.241659004945495e-05,0.00073770231407769,0.9938333333333333
0.1,K200,5,YTD_2026,28,0.0003037424521256695,0.007142857142857136,0.0003037424521256695,0.00028231388069709806,0.0002608853092685267,gross_delta,0.0003037424521256695,-0.00014790971208652914,0.0008670571743831418,0.8773333333333333
0.1,K200,5,YTD_2026,28,0.0003037424521256695,0.007142857142857136,0.0003037424521256695,0.00028231388069709806,0.0002608853092685267,net_delta_30,0.00028231388069709806,-0.0001616268923710937,0.0008570350700065098,0.8615
0.1,K200,5,YTD_2026,28,0.0003037424521256695,0.007142857142857136,0.0003037424521256695,0.00028231388069709806,0.0002608853092685267,net_delta_60,0.0002608853092685267,-0.00017065672172092428,0.0008445826223630527,0.8413333333333334
0.1,K200,10,BULL_2025,25,0.0015201532476403728,0.00600000000000001,0.0015201532476403728,0.0015021532476403726,0.0014841532476403728,gross_delta,0.0015201532476403728,0.00035399027735528115,0.003318291951126856,0.999
0.1,K200,10,BULL_2025,25,0.0015201532476403728,0.00600000000000001,0.0015201532476403728,0.0015021532476403726,0.0014841532476403728,net_delta_30,0.0015021532476403726,0.0003239245901023671,0.0033232421820279267,0.9993333333333333
0.1,K200,10,BULL_2025,25,0.0015201532476403728,0.00600000000000001,0.0015201532476403728,0.0015021532476403726,0.0014841532476403728,net_delta_60,0.0014841532476403728,0.00031069763733887435,0.0032290835659692873,0.9981666666666666
0.1,K200,10,EARLY_2016_2019,98,-7.113230735123353e-05,6.377551020407687e-05,-7.113230735123353e-05,-7.132363388184573e-05,-7.151496041245798e-05,gross_delta,-7.113230735123353e-05,-0.0005169631480430395,0.0003706594151452507,0.3825
0.1,K200,10,EARLY_2016_2019,98,-7.113230735123353e-05,6.377551020407687e-05,-7.113230735123353e-05,-7.132363388184573e-05,-7.151496041245798e-05,net_delta_30,-7.132363388184573e-05,-0.0005236046731701714,0.00036123076338987034,0.379
