weight,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
0.05,K200,10,BULL_2025,25,0.0010918607104786618,0.000750000000000004,0.0010918607104786618,0.001089610710478662,0.0010873607104786617,gross_delta,0.0010918607104786618,0.0003100634517453895,0.002286803748269072,1.0
0.05,K200,10,BULL_2025,25,0.0010918607104786618,0.000750000000000004,0.0010918607104786618,0.001089610710478662,0.0010873607104786617,net_delta_30,0.001089610710478662,0.0002862630527201506,0.002256688972110441,1.0
0.05,K200,10,BULL_2025,25,0.0010918607104786618,0.000750000000000004,0.0010918607104786618,0.001089610710478662,0.0010873607104786617,net_delta_60,0.0010873607104786617,0.00028981709437516664,0.00228176882155523,0.9998333333333334
0.05,K200,10,EARLY_2016_2019,98,3.5076897363175034e-05,-0.0002551020408163262,3.5076897363175034e-05,3.5842203485623974e-05,3.660750960807298e-05,gross_delta,3.5076897363175034e-05,-0.00027911436624125516,0.00034028538387712574,0.6005
0.05,K200,10,EARLY_2016_2019,98,3.5076897363175034e-05,-0.0002551020408163262,3.5076897363175034e-05,3.5842203485623974e-05,3.660750960807298e-05,net_delta_30,3.5842203485623974e-05,-0.000276255718959653,0.00033646446798205125,0.6005
0.05,K200,10,EARLY_2016_2019,98,3.5076897363175034e-05,-0.0002551020408163262,3.5076897363175034e-05,3.5842203485623974e-05,3.660750960807298e-05,net_delta_60,3.660750960807298e-05,-0.00028109141402131075,0.00034746406186215864,0.5998333333333333
0.05,K200,10,LATE_2020_2022,75,8.413881382932924e-05,-0.00033333333333333435,8.413881382932924e-05,8.51388138293292e-05,8.613881382932923e-05,gross_delta,8.413881382932924e-05,-0.0001799773575550949,0.0003233585022053824,0.7485
0.05,K200,10,LATE_2020_2022,75,8.413881382932924e-05,-0.00033333333333333435,8.413881382932924e-05,8.51388138293292e-05,8.613881382932923e-05,net_delta_30,8.51388138293292e-05,-0.00018142466401039624,0.00032434854511165765,0.7495
0.05,K200,10,LATE_2020_2022,75,8.413881382932924e-05,-0.00033333333333333435,8.413881382932924e-05,8.51388138293292e-05,8.613881382932923e-05,net_delta_60,8.613881382932923e-05,-0.00017744800313956673,0.0003308030069957769,0.7468333333333333
0.05,K200,10,NORMAL_2023_2024,48,0.0002000957718627329,-0.0005208333333333292,0.0002000957718627329,0.00020165827186273294,0.00020322077186273285,gross_delta,0.0002000957718627329,-0.00014566879565805426,0.0005704690858934323,0.8671666666666666
0.05,K200,10,NORMAL_2023_2024,48,0.0002000957718627329,-0.0005208333333333292,0.0002000957718627329,0.00020165827186273294,0.00020322077186273285,net_delta_30,0.00020165827186273294,-0.00014895040795707162,0.0005690852766703476,0.8663333333333333
0.05,K200,10,NORMAL_2023_2024,48,0.0002000957718627329,-0.0005208333333333292,0.0002000957718627329,0.00020165827186273294,0.00020322077186273285,net_delta_60,0.00020322077186273285,-0.00015264492475366246,0.0005749709067311146,0.8673333333333333
