weight,positive_cells,total_cells,universes_all3_positive,median_cell_net30,mean_cell_net30
0.05,13,18,2,0.00010670406267103012,0.00012266686028538179
0.1,14,18,2,0.0002540934709599541,0.000286004945476574
0.15,17,18,5,0.00040660830767020846,0.0005753231900477228
0.2,16,18,4,0.0005698532918989937,0.0006453616000343539
0.25,14,18,2,0.00040556830098610364,0.000512710296050579
0.3,13,18,2,0.00045691331746097096,0.0005149667330412573
0.4,15,18,4,0.0005204457379927618,0.0006556829606693328
0.5,10,18,2,0.00014515332481353577,0.00035828553777676666
