date,sample,universe,factor,family,n_replace,replace_share,base_return,cf20_return,portfolio_delta,added_return,dropped_return,kept_return,replacement_edge,identity_delta,added_primary_score,dropped_primary_score,added_other_score,dropped_other_score,kept_other_score,added_primary_rank,dropped_primary_rank
2016-01-04,EARLY_2016_2019,K200,OP12_REV,REVISION,1,0.05,0.01775300238065726,0.02716572708291142,0.009412724702254162,0.0674364545755166,-0.12081803946956664,0.025046215109616413,0.18825449404508324,0.009412724702254162,0.8734177215189873,0.879746835443038,0.6292869983963472,0.29553129499751424,0.5473361254356655,21.0,20.0
2016-01-04,EARLY_2016_2019,K200,OPFY1_REV,REVISION,5,0.25,-0.04963953637874305,-0.03164563120426565,0.017993905174477395,-0.034432988461800984,-0.10640860915971055,-0.030716512118420542,0.07197562069790957,0.017993905174477392,0.849367088607595,0.9037974683544304,0.6320438089692322,0.30283450091670316,0.5246793464614113,24.8,16.2
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,4,0.2,-0.04806922049004022,-0.056033211335544106,-0.007963990845503886,-0.03662107042237934,0.0031988838051401763,-0.0608862465638353,-0.039819954227519515,-0.007963990845503904,0.8528481012658229,0.8987341772151898,0.6069976106959485,0.28889609069188144,0.4415883470591226,24.25,17.0
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,3,0.15,-0.03481149630686957,-0.016871225948327725,0.017940270358541843,0.0032653519341257465,-0.11633645045615319,-0.020424739692290104,0.11960180239027894,0.01794027035854184,0.8549783549783548,0.8961038961038961,0.5548205480148442,0.24447155711453408,0.4181741859470645,23.333333333333332,17.0
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,2,0.1,0.02742453900840073,0.014755659210455543,-0.012668879797945187,-0.08545010475289334,0.041238693226558404,0.025889632984160985,-0.12668879797945176,-0.012668879797945176,0.8689759036144578,0.9096385542168675,0.6830236448011345,0.4307060561826461,0.5218519061358776,22.75,16.0
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,2,0.1,0.0067807038897661365,0.01660898819683256,0.009828284307066422,0.17606874514220372,0.07778590207153951,-0.0011087625748753469,0.0982828430706642,0.00982828430706642,0.8734939759036144,0.891566265060241,0.5271855133834698,0.4074800764788564,0.4795911686639153,22.0,19.0
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,1,0.05,-0.000823976948445304,0.0004118930402294219,0.001235869988674726,0.030831212405744515,0.006113812632250044,-0.0011891237684819016,0.02471739977349447,0.0012358699886747236,0.8734939759036144,0.8855421686746988,0.6503488885675862,0.4169564993493619,0.5402067965399239,22.0,20.0
2016-01-04,EARLY_2016_2019,K200,FOREIGN_FLOW,FLOW,2,0.1,0.01760357178726437,0.018811800519249394,0.0012082287319850234,0.031013645517758755,0.01893135819790847,0.01745603996385947,0.012082287319850286,0.0012082287319850286,0.8644578313253013,0.8945783132530121,0.720811818703385,0.31250053642153686,0.5548438204569056,23.5,18.5
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OP12_REV,REVISION,0,0.0,-0.03465268058914513,-0.03465268058914513,0.0,,,-0.03465268058914513,0.0,0.0,,,,,0.5651865165819414,,
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,OPFY1_REV,REVISION,1,0.05,-0.0177454909011912,-0.02498605763075254,-0.007240566729561339,-1.0598253974578072e-06,0.14481027476582944,-0.02630105751524492,-0.14481133459122691,-0.007240566729561346,0.6,0.64,0.7753376906318081,0.3483151779230211,0.5038136554166827,21.0,19.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PBR12MF,VALUE,1,0.05,-0.03205183582577646,-0.034674348405842007,-0.0026225125800655447,-0.10806734075891825,-0.05561708915760759,-0.03081155933462747,-0.05245025160131066,-0.002622512580065533,0.5882352941176471,0.6274509803921569,0.6947736625514404,0.37620370370370376,0.46576943902967294,22.0,20.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PER12MF,VALUE,1,0.05,-0.023458309919379045,-0.02280043703607898,0.0006578728833000654,-0.006071183149738797,-0.019228640815740133,-0.023680924082728462,0.013157457666001337,0.0006578728833000669,0.6,0.62,0.626872427983539,0.5137294238683128,0.537395494910115,21.0,20.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM1M,MOMENTUM,1,0.05,-0.028180495468498434,-0.0268869538508379,0.001293541617660536,-1.0598253974578072e-06,-0.025871892178608094,-0.028302000904808448,0.025870832353210638,0.001293541617660532,0.7407407407407407,0.7654320987654321,0.7184446865165818,0.4387279109174534,0.47592837849889796,22.0,20.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,MOM12_1,MOMENTUM,1,0.05,0.009659782893540313,0.006422708636862723,-0.00323707425667759,-0.013727873542655226,0.0510136115908964,0.007483265593679462,-0.06474148513355163,-0.0032370742566775815,0.7407407407407407,0.7654320987654321,0.5891445775841201,0.4675998547567175,0.5353994668042655,22.0,20.0
2016-01-04,EARLY_2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,0,0.0,-0.0015809226731616929,-0.0015809226731616902,2.6020852139652106e-18,,,-0.0015809226731616915,0.0,0.0,,,,,0.5371906015492618,,
