strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60
CF20_ACT5_GT1_DIAG,K200,5,BULL_2025,49,-0.0009057956583144626,0.34740646258503405,1.696120435490886,1.0,-0.0009057956583144626,-0.0019480150460695644,-0.0029902344338246663
CF20_ACT5_GT1_DIAG,K200,5,EARLY_2016_2019,191,-0.0008692452380216436,0.3925392670157068,1.5094904117096575,1.0,-0.0008692452380216436,-0.0020468630390687637,-0.003224480840115884
CF20_ACT5_GT1_DIAG,K200,5,LATE_2020_2022,149,-0.0007954719330624016,0.3541107382550336,1.7709305886841928,1.0,-0.0007954719330624016,-0.0018578041478275024,-0.002920136362592603
CF20_ACT5_GT1_DIAG,K200,5,NORMAL_2023_2024,96,-0.00079954498277208,0.35846354166666666,1.8322857320143562,1.0,-0.00079954498277208,-0.0018749356077720802,-0.0029503262327720795
CF20_ACT5_GT1_DIAG,K200,5,YTD_2026,27,-0.001487956836478822,0.3275462962962963,1.763792449633714,1.0,-0.001487956836478822,-0.0024705957253677124,-0.0034532346142566012
CF20_ACT5_GT1_DIAG,K200,10,BULL_2025,25,-0.00510748918280047,0.3850833333333334,1.6872584999444653,1.0,-0.00510748918280047,-0.006262739182800471,-0.007417989182800471
CF20_ACT5_GT1_DIAG,K200,10,EARLY_2016_2019,96,-0.0011547195456276507,0.38242187499999997,1.5071802057616868,1.0,-0.0011547195456276507,-0.0023019851706276503,-0.003449250795627651
CF20_ACT5_GT1_DIAG,K200,10,LATE_2020_2022,75,-0.0027728846410335867,0.3563333333333333,1.7842389739502567,1.0,-0.0027728846410335867,-0.0038418846410335867,-0.004910884641033586
CF20_ACT5_GT1_DIAG,K200,10,NORMAL_2023_2024,48,0.000740703858762164,0.3674479166666667,1.8847175785390469,1.0,0.000740703858762164,-0.00036163989123783584,-0.0014639836412378357
CF20_ACT5_GT1_DIAG,K200,10,YTD_2026,12,-0.0024869345119302483,0.3354166666666667,1.83139454676288,1.0,-0.0024869345119302483,-0.0034931845119302502,-0.004499434511930249
CF20_ACT5_GT1_DIAG,KOSDAQ,5,BULL_2025,49,-0.0009891101344691447,0.32556486880466473,3.1816414172519925,1.0,-0.0009891101344691447,-0.0019658047408831394,-0.0029424993472971324
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,192,-0.0007887619312594724,0.3451515997023809,1.8845973442322137,1.0,-0.0007887619312594724,-0.0018242167303666153,-0.002859671529473758
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,149,-0.0010648416659222648,0.32726510067114095,2.320916840992377,1.0,-0.0010648416659222648,-0.0020466369679356874,-0.0030284322699491097
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,97,0.0019278650446803126,0.3255522827687776,2.8726444605569017,1.0,0.0019278650446803126,0.0009512081963739797,-2.5448651932353077e-05
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,28,-1.1413777275134432e-05,0.2949936224489796,2.1934490721729296,1.0,-1.1413777275134432e-05,-0.0008963946446220722,-0.001781375511969012
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,25,0.0031995668124754186,0.3125,3.794624941803323,1.0,0.0031995668124754186,0.0022620668124754186,0.0013245668124754182
