strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,96,0.00019250881605659118,0.3426897321428572,1.8817425008884812,1.0,0.00019250881605659118,-0.0008355603803719803,-0.0018636295768005514
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,75,0.0005670448792850097,0.307,2.3169485902035567,1.0,0.0005670448792850097,-0.00035395512071499045,-0.00127495512071499
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,48,-0.0015396836714362792,0.3349888392857143,2.8062110002515475,1.0,-0.0015396836714362792,-0.002544650189293422,-0.0035496167071505636
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,13,0.007935957623385816,0.26346153846153847,2.1971324917516752,1.0,0.007935957623385816,0.007145573008001198,0.006355188392616584
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0015168380998915433,0.29668367346938773,2.9878557719538574,1.0,-0.0015168380998915433,-0.0024068891202997066,-0.0032969401407078693
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.0001071568428607413,0.3333984374999999,1.9643803682029457,1.0,-0.0001071568428607413,-0.0011073521553607414,-0.002107547467860741
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.001392301446994431,0.29379194630872485,2.425569284196146,1.0,-0.001392301446994431,-0.002273677285920606,-0.00315505312484678
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0009863620218048552,0.31372422680412365,3.0681775101253574,1.0,0.0009863620218048552,4.518934139248415e-05,-0.0008959833390198869
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.002573536084700507,0.2825892857142857,2.359605089544865,1.0,-0.002573536084700507,-0.0034213039418433643,-0.004269071798986221
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0008569202524224912,0.28975,3.32108921821964,1.0,0.0008569202524224912,-1.2329747577508876e-05,-0.0008815797475775089
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0009261437067647616,0.32070312500000003,1.9099727886417923,1.0,-0.0009261437067647616,-0.0018882530817647613,-0.0028503624567647614
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.001303198991970706,0.27975000000000005,2.4802063966073082,1.0,-0.001303198991970706,-0.0021424489919707065,-0.002981698991970706
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0010848034121452195,0.302734375,3.129071058139862,1.0,-0.0010848034121452195,-0.001993006537145219,-0.002901209662145219
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.003876502833378733,0.2576923076923077,2.2868874328432716,1.0,0.003876502833378733,0.00310342591030181,0.002330348987224887
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,49,-0.001549563062587566,0.3137755102040816,2.1949400319490215,1.0,-0.001549563062587566,-0.002490889593199811,-0.003432216123812056
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,EARLY_2016_2019,192,-0.0008140361048858845,0.3544596354166667,1.7346117433092116,1.0,-0.0008140361048858845,-0.0018774150111358849,-0.0029407939173858844
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,LATE_2020_2022,149,-0.0008932309313880659,0.3098993288590604,2.1761204819126814,1.0,-0.0008932309313880659,-0.001822928917965247,-0.002752626904542428
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,97,-0.000555408899650225,0.32570876288659795,2.5083237497183304,1.0,-0.000555408899650225,-0.001532535188310019,-0.002509661476969813
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,YTD_2026,28,0.0033404107727612866,0.3013392857142857,2.177907030824325,1.0,0.0033404107727612866,0.002436392915618428,0.001532375058475571
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,BULL_2025,25,-0.0018739623433207564,0.33399999999999996,2.0589984000583854,1.0,-0.0018739623433207564,-0.002875962343320758,-0.0038779623433207577
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,EARLY_2016_2019,96,-0.0020382717269682013,0.3442708333333333,1.714486180063595,1.0,-0.0020382717269682013,-0.0030710842269682016,-0.004103896726968201
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,LATE_2020_2022,75,-0.0029571766269382155,0.30866666666666664,2.24725905471518,1.0,-0.0029571766269382155,-0.003883176626938215,-0.004809176626938215
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,NORMAL_2023_2024,48,-0.0005527355287074775,0.3143229166666667,2.516428096595131,1.0,-0.0005527355287074775,-0.0014957042787074777,-0.0024386730287074775
CF20_ACT5_GT1_DIAG,KOSPI_ALL,10,YTD_2026,13,0.005845487587259797,0.30096153846153845,2.1872748505162725,1.0,0.005845487587259797,0.004942602971875182,0.004039718356490566
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,BULL_2025,49,-0.0010182955188284396,0.3409438775510204,2.4441728896272275,1.0,-0.0010182955188284396,-0.002041127151481501,-0.0030639587841345623
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.0003234221923047148,0.3743815104166666,1.9493436299539126,1.0,-0.0003234221923047148,-0.0014465667235547149,-0.002569711254804715
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,LATE_2020_2022,148,-0.00028618793176574846,0.33365307271557276,2.5134570244027836,1.0,-0.00028618793176574846,-0.0012871471499124665,-0.0022881063680591845
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.000498058939162105,0.3505522827687776,3.008257815787673,1.0,0.000498058939162105,-0.0005535979091442279,-0.0016052547574505612
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,5,YTD_2026,28,0.003690377168141242,0.3406249999999999,2.6420138407474476,1.0,0.003690377168141242,0.0026685021681412415,0.001646627168141242
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,BULL_2025,25,-0.0010697165596494234,0.35125000000000006,2.3059182027819025,1.0,-0.0010697165596494234,-0.0021234665596494232,-0.003177216559649424
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0021861994588424374,0.36467013888888894,1.904583242336933,1.0,-0.0021861994588424374,-0.003280209875509104,-0.00437422029217577
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,LATE_2020_2022,75,-0.0012129621942233583,0.34455555555555556,2.6168951677666694,1.0,-0.0012129621942233583,-0.0022466288608900247,-0.0032802955275566914
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0014140291760876616,0.35377604166666665,3.0092298569258893,1.0,-0.0014140291760876616,-0.0024753573010876623,-0.0035366854260876616
CF20_ACT5_GT1_DIAG,KOSPI_EX_K200,10,YTD_2026,13,0.015560772939617749,0.33125000000000004,2.5040507871370243,1.0,0.015560772939617749,0.014567022939617749,0.01357327293961775
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,-0.00045724646726215607,0.27474489795918366,2.8119279262319865,1.0,-0.00045724646726215607,-0.0012814811611397072,-0.002105715855017258
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,192,-0.0005677318616769258,0.31783854166666664,1.839516101039224,1.0,-0.0005677318616769258,-0.001521247486676926,-0.002474763111676926
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,-0.0003406404534032603,0.27986577181208055,2.2852419877909544,1.0,-0.0003406404534032603,-0.001180237768839502,-0.0020198350842757433
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.00030539320252429345,0.29039948453608244,2.790924384083339,1.0,0.00030539320252429345,-0.000565805251083954,-0.0014370037046922018
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-0.0031253224429977,0.2513392857142857,2.247485411240958,1.0,-0.0031253224429977,-0.0038793403001405563,-0.0046333581572834135
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.00048346063821147174,0.27525,3.1302256719485086,1.0,0.00048346063821147174,-0.0003422893617885278,-0.0011680393617885287
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,96,-0.0006290603976868889,0.29583333333333334,1.8162530246004416,1.0,-0.0006290603976868889,-0.0015165603976868888,-0.0024040603976868886
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,-8.139750354893076e-05,0.2654166666666667,2.303505801391992,1.0,-8.139750354893076e-05,-0.0008776475035489305,-0.0016738975035489303
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,-0.0009485213156656732,0.2772135416666666,2.7386678034696303,1.0,-0.0009485213156656732,-0.0017801619406656738,-0.0026118025656656735
CF20_ACT5_GT1_DIAG,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,-0.001579623822956631,0.23317307692307693,2.23631250272058,1.0,-0.001579623822956631,-0.0022791430537258623,-0.002978662284495092
CF20_ACT5_W10,K200,5,BULL_2025,49,0.00015291813819157845,0.08137755102040817,1.449787532808211,0.6183673469387755,0.00015291813819157845,-9.121451486964614e-05,-0.0003353471679308705
CF20_ACT5_W10,K200,5,EARLY_2016_2019,192,-0.00010139570565172606,0.07581380208333333,1.2730964520252732,0.5846679687499999,-0.00010139570565172606,-0.000328837111901726,-0.0005562785181517261
CF20_ACT5_W10,K200,5,LATE_2020_2022,149,0.0001475721784517608,0.06367449664429531,1.4629817118324295,0.5960989932885906,0.0001475721784517608,-4.34513114811251e-05,-0.00023447480141401087
CF20_ACT5_W10,K200,5,NORMAL_2023_2024,97,-0.0005025927358037095,0.0735180412371134,1.5212496779477829,0.5966494845360825,-0.0005025927358037095,-0.0007231468595150498,-0.0009437009832263899
CF20_ACT5_W10,K200,5,YTD_2026,28,0.00015384477073328417,0.06986607142857142,1.4990417480102178,0.6084821428571429,0.00015384477073328417,-5.5753443552430245e-05,-0.0002653516578381444
CF20_ACT5_W10,K200,10,BULL_2025,25,-0.001234935818783825,0.07725,1.4300091929955476,0.6044999999999999,-0.001234935818783825,-0.001466685818783825,-0.001698435818783825
CF20_ACT5_W10,K200,10,EARLY_2016_2019,96,-0.00036559555976364134,0.07291666666666667,1.2755130631722955,0.5899088541666666,-0.00036559555976364134,-0.0005843455597636414,-0.0008030955597636413
CF20_ACT5_W10,K200,10,LATE_2020_2022,75,-0.00030067231772599925,0.06541666666666665,1.4672565542728877,0.5991666666666666,-0.00030067231772599925,-0.0004969223177259993,-0.0006931723177259993
CF20_ACT5_W10,K200,10,NORMAL_2023_2024,48,0.00014106178443309923,0.07200520833333333,1.5714472264589887,0.6014322916666667,0.00014106178443309923,-7.495384056690093e-05,-0.0002909694655669008
CF20_ACT5_W10,K200,10,YTD_2026,13,0.0001579099802961613,0.07115384615384615,1.5693040724992962,0.6360576923076924,0.0001579099802961613,-5.5551558165377406e-05,-0.0002690130966269156
CF20_ACT5_W10,KOSDAQ,5,BULL_2025,49,0.0010117300378118513,0.058673469387755105,2.4911407127584084,0.6061224489795918,0.0010117300378118513,0.0008357096296485859,0.0006596892214853206
CF20_ACT5_W10,KOSDAQ,5,EARLY_2016_2019,192,0.00023904965393805558,0.03196614583333333,1.4212100720951615,0.5308268229166667,0.00023904965393805558,0.00014315121643805555,4.725277893805556e-05
CF20_ACT5_W10,KOSDAQ,5,LATE_2020_2022,149,-0.0004525117336997258,0.05247483221476511,1.8316034117057867,0.5737835570469799,-0.0004525117336997258,-0.0006099362303440211,-0.0007673607269883165
CF20_ACT5_W10,KOSDAQ,5,NORMAL_2023_2024,97,0.001118626346862266,0.05199742268041237,2.2273649640091775,0.5721005154639175,0.001118626346862266,0.0009626340788210288,0.0008066418107797917
CF20_ACT5_W10,KOSDAQ,5,YTD_2026,28,-0.0007818817496424314,0.04776785714285715,1.8721378715626273,0.5790178571428571,-0.0007818817496424314,-0.0009251853210710034,-0.0010684888924995747
CF20_ACT5_W10,KOSDAQ,10,BULL_2025,25,0.002033631481799541,0.049749999999999996,2.9398563889443468,0.61775,0.002033631481799541,0.001884381481799541,0.0017351314817995412
CF20_ACT5_W10,KOSDAQ,10,EARLY_2016_2019,96,0.0005230782181435085,0.03365885416666667,1.4267428880589819,0.5423828125000001,0.0005230782181435085,0.00042210165564350843,0.00032112509314350854
CF20_ACT5_W10,KOSDAQ,10,LATE_2020_2022,75,0.00028470462873578695,0.04733333333333334,1.8446567646012209,0.5878333333333334,0.00028470462873578695,0.000142704628735787,7.046287357868308e-07
CF20_ACT5_W10,KOSDAQ,10,NORMAL_2023_2024,48,-0.0006091254842501535,0.05156249999999999,2.230625084958274,0.5739583333333333,-0.0006091254842501535,-0.0007638129842501533,-0.0009185004842501538
CF20_ACT5_W10,KOSDAQ,10,YTD_2026,13,0.0006050230424620757,0.03413461538461539,1.8370526244088767,0.5966346153846154,0.0006050230424620757,0.0005026191963082298,0.00040021535015438334
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-9.471218565946087e-05,0.08903061224489797,2.7314730580418725,0.6839285714285713,-9.471218565946087e-05,-0.0003618040223941546,-0.0006288958591288484
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,0.0003469296067791248,0.06663411458333333,1.6137572348367897,0.59853515625,0.0003469296067791248,0.00014702726302912473,-5.287508072087525e-05
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,-0.0005114531606635001,0.07856543624161075,2.0858418597339567,0.649748322147651,-0.0005114531606635001,-0.0007471494693883324,-0.0009828457781131644
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0019759699776430778,0.08762886597938142,2.652370421767541,0.6394974226804123,0.0019759699776430778,0.0017130833797049335,0.001450196781766789
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.0013067188037565738,0.0861607142857143,2.135032331491275,0.6515625,-0.0013067188037565738,-0.0015652009466137174,-0.0018236830894708597
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.001280707129213715,0.07950000000000002,3.129642414823913,0.69175,0.001280707129213715,0.0010422071292137153,0.0008037071292137154
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,0.0004636353680283545,0.06451822916666666,1.5821772940016554,0.6056640624999999,0.0004636353680283545,0.0002700806805283544,7.652599302835445e-05
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.00031994856001910793,0.07466666666666666,2.1264889166694947,0.6588333333333333,-0.00031994856001910793,-0.0005439485600191082,-0.0007679485600191078
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.00042704752501561747,0.08372395833333333,2.6564103934767904,0.6401041666666667,0.00042704752501561747,0.00017587565001561718,-7.529622498438284e-05
CF20_ACT5_W10,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0008954380351946678,0.09038461538461538,2.127213281437351,0.6644230769230769,0.0008954380351946678,0.0006242841890408222,0.00035313034288697576
CF20_ACT5_W10,KOSPI_ALL,5,BULL_2025,49,-0.0010682021771840117,0.10599489795918368,1.958158019719474,0.6714285714285714,-0.0010682021771840117,-0.0013861868710615625,-0.0017041715649391137
CF20_ACT5_W10,KOSPI_ALL,5,EARLY_2016_2019,192,-8.976615161818037e-05,0.08951822916666667,1.5000580978054334,0.6201822916666666,-8.976615161818037e-05,-0.0003583208391181804,-0.0006268755266181803
CF20_ACT5_W10,KOSPI_ALL,5,LATE_2020_2022,149,-0.0005535421413991835,0.08406040268456376,1.9009443418316567,0.6510486577181208,-0.0005535421413991835,-0.0008057233494528747,-0.0010579045575065658
CF20_ACT5_W10,KOSPI_ALL,5,NORMAL_2023_2024,97,0.00011559182928549132,0.09658505154639176,2.2568362572038985,0.6470360824742268,0.00011559182928549132,-0.0001741633253536839,-0.00046391847999285906
CF20_ACT5_W10,KOSPI_ALL,5,YTD_2026,28,0.0015353190933444,0.10111607142857144,1.961111589858191,0.6537946428571428,0.0015353190933444,0.0012319708790586854,0.000928622664772971
CF20_ACT5_W10,KOSPI_ALL,10,BULL_2025,25,0.0008071648475674049,0.09225000000000001,1.8718610614415494,0.6655,0.0008071648475674049,0.0005304148475674051,0.00025366484756740506
CF20_ACT5_W10,KOSPI_ALL,10,EARLY_2016_2019,96,-0.0006445169457266571,0.08619791666666665,1.4923167178548387,0.6227864583333333,-0.0006445169457266571,-0.0009031106957266572,-0.0011617044457266571
CF20_ACT5_W10,KOSPI_ALL,10,LATE_2020_2022,75,-0.0013476969434691758,0.08350000000000002,1.956506179097887,0.65325,-0.0013476969434691758,-0.001598196943469176,-0.0018486969434691758
CF20_ACT5_W10,KOSPI_ALL,10,NORMAL_2023_2024,48,0.0003998777279986399,0.08984375,2.3037786373429086,0.6557291666666666,0.0003998777279986399,0.00013034647799864003,-0.00013918477200136026
CF20_ACT5_W10,KOSPI_ALL,10,YTD_2026,13,0.003786517902437744,0.08846153846153847,2.0537394641669944,0.6754807692307693,0.003786517902437744,0.0035211332870531287,0.0032557486716685126
CF20_ACT5_W10,KOSPI_EX_K200,5,BULL_2025,49,0.00029795855993602004,0.04757653061224489,1.9113679302711089,0.5622448979591836,0.00029795855993602004,0.0001552289680992852,1.2499376262550612e-05
CF20_ACT5_W10,KOSPI_EX_K200,5,EARLY_2016_2019,192,0.00023530125377818105,0.03216145833333334,1.4044974485153203,0.4997721354166667,0.00023530125377818105,0.00013881687877818108,4.233250377818106e-05
CF20_ACT5_W10,KOSPI_EX_K200,5,LATE_2020_2022,149,0.0004116032362265506,0.03531879194630872,1.7927596669389387,0.5395134228187921,0.0004116032362265506,0.00030564686038762445,0.00019969048454869826
CF20_ACT5_W10,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0005097996949471244,0.03865979381443299,2.1722770585466864,0.5288015463917526,0.0005097996949471244,0.0003938203135038254,0.0002778409320605264
CF20_ACT5_W10,KOSPI_EX_K200,5,YTD_2026,28,0.0004328529681455685,0.0544642857142857,1.8727248562286343,0.5247767857142858,0.0004328529681455685,0.00026946011100271154,0.00010606725385985423
CF20_ACT5_W10,KOSPI_EX_K200,10,BULL_2025,25,0.0007893376737604393,0.05,1.8262086599659373,0.5655,0.0007893376737604393,0.0006393376737604395,0.0004893376737604396
CF20_ACT5_W10,KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.00035008087696688427,0.03196614583333333,1.362687936909613,0.5009114583333333,-0.00035008087696688427,-0.0004459793144668842,-0.0005418777519668841
CF20_ACT5_W10,KOSPI_EX_K200,10,LATE_2020_2022,75,-0.0005399484812196065,0.035916666666666666,1.8691404855095728,0.5433333333333333,-0.0005399484812196065,-0.0006476984812196067,-0.0007554484812196068
CF20_ACT5_W10,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0005174563415875766,0.041276041666666666,2.170807480085052,0.5287760416666667,-0.0005174563415875766,-0.0006412844665875766,-0.0007651125915875764
CF20_ACT5_W10,KOSPI_EX_K200,10,YTD_2026,13,0.0031528062904512166,0.04326923076923077,1.8113044160203604,0.5336538461538461,0.0031528062904512166,0.0030229985981435237,0.002893190905835831
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,0.0006990982109938214,0.11721938775510203,2.724165598139319,0.7339285714285714,0.0006990982109938214,0.00034744004772851577,-4.2181155367904816e-06
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,192,0.00018980391388733083,0.1044921875,1.6582181208199547,0.66953125,0.00018980391388733083,-0.00012367264861266904,-0.000437149211112669
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,-0.0003586205833929759,0.10322986577181206,2.1305564718549777,0.7061241610738256,-0.0003586205833929759,-0.0006683101807084123,-0.0009779997780238485
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.000842945431552195,0.11185567010309276,2.6813581885034963,0.7068943298969071,0.000842945431552195,0.0005073784212429167,0.00017181141093363845
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-0.003356249250777233,0.10312500000000001,2.2257665739914447,0.715625,-0.003356249250777233,-0.0036656242507772338,-0.003974999250777234
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.0013481149769885969,0.11149999999999999,3.1002358800426033,0.74025,0.0013481149769885969,0.0010136149769885971,0.0006791149769885973
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,96,0.0006190987305594729,0.09824218749999998,1.642795207626788,0.6760416666666668,0.0006190987305594729,0.0003243721680594727,2.9645605559472848e-05
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.0004983013691246375,0.09591666666666668,2.1494739640550224,0.7105,0.0004983013691246375,0.0002105513691246376,-7.719863087536248e-05
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,9.452495828720976e-05,0.10598958333333335,2.663489379527531,0.7115885416666666,9.452495828720976e-05,-0.00022344379171278998,-0.0005414125417127903
CF20_ACT5_W10,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,-0.0010873612466400207,0.10240384615384615,2.253515527983083,0.7322115384615384,-0.0010873612466400207,-0.0013945727851015588,-0.001701784323563097
