universe,sample,other_decile,n_dates,fwd10,cf20_select_rate
K200,BULL_2025,1,13,0.04010388829147956,0.0
K200,BULL_2025,2,24,0.00926206088260085,0.23379629629629628
K200,BULL_2025,3,25,0.02008386854647002,0.26307363456951555
K200,BULL_2025,4,25,0.022626949573031546,0.3544661714940806
K200,BULL_2025,5,25,0.020041932833097516,0.421758246504928
K200,BULL_2025,6,25,0.02313384922169283,0.48585926944692676
K200,BULL_2025,7,25,0.026838409186655376,0.6387926524403609
K200,BULL_2025,8,25,0.03602281609794875,0.7629767474227798
K200,BULL_2025,9,24,0.03890434766655776,0.8234937516187516
K200,BULL_2025,10,8,0.024322055048976828,1.0
K200,EARLY_2016_2019,1,49,0.020402370178345237,0.08163265306122448
K200,EARLY_2016_2019,2,97,0.0017077733899021536,0.13429992115559122
K200,EARLY_2016_2019,3,98,-0.0006295009330980376,0.25012758556975706
K200,EARLY_2016_2019,4,98,-0.0008346316770328428,0.33648158471727496
K200,EARLY_2016_2019,5,98,3.2779321110703734e-05,0.40871778243490603
K200,EARLY_2016_2019,6,98,0.0010089418479634338,0.5170856742445565
K200,EARLY_2016_2019,7,98,0.00011962184948495093,0.6324144702851762
K200,EARLY_2016_2019,8,98,0.003386057049528164,0.7588161422502443
K200,EARLY_2016_2019,9,92,0.0073982090590411585,0.8455693335713359
K200,EARLY_2016_2019,10,40,0.00015024063266811104,0.9
K200,LATE_2020_2022,1,44,-0.02178467867138331,0.045454545454545456
K200,LATE_2020_2022,2,73,0.009299865161269391,0.1668264003880442
K200,LATE_2020_2022,3,75,0.0005584550885539844,0.252085336515613
K200,LATE_2020_2022,4,75,0.0021716700389422705,0.3151529281252704
K200,LATE_2020_2022,5,75,0.003161023421549268,0.4167024339716651
K200,LATE_2020_2022,6,75,0.005237830862970761,0.5213974073563065
K200,LATE_2020_2022,7,75,0.008297386451719166,0.6246010533973516
K200,LATE_2020_2022,8,75,0.005775389414137535,0.7633419868845769
K200,LATE_2020_2022,9,71,0.009248646610844386,0.8671103784482439
K200,LATE_2020_2022,10,37,0.02145931158088226,0.9639639639639639
K200,NORMAL_2023_2024,1,25,0.02083242647217766,0.04
K200,NORMAL_2023_2024,2,48,-0.003261761474550349,0.13536706349206348
K200,NORMAL_2023_2024,3,48,-0.002795715793142124,0.23270360223058964
K200,NORMAL_2023_2024,4,48,0.0006547919134502964,0.3539792500013916
K200,NORMAL_2023_2024,5,48,0.003909936473630475,0.4361885613948999
K200,NORMAL_2023_2024,6,48,0.002900823519437327,0.5233443327528793
K200,NORMAL_2023_2024,7,48,0.0034233540682264575,0.6227061247612331
K200,NORMAL_2023_2024,8,48,0.005074902652079583,0.7201349348452176
K200,NORMAL_2023_2024,9,45,-0.007694304414453834,0.8472401795735128
K200,NORMAL_2023_2024,10,22,-0.009579823056735517,0.9783549783549784
K200,YTD_2026,1,1,0.11865044646200601,0.0
K200,YTD_2026,2,13,0.020274815235108677,0.23076923076923078
K200,YTD_2026,3,13,-0.016975293304299817,0.2598338859208424
K200,YTD_2026,4,13,0.005913303315437851,0.31694579873121786
K200,YTD_2026,5,13,-0.0009442166879518044,0.4247617788777794
K200,YTD_2026,6,13,0.015808995445722007,0.47996388780152655
K200,YTD_2026,7,13,0.019453954258818705,0.7141615170164866
K200,YTD_2026,8,13,0.01638752613977422,0.7738397471594147
K200,YTD_2026,9,13,-0.004289542313875201,0.7631304592843053
K200,YTD_2026,10,7,0.008373498027577381,0.8571428571428571
KOSDAQ,BULL_2025,1,23,0.023808079778261076,0.014492753623188404
KOSDAQ,BULL_2025,2,25,0.020860121548006264,0.11530158730158732
KOSDAQ,BULL_2025,3,25,0.023510652425925215,0.21187659195522973
KOSDAQ,BULL_2025,4,25,0.02226719561852316,0.3362738343818365
KOSDAQ,BULL_2025,5,25,0.0195448635962754,0.3931109893735638
KOSDAQ,BULL_2025,6,25,0.02289842699815797,0.5160678902789025
KOSDAQ,BULL_2025,7,25,0.017813164203668328,0.6379893468015196
KOSDAQ,BULL_2025,8,25,0.032256437453419134,0.8091427162763156
KOSDAQ,BULL_2025,9,25,0.026776207630404832,0.9098540022069435
KOSDAQ,BULL_2025,10,25,0.09788572618875323,0.9942857142857143
KOSDAQ,EARLY_2016_2019,1,61,0.013232948270081146,0.07704918032786885
KOSDAQ,EARLY_2016_2019,2,98,-0.004210600440617227,0.18684289066942128
KOSDAQ,EARLY_2016_2019,3,98,-0.0008211963242628647,0.28125003453121644
KOSDAQ,EARLY_2016_2019,4,98,0.00028390942172169234,0.3484875096745508
KOSDAQ,EARLY_2016_2019,5,98,-0.0001551731377219219,0.43264411721279766
KOSDAQ,EARLY_2016_2019,6,98,-0.0005041012653640765,0.507485024205568
KOSDAQ,EARLY_2016_2019,7,98,0.0046828516682690564,0.608222135269855
KOSDAQ,EARLY_2016_2019,8,98,0.002325801981395604,0.7385315999303487
KOSDAQ,EARLY_2016_2019,9,98,-0.006206926811070548,0.8111809408506577
KOSDAQ,EARLY_2016_2019,10,87,-0.012077561631021541,0.9065498996533478
KOSDAQ,LATE_2020_2022,1,57,-0.035281710659432836,0.0
KOSDAQ,LATE_2020_2022,2,75,0.0009262886394065737,0.09150149850149851
KOSDAQ,LATE_2020_2022,3,75,0.0005369397188046681,0.2185164375336404
KOSDAQ,LATE_2020_2022,4,75,0.0011595543847079891,0.31507384765980595
KOSDAQ,LATE_2020_2022,5,75,0.006319661766545004,0.37852851239423996
