strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,REVISION,189,-0.0019723069109525084,0.4497354497354497
CF20_ACT5_GT1_DIAG,KOSDAQ,5,EARLY_2016_2019,VALUE,188,-0.0002959352770042152,0.5797872340425532
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,FLOW,149,-0.0009277389722923884,0.47651006711409394
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,MOMENTUM,149,0.0008577085514130729,0.47651006711409394
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,REVISION,148,-0.0011975008756250104,0.42567567567567566
CF20_ACT5_GT1_DIAG,KOSDAQ,5,LATE_2020_2022,VALUE,148,-0.0030242592303461272,0.39864864864864863
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,FLOW,97,0.002248626037190239,0.6082474226804123
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,MOMENTUM,97,0.0012794275935382648,0.5154639175257731
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,REVISION,96,0.001421835954046845,0.5520833333333334
CF20_ACT5_GT1_DIAG,KOSDAQ,5,NORMAL_2023_2024,VALUE,96,0.002984513872178258,0.6041666666666666
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,FLOW,28,0.0023790301166502154,0.6071428571428571
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,MOMENTUM,28,-0.0011813282129493495,0.4642857142857143
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,REVISION,27,-2.467878324156273e-05,0.5185185185185185
CF20_ACT5_GT1_DIAG,KOSDAQ,5,YTD_2026,VALUE,28,-0.0011119305139021313,0.5714285714285714
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,FLOW,25,0.0014025152059021157,0.52
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,MOMENTUM,25,-0.0004635972181508044,0.48
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,REVISION,25,0.004211200146435492,0.44
CF20_ACT5_GT1_DIAG,KOSDAQ,10,BULL_2025,VALUE,25,0.007648149115714872,0.68
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,FLOW,96,0.0008356092969805766,0.5104166666666666
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,MOMENTUM,96,0.00041102351840609734,0.5625
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,REVISION,94,-0.0023962612709389343,0.44680851063829785
CF20_ACT5_GT1_DIAG,KOSDAQ,10,EARLY_2016_2019,VALUE,94,0.0024135096576785573,0.5851063829787234
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,FLOW,75,0.0003787671843027084,0.48
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,MOMENTUM,75,0.004550269345733008,0.5066666666666667
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,REVISION,74,0.000981759127358352,0.43243243243243246
CF20_ACT5_GT1_DIAG,KOSDAQ,10,LATE_2020_2022,VALUE,74,-0.004356076740541489,0.4594594594594595
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,FLOW,48,-0.0006344113237144958,0.4166666666666667
