universe,sample,family,n_dates,portfolio_delta,replacement_edge,replace_share,positive_date_rate
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,VALUE,75,0.0011590569619811231,0.01014097255027579,0.1723333333333333,0.6
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,FLOW,48,-0.0014008742484535525,-0.006806196992280046,0.3078125,0.4583333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,MOMENTUM,48,0.0033970526113747796,0.0069232425043749745,0.4192708333333333,0.5416666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,REVISION,48,0.0009512357697556715,0.0013717635771924412,0.16927083333333334,0.5625
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,VALUE,48,0.0013575156262780723,0.010348438236920412,0.17552083333333335,0.5833333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,FLOW,13,0.005608405973128911,0.018050838714569868,0.34038461538461545,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,MOMENTUM,13,0.013210939814925644,0.028720652057030397,0.46923076923076923,0.7692307692307693
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,REVISION,13,0.003872745332535887,0.03627008980633701,0.18653846153846151,0.6153846153846154
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,VALUE,13,-0.002774591471980983,-0.015314916132164572,0.1846153846153846,0.38461538461538464
KOSPI_ALL,BULL_2025,FLOW,25,0.001126845745070824,0.004541715704248416,0.263,0.4
KOSPI_ALL,BULL_2025,MOMENTUM,25,0.002870390901864148,0.002610239780316855,0.29700000000000004,0.48
KOSPI_ALL,BULL_2025,REVISION,25,0.0035564896226297506,0.018808580226191703,0.21400000000000002,0.44
KOSPI_ALL,BULL_2025,VALUE,25,0.0034461498449945773,0.017158549210952515,0.19400000000000003,0.68
KOSPI_ALL,EARLY_2016_2019,FLOW,98,0.00021465418693702716,0.0022971233046403037,0.2306122448979592,0.47959183673469385
KOSPI_ALL,EARLY_2016_2019,MOMENTUM,98,0.002040907759422306,0.007803237299585687,0.2693877551020408,0.5714285714285714
KOSPI_ALL,EARLY_2016_2019,REVISION,98,-0.0003765584676206047,-0.002596301415752691,0.14770408163265306,0.45918367346938777
KOSPI_ALL,EARLY_2016_2019,VALUE,98,-0.000468541226017072,-0.0029344217855675836,0.19056122448979593,0.4897959183673469
KOSPI_ALL,LATE_2020_2022,FLOW,75,0.0007202953645158433,0.004900721697432518,0.2656666666666666,0.44
KOSPI_ALL,LATE_2020_2022,MOMENTUM,75,0.0008864609320206995,0.00035091919011479537,0.3236666666666667,0.5333333333333333
KOSPI_ALL,LATE_2020_2022,REVISION,75,0.0007732532842285929,0.004426507036977437,0.18699999999999997,0.56
KOSPI_ALL,LATE_2020_2022,VALUE,75,0.0004814693708595789,0.004451852769228022,0.18133333333333337,0.5733333333333334
KOSPI_ALL,NORMAL_2023_2024,FLOW,48,-0.0013203720886307783,-0.006299519377138314,0.2630208333333333,0.4583333333333333
KOSPI_ALL,NORMAL_2023_2024,MOMENTUM,48,0.0009625608277959623,0.00198214955450225,0.32760416666666664,0.4791666666666667
KOSPI_ALL,NORMAL_2023_2024,REVISION,48,0.0005274130165863177,0.0050546020130113585,0.1942708333333333,0.5
KOSPI_ALL,NORMAL_2023_2024,VALUE,48,0.0021561333720614573,0.008769233274622036,0.19947916666666665,0.5625
KOSPI_ALL,YTD_2026,FLOW,13,-0.0007152869451695578,0.0036370242663472377,0.2596153846153846,0.6153846153846154
KOSPI_ALL,YTD_2026,MOMENTUM,13,-0.0008381699861649355,0.0004972910775614664,0.29807692307692313,0.38461538461538464
KOSPI_ALL,YTD_2026,REVISION,13,0.00590367346934375,0.03766721693290303,0.18846153846153849,0.5384615384615384
KOSPI_ALL,YTD_2026,VALUE,13,0.003307475692337685,0.013064739883641634,0.23076923076923078,0.6923076923076923
KOSPI_EX_K200,BULL_2025,FLOW,25,-0.00027462716894367497,-0.008930855288222168,0.15,0.44
KOSPI_EX_K200,BULL_2025,MOMENTUM,25,0.0041872096708605415,0.01521271730353751,0.21100000000000002,0.64
KOSPI_EX_K200,BULL_2025,REVISION,25,0.0001871546188164596,-0.0006791310215898652,0.065,0.48
KOSPI_EX_K200,BULL_2025,VALUE,25,0.00031600365189854326,0.00029034289749683186,0.095,0.6
KOSPI_EX_K200,EARLY_2016_2019,FLOW,98,0.0009085234674060014,0.006878334525885572,0.10459183673469388,0.5102040816326531
KOSPI_EX_K200,EARLY_2016_2019,MOMENTUM,98,0.00016336636242016584,-0.001747766976975856,0.11862244897959184,0.4897959183673469
KOSPI_EX_K200,EARLY_2016_2019,REVISION,98,0.0002974880365764829,0.005376041097252442,0.050765306122448985,0.4489795918367347
KOSPI_EX_K200,EARLY_2016_2019,VALUE,98,0.00014015710944099126,-0.0017637962060880628,0.06607142857142857,0.5204081632653061
KOSPI_EX_K200,LATE_2020_2022,FLOW,75,-0.0006421824519322009,-0.008528148039935941,0.15966666666666668,0.37333333333333335
KOSPI_EX_K200,LATE_2020_2022,MOMENTUM,75,0.0007265651954421506,0.001647016275583342,0.18,0.5066666666666667
KOSPI_EX_K200,LATE_2020_2022,REVISION,75,-0.0002623533159817193,-0.005697375751573397,0.05366666666666667,0.5066666666666667
KOSPI_EX_K200,LATE_2020_2022,VALUE,75,0.00029109832871044845,0.0024218037318976078,0.062333333333333345,0.5066666666666667
KOSPI_EX_K200,NORMAL_2023_2024,FLOW,48,0.0004633858995244148,0.0016325151148107256,0.15312499999999998,0.5625
KOSPI_EX_K200,NORMAL_2023_2024,MOMENTUM,48,0.0028653135160795987,0.012655190173758412,0.20052083333333334,0.5416666666666666
KOSPI_EX_K200,NORMAL_2023_2024,REVISION,48,0.00022072910467305223,0.004224008098679248,0.06979166666666667,0.5416666666666666
KOSPI_EX_K200,NORMAL_2023_2024,VALUE,48,0.00030389238598092436,0.00019283399255383502,0.07187500000000001,0.5208333333333334
KOSPI_EX_K200,YTD_2026,FLOW,13,0.0015011226465440172,0.0063093382982597245,0.16923076923076924,0.6153846153846154
KOSPI_EX_K200,YTD_2026,MOMENTUM,13,0.0048717550433690126,0.02240741612494226,0.21923076923076928,0.6153846153846154
KOSPI_EX_K200,YTD_2026,REVISION,13,-0.0004954571416043003,-0.012203351916997545,0.06923076923076922,0.5384615384615384
KOSPI_EX_K200,YTD_2026,VALUE,13,0.002060421849172588,0.02030079065361477,0.08269230769230769,0.46153846153846156
KOSPI_KOSDAQ_ALL,BULL_2025,FLOW,25,-0.002257178629190495,-0.00849138105048438,0.386,0.6
KOSPI_KOSDAQ_ALL,BULL_2025,MOMENTUM,25,0.012938073653431147,0.023350466714653323,0.48800000000000004,0.56
KOSPI_KOSDAQ_ALL,BULL_2025,REVISION,25,0.0046799014279008105,0.016147562387890935,0.34099999999999997,0.56
KOSPI_KOSDAQ_ALL,BULL_2025,VALUE,25,0.0031230345097930374,0.01108644645069895,0.28,0.56
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,FLOW,98,0.0031457530849332135,0.011794329457757255,0.30994897959183676,0.6020408163265306
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,MOMENTUM,98,0.0031216371562980366,0.006698691705210533,0.3836734693877551,0.6122448979591837
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,REVISION,98,0.00031421036566727596,0.00238563000963538,0.2336734693877551,0.47959183673469385
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,VALUE,98,-0.0007587934907569903,-0.003614978675378866,0.2553571428571429,0.46938775510204084
KOSPI_KOSDAQ_ALL,LATE_2020_2022,FLOW,75,0.002085343096675618,0.00669360328418271,0.3950000000000001,0.56
KOSPI_KOSDAQ_ALL,LATE_2020_2022,MOMENTUM,75,0.0021885553066132886,0.002483883674795968,0.49633333333333324,0.52
KOSPI_KOSDAQ_ALL,LATE_2020_2022,REVISION,75,0.0021953592993596747,0.006925046384296493,0.291,0.4533333333333333
KOSPI_KOSDAQ_ALL,LATE_2020_2022,VALUE,75,0.0012725488882319182,0.0051551064239136035,0.25833333333333336,0.49333333333333335
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,FLOW,48,0.0014687772831823334,0.0034723994165645547,0.38125000000000003,0.4791666666666667
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,MOMENTUM,48,0.0026795805278461552,0.005494688618775607,0.4885416666666667,0.5416666666666666
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,REVISION,48,-0.0029200440436805016,-0.010111837575976987,0.2994791666666667,0.4375
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,VALUE,48,0.002144710396768896,0.005378035046444467,0.2734375,0.5625
KOSPI_KOSDAQ_ALL,YTD_2026,FLOW,13,0.01219295755513176,0.027363700700895634,0.41346153846153844,0.7692307692307693
KOSPI_KOSDAQ_ALL,YTD_2026,MOMENTUM,13,0.018773550975555203,0.03734131248644646,0.5326923076923077,0.8461538461538461
KOSPI_KOSDAQ_ALL,YTD_2026,REVISION,13,0.013303448159314434,0.045185430028477205,0.30769230769230765,0.7692307692307693
KOSPI_KOSDAQ_ALL,YTD_2026,VALUE,13,0.0009956621399233876,0.0021403832512495256,0.3211538461538461,0.6153846153846154
