universe,sample,other_decile,n_dates,mean_fwd10
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,10,72,0.00027598089905585884
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,1,47,-0.02935881676270319
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,2,48,0.018664220556419323
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,3,48,0.0015129914361853008
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,4,48,-0.006656411539126321
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,5,48,0.0016607399910581213
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,6,48,0.004178213224841163
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,7,48,0.004066028603039031
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,8,48,-0.0054789752314495415
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,9,48,0.00011096566368447014
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,10,48,0.012326606386601
KOSPI_ALL,EARLY_2016_2019,1,63,-0.028285415268082263
KOSPI_ALL,EARLY_2016_2019,2,97,-0.009316846227947545
KOSPI_ALL,EARLY_2016_2019,3,98,-0.0036508478158508943
KOSPI_ALL,EARLY_2016_2019,4,98,0.0017861586784016171
KOSPI_ALL,EARLY_2016_2019,5,98,-0.0003775914158667336
KOSPI_ALL,EARLY_2016_2019,6,98,6.051314392840647e-05
KOSPI_ALL,EARLY_2016_2019,7,98,-0.00026608652029335035
KOSPI_ALL,EARLY_2016_2019,8,98,0.003769201979071635
KOSPI_ALL,EARLY_2016_2019,9,96,0.0008600349208731898
KOSPI_ALL,EARLY_2016_2019,10,82,0.007238542362954328
KOSPI_ALL,LATE_2020_2022,1,57,-0.0048319604966758295
KOSPI_ALL,LATE_2020_2022,2,75,-0.0025936503233705
KOSPI_ALL,LATE_2020_2022,3,75,0.004462392975938024
KOSPI_ALL,LATE_2020_2022,4,75,0.0021486382065112708
KOSPI_ALL,LATE_2020_2022,5,75,0.004521740139131174
KOSPI_ALL,LATE_2020_2022,6,75,0.00445742829844395
KOSPI_ALL,LATE_2020_2022,7,75,0.008933721897426857
KOSPI_ALL,LATE_2020_2022,8,75,0.005825026080897302
KOSPI_ALL,LATE_2020_2022,9,74,0.01834326454730788
KOSPI_ALL,LATE_2020_2022,10,68,0.0016584145474568485
KOSPI_ALL,NORMAL_2023_2024,1,40,0.008088963881517251
KOSPI_ALL,NORMAL_2023_2024,2,48,-0.015921167095411394
KOSPI_ALL,NORMAL_2023_2024,3,48,-0.0068490056847755705
KOSPI_ALL,NORMAL_2023_2024,4,48,0.001635925198337821
