date,sample,horizon,universe,factor,family,strategy,gross,turnover,mean_act5,act5_gt1_share
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,CF20,-0.012401314718986717,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,-0.019534873197362822,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.022452373543357225,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,CF20,-0.017775695008952586,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,-0.02401724567559483,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,0.029828871298579064,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,-0.0001475480359659628,1.0,,0.0
2016-01-04,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,-0.002842010337499693,1.0,,0.0
2016-01-11,EARLY_2016_2019,5,K200,OP12_REV,REVISION,CF20,0.004023874817689496,0.35,,0.0
2016-01-11,EARLY_2016_2019,5,K200,OPFY1_REV,REVISION,CF20,-0.02055808483767823,0.15000000000000002,,0.0
2016-01-11,EARLY_2016_2019,5,K200,PBR12MF,VALUE,CF20,-0.018067641243051588,0.09999999999999998,,0.0
2016-01-11,EARLY_2016_2019,5,K200,PER12MF,VALUE,CF20,-0.006780641335847012,0.15000000000000002,,0.0
2016-01-11,EARLY_2016_2019,5,K200,MOM1M,MOMENTUM,CF20,-0.017261149683979758,0.7,,0.0
2016-01-11,EARLY_2016_2019,5,K200,MOM12_1,MOMENTUM,CF20,-0.0022285994371674792,0.25,,0.0
2016-01-11,EARLY_2016_2019,5,K200,PRIVATE_FLOW,FLOW,CF20,-0.001031758045162349,0.25,,0.0
2016-01-11,EARLY_2016_2019,5,K200,FOREIGN_FLOW,FLOW,CF20,-0.00846108984277701,0.30000000000000004,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,OP12_REV,REVISION,CF20,0.007173459642950136,0.44999999999999996,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,-0.001722705492053634,0.35,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.016798011260075952,0.15000000000000002,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,PER12MF,VALUE,CF20,-0.026612613677707935,0.30000000000000004,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,-0.02392993049380394,0.7,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,-0.006936259259653674,0.55,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,0.014507582944027745,0.4,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,-0.012284547841107574,0.35,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,OP12_REV,REVISION,CF20,0.01092334088953652,0.35,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,OPFY1_REV,REVISION,CF20,-0.01411526682786432,0.15000000000000002,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,PBR12MF,VALUE,CF20,-0.024575617946124638,0.09999999999999998,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,PER12MF,VALUE,CF20,-0.004887019888594981,0.19999999999999996,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,MOM1M,MOMENTUM,CF20,-0.030779970791001105,0.75,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,MOM12_1,MOMENTUM,CF20,-0.007294443108969885,0.4,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,PRIVATE_FLOW,FLOW,CF20,-0.0012805911176196152,0.44999999999999996,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_ALL,FOREIGN_FLOW,FLOW,CF20,-0.014120358821521021,0.35,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,OP12_REV,REVISION,CF20,0.02672394632538108,0.65,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,OPFY1_REV,REVISION,CF20,0.03911075679228352,0.65,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,PBR12MF,VALUE,CF20,-0.003787268684293231,0.44999999999999996,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,PER12MF,VALUE,CF20,0.03991749363883502,0.5,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,MOM1M,MOMENTUM,CF20,0.01737464186007779,0.7,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,MOM12_1,MOMENTUM,CF20,0.024245286345960907,0.8,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,PRIVATE_FLOW,FLOW,CF20,0.03785612833089815,0.6,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ,FOREIGN_FLOW,FLOW,CF20,-0.0008106793090339904,0.7,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,CF20,0.014499379578686569,0.5,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,CF20,0.004940898234138607,0.25,,0.0
