date,current_cross_universe_coherence,future_cross_universe_coherence,median_dispersion20,median_abs_opportunity20,median_avg_pair_corr_60,median_pc1_share_60,median_rank_agreement_20_60,era
2016-04-01,0.6071428571428572,0.8690476190476191,0.0243440416861815,0.0193753127319136,0.0433647172696648,0.5652043780238553,0.6190476190476191,DISCOVERY_2016_2019
2016-04-08,0.7380952380952381,0.0,0.02844358918062415,0.02458012273682285,0.0919717572165493,0.5053428403246467,0.1785714285714286,DISCOVERY_2016_2019
2016-04-18,0.8333333333333335,0.7857142857142858,0.0359159600723095,0.029701555091924,0.06751013459245175,0.4698344691754408,0.7142857142857144,DISCOVERY_2016_2019
2016-04-25,0.4761904761904762,0.7619047619047621,0.03344655167689045,0.0279349311190637,0.0722158641553859,0.4869339955594272,0.7380952380952382,DISCOVERY_2016_2019
2016-05-02,0.7619047619047621,0.9285714285714287,0.036493170496368604,0.028707116929582152,0.08368599549471424,0.49609018599598154,0.8690476190476191,DISCOVERY_2016_2019
2016-05-11,0.0,0.8571428571428572,0.0214170863353077,0.0171462409872865,0.09710466366451426,0.495177575770522,0.523809523809524,DISCOVERY_2016_2019
2016-05-18,0.7857142857142858,0.6190476190476191,0.0447029925090907,0.03732337951912075,0.13136144014376233,0.4590721450765009,-0.0238095238095238,DISCOVERY_2016_2019
2016-05-25,0.7619047619047621,0.6428571428571429,0.0494049907775574,0.03817029255427645,0.12637149539817236,0.46082705353077935,-0.08333333333333334,DISCOVERY_2016_2019
2016-06-01,0.9285714285714287,0.7857142857142858,0.05279840164603015,0.040194484231276695,0.1187995837861658,0.393668169604796,0.48809523809523814,DISCOVERY_2016_2019
2016-06-09,0.8571428571428572,0.5952380952380953,0.036359631936891304,0.0295313188870415,0.13360223699607116,0.3788651779467105,0.6547619047619049,DISCOVERY_2016_2019
2016-06-16,0.6190476190476191,0.38095238095238104,0.02973407010582485,0.02373141073371245,0.1326610168969746,0.37068093540188485,0.46428571428571436,DISCOVERY_2016_2019
2016-06-23,0.6428571428571429,0.3333333333333334,0.02315295263431675,0.01911462349534715,0.13509125107734474,0.37675999510223634,0.41666666666666674,DISCOVERY_2016_2019
