universe,cost_bps,period,n_rebalances,permission_share,liq_top2_gate_cagr,liq_top2_gate_sharpe,liq_top2_gate_mdd,persist_liq_gate_cagr,persist_liq_gate_sharpe,persist_liq_gate_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,top2_cagr,top2_sharpe,top2_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,liq_top2_gate_delta_sharpe_vs_ew8,liq_top2_gate_delta_cagr_vs_ew8,liq_top2_gate_delta_mdd_vs_ew8,liq_top2_gate_delta_sharpe_vs_persist,persist_liq_gate_delta_sharpe_vs_ew8,persist_liq_gate_delta_cagr_vs_ew8,persist_liq_gate_delta_mdd_vs_ew8,persist_liq_gate_delta_sharpe_vs_persist
KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.32,0.00421531722895363,0.09118716622852956,-0.0916263338437967,0.02472157877014136,0.322761465466948,-0.0916263338437967,0.02408500877538433,0.2573832284035971,-0.10317875764302264,0.07968925517936953,0.5836453263890231,-0.09371326742570829,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.4001058872857496,-0.03728625379057182,-0.015298766569157296,-0.16619606217506755,-0.16853158804733115,-0.01677999224938409,-0.015298766569157296,0.06537823706335089
KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.3333333333333333,0.21328222800850072,1.196088206960119,-0.0935105066127031,0.030715668052059497,0.4468265167798168,-0.08437079923819069,0.07392825906656597,0.8312471360306483,-0.05059685757203647,0.10313645130640103,0.5894283115312887,-0.15149119459434768,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.14016925859331164,0.1274193246379438,-0.03858648578892265,0.3648410709294708,-0.889430948773614,-0.05514723531849741,-0.029446778414410235,-0.3844206192508315
K200,0,BULL_2025,12,0.25,0.1676655644954932,1.0486701941277259,-0.10749687787021012,0.1951670684716389,1.6908685639589665,-0.06198041966511103,0.26654076102043556,1.5739102804172895,-0.06198041966511114,-0.0037649395725156687,0.09821458775468897,-0.18812263661914563,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.942981630160824,-0.07662305302863803,-0.045516458205099086,-0.5252400862895636,-0.30078326032958347,-0.04912154905249233,0.0,0.11695828354167692
KOSDAQ,0,BULL_2025,12,0.16666666666666666,0.0827125568664917,0.8804673450225261,-0.0332701423449141,0.15653226010930865,1.5787227735003182,-0.0332701423449141,0.0030458343197410365,0.07720064928001945,-0.06260759656202719,0.034691462586339705,0.2946934680482536,-0.08627223515022087,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.37666329282041267,-0.03687035499888047,0.00877020298510589,0.8032666957425066,0.32159213565737943,0.036949348243936475,0.00877020298510589,1.5015221242202987
KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.08333333333333333,0.08522280405840776,1.120017328087625,-0.024328852993387384,0.10451983724799807,1.3379972381993712,-0.024328852993387495,0.01627248618951005,0.18916994847269403,-0.09470907425682995,0.1997184974581323,1.8106164059199106,-0.021258898256490966,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.3561304709861268,-0.038249339650380465,2.220446049250313e-16,0.930847379614931,-0.1381505608743807,-0.018952306460790158,1.1102230246251565e-16,1.1488272897266771
KOSPI_ALL,0,BULL_2025,12,0.3333333333333333,0.04958457934166027,0.40101630050245624,-0.12211557685236685,0.14994072458160024,1.6580393676341139,-0.06085414733963823,0.20288423288349722,1.4939618994724317,-0.07667359543830987,-0.059475029630645215,-0.3246397764942533,-0.17094961476452508,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-1.734292401102141,-0.14083779437980826,-0.07629969621581201,-1.0929455989699755,-0.47726933397048343,-0.04048164913986829,-0.015038266703083392,0.16407746816168212
KOSPI_EX_K200,0,BULL_2025,12,0.4166666666666667,0.07293889696401967,0.6865966640854382,-0.06616542821680471,0.20909498147652994,2.2324007532988377,-0.014282665630461766,0.24349901032462284,2.23959909809904,-0.02518416939724344,0.1260002993185172,0.9133717810354915,-0.06616542821680471,0.11789481425423265,1.9141659111911096,-0.02180019878037376,-1.2275692471056714,-0.04495591729021298,-0.04436522943643095,-1.553002434013602,0.3182348421077281,0.09120016722229729,0.007517533149911992,-0.0071983448002024275
KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.16666666666666666,0.1604219622880081,1.6234388443471306,-0.03545141869612056,0.17422574696882087,1.9480867634130226,-0.03545141869612067,0.1317794775022565,1.259597511242903,-0.0491054467787182,0.09802319551479077,0.6600874063072499,-0.11409696894630039,0.1745871114015647,2.0228076610380294,-0.03545141869612045,-0.39936881669089885,-0.014165149113556597,-1.1102230246251565e-16,0.3638413331042276,-0.07472089762500689,-0.0003613644327438159,-2.220446049250313e-16,0.6884892521701196
K200,0,YTD_2026,4,0.25,0.5241269634579333,3.6661247913249113,0.0,0.32040127123541007,2.129592636515878,-0.005469085991158362,0.6199522734221767,2.1611108370648187,-0.03157359802709592,0.0555229707229945,0.3154131212453638,-0.04511875425348233,0.44758800968263035,3.218589932676514,0.0,0.44753485864839737,0.07653895377530295,0.0,1.5050139542600927,-1.088997296160636,-0.12718673844722028,-0.005469085991158362,-0.03151820054894072
KOSDAQ,0,YTD_2026,4,0.25,0.3162569269828026,2.3111683167368997,-0.01968255488343651,0.37302692647982716,3.1137278002175233,-0.006452944692863061,0.434471249249065,2.0596587669566953,-0.00645294469286295,0.7624693691352455,2.663934884619375,-0.0196825548834364,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.4935920662372366,-0.03645665817640675,-0.00853947142498468,0.25150954978020446,0.30896741724338694,0.020313341320617795,0.004690138765588769,1.054069033260828
KOSDAQ_PLUS_KOSPI_EX_K200,0,YTD_2026,4,0.25,0.2829235299037036,2.9618628082648946,-0.008278020805803532,0.3353968937594656,4.228746196585604,0.0,0.3353968937594656,4.228746196585604,0.0,0.6805392344320684,3.0568680153054153,-0.008278020805803532,0.2828730582623422,2.96081382296115,-0.008290406828556196,0.0010489853037447538,5.0471641361404807e-05,1.2386022752663983e-05,-1.2668833883207093,1.267932373624454,0.05252383549712336,0.008290406828556196,0.0
KOSPI_ALL,0,YTD_2026,4,0.25,0.42938290577298965,3.3477128729775654,-0.0010997618702287548,0.17751376774132277,1.1252629192525236,-0.032990145426966766,0.7258051489569275,2.3398184248795992,-0.03192549399772482,0.35962875464660593,1.5104366181841682,-0.03903281763822175,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.7642321808123911,0.09206069607609213,0.0,1.0078944480979661,-1.4582177729126506,-0.15980844195557475,-0.03189038355673801,-1.2145555056270756
KOSPI_EX_K200,0,YTD_2026,4,0.25,0.10165725826873984,0.8627793492970272,-0.03704561697736475,0.10165725826873984,0.8627793492970272,-0.03704561697736475,0.41903062053750273,2.1277566956752287,-0.021157130158278137,0.3526699720129478,1.4324742188862067,-0.05024657897953999,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.04964991647739936,0.005371182218629977,0.001492940631467321,-1.2649773463782017,0.04964991647739936,0.005371182218629977,0.001492940631467321,-1.2649773463782017
KOSPI_KOSDAQ_ALL,0,YTD_2026,4,0.25,0.3645865605664578,3.8021575029399686,0.0,0.4627115850379011,6.070713127138836,0.0,0.1576363396946694,1.3656644592829423,-0.026241193815654706,-0.07900754446236768,-1.6866084520032967,-0.026241193815654706,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.1500165216499183,0.007076063406557198,0.0002378172667306666,2.436493043657026,2.4185721458487857,0.10520108787800053,0.0002378172667306666,4.705048667855894
K200,10,DEV_2020_2022,38,0.3157894736842105,0.011227755292031238,0.1724513363546394,-0.06281092679139233,0.015996749763649287,0.2091088718358722,-0.0881610922242485,0.04408951245012127,0.40558591334203037,-0.18693851975311604,0.023317694164691094,0.22452587054137485,-0.13363544424420515,0.06861936099357124,0.9252577805444361,-0.06132276546491944,-0.7528064441897967,-0.057391605701540005,-0.0014881613264728921,-0.23313457698739096,-0.7161489087085638,-0.052622611229921956,-0.026838326759329068,-0.19647704150615816
KOSDAQ,10,DEV_2020_2022,38,0.34210526315789475,0.007361911226640538,0.12205781721507294,-0.19427810941999568,0.03852409541790114,0.4881342053049839,-0.08323592902460408,0.0623498002186611,0.5503950064788798,-0.1029051661715984,0.07404925508676996,0.555687744594074,-0.16748009115780393,0.04179473726282623,0.6921866698616813,-0.1003203287307477,-0.5701288526466084,-0.03443282603618569,-0.09395778068924798,-0.42833718926380693,-0.2040524645566974,-0.003270641844925093,0.017084399706143616,-0.06226080117389593
KOSDAQ_PLUS_KOSPI_EX_K200,10,DEV_2020_2022,38,0.39473684210526316,0.09002751219958238,0.8877609234278561,-0.09665742102294983,0.11143601037366446,1.2660493793563254,-0.0594225030027018,0.10412941034735712,0.8933613506318866,-0.07856876838822258,0.08365781110221326,0.6626718958765068,-0.13692890955686488,0.06016500093172805,0.9105009068498411,-0.08721308188926802,-0.02273998342198502,0.02986251126785433,-0.009444339133681812,-0.005600427204030534,0.35554847250648436,0.05127100944193641,0.02779057888656622,0.37268802872443885
KOSPI_ALL,10,DEV_2020_2022,38,0.3157894736842105,0.07642142426931553,0.9880569741987655,-0.04453892172691831,0.041995094690992385,0.7048713998864136,-0.043817584208613924,0.06099317878050936,0.7259931222571843,-0.0895003124757271,0.036058796735851883,0.3239703618703834,-0.1599196588328401,0.06767022488469565,1.0960360155768634,-0.04072532130981732,-0.10797904137809788,0.008751199384619879,-0.003813600417100993,0.2620638519415812,-0.3911646156904498,-0.025675130193703266,-0.003092262898796605,-0.0211217223707707
KOSPI_EX_K200,10,DEV_2020_2022,31,0.3870967741935484,0.12200662579866406,0.8465951656120759,-0.1614690142063434,0.011112685442817849,0.14922450195333004,-0.10381443591774864,0.0453559516325821,0.3507927080917705,-0.12611215302394962,0.15032465454196497,0.9243979510823265,-0.15626090277905935,0.08396506165713724,0.9867211233290786,-0.06475484058299597,-0.14012595771700265,0.03804156414152682,-0.09671417362334744,0.49580245752030544,-0.8374966213757485,-0.07285237621431939,-0.03905959533475267,-0.20156820613844045
KOSPI_KOSDAQ_ALL,10,DEV_2020_2022,38,0.42105263157894735,0.06820197999842015,0.5950849391205739,-0.1354693528881361,0.10538113167191776,1.2807527703928943,-0.056853393777283046,0.016710521961370572,0.20581130939964243,-0.11652306611350427,0.013603877707730527,0.1633239252171247,-0.21515963437670826,0.07521602370581149,1.229060716163908,-0.03081420934002388,-0.6339757770433341,-0.0070140437073913375,-0.10465514354811223,0.3892736297209315,0.05169205422898626,0.030165107966106275,-0.026039184437259166,1.074941460993252
K200,10,CONFIRM_2023_2024,24,0.4166666666666667,0.1341635346791079,1.0437294217334523,-0.10664775323370546,0.19770265588406954,1.3113290947554224,-0.039798938028367314,0.2158028591723602,1.3551617709733317,-0.045786127488813944,0.08638391054487315,0.6255001586025248,-0.11030842902551363,0.10812552676521658,1.4845132388569693,-0.03179925204880618,-0.440783817123517,0.026038007913891326,-0.07484850118489927,-0.3114323492398794,-0.17318414410154692,0.08957712911885296,-0.007999685979561133,-0.04383267621790932
KOSDAQ,10,CONFIRM_2023_2024,24,0.2916666666666667,0.1242721561447786,0.8566445831696508,-0.06728266197729893,0.1269496055034185,0.8785315726201886,-0.06728266197729893,0.23516939913186952,1.3733476487025087,-0.05184610210021068,0.03386334970952465,0.2536547586900637,-0.1608984015062217,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.315843678312804,0.08597555861285477,-0.0007137431954729045,-0.5167030655328579,0.3377306677633418,0.08865300797149467,-0.0007137431954729045,-0.49481607608232014
KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.20833333333333334,0.04392281441619095,0.6200647585555022,-0.07377209570159948,0.05021815335387991,0.8021400711969933,-0.07377209570159948,0.13912707340376973,1.1190966135389344,-0.07095301257926534,0.04323589844631659,0.2912046157744927,-0.2231980793066446,0.047218133811595786,0.751958283399789,-0.07377209570159937,-0.13189352484428674,-0.0032953193954048388,-1.1102230246251565e-16,-0.49903185498343217,0.05018178779720428,0.003000019542284127,-1.1102230246251565e-16,-0.31695654234194115
KOSPI_ALL,10,CONFIRM_2023_2024,24,0.375,0.18037233624519788,1.1705214747669126,-0.08158622346530986,0.11199868021006298,1.206218525210591,-0.0456253854310279,0.12598181829177468,1.211765868969174,-0.05362408238640681,0.16551456419249244,0.9790816979365301,-0.09439396459622496,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.08223026653197318,0.09519407259953461,-0.03523758924307785,-0.041244394202261336,-0.04653321608829475,0.026820416564399707,0.0007232487912041119,-0.005547343758582901
KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.32,-0.0018297282014301253,0.03220584405069534,-0.09368641019010382,0.021649624067423323,0.2886292749877096,-0.09368641019010393,0.016465275120095768,0.1942097754947539,-0.10683693949876238,0.06970557034852853,0.5213997571136906,-0.09630449269752706,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.45908720946358383,-0.04333129922095558,-0.017358842915464412,-0.16200393144405856,-0.20266377852656953,-0.01985194695210213,-0.017358842915464523,0.09441949949295572
KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.3333333333333333,0.20580776004023504,1.1614875228174188,-0.09628053249784196,0.026660192551784423,0.39236764048489137,-0.0885142287036339,0.0644109234100756,0.7309093491640566,-0.05159685757203647,0.09287949035047416,0.542313953449407,-0.1545711769416135,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.17476994273601187,0.11994485666967813,-0.041356511674061514,0.43057817365336226,-0.9438898250685394,-0.059202710818772486,-0.03359020787985345,-0.3385417086791652
K200,10,BULL_2025,12,0.25,0.1619135289029794,1.0176859410788135,-0.10824687787021003,0.1927385752627555,1.67763429380122,-0.06198041966511103,0.2574371079263844,1.528315834957869,-0.06273041966511106,-0.014266671866135727,0.05587498161978565,-0.19112445067483808,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.9739658832097364,-0.08237508862115184,-0.046266458205099004,-0.5106298938790554,-0.31401753048732983,-0.05155004226137572,0.0,0.14931845884335115
KOSDAQ,10,BULL_2025,12,0.16666666666666666,0.07933662106712625,0.8482920846555573,-0.03327014234491421,0.15298273679006358,1.5535448329508177,-0.03327014234491421,-0.005103759239908023,-0.002319989206041257,-0.06335759656202722,0.024431939209602405,0.22820199297134283,-0.08818350176781087,0.11958291186537218,1.2571306378429388,-0.04204034533001999,-0.4088385531873815,-0.04024629079824593,0.00877020298510578,0.8506120738615985,0.2964141951078789,0.0333998249246914,0.00877020298510578,1.555864822156859
KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,12,0.08333333333333333,0.08354942248933717,1.1039402452715652,-0.024328852993387606,0.1028311258959036,1.3257631637348943,-0.024328852993387495,0.008320219109216431,0.12436279653117503,-0.09614575772207057,0.1879685527309396,1.7141242224588775,-0.02175889825649102,0.12347214370878823,1.476147799073752,-0.024328852993387606,-0.37220755380218673,-0.03992272121945106,0.0,0.9795774487403902,-0.1503846353388576,-0.020641017812884632,1.1102230246251565e-16,1.2014003672037192
KOSPI_ALL,10,BULL_2025,12,0.3333333333333333,0.04404997257025989,0.3644931332502429,-0.12439967336747348,0.14636294816244488,1.621728857929046,-0.06227356981760579,0.19206645023226154,1.4259188098570226,-0.078570083177816,-0.07037788915149301,-0.3991942381015509,-0.17442321834083452,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-1.7708155683543545,-0.14637240115120864,-0.07858379273091864,-1.0614256766067798,-0.5135798436755512,-0.044059425559023646,-0.01645768918105095,0.1958100480720235
KOSPI_EX_K200,10,BULL_2025,12,0.4166666666666667,0.06620291245237553,0.6283646361420588,-0.06691542821680474,0.20476972730557352,2.2029978745033225,-0.015025759494962543,0.2345855148840208,2.1751751190453423,-0.02715784093712159,0.11493887653032431,0.8432143402806535,-0.06666542821680466,0.11789481425423265,1.9141659111911096,-0.02180019878037376,-1.2858012750490508,-0.05169190180185712,-0.04511522943643098,-1.5468104829032834,0.28883196331221295,0.08687491305134087,0.006774439285411216,0.027822755457980186
KOSPI_KOSDAQ_ALL,10,BULL_2025,12,0.16666666666666666,0.15749787341500476,1.6108136368761934,-0.03545141869612056,0.1712644995736914,1.9379266916447468,-0.03545141869612045,0.12150434046302161,1.1681812181980986,-0.05294983567867606,0.08601712706377662,0.5901966544592708,-0.11551885240464732,0.1745871114015647,2.0228076610380294,-0.03545141869612045,-0.41199402416183606,-0.017089237986559924,-1.1102230246251565e-16,0.4426324186780948,-0.0848809693932826,-0.0033226118278733008,0.0,0.7697454734466482
K200,10,YTD_2026,4,0.25,0.5173424201348433,3.6680603275342176,0.0,0.314384454336875,2.1045287096867384,-0.006219085991158391,0.6015225986614341,2.108472885880124,-0.033540880876144596,0.0438523780383111,0.2684320976377601,-0.04611875425348233,0.44758800968263035,3.218589932676514,0.0,0.4494703948577037,0.06975441045221298,0.0,1.5595874416540938,-1.1140612229897755,-0.13320355534575534,-0.006219085991158391,-0.003944176193385385
KOSDAQ,10,YTD_2026,4,0.25,0.31014549305616956,2.26722837341162,-0.020432554883436538,0.3666957964689572,3.064243761249627,-0.007202944692863089,0.4203190836142192,2.0079739550358955,-0.0072029446928632,0.7491292455441254,2.624401129219566,-0.020182554883436454,0.35271358515920936,2.8047603829741363,-0.01114308345845183,-0.5375320095625162,-0.0425680921030398,-0.009289471424984708,0.2592544183757246,0.25948337827549084,0.01398221130974786,0.003940138765588741,1.0562698062137317
KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,4,0.25,0.27699150435538256,2.9076846821695117,-0.00902802080580345,0.3292623125165508,4.180021569237162,0.0,0.3261665248669403,4.119868586616914,0.0,0.6680134638598176,3.0245204737189693,-0.008778020805803366,0.2828730582623422,2.96081382296115,-0.008290406828556196,-0.05312914079163811,-0.005881553906959658,-0.0007376139772472534,-1.2121839044474019,1.2192077462760125,0.04638925425420859,0.008290406828556196,0.06015298262024871
KOSPI_ALL,10,YTD_2026,4,0.25,0.4229630551889354,3.3419213227164013,-0.0010997618702287548,0.1720543030191619,1.0962483185226806,-0.03373932060556406,0.7075009006391944,2.2908846330390773,-0.03292549399772493,0.34700379099468237,1.4628975049749167,-0.04003281763822175,0.3373222096968975,2.5834806921651743,-0.0010997618702287548,0.758440630551227,0.08564084549203788,0.0,1.051036689677324,-1.4872323736424937,-0.1652679066777356,-0.032639558735335306,-1.1946363145163967
KOSPI_EX_K200,10,YTD_2026,4,0.25,0.09654335863332042,0.8261720228732867,-0.0377797457334208,0.09654335863332042,0.8261720228732867,-0.0377797457334208,0.40604497113053495,2.07356338064404,-0.0226378972567437,0.3402963629475211,1.3928405913826902,-0.0517033849306453,0.09628607605010986,0.8131294328196278,-0.03853855760883207,0.013042590053658931,0.00025728258321056074,0.0007588118754112694,-1.2473913577707532,0.013042590053658931,0.00025728258321056074,0.0007588118754112694,-1.2473913577707532
KOSPI_KOSDAQ_ALL,10,YTD_2026,4,0.25,0.35833126576954144,3.7597349352401985,0.0,0.45608143417103264,6.089154750990783,0.0,0.14958046845837836,1.3058476856870314,-0.02674119381565465,-0.0891806002366784,-1.911331306591561,-0.027241193815654707,0.3575104971599006,3.6521409812900503,-0.0002378172667306666,0.10759395395014826,0.0008207686096408651,0.0002378172667306666,2.4538872495531674,2.437013769700733,0.09857093701113206,0.0002378172667306666,4.7833070653037515
K200,30,DEV_2020_2022,38,0.3157894736842105,-0.0007155200955950569,0.03252708338113972,-0.0811436229896717,0.006645572477080197,0.11584930733014533,-0.08966109222424845,0.025402390585092194,0.26109020636524566,-0.20617060016814615,0.0048417340188671165,0.10588719962320403,-0.14160561064803034,0.06827132347523568,0.9215249775433709,-0.06132276546491944,-0.8889978941622312,-0.06898684357083074,-0.019820857524752267,-0.22856312298410594,-0.8056756702132256,-0.06162575099815548,-0.028338326759329013,-0.14524089903510035
KOSDAQ,30,DEV_2020_2022,38,0.34210526315789475,-0.0031447590023881977,0.02967721443432202,-0.19814411007160493,0.027750936612495725,0.3645027202288868,-0.09567147898686157,0.04346273880160245,0.40242816575792223,-0.11559458786152976,0.05538682304663811,0.4366446926162872,-0.17844771537798654,0.041450262265989135,0.6867871598105947,-0.10032032873074759,-0.6571099453762727,-0.04459502126837733,-0.09782378134085734,-0.3727509513236002,-0.3222844395817079,-0.01369932565349341,0.004648849743886019,-0.03792544552903543
KOSDAQ_PLUS_KOSPI_EX_K200,30,DEV_2020_2022,38,0.39473684210526316,0.0761061166533421,0.7627021446023675,-0.10217808662368777,0.10014565490741267,1.14604282809445,-0.06226574361263093,0.0842907686558314,0.7391583749759177,-0.08240728005055253,0.06418430391562713,0.527831538433129,-0.13970052109081565,0.05981285107347367,0.905060457419607,-0.08721308188926813,-0.14235831281723943,0.016293265579868432,-0.01496500473441964,0.023543769626449773,0.24098237067484296,0.040332803833939,0.0249473382766372,0.40688445311853216
KOSPI_ALL,30,DEV_2020_2022,38,0.3157894736842105,0.06515213263205522,0.8562876958510327,-0.048853205528295085,0.036149615797679724,0.6117754700382153,-0.04669570668150169,0.04584641113570509,0.5592338467250699,-0.09370346124486051,0.016065493153516464,0.1831180873891387,-0.16450986057543715,0.0673225288250745,1.0918942969137404,-0.04072532130981732,-0.2356066010627077,-0.002170396193019286,-0.008127884218477766,0.2970538491259628,-0.4801188268755251,-0.031172913027394777,-0.0059703853716843724,0.05254162331314538
KOSPI_EX_K200,30,DEV_2020_2022,31,0.3870967741935484,0.1074626222906847,0.7605497264612959,-0.1654538485135555,0.0003136628727269386,0.07744106573758187,-0.10525683076770531,0.028895580923880226,0.2545604740732039,-0.1324569578937128,0.13054641090613894,0.8185934408577784,-0.16814657336216587,0.08352209351311046,0.9812761219459062,-0.06475484058299597,-0.22072639548461026,0.023940528777574244,-0.10069900793055953,0.505989252388092,-0.9038350562083243,-0.08320843064038352,-0.04050199018470935,-0.17711940833562206
