universe,cost_bps,period,n_rebalances,permission_share,liq_top2_gate_cagr,liq_top2_gate_sharpe,liq_top2_gate_mdd,persist_liq_gate_cagr,persist_liq_gate_sharpe,persist_liq_gate_mdd,persist_only_cagr,persist_only_sharpe,persist_only_mdd,top2_cagr,top2_sharpe,top2_mdd,ew8_cagr,ew8_sharpe,ew8_mdd,liq_top2_gate_delta_sharpe_vs_ew8,liq_top2_gate_delta_cagr_vs_ew8,liq_top2_gate_delta_mdd_vs_ew8,liq_top2_gate_delta_sharpe_vs_persist,persist_liq_gate_delta_sharpe_vs_ew8,persist_liq_gate_delta_cagr_vs_ew8,persist_liq_gate_delta_mdd_vs_ew8,persist_liq_gate_delta_sharpe_vs_persist
K200,0,DEV_2020_2022,38,0.3157894736842105,0.017245985171670863,0.24152160445682028,-0.06132276546491933,0.020699637060105802,0.255414980022588,-0.08741109222424848,0.053548671758540944,0.47797830729089286,-0.1771602441711464,0.032670774411281744,0.28377043965786075,-0.13180222196697777,0.06879329409688362,0.9271017088753126,-0.061322765464919105,-0.6855801044184924,-0.051547308925212754,-2.220446049250313e-16,-0.23645670283407258,-0.6716867288527246,-0.048093657036777815,-0.026088326759329372,-0.22256332726830486
KOSDAQ,0,DEV_2020_2022,38,0.34210526315789475,0.012650501626644273,0.16836691342389692,-0.19234046550499484,0.043946635303787174,0.5497761210014882,-0.0769615469813838,0.07190919847223709,0.6250858244919854,-0.09650063006505116,0.08349194710304131,0.6152740599473255,-0.16194896393500946,0.04196688868988119,0.6948641799186976,-0.1003203287307477,-0.5264972664948007,-0.029316387063236915,-0.09202013677424714,-0.45671891106808843,-0.14508805891720944,0.001979746613905986,0.0233587817493639,-0.07530970349049715
KOSDAQ_PLUS_KOSPI_EX_K200,0,DEV_2020_2022,38,0.39473684210526316,0.09704788927783792,0.9500477599961722,-0.09388756198493098,0.11711819913572796,1.32567875254618,-0.05799926880787687,0.11417215116878188,0.9704914120011073,-0.07664651255705768,0.09351506458952596,0.7299419985067269,-0.13554160378988944,0.060340987470224317,0.9131977683193486,-0.08721308188926824,0.03684999167682357,0.0367069018076136,-0.006674480095662738,-0.020443652004935142,0.4124809842268313,0.056777211665503646,0.02921381308139137,0.3551873405450726
KOSPI_ALL,0,DEV_2020_2022,38,0.3157894736842105,0.08209441943764784,1.0529425254278104,-0.04237689751121332,0.04492695357171894,0.7510534506653144,-0.04237689751121343,0.06863959528560493,0.809250037448678,-0.08739405986491733,0.04618925709060262,0.39406706339106023,-0.1576972702241317,0.06784398735064134,1.0980679005285914,-0.04072532130981743,-0.04512537510078096,0.014250432087006493,-0.001651576201395888,0.24369248797913245,-0.347014449863277,-0.022917033778922402,-0.001651576201395999,-0.05819658678336359
KOSPI_EX_K200,0,DEV_2020_2022,31,0.3870967741935484,0.12934189744905167,0.8893280120678932,-0.1594718561680576,0.016549813396715907,0.18498417696200797,-0.10309323849277052,0.05367433873405658,0.3990122937992549,-0.1229268085224745,0.16033114286904793,0.9773542447977174,-0.1502623011395613,0.08418644663110508,0.9894260487380767,-0.06475484058299585,-0.10009803667018347,0.045155450817946585,-0.09471701558506174,0.49031571826863835,-0.8044418717760687,-0.06763663323438918,-0.03833839790977467,-0.21402811683724693
KOSPI_KOSDAQ_ALL,0,DEV_2020_2022,38,0.42105263157894735,0.07598393838266593,0.6539360101142756,-0.13278002300930059,0.10956163879781666,1.325729821576129,-0.05540356937458413,0.02537169351652624,0.2848197311058508,-0.11113239271573383,0.022858651921169537,0.22014881101303815,-0.21264806282555215,0.07539231049923023,1.231490309029853,-0.0308142093400241,-0.5775542989155774,0.0005916278834356969,-0.10196581366927648,0.3691162790084248,0.09423951254627605,0.03416932829858643,-0.024589360034560026,1.0409100904702782
K200,0,CONFIRM_2023_2024,24,0.4166666666666667,0.14172037992400943,1.0964893855513695,-0.10457963484086363,0.2042155273069306,1.3479159571304546,-0.039048938028367286,0.22543745695742157,1.4075589716310777,-0.044675506951512345,0.09689955473524803,0.6897617652054854,-0.10711412614167382,0.10812552676521658,1.4845132388569693,-0.03179925204880618,-0.38802385330559974,0.03359485315879285,-0.07278038279205745,-0.31106958607970814,-0.13659728172651464,0.09609000054171402,-0.007249685979561105,-0.05964301450062304
KOSDAQ,0,CONFIRM_2023_2024,24,0.2916666666666667,0.13008247796090133,0.889647999527404,-0.06656891878182591,0.13101490295594176,0.9013642733052498,-0.06656891878182591,0.24602991170212274,1.4262450566298162,-0.04847920390838156,0.04440735746819824,0.30240744461305163,-0.14939917588656715,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.3488470946705573,0.0917858804289775,1.1102230246251565e-16,-0.5365970571024121,0.3605633684484031,0.09271830542401793,1.1102230246251565e-16,-0.5248807833245663
KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.20833333333333334,0.047995135045553194,0.6694942814935181,-0.07377209570159937,0.05267948750414675,0.8366045345342825,-0.07377209570159948,0.14909711858374886,1.1910531990800297,-0.06995301257926545,0.0525242265289505,0.3309777027451042,-0.2136566862423641,0.047218133811595786,0.751958283399789,-0.07377209570159937,-0.0824640019062709,0.0007770012339574084,0.0,-0.5215589175865116,0.08464625113449353,0.005461353692550963,-1.1102230246251565e-16,-0.3544486645457472
KOSPI_ALL,0,CONFIRM_2023_2024,24,0.375,0.18741577593938574,1.2095525395320634,-0.07878978857971008,0.11574342855717679,1.2396508521342222,-0.0456253854310279,0.13453466883101028,1.2892971079293531,-0.0497990068039873,0.17608548338274388,1.0309319266032486,-0.09116905875511094,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.04319920176682235,0.10223751229372247,-0.032441154357478075,-0.07974456839728972,-0.013100889164663565,0.03056516491151351,0.0007232487912041119,-0.049646255795130934
