date,universe,eval_year,liquidity_score,persist_score,train_l67,permission,persist_action,liq_top2_gate_gross,liq_top2_gate_w_MOM1M,liq_top2_gate_w_MOM12_1,liq_top2_gate_w_OP12_REV,liq_top2_gate_w_OPFY1_REV,liq_top2_gate_w_PBR12MF,liq_top2_gate_w_PER12MF,liq_top2_gate_w_PRIVATE_FLOW,liq_top2_gate_w_FOREIGN_FLOW,persist_liq_gate_gross,persist_liq_gate_w_MOM1M,persist_liq_gate_w_MOM12_1,persist_liq_gate_w_OP12_REV,persist_liq_gate_w_OPFY1_REV,persist_liq_gate_w_PBR12MF,persist_liq_gate_w_PER12MF,persist_liq_gate_w_PRIVATE_FLOW,persist_liq_gate_w_FOREIGN_FLOW,persist_only_gross,persist_only_w_MOM1M,persist_only_w_MOM12_1,persist_only_w_OP12_REV,persist_only_w_OPFY1_REV,persist_only_w_PBR12MF,persist_only_w_PER12MF,persist_only_w_PRIVATE_FLOW,persist_only_w_FOREIGN_FLOW,top2_gross,top2_w_MOM1M,top2_w_MOM12_1,top2_w_OP12_REV,top2_w_OPFY1_REV,top2_w_PBR12MF,top2_w_PER12MF,top2_w_PRIVATE_FLOW,top2_w_FOREIGN_FLOW,ew8_gross,ew8_w_MOM1M,ew8_w_MOM12_1,ew8_w_OP12_REV,ew8_w_OPFY1_REV,ew8_w_PBR12MF,ew8_w_PER12MF,ew8_w_PRIVATE_FLOW,ew8_w_FOREIGN_FLOW,cost_bps,liq_top2_gate_turnover,liq_top2_gate_ret,persist_liq_gate_turnover,persist_liq_gate_ret,persist_only_turnover,persist_only_ret,top2_turnover,top2_ret,ew8_turnover,ew8_ret
2020-01-03,K200,2020,-0.20395017308263289,0.1572162729499817,0.14576490636912495,False,EW8,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.06448953891975705,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.018919013308884847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.5,0.018919013308884847,0.5,0.018919013308884847,0.5,0.018919013308884847,0.5,0.06448953891975705,0.5,0.018919013308884847
2020-02-04,K200,2020,0.04502836323993872,-0.40717490268446077,0.14576490636912495,False,BOTTOM2,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0316726403346868,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0242069170561192,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.015262968795943337,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.015262968795943337,0.0,-0.015262968795943337,0.75,-0.0316726403346868,0.5,-0.0242069170561192,0.0,-0.015262968795943337
2020-03-03,K200,2020,-0.12566529689573733,0.5380164029663516,0.14576490636912495,False,TOP2,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03191322196619715,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.012425918179522412,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.012425918179522412,0.0,-0.012425918179522412,1.0,0.03191322196619715,1.0,0.03191322196619715,0.0,-0.012425918179522412
2020-03-31,K200,2020,-0.5873198312077272,-0.20486837175693398,0.14576490636912495,False,BOTTOM2,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.08625354207575425,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0954411292816823,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.01775432805667497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.01775432805667497,0.0,-0.01775432805667497,1.0,0.08625354207575425,0.5,-0.0954411292816823,0.0,-0.01775432805667497
2020-04-29,K200,2020,0.3468570859222299,-0.8142216348424872,0.14576490636912495,True,BOTTOM2,-0.01430144682540535,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.02388649049848575,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02388649049848575,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.01430144682540535,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0179769002723153,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.01430144682540535,0.75,0.02388649049848575,1.0,0.02388649049848575,1.0,-0.01430144682540535,0.0,0.0179769002723153
2020-06-01,K200,2020,-0.48313944444593765,0.6924151693840039,0.14576490636912495,False,TOP2,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.04823952027364905,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.04823952027364905,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.02129135968113364,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.02129135968113364,0.75,0.02129135968113364,0.5,0.04823952027364905,1.0,0.04823952027364905,0.0,0.02129135968113364
2020-06-29,K200,2020,0.4847228361844826,-0.5972332597493049,0.14576490636912495,True,BOTTOM2,0.053646524683585606,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.0046199949432072,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.0046199949432072,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.053646524683585606,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.023294878296217,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.053646524683585606,0.75,-0.0046199949432072,1.0,-0.0046199949432072,0.5,0.053646524683585606,0.0,0.023294878296217
2020-07-27,K200,2020,-1.0522177639781112,0.8015433854306405,0.14576490636912495,False,TOP2,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0346620030185723,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.002922272730150586,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.002922272730150586,0.75,0.002922272730150586,1.0,0.0346620030185723,0.0,0.0346620030185723,0.0,0.002922272730150586
2020-08-25,K200,2020,0.16385193790958044,-0.08639709707867486,0.14576490636912495,True,EW8,-0.01855113289181795,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.01855113289181795,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0009424384186942254,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.01855113289181795,0.0,0.0009424384186942254,0.75,0.0009424384186942254,1.0,-0.01855113289181795,0.0,0.0009424384186942254
2020-09-22,K200,2020,0.0380225581139095,-0.06596295857307848,0.14576490636912495,False,EW8,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.11433706517410794,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.036051607814026165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.036051607814026165,0.0,0.036051607814026165,0.0,0.036051607814026165,1.0,0.11433706517410794,0.0,0.036051607814026165
