date,universe,eval_year,liquidity_score,persist_score,train_l67,permission,persist_action,liq_top2_gate_gross,liq_top2_gate_w_MOM1M,liq_top2_gate_w_MOM12_1,liq_top2_gate_w_OP12_REV,liq_top2_gate_w_OPFY1_REV,liq_top2_gate_w_PBR12MF,liq_top2_gate_w_PER12MF,liq_top2_gate_w_PRIVATE_FLOW,liq_top2_gate_w_FOREIGN_FLOW,persist_liq_gate_gross,persist_liq_gate_w_MOM1M,persist_liq_gate_w_MOM12_1,persist_liq_gate_w_OP12_REV,persist_liq_gate_w_OPFY1_REV,persist_liq_gate_w_PBR12MF,persist_liq_gate_w_PER12MF,persist_liq_gate_w_PRIVATE_FLOW,persist_liq_gate_w_FOREIGN_FLOW,persist_only_gross,persist_only_w_MOM1M,persist_only_w_MOM12_1,persist_only_w_OP12_REV,persist_only_w_OPFY1_REV,persist_only_w_PBR12MF,persist_only_w_PER12MF,persist_only_w_PRIVATE_FLOW,persist_only_w_FOREIGN_FLOW,top2_gross,top2_w_MOM1M,top2_w_MOM12_1,top2_w_OP12_REV,top2_w_OPFY1_REV,top2_w_PBR12MF,top2_w_PER12MF,top2_w_PRIVATE_FLOW,top2_w_FOREIGN_FLOW,ew8_gross,ew8_w_MOM1M,ew8_w_MOM12_1,ew8_w_OP12_REV,ew8_w_OPFY1_REV,ew8_w_PBR12MF,ew8_w_PER12MF,ew8_w_PRIVATE_FLOW,ew8_w_FOREIGN_FLOW,cost_bps,liq_top2_gate_turnover,liq_top2_gate_ret,persist_liq_gate_turnover,persist_liq_gate_ret,persist_only_turnover,persist_only_ret,top2_turnover,top2_ret,ew8_turnover,ew8_ret
2020-10-26,K200,2020,0.03946713218364928,-0.6160838781019317,0.14576490636912495,False,BOTTOM2,-0.001627153254005075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.001627153254005075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0169012594785156,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.017896552121336447,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.001627153254005075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.001627153254005075,0.0,-0.001627153254005075,0.75,-0.0169012594785156,0.0,-0.017896552121336447,0.0,-0.001627153254005075
2020-11-23,K200,2020,0.004007857289910155,0.4054316162537167,0.14576490636912495,False,TOP2,-0.016218156840713836,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.016218156840713836,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.004094464273265649,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-0.004094464273265649,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,-0.016218156840713836,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.016218156840713836,0.0,-0.016218156840713836,1.0,-0.004094464273265649,1.0,-0.004094464273265649,0.0,-0.016218156840713836
2020-12-21,K200,2020,0.24906227468878905,-0.651342652333063,0.14576490636912495,True,BOTTOM2,0.025812552730475648,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.04535389998882885,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.04535389998882885,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.025812552730475648,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03760401269239955,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.025812552730475648,0.75,0.04535389998882885,1.0,0.04535389998882885,0.5,0.025812552730475648,0.0,0.03760401269239955
2021-01-21,K200,2021,0.22323115467005247,-0.17095932507369774,0.38896973567203563,False,EW8,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0144246580967247,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.017148781788745675,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.017148781788745675,0.75,0.017148781788745675,0.75,0.017148781788745675,1.0,0.0144246580967247,0.0,0.017148781788745675
2021-02-22,K200,2021,0.41790667097103135,-0.39955990388299145,0.38896973567203563,True,BOTTOM2,-0.015163493720421549,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,-0.0874110922242485,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0874110922242485,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.015163493720421549,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.006359378872173923,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.015163493720421549,0.75,-0.0874110922242485,0.75,-0.0874110922242485,0.5,-0.015163493720421549,0.0,0.006359378872173923
2021-03-23,K200,2021,0.707424380997555,-1.2316732637806775,0.38896973567203563,True,BOTTOM2,-0.0052659956587285,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0449774793691719,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0449774793691719,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0052659956587285,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.008109179183691312,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,1.0,-0.0052659956587285,0.0,0.0449774793691719,0.0,0.0449774793691719,1.0,-0.0052659956587285,0.0,0.008109179183691312
2021-04-20,K200,2021,-0.7096639922249907,0.8635911628605578,0.38896973567203563,False,TOP2,0.025195058149147017,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.025195058149147017,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.015274732573076499,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.015274732573076499,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.025195058149147017,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.025195058149147017,0.75,0.025195058149147017,0.5,-0.015274732573076499,1.0,-0.015274732573076499,0.0,0.025195058149147017
2021-05-20,K200,2021,0.8160466773742093,-0.041532961844849954,0.38896973567203563,True,EW8,-0.03271661367937945,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.03271661367937945,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-0.02524736458112404,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.03271661367937945,0.0,-0.02524736458112404,0.75,-0.02524736458112404,1.0,-0.03271661367937945,0.0,-0.02524736458112404
2021-06-17,K200,2021,0.37288555556812125,0.37104391312175417,0.38896973567203563,False,TOP2,7.555546077500077e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,7.555546077500077e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0314777164384353,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.0314777164384353,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,7.555546077500077e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,7.555546077500077e-05,0.0,7.555546077500077e-05,0.75,-0.0314777164384353,0.5,-0.0314777164384353,0.0,7.555546077500077e-05
2021-07-15,K200,2021,0.6178844239761336,0.1867967431040736,0.38896973567203563,True,TOP2,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.0266076903329167,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.01190387883342035,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.0266076903329167,0.75,-0.0266076903329167,1.0,-0.0266076903329167,1.0,-0.0266076903329167,0.0,-0.01190387883342035
2021-08-12,K200,2021,-0.8726641005010346,0.05604486933728251,0.38896973567203563,False,EW8,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0286160721310002,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.020209795020453863,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.020209795020453863,0.75,0.020209795020453863,0.75,0.020209795020453863,1.0,0.0286160721310002,0.0,0.020209795020453863
2021-09-10,K200,2021,0.6312009936240442,0.4991432033700128,0.38896973567203563,True,TOP2,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0159531381683659,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.017698228383683574,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.0159531381683659,0.75,0.0159531381683659,0.75,0.0159531381683659,0.5,0.0159531381683659,0.0,0.017698228383683574
2021-10-15,K200,2021,0.2497667392319066,0.6077406186892569,0.38896973567203563,False,TOP2,0.016210859802032015,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.016210859802032015,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0524173278463052,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0524173278463052,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.016210859802032015,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.016210859802032015,0.75,0.016210859802032015,0.5,0.0524173278463052,0.5,0.0524173278463052,0.0,0.016210859802032015
2021-11-12,K200,2021,0.2023827163765334,-0.44961062010121333,0.38896973567203563,False,BOTTOM2,0.007041963375958238,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.007041963375958238,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.007221662417580899,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.02186548473957305,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.007041963375958238,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.007041963375958238,0.0,0.007041963375958238,1.0,-0.007221662417580899,0.5,0.02186548473957305,0.0,0.007041963375958238
2021-12-10,K200,2021,1.0051122920906599,0.25671333638742777,0.38896973567203563,True,TOP2,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.03575623643601235,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.013339044996971812,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.03575623643601235,0.75,-0.03575623643601235,1.0,-0.03575623643601235,0.5,-0.03575623643601235,0.0,0.013339044996971812
2022-01-10,K200,2022,-1.1383626857446558,-0.978384217218993,0.39333774471138544,False,BOTTOM2,0.020908325931113275,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.020908325931113275,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.004799576103785001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0533721326882903,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.020908325931113275,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.020908325931113275,0.75,0.020908325931113275,0.5,-0.004799576103785001,1.0,0.0533721326882903,0.0,0.020908325931113275
2022-02-10,K200,2022,-0.21989828081863982,0.01570917879291447,0.39333774471138544,False,EW8,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.008759659769480099,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0044790966604926,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.0044790966604926,0.0,0.0044790966604926,0.75,0.0044790966604926,0.5,0.008759659769480099,0.0,0.0044790966604926
2022-03-14,K200,2022,-0.345304563438156,0.46525226931557656,0.39333774471138544,False,TOP2,-0.009461464874911223,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.009461464874911223,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.046366808486798194,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.046366808486798194,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.009461464874911223,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.009461464874911223,0.0,-0.009461464874911223,0.75,-0.046366808486798194,1.0,-0.046366808486798194,0.0,-0.009461464874911223
2022-04-11,K200,2022,0.9372239488880628,-0.6242228390816342,0.39333774471138544,True,BOTTOM2,0.012725670223835101,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.015871606433036152,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.015871606433036152,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.012725670223835101,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.016008551354133437,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.012725670223835101,0.75,0.015871606433036152,0.5,0.015871606433036152,1.0,0.012725670223835101,0.0,0.016008551354133437
2022-05-10,K200,2022,-1.4633508667346045,0.5783241751624496,0.39333774471138544,False,TOP2,-0.009271114295005874,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.009271114295005874,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.00019251703632199978,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.00019251703632199978,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,-0.009271114295005874,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.009271114295005874,0.75,-0.009271114295005874,1.0,0.00019251703632199978,1.0,0.00019251703632199978,0.0,-0.009271114295005874
2022-06-09,K200,2022,-0.02189579332730318,0.37023868927411685,0.39333774471138544,False,TOP2,-0.02806187381202224,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.02806187381202224,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0546416069031812,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.0546416069031812,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.02806187381202224,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.02806187381202224,0.0,-0.02806187381202224,0.5,-0.0546416069031812,0.5,-0.0546416069031812,0.0,-0.02806187381202224
2022-07-07,K200,2022,1.1518919244631698,-0.48524699343534333,0.39333774471138544,True,BOTTOM2,-0.009437333774218949,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,-0.0027957644733025994,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.0027957644733025994,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.009437333774218949,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,-0.006744831085181311,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,-0.009437333774218949,0.75,-0.0027957644733025994,0.0,-0.0027957644733025994,1.0,-0.009437333774218949,0.0,-0.006744831085181311
2022-08-04,K200,2022,-0.8794929108134705,0.051147863242363534,0.39333774471138544,False,EW8,0.050732283247734794,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.050732283247734794,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.050732283247734794,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.07442313782208605,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.050732283247734794,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.75,0.050732283247734794,0.75,0.050732283247734794,0.75,0.050732283247734794,1.0,0.07442313782208605,0.0,0.050732283247734794
2022-09-02,K200,2022,0.24269381576614882,0.8124443119894061,0.39333774471138544,False,TOP2,0.04253081650591796,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.04253081650591796,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.058507747641093094,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.058507747641093094,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.04253081650591796,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.04253081650591796,0.0,0.04253081650591796,0.75,0.058507747641093094,0.5,0.058507747641093094,0.0,0.04253081650591796
2022-10-05,K200,2022,-0.052561123167729505,-0.1069273712375283,0.39333774471138544,False,EW8,-0.0015269642431666001,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0015269642431666001,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0015269642431666001,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0017441222998095004,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.0015269642431666001,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.0015269642431666001,0.0,-0.0015269642431666001,0.75,-0.0015269642431666001,0.5,0.0017441222998095004,0.0,-0.0015269642431666001
2022-11-03,K200,2022,-0.6147741747434707,0.5351860070187037,0.39333774471138544,False,TOP2,-0.04475926302054481,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.04475926302054481,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.0252675113629703,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.0252675113629703,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.04475926302054481,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,-0.04475926302054481,0.0,-0.04475926302054481,0.75,-0.0252675113629703,0.5,-0.0252675113629703,0.0,-0.04475926302054481
2022-12-01,K200,2022,0.12182819047764588,-0.9212077176181891,0.39333774471138544,False,BOTTOM2,0.014646853989867075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.014646853989867075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,-0.007335016119923501,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,-0.0377405811332588,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.014646853989867075,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,0.0,0.014646853989867075,0.0,0.014646853989867075,1.0,-0.007335016119923501,0.5,-0.0377405811332588,0.0,0.014646853989867075
