policy,phase,return_type,period,n_days,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure,share_half_or_less,share_zero
ALWAYS_100,0,GROSS,TRAIN_2016_2022,1721,0.1734857421668321,0.7884943632902308,-0.47226832174851785,13.784182403091709,0.0,1.0,0.0,0.0
ALWAYS_100,0,GROSS,OOS_2023_2024,489,0.12810978530734052,0.6557660766516209,-0.27579122316988514,14.502080022677513,0.0,1.0,0.0,0.0
ALWAYS_100,0,GROSS,PRE_STRESS_2016_2024,2210,0.16329081598865036,0.7606287996711807,-0.47226832174851785,13.94302943294576,0.0,1.0,0.0,0.0
ALWAYS_100,0,GROSS,BULL_2025,242,0.9006860888066037,2.799932782796519,-0.15642183111804875,15.43928951746391,0.0,1.0,0.0,0.0
ALWAYS_100,0,GROSS,YTD_2026,147,-0.20851836653205524,-0.14951947952937264,-0.47011298155193315,14.90653993518705,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET30,TRAIN_2016_2022,1721,0.12590737816360975,0.6150102163451031,-0.48876542211433927,13.784182403091709,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET30,OOS_2023_2024,489,0.08003783752755811,0.4598933647761148,-0.2887058901707692,14.502080022677513,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET30,PRE_STRESS_2016_2024,2210,0.11559296314671119,0.5826080449934579,-0.48876542211433927,13.94302943294576,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET30,BULL_2025,242,0.8145765005179046,2.6067260864815722,-0.1633441550533168,15.43928951746391,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET30,YTD_2026,147,-0.24316719282894528,-0.22980732760290692,-0.47587136459334634,14.90653993518705,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET60,TRAIN_2016_2022,1721,0.08017841207777643,0.44155998992052614,-0.5047741859259194,13.784182403091709,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET60,OOS_2023_2024,489,0.03392902677783516,0.2626101934684026,-0.3014122583357083,14.502080022677513,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET60,PRE_STRESS_2016_2024,2210,0.06976988168583631,0.4043617475574268,-0.5047741859259194,13.94302943294576,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET60,BULL_2025,242,0.7322119151259687,2.4099836343584156,-0.1712905573526492,15.43928951746391,0.0,1.0,0.0,0.0
ALWAYS_100,0,NET60,YTD_2026,147,-0.27636405310110335,-0.30984102617604276,-0.4815776143082452,14.90653993518705,0.0,1.0,0.0,0.0
ALWAYS_100,1,GROSS,TRAIN_2016_2022,1720,0.1512572640158787,0.7094458991121315,-0.4341374498287187,13.68654123770473,0.0,1.0,0.0,0.0
ALWAYS_100,1,GROSS,OOS_2023_2024,489,0.03640879214247983,0.2733470540630679,-0.3017970566599866,14.78893581688672,0.0,1.0,0.0,0.0
ALWAYS_100,1,GROSS,PRE_STRESS_2016_2024,2209,0.12478340663122922,0.6181852250522639,-0.4341374498287187,13.930575166731435,0.0,1.0,0.0,0.0
ALWAYS_100,1,GROSS,BULL_2025,242,0.6893724975679443,2.336518360120759,-0.1920654767085076,16.032199080758268,0.0,1.0,0.0,0.0
ALWAYS_100,1,GROSS,YTD_2026,147,-0.07199047233026434,0.15138001789338906,-0.446096060298655,15.184091909637695,0.0,1.0,0.0,0.0
ALWAYS_100,1,NET30,TRAIN_2016_2022,1720,0.10490414258013114,0.5371211428553682,-0.45124648802237244,13.68654123770473,0.0,1.0,0.0,0.0
ALWAYS_100,1,NET30,OOS_2023_2024,489,-0.008610166589747004,0.07356339315358132,-0.3159570760168873,14.78893581688672,0.0,1.0,0.0,0.0
ALWAYS_100,1,NET30,PRE_STRESS_2016_2024,2209,0.07870478690530991,0.4400833492345561,-0.45124648802237244,13.930575166731435,0.0,1.0,0.0,0.0
ALWAYS_100,1,NET30,BULL_2025,242,0.6099660553707629,2.1362319083641093,-0.2003933648972933,16.032199080758268,0.0,1.0,0.0,0.0
ALWAYS_100,1,NET30,YTD_2026,147,-0.11335558001413948,0.0719059257654219,-0.4522832059021925,15.184091909637695,0.0,1.0,0.0,0.0
