date,factor_breadth_20d,n_factors_20d,breadth_bin,base_state,factor_substate,REVISION_state,ALWAYS_100,F_LOW_HALF,FB20_HIGH_HALF,CRASH_GUARD_ONLY,FB20_HALF_PLUS_CRASH0,breadth_high,crash_guard
2017-02-14,0.625,8,HIGH,B3,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2017-02-21,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-02-28,0.5,8,LOW,B3,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-03-08,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-03-15,0.75,8,HIGH,B4,F_LOW,W+,1.0,0.5,0.5,1.0,0.5,1,0
2017-03-22,0.5,8,LOW,B4,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2017-03-29,0.375,8,LOW,B4,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2017-04-05,0.0,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-04-12,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-04-19,0.25,8,LOW,B3,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-04-26,0.25,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-05-08,0.375,8,LOW,B3,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-05-16,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2017-05-23,1.0,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-05-30,1.0,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-06-07,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-06-14,0.875,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-06-21,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-06-28,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-07-05,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-07-12,0.875,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2017-07-19,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-07-26,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2017-08-02,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2017-08-09,0.5,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2017-08-17,0.375,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2017-08-24,0.5,8,LOW,B3,F_LOW,W-,1.0,0.5,1.0,1.0,1.0,0,0
2017-08-31,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-09-07,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-09-14,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-09-21,0.5,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2017-09-28,0.375,8,LOW,B3,F_LOW,W-,1.0,0.5,1.0,1.0,1.0,0,0
2017-10-13,0.5,8,LOW,B3,F_LOW,W-,1.0,0.5,1.0,1.0,1.0,0,0
2017-10-20,0.25,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2017-10-27,0.0,8,LOW,B3,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
2017-11-03,0.125,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-11-10,0.25,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2017-11-17,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2017-11-24,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2017-12-01,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2017-12-08,0.25,8,LOW,B3,F_HIGH,N-,1.0,1.0,1.0,1.0,1.0,0,0
2017-12-15,0.25,8,LOW,B3,F_LOW,R-,1.0,0.5,1.0,1.0,1.0,0,0
2017-12-22,0.125,8,LOW,B3,F_LOW,R-,1.0,0.5,1.0,1.0,1.0,0,0
2018-01-03,0.375,8,LOW,B3,F_HIGH,R-,1.0,1.0,1.0,1.0,1.0,0,0
2018-01-10,0.625,8,HIGH,B4,F_HIGH,R+,1.0,1.0,0.5,1.0,0.5,1,0
2018-01-17,0.625,8,HIGH,B4,F_HIGH,R+,1.0,1.0,0.5,1.0,0.5,1,0
2018-01-24,0.5,8,LOW,B4,F_HIGH,R+,1.0,1.0,1.0,1.0,1.0,0,0
2018-01-31,0.375,8,LOW,B4,F_HIGH,R+,1.0,1.0,1.0,1.0,1.0,0,0
2018-02-07,0.5,8,LOW,B4,F_HIGH,R-,1.0,1.0,1.0,1.0,1.0,0,0
2018-02-14,0.625,8,HIGH,B3,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2018-02-23,0.75,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2018-03-05,0.5,8,LOW,B3,F_LOW,W-,1.0,0.5,1.0,1.0,1.0,0,0
2018-03-12,0.375,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2018-03-19,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2018-03-26,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-04-02,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-04-09,0.75,8,HIGH,B3,F_HIGH,W-,1.0,1.0,0.5,1.0,0.5,1,0
2018-04-16,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-04-23,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-04-30,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-05-09,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-05-16,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-05-24,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-05-31,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-06-08,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-06-18,0.5,8,LOW,B3,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2018-06-25,0.625,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2018-07-02,0.5,8,LOW,B2,F_LOW,W-,1.0,0.5,1.0,0.0,0.0,0,1
2018-07-09,0.5,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2018-07-16,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2018-07-23,0.5,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2018-07-30,0.5,8,LOW,B2,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2018-08-06,0.625,8,HIGH,B2,F_HIGH,W-,1.0,1.0,0.5,0.0,0.0,1,1
2018-08-13,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2018-08-21,0.75,8,HIGH,B2,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-08-28,0.5,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2018-09-04,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2018-09-11,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2018-09-18,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2018-09-28,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2018-10-08,0.75,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2018-10-16,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2018-10-23,0.75,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2018-10-30,0.625,8,HIGH,B2,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2018-11-06,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2018-11-13,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2018-11-20,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2018-11-27,0.25,8,LOW,B2,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
2018-12-04,0.25,8,LOW,B2,F_HIGH,R+,1.0,1.0,1.0,1.0,1.0,0,0
2018-12-11,0.25,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2018-12-18,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2018-12-26,0.625,8,HIGH,B2,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2019-01-04,0.75,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-01-11,0.375,8,LOW,B3,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2019-01-18,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2019-01-25,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2019-02-01,0.375,8,LOW,B4,F_HIGH,R+,1.0,1.0,1.0,1.0,1.0,0,0
2019-02-13,0.375,8,LOW,B4,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
2019-02-20,0.125,8,LOW,B4,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
2019-02-27,0.125,8,LOW,B4,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
2019-03-07,0.375,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2019-03-14,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2019-03-21,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2019-03-28,0.75,8,HIGH,B3,F_LOW,W+,1.0,0.5,0.5,1.0,0.5,1,0
2019-04-04,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-04-11,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-04-18,0.75,8,HIGH,B4,F_LOW,N+,1.0,0.5,0.5,1.0,0.5,1,0
2019-04-25,0.625,8,HIGH,B3,F_LOW,N+,1.0,0.5,0.5,1.0,0.5,1,0
2019-05-03,0.5,8,LOW,B3,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2019-05-13,0.875,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2019-05-20,0.75,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2019-05-27,0.75,8,HIGH,B2,F_HIGH,W-,1.0,1.0,0.5,0.0,0.0,1,1
2019-06-03,0.75,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-06-11,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-06-18,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-06-25,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-07-02,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-07-09,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-07-16,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
