universe,target,model,sample,n,event_rate,brier,logloss,auc
K200,TARGET_NEXT_B_DOWN,B_ONLY,TRAIN_2016_2022,328,0.1524390243902439,0.11518349432985589,0.364594725090716,0.7462589928057554
K200,TARGET_NEXT_B_DOWN,B_ONLY,OOS_2023_2024,97,0.18556701030927836,0.12092845321516148,0.3669027178617793,0.8326300984528833
K200,TARGET_NEXT_B_DOWN,B_ONLY,BULL_2025,49,0.12244897959183673,0.11485481323447289,0.38209335912310693,0.6686046511627907
K200,TARGET_NEXT_B_DOWN,B_ONLY,YTD_2026,20,0.2,0.17889304131495262,0.5471628510813943,0.4453125
K200,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,328,0.1524390243902439,0.11332030318989007,0.35568947798629735,0.7715827338129496
K200,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,97,0.18556701030927836,0.12158656791315325,0.36697761080583124,0.8466947960618847
K200,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,49,0.12244897959183673,0.10571960588902607,0.3504521062124681,0.7344961240310077
K200,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,20,0.2,0.17834764685877832,0.5718110729531488,0.4765625
K200,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11440102333429146,0.35997093142440034,0.763273381294964
K200,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,97,0.18556701030927836,0.12226108135565793,0.37132297565187355,0.840014064697609
K200,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,49,0.12244897959183673,0.1175109833387791,0.3888797376402418,0.6414728682170543
K200,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,20,0.2,0.18921840528173367,0.5757263001167578,0.375
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11323481706025205,0.35447777285733545,0.7796762589928058
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,97,0.18556701030927836,0.12297926412486762,0.3725885076429511,0.8590014064697609
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,49,0.12244897959183673,0.10889428124249277,0.35731695803125757,0.7073643410852714
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,20,0.2,0.17988952567699776,0.5827350876904165,0.59375
K200,TARGET_MKT_NEG20,B_ONLY,TRAIN_2016_2022,328,0.4481707317073171,0.24712836697327387,0.687390482898873,0.5146014206787688
K200,TARGET_MKT_NEG20,B_ONLY,OOS_2023_2024,97,0.4329896907216495,0.2442275361301484,0.6815537496932129,0.5588744588744589
K200,TARGET_MKT_NEG20,B_ONLY,BULL_2025,49,0.22448979591836735,0.22785075811382294,0.6487061897385817,0.5203349282296651
K200,TARGET_MKT_NEG20,B_ONLY,YTD_2026,20,0.35,0.24234371607948796,0.6778189490220774,0.4065934065934066
K200,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,328,0.4481707317073171,0.2459901064706772,0.6850964365323108,0.5382981922050588
K200,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,97,0.4329896907216495,0.24532559033384757,0.68372007096586,0.562987012987013
K200,TARGET_MKT_NEG20,B_FSUB,BULL_2025,49,0.22448979591836735,0.2507405047810583,0.6945186511730972,0.423444976076555
K200,TARGET_MKT_NEG20,B_FSUB,YTD_2026,20,0.35,0.270360706166229,0.733991430601322,0.3076923076923077
K200,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,328,0.4481707317073171,0.2414039690153741,0.6757414309254113,0.5845642124253017
K200,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,97,0.4329896907216495,0.248168326349424,0.6896519752178747,0.5145021645021645
K200,TARGET_MKT_NEG20,B_FB20,BULL_2025,49,0.22448979591836735,0.24396715752465037,0.6810860829579599,0.3145933014354067
K200,TARGET_MKT_NEG20,B_FB20,YTD_2026,20,0.35,0.26126923218071946,0.7167839522597819,0.35714285714285715
K200,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,328,0.4481707317073171,0.2422412141759372,0.6771568786162689,0.5879279888751081
K200,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,97,0.4329896907216495,0.25042309927998974,0.6941491043872314,0.4696969696969697
K200,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,49,0.22448979591836735,0.23974291652038768,0.6730201011709372,0.3708133971291866
K200,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,20,0.35,0.26087290099437,0.717229789973357,0.2967032967032967
K200,TARGET_DD5_20,B_ONLY,TRAIN_2016_2022,328,0.19207317073170732,0.15326824105823894,0.48276581851053385,0.5744833782569632
K200,TARGET_DD5_20,B_ONLY,OOS_2023_2024,97,0.26804123711340205,0.20311427998318618,0.6039499537401528,0.4891657638136511
K200,TARGET_DD5_20,B_ONLY,BULL_2025,49,0.12244897959183673,0.10604656355564157,0.36621308977275413,0.6550387596899225
K200,TARGET_DD5_20,B_ONLY,YTD_2026,20,0.45,0.3351495721229957,0.9450482237651061,0.5757575757575758
K200,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,328,0.19207317073170732,0.15237025199907267,0.48006853801824295,0.5949685534591195
K200,TARGET_DD5_20,B_FSUB,OOS_2023_2024,97,0.26804123711340205,0.20772779038748715,0.6179233479150514,0.4585590465872156
K200,TARGET_DD5_20,B_FSUB,BULL_2025,49,0.12244897959183673,0.10813903033416192,0.3750730285196974,0.6027131782945736
K200,TARGET_DD5_20,B_FSUB,YTD_2026,20,0.45,0.334232447169966,0.9411563044955825,0.4494949494949495
K200,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,328,0.19207317073170732,0.1505820143470713,0.4737023822948746,0.6143755615453729
K200,TARGET_DD5_20,B_FB20,OOS_2023_2024,97,0.26804123711340205,0.20036258663345982,0.5993755606482541,0.5872156013001083
K200,TARGET_DD5_20,B_FB20,BULL_2025,49,0.12244897959183673,0.1156327006884061,0.3939062113085392,0.5038759689922481
K200,TARGET_DD5_20,B_FB20,YTD_2026,20,0.45,0.3419070687068503,0.9750839138432313,0.5707070707070707
K200,TARGET_DD5_20,B_FSUB_FB20,TRAIN_2016_2022,328,0.19207317073170732,0.15211933939622915,0.47815028418471106,0.6038035339922132
K200,TARGET_DD5_20,B_FSUB_FB20,OOS_2023_2024,97,0.26804123711340205,0.2068483482427944,0.6208692075200236,0.4742686890574215
K200,TARGET_DD5_20,B_FSUB_FB20,BULL_2025,49,0.12244897959183673,0.10979368010429445,0.3767312640986993,0.6472868217054264
K200,TARGET_DD5_20,B_FSUB_FB20,YTD_2026,20,0.45,0.3422267983546887,0.9653868911046202,0.7474747474747475
KOSDAQ,TARGET_NEXT_B_DOWN,B_ONLY,TRAIN_2016_2022,256,0.1953125,0.14614156182044113,0.45863709924610496,0.6655339805825242
KOSDAQ,TARGET_NEXT_B_DOWN,B_ONLY,OOS_2023_2024,73,0.1506849315068493,0.11051187112460055,0.3641675316605769,0.750733137829912
KOSDAQ,TARGET_NEXT_B_DOWN,B_ONLY,BULL_2025,45,0.17777777777777778,0.1252156142173389,0.3976244604572591,0.7618243243243243
KOSDAQ,TARGET_NEXT_B_DOWN,B_ONLY,YTD_2026,13,0.15384615384615385,0.1494250201066411,0.47734862937468175,0.5454545454545454
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,256,0.1953125,0.14558656085540278,0.45592223056636094,0.6845145631067961
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,73,0.1506849315068493,0.11011590930490582,0.3587187128414566,0.7844574780058651
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,45,0.17777777777777778,0.12459286889101596,0.38900347980557626,0.7601351351351351
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,13,0.15384615384615385,0.14894164677714464,0.4773006460262315,0.7272727272727273
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,256,0.1953125,0.14581275320331638,0.45751935364535024,0.6792233009708738
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,73,0.1506849315068493,0.1106512512280354,0.36530372743913664,0.7419354838709677
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,45,0.17777777777777778,0.12625422106128625,0.3996738484071428,0.7297297297297297
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,13,0.15384615384615385,0.1411496308179701,0.45707946084472273,0.8636363636363636
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,256,0.1953125,0.14398423900377028,0.44841666442543304,0.7055339805825243
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,73,0.1506849315068493,0.10968261259165507,0.3588577548602073,0.7961876832844574
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,45,0.17777777777777778,0.12696313234908047,0.4031788895255124,0.7601351351351351
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,13,0.15384615384615385,0.1424342985787243,0.45806753336018147,0.7272727272727273
KOSDAQ,TARGET_MKT_NEG20,B_ONLY,TRAIN_2016_2022,256,0.50390625,0.24993058791550166,0.6930083475025632,0.5072941463712385
KOSDAQ,TARGET_MKT_NEG20,B_ONLY,OOS_2023_2024,73,0.4931506849315068,0.25103625118677453,0.6952199310524582,0.4410660660660661
