universe,target,model,sample,n,event_rate,brier,logloss,auc,base_brier,base_logloss,base_auc,delta_brier,delta_logloss,delta_auc
K200,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,97,0.4329896907216495,0.25042309927998974,0.6941491043872314,0.4696969696969697,0.2442275361301484,0.6815537496932129,0.5588744588744589,0.006195563149841349,0.012595354694018512,-0.08917748917748913
K200,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,49,0.22448979591836735,0.23974291652038768,0.6730201011709372,0.3708133971291866,0.22785075811382294,0.6487061897385817,0.5203349282296651,0.01189215840656474,0.024313911432355506,-0.1495215311004785
K200,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,20,0.35,0.26087290099437,0.717229789973357,0.2967032967032967,0.24234371607948796,0.6778189490220774,0.4065934065934066,0.018529184914882035,0.03941084095127956,-0.10989010989010989
K200,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,328,0.19207317073170732,0.15237025199907267,0.48006853801824295,0.5949685534591195,0.15326824105823894,0.48276581851053385,0.5744833782569632,-0.0008979890591662709,-0.002697280492290899,0.020485175202156314
K200,TARGET_DD5_20,B_FSUB,OOS_2023_2024,97,0.26804123711340205,0.20772779038748715,0.6179233479150514,0.4585590465872156,0.20311427998318618,0.6039499537401528,0.4891657638136511,0.004613510404300969,0.013973394174898623,-0.030606717226435542
K200,TARGET_DD5_20,B_FSUB,BULL_2025,49,0.12244897959183673,0.10813903033416192,0.3750730285196974,0.6027131782945736,0.10604656355564157,0.36621308977275413,0.6550387596899225,0.0020924667785203466,0.008859938746943297,-0.05232558139534893
K200,TARGET_DD5_20,B_FSUB,YTD_2026,20,0.45,0.334232447169966,0.9411563044955825,0.4494949494949495,0.3351495721229957,0.9450482237651061,0.5757575757575758,-0.0009171249530297021,-0.0038919192695235916,-0.1262626262626263
K200,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,328,0.19207317073170732,0.1505820143470713,0.4737023822948746,0.6143755615453729,0.15326824105823894,0.48276581851053385,0.5744833782569632,-0.0026862267111676386,-0.009063436215659249,0.03989218328840971
K200,TARGET_DD5_20,B_FB20,OOS_2023_2024,97,0.26804123711340205,0.20036258663345982,0.5993755606482541,0.5872156013001083,0.20311427998318618,0.6039499537401528,0.4891657638136511,-0.0027516933497263585,-0.004574393091898665,0.09804983748645718
K200,TARGET_DD5_20,B_FB20,BULL_2025,49,0.12244897959183673,0.1156327006884061,0.3939062113085392,0.5038759689922481,0.10604656355564157,0.36621308977275413,0.6550387596899225,0.00958613713276453,0.02769312153578507,-0.15116279069767447
K200,TARGET_DD5_20,B_FB20,YTD_2026,20,0.45,0.3419070687068503,0.9750839138432313,0.5707070707070707,0.3351495721229957,0.9450482237651061,0.5757575757575758,0.006757496583854605,0.030035690078125232,-0.005050505050505083
K200,TARGET_DD5_20,B_FSUB_FB20,TRAIN_2016_2022,328,0.19207317073170732,0.15211933939622915,0.47815028418471106,0.6038035339922132,0.15326824105823894,0.48276581851053385,0.5744833782569632,-0.001148901662009788,-0.00461553432582279,0.029320155735250042
K200,TARGET_DD5_20,B_FSUB_FB20,OOS_2023_2024,97,0.26804123711340205,0.2068483482427944,0.6208692075200236,0.4742686890574215,0.20311427998318618,0.6039499537401528,0.4891657638136511,0.003734068259608231,0.016919253779870802,-0.014897074756229645
K200,TARGET_DD5_20,B_FSUB_FB20,BULL_2025,49,0.12244897959183673,0.10979368010429445,0.3767312640986993,0.6472868217054264,0.10604656355564157,0.36621308977275413,0.6550387596899225,0.003747116548652882,0.010518174325945151,-0.007751937984496138
K200,TARGET_DD5_20,B_FSUB_FB20,YTD_2026,20,0.45,0.3422267983546887,0.9653868911046202,0.7474747474747475,0.3351495721229957,0.9450482237651061,0.5757575757575758,0.007077226231693046,0.02033866733951406,0.1717171717171717
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,256,0.1953125,0.14558656085540278,0.45592223056636094,0.6845145631067961,0.14614156182044113,0.45863709924610496,0.6655339805825242,-0.0005550009650383547,-0.0027148686797440202,0.018980582524271927
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,73,0.1506849315068493,0.11011590930490582,0.3587187128414566,0.7844574780058651,0.11051187112460055,0.3641675316605769,0.750733137829912,-0.000395961819694729,-0.0054488188191202935,0.03372434017595305
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,45,0.17777777777777778,0.12459286889101596,0.38900347980557626,0.7601351351351351,0.1252156142173389,0.3976244604572591,0.7618243243243243,-0.0006227453263229349,-0.008620980651682819,-0.0016891891891892552
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,13,0.15384615384615385,0.14894164677714464,0.4773006460262315,0.7272727272727273,0.1494250201066411,0.47734862937468175,0.5454545454545454,-0.00048337332949646705,-4.7983348450242325e-05,0.18181818181818188
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,256,0.1953125,0.14581275320331638,0.45751935364535024,0.6792233009708738,0.14614156182044113,0.45863709924610496,0.6655339805825242,-0.00032880861712475395,-0.001117745600754727,0.01368932038834958
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,73,0.1506849315068493,0.1106512512280354,0.36530372743913664,0.7419354838709677,0.11051187112460055,0.3641675316605769,0.750733137829912,0.0001393801034348524,0.0011361957785597232,-0.008797653958944274
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,45,0.17777777777777778,0.12625422106128625,0.3996738484071428,0.7297297297297297,0.1252156142173389,0.3976244604572591,0.7618243243243243,0.001038606843947354,0.002049387949883741,-0.03209459459459463
KOSDAQ,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,13,0.15384615384615385,0.1411496308179701,0.45707946084472273,0.8636363636363636,0.1494250201066411,0.47734862937468175,0.5454545454545454,-0.008275389288670998,-0.020269168529959025,0.31818181818181823
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,256,0.1953125,0.14398423900377028,0.44841666442543304,0.7055339805825243,0.14614156182044113,0.45863709924610496,0.6655339805825242,-0.002157322816670859,-0.01022043482067192,0.040000000000000036
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,73,0.1506849315068493,0.10968261259165507,0.3588577548602073,0.7961876832844574,0.11051187112460055,0.3641675316605769,0.750733137829912,-0.0008292585329454788,-0.005309776800369592,0.045454545454545414
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,45,0.17777777777777778,0.12696313234908047,0.4031788895255124,0.7601351351351351,0.1252156142173389,0.3976244604572591,0.7618243243243243,0.0017475181317415656,0.005554429068253319,-0.0016891891891892552
KOSDAQ,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,13,0.15384615384615385,0.1424342985787243,0.45806753336018147,0.7272727272727273,0.1494250201066411,0.47734862937468175,0.5454545454545454,-0.006990721527916799,-0.019281096014500287,0.18181818181818188
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,256,0.50390625,0.2491728106962482,0.6914911728346202,0.5312213880241714,0.24993058791550166,0.6930083475025632,0.5072941463712385,-0.0007577772192534638,-0.0015171746679429887,0.023927241652932918
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,73,0.4931506849315068,0.24917529671465807,0.6914915121651006,0.5457957957957958,0.25103625118677453,0.6952199310524582,0.4410660660660661,-0.001860954472116455,-0.003728418887357532,0.10472972972972977
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,BULL_2025,45,0.2222222222222222,0.26051940633921156,0.7142294538181682,0.30714285714285716,0.25119580528992325,0.6955394633198493,0.5928571428571429,0.00932360104928831,0.018689990498318876,-0.2857142857142857
KOSDAQ,TARGET_MKT_NEG20,B_FSUB,YTD_2026,13,0.5384615384615384,0.25918559955356496,0.7115561939956879,0.4166666666666667,0.2515157183679213,0.6961788869864791,0.4166666666666667,0.007669881185643657,0.015377307009208807,0.0
KOSDAQ,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,256,0.50390625,0.24816445260976072,0.6894688934946094,0.5472746139290728,0.24993058791550166,0.6930083475025632,0.5072941463712385,-0.0017661353057409346,-0.0035394540079538572,0.039980467557834354
KOSDAQ,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,73,0.4931506849315068,0.25329401138748725,0.6997522522904923,0.4677177177177177,0.25103625118677453,0.6952199310524582,0.4410660660660661,0.0022577602007127218,0.004532321238034154,0.02665165165165162
KOSDAQ,TARGET_MKT_NEG20,B_FB20,BULL_2025,45,0.2222222222222222,0.2552648418948118,0.7037592822669788,0.5042857142857143,0.25119580528992325,0.6955394633198493,0.5928571428571429,0.004069036604888554,0.008219818947129531,-0.08857142857142852
KOSDAQ,TARGET_MKT_NEG20,B_FB20,YTD_2026,13,0.5384615384615384,0.23359413208294943,0.660204962669339,0.6666666666666666,0.2515157183679213,0.6961788869864791,0.4166666666666667,-0.01792158628497187,-0.03597392431714008,0.24999999999999994
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,256,0.50390625,0.2465957992569321,0.686296969542391,0.5644265397057926,0.24993058791550166,0.6930083475025632,0.5072941463712385,-0.003334788658569565,-0.006711377960172182,0.05713239333455411
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,73,0.4931506849315068,0.2479653924769709,0.6889567930868743,0.5566816816816816,0.25103625118677453,0.6952199310524582,0.4410660660660661,-0.003070858709803642,-0.006263137965583865,0.11561561561561556
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,45,0.2222222222222222,0.2664484826376709,0.7271528240937386,0.4642857142857143,0.25119580528992325,0.6955394633198493,0.5928571428571429,0.015252677347747656,0.03161336077388932,-0.12857142857142856
KOSDAQ,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,13,0.5384615384615384,0.23222742582434305,0.6568635335758108,0.5595238095238095,0.2515157183679213,0.6961788869864791,0.4166666666666667,-0.01928829254357825,-0.039315353410668274,0.14285714285714285
KOSDAQ,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,256,0.3828125,0.23454379088283042,0.6617735126427432,0.5478881425988117,0.23625203867660763,0.6653923461883249,0.5040687160940326,-0.0017082477937772067,-0.003618833545581679,0.0438194265047791
KOSDAQ,TARGET_DD5_20,B_FSUB,OOS_2023_2024,73,0.3424657534246575,0.21576449868494357,0.6227393814175248,0.7025,0.22743717793101445,0.6474784436018572,0.425,-0.011672679246070877,-0.024739062184332417,0.2775
KOSDAQ,TARGET_DD5_20,B_FSUB,BULL_2025,45,0.15555555555555556,0.18698527689650374,0.5644202849991282,0.40225563909774437,0.1825936808679361,0.5560045648694466,0.5939849624060151,0.004391596028567646,0.008415720129681614,-0.1917293233082707
KOSDAQ,TARGET_DD5_20,B_FSUB,YTD_2026,13,0.6153846153846154,0.29026191160931425,0.7767638620637604,0.475,0.2933187753523904,0.7818982172138814,0.4,-0.003056863743076177,-0.005134355150121062,0.07499999999999996
KOSDAQ,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,256,0.3828125,0.23468248009704165,0.6620609647557946,0.5468548178765177,0.23625203867660763,0.6653923461883249,0.5040687160940326,-0.0015695585795659772,-0.0033313814325303115,0.0427861017824851
KOSDAQ,TARGET_DD5_20,B_FB20,OOS_2023_2024,73,0.3424657534246575,0.23472637033206994,0.6630814223250763,0.34791666666666665,0.22743717793101445,0.6474784436018572,0.425,0.007289192401055494,0.01560297872321903,-0.07708333333333334
KOSDAQ,TARGET_DD5_20,B_FB20,BULL_2025,45,0.15555555555555556,0.18514418434298668,0.5604843679089516,0.5357142857142857,0.1825936808679361,0.5560045648694466,0.5939849624060151,0.0025505034750505917,0.004479803039505015,-0.05827067669172936
KOSDAQ,TARGET_DD5_20,B_FB20,YTD_2026,13,0.6153846153846154,0.2680282086097056,0.7299276784604092,0.775,0.2933187753523904,0.7818982172138814,0.4,-0.025290566742684817,-0.05197053875347224,0.375
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,TRAIN_2016_2022,256,0.3828125,0.23212099139833514,0.6567985300494517,0.5684577628519762,0.23625203867660763,0.6653923461883249,0.5040687160940326,-0.004131047278272487,-0.008593816138873223,0.06438904675794366
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,OOS_2023_2024,73,0.3424657534246575,0.22975149734439984,0.6521645404556522,0.5004166666666666,0.22743717793101445,0.6474784436018572,0.425,0.0023143194133853906,0.004686096853794952,0.07541666666666663
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,BULL_2025,45,0.15555555555555556,0.20377394247775615,0.5974612771803344,0.5,0.1825936808679361,0.5560045648694466,0.5939849624060151,0.02118026160982006,0.04145671231088777,-0.09398496240601506
KOSDAQ,TARGET_DD5_20,B_FSUB_FB20,YTD_2026,13,0.6153846153846154,0.2307003599233329,0.6555382457189977,0.6625,0.2933187753523904,0.7818982172138814,0.4,-0.06261841542905752,-0.12635997149488376,0.26249999999999996
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,328,0.1524390243902439,0.11477468428435275,0.36701361719608794,0.7504676258992806,0.11504562677093665,0.3688855911725834,0.7405755395683453,-0.0002709424865838944,-0.0018719739764954668,0.009892086330935301
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,96,0.13541666666666666,0.09431430783679884,0.3012048354398042,0.8637627432808156,0.09578624523855195,0.3101758153624125,0.8109360518999074,-0.0014719374017531095,-0.008970979922608313,0.05282669138090823
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,49,0.16326530612244897,0.11455013616295895,0.3559999154617022,0.7987804878048781,0.11615207785024613,0.3671384545149316,0.7728658536585366,-0.0016019416872871811,-0.011138539053229424,0.025914634146341542
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,19,0.15789473684210525,0.1506366316417903,0.5307177515643129,0.4791666666666667,0.15100221683162016,0.5450267583146061,0.5104166666666666,-0.0003655851898298479,-0.01430900675029323,-0.031249999999999944
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11115669540603206,0.35623263759879514,0.7769064748201439,0.11504562677093665,0.3688855911725834,0.7405755395683453,-0.003888931364904591,-0.012652953573788261,0.036330935251798535
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,96,0.13541666666666666,0.10122077925503896,0.3294270310695672,0.7924003707136237,0.09578624523855195,0.3101758153624125,0.8109360518999074,0.005434534016487011,0.019251215707154712,-0.01853568118628368
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,49,0.16326530612244897,0.12046908993555411,0.37928753563176915,0.760670731707317,0.11615207785024613,0.3671384545149316,0.7728658536585366,0.004317012085307978,0.012149081116837546,-0.012195121951219523
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,19,0.15789473684210525,0.14159781164059382,1.0252146459303733,0.59375,0.15100221683162016,0.5450267583146061,0.5104166666666666,-0.009404405191026338,0.48018788761576714,0.08333333333333337
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11143942417700321,0.3514971599400057,0.7875539568345323,0.11504562677093665,0.3688855911725834,0.7405755395683453,-0.003606202593933433,-0.017388431232577717,0.04697841726618701
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,96,0.13541666666666666,0.10159293653486368,0.33658337505372105,0.76274328081557,0.09578624523855195,0.3101758153624125,0.8109360518999074,0.005806691296311728,0.026407559691308535,-0.048192771084337394
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,49,0.16326530612244897,0.1199468581261419,0.3909059492609475,0.7484756097560976,0.11615207785024613,0.3671384545149316,0.7728658536585366,0.003794780275895776,0.023767494746015916,-0.024390243902438935
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,19,0.15789473684210525,0.14029723007824138,1.0249841877318944,0.59375,0.15100221683162016,0.5450267583146061,0.5104166666666666,-0.010704986753378776,0.47995742941728825,0.08333333333333337
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,328,0.4817073170731707,0.2392797195168717,0.6714481783521805,0.6221705137751303,0.24659521472796161,0.6862778732194077,0.5557706626954579,-0.0073154952110899285,-0.014829694867227183,0.06639985107967239
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,96,0.46875,0.25980024658465717,0.7133200765039663,0.49193899782135075,0.25459453122680786,0.7024289728690554,0.4572984749455338,0.005205715357849305,0.01089110363491097,0.03464052287581698
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,BULL_2025,49,0.2653061224489796,0.25989599878392106,0.713528522419875,0.6004273504273504,0.24280408304289422,0.67843574129512,0.6068376068376068,0.017091915741026836,0.035092781124755,-0.0064102564102563875
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,YTD_2026,19,0.631578947368421,0.2698639844200008,0.7334405415928815,0.3392857142857143,0.2836001228790139,0.7616727231156579,0.32142857142857145,-0.013736138459013114,-0.0282321815227764,0.01785714285714285
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,328,0.4817073170731707,0.23707234700335741,0.6669395940460431,0.6247580044676099,0.24659521472796161,0.6862778732194077,0.5557706626954579,-0.0095228677246042,-0.019338279173364614,0.06898734177215193
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,96,0.46875,0.25953110043741545,0.7133965172665683,0.4721132897603486,0.25459453122680786,0.7024289728690554,0.4572984749455338,0.004936569210607589,0.010967544397512907,0.014814814814814836
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,BULL_2025,49,0.2653061224489796,0.26312980564572014,0.7204006893886411,0.4594017094017094,0.24280408304289422,0.67843574129512,0.6068376068376068,0.02032572260282592,0.04196494809352114,-0.1474358974358974
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,YTD_2026,19,0.631578947368421,0.2709169500995823,0.738951314476174,0.4880952380952381,0.2836001228790139,0.7616727231156579,0.32142857142857145,-0.01268317277943165,-0.02272140863948391,0.16666666666666663
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,328,0.4817073170731707,0.23282544823634557,0.6582603591088161,0.6479709605361131,0.24659521472796161,0.6862778732194077,0.5557706626954579,-0.013769766491616042,-0.028017514110591613,0.0922002978406552
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,96,0.46875,0.26118661662796944,0.7165359712275459,0.489760348583878,0.25459453122680786,0.7024289728690554,0.4572984749455338,0.006592085401161574,0.014106998358490497,0.03246187363834424
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,49,0.2653061224489796,0.26854689580544583,0.732597609472661,0.5149572649572649,0.24280408304289422,0.67843574129512,0.6068376068376068,0.02574281276255161,0.054161868177540984,-0.09188034188034189
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,YTD_2026,19,0.631578947368421,0.24521349366293427,0.6832613346477172,0.5952380952380952,0.2836001228790139,0.7616727231156579,0.32142857142857145,-0.03838662921607966,-0.07841138846794071,0.2738095238095238
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,TRAIN_2016_2022,328,0.31402439024390244,0.20971965374238505,0.6089719652532791,0.6087162891046386,0.21331518258497464,0.6174006295503343,0.5568716289104638,-0.003595528842589596,-0.008428664297055133,0.051844660194174774
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,OOS_2023_2024,96,0.34375,0.23534537447575787,0.6644377154362995,0.4389129389129389,0.23412100346739448,0.6633233932370987,0.411976911976912,0.0012243710083633952,0.0011143221992008234,0.026936026936026924
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,BULL_2025,49,0.16326530612244897,0.1679352009117958,0.5225720506102701,0.5579268292682927,0.15712004594129692,0.49774995625917035,0.600609756097561,0.010815154970498897,0.024822094351099777,-0.04268292682926822
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FSUB,YTD_2026,19,0.6842105263157895,0.35101319118228297,0.9147751031648667,0.5128205128205128,0.38327518144590966,0.9845662302029933,0.4935897435897436,-0.032261990263626694,-0.06979112703812662,0.019230769230769162
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,TRAIN_2016_2022,328,0.31402439024390244,0.21031739847646014,0.6104954590092374,0.5909816612729234,0.21331518258497464,0.6174006295503343,0.5568716289104638,-0.0029977841085145063,-0.00690517054109685,0.034110032362459575
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,OOS_2023_2024,96,0.34375,0.250337274782586,0.6998500731623926,0.3665223665223665,0.23412100346739448,0.6633233932370987,0.411976911976912,0.016216271315191516,0.0365266799252939,-0.04545454545454547
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_DD5_20,B_FB20,BULL_2025,49,0.16326530612244897,0.17104241169485945,0.5292412492045884,0.31097560975609756,0.15712004594129692,0.49774995625917035,0.600609756097561,0.013922365753562538,0.031491292945418026,-0.2896341463414634
