universe,target,model,sample,n,event_rate,brier,logloss,auc,base_brier,base_logloss,base_auc,delta_brier,delta_logloss,delta_auc
K200,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,328,0.1524390243902439,0.11332030318989007,0.35568947798629735,0.7715827338129496,0.11518349432985589,0.364594725090716,0.7462589928057554,-0.0018631911399658169,-0.008905247104418645,0.025323741007194256
K200,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,97,0.18556701030927836,0.12158656791315325,0.36697761080583124,0.8466947960618847,0.12092845321516148,0.3669027178617793,0.8326300984528833,0.0006581146979917768,7.48929440519408e-05,0.01406469760900142
K200,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,49,0.12244897959183673,0.10571960588902607,0.3504521062124681,0.7344961240310077,0.11485481323447289,0.38209335912310693,0.6686046511627907,-0.009135207345446816,-0.03164125291063885,0.06589147286821706
K200,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,20,0.2,0.17834764685877832,0.5718110729531488,0.4765625,0.17889304131495262,0.5471628510813943,0.4453125,-0.0005453944561742974,0.024648221871754528,0.03125
K200,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11440102333429146,0.35997093142440034,0.763273381294964,0.11518349432985589,0.364594725090716,0.7462589928057554,-0.0007824709955644299,-0.0046237936663156565,0.017014388489208665
K200,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,97,0.18556701030927836,0.12226108135565793,0.37132297565187355,0.840014064697609,0.12092845321516148,0.3669027178617793,0.8326300984528833,0.0013326281404964502,0.004420257790094251,0.007383966244725704
K200,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,49,0.12244897959183673,0.1175109833387791,0.3888797376402418,0.6414728682170543,0.11485481323447289,0.38209335912310693,0.6686046511627907,0.002656170104306216,0.006786378517134872,-0.02713178294573637
K200,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,20,0.2,0.18921840528173367,0.5757263001167578,0.375,0.17889304131495262,0.5471628510813943,0.4453125,0.010325363966781048,0.028563449035363564,-0.0703125
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11323481706025205,0.35447777285733545,0.7796762589928058,0.11518349432985589,0.364594725090716,0.7462589928057554,-0.0019486772696038351,-0.01011695223338055,0.03341726618705043
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,97,0.18556701030927836,0.12297926412486762,0.3725885076429511,0.8590014064697609,0.12092845321516148,0.3669027178617793,0.8326300984528833,0.002050810909706144,0.005685789781171791,0.026371308016877593
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,49,0.12244897959183673,0.10889428124249277,0.35731695803125757,0.7073643410852714,0.11485481323447289,0.38209335912310693,0.6686046511627907,-0.005960531991980114,-0.024776401091849365,0.03875968992248069
K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,20,0.2,0.17988952567699776,0.5827350876904165,0.59375,0.17889304131495262,0.5471628510813943,0.4453125,0.0009964843620451358,0.0355722366090222,0.1484375
K200,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,328,0.4481707317073171,0.2459901064706772,0.6850964365323108,0.5382981922050588,0.24712836697327387,0.687390482898873,0.5146014206787688,-0.0011382605025966608,-0.0022940463665621635,0.023696771526290017
K200,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,97,0.4329896907216495,0.24532559033384757,0.68372007096586,0.562987012987013,0.2442275361301484,0.6815537496932129,0.5588744588744589,0.0010980542036991836,0.0021663212726470427,0.004112554112554179
K200,TARGET_MKT_NEG20,B_FSUB,BULL_2025,49,0.22448979591836735,0.2507405047810583,0.6945186511730972,0.423444976076555,0.22785075811382294,0.6487061897385817,0.5203349282296651,0.022889746667235367,0.04581246143451545,-0.09688995215311008
K200,TARGET_MKT_NEG20,B_FSUB,YTD_2026,20,0.35,0.270360706166229,0.733991430601322,0.3076923076923077,0.24234371607948796,0.6778189490220774,0.4065934065934066,0.028016990086741023,0.05617248157924459,-0.09890109890109888
K200,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,328,0.4481707317073171,0.2414039690153741,0.6757414309254113,0.5845642124253017,0.24712836697327387,0.687390482898873,0.5146014206787688,-0.0057243979578997795,-0.011649051973461666,0.06996279174653286
K200,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,97,0.4329896907216495,0.248168326349424,0.6896519752178747,0.5145021645021645,0.2442275361301484,0.6815537496932129,0.5588744588744589,0.003940790219275625,0.008098225524661773,-0.044372294372294396
K200,TARGET_MKT_NEG20,B_FB20,BULL_2025,49,0.22448979591836735,0.24396715752465037,0.6810860829579599,0.3145933014354067,0.22785075811382294,0.6487061897385817,0.5203349282296651,0.01611639941082743,0.032379893219378175,-0.2057416267942584
K200,TARGET_MKT_NEG20,B_FB20,YTD_2026,20,0.35,0.26126923218071946,0.7167839522597819,0.35714285714285715,0.24234371607948796,0.6778189490220774,0.4065934065934066,0.0189255161012315,0.038965003237704465,-0.04945054945054944
K200,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,328,0.4481707317073171,0.2422412141759372,0.6771568786162689,0.5879279888751081,0.24712836697327387,0.687390482898873,0.5146014206787688,-0.004887152797336675,-0.010233604282604003,0.07332656819633931
