"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","-1.43","671.75","","681.53"
"A000040","KR모터스","12","0","KOSPI","-3.65","62.88","","65.26"
"A000050","경방","12","0","KOSPI","-0.88","309.79","","312.53"
"A000070","삼양홀딩스","12","1","KOSPI","-1.12","603.78","","610.63"
"A000080","하이트진로","12","1","KOSPI","4.69","3050.81","","2914.05"
"A000100","유한양행","12","1","KOSPI","2.09","3911.12","","3830.9"
"A000120","CJ대한통운","12","1","KOSPI","-1.31","3444.66","","3490.29"
"A000140","하이트진로홀딩스","12","0","KOSPI","4.45","517.51","","495.46"
"A000150","두산","12","1","KOSPI","-3.26","759.27","","784.88"
"A000180","성창기업지주","12","0","KOSPI","0.56","124.16","","123.46"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-0.6","2895.36","","2912.76"
"A000220","유유제약","12","0","KOSPI","-3.82","96.17","","99.99"
"A000230","일동홀딩스","12","0","KOSPI","-0.22","104.44","","104.67"
"A000240","한국앤컴퍼니","12","1","KOSPI","0","1330.19","","1330.19"
"A000250","삼천당제약","12","0","KOSDAQ","-0.21","1084.46","","1086.72"
"A000270","기아","12","1","KOSPI","-1.73","16092.92","","16376.68"
"A000300","DH오토넥스","12","0","KOSPI","0.32","71.68","","71.46"
"A000320","노루홀딩스","12","0","KOSPI","-0.32","123.08","","123.47"
"A000370","한화손해보험","12","0","KOSPI","-0.89","326.87","","329.79"
"A000390","SP삼화","12","0","KOSPI","3.91","136.95","","131.8"
"A000400","롯데손해보험","12","0","KOSPI","0.29","530.68","","529.12"
"A000430","대원강업","12","0","KOSPI","0.33","190.96","","190.34"
"A000440","중앙에너비스","12","0","KOSDAQ","-2.16","50.81","","51.93"
"A000480","CR홀딩스","12","0","KOSPI","0.68","294","","292"
"A000490","대동","12","0","KOSPI","-6.36","171.32","","182.94"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","0.3","69.27","","69.06"
"A000520","삼일제약","12","0","KOSPI","4.46","129.35","","123.83"
"A000540","흥국화재","12","0","KOSPI","-0.23","141.98","","142.3"
"A000590","CS홀딩스","12","0","KOSPI","-2.51","71.81","","73.66"
"A000640","동아쏘시오홀딩스","12","1","KOSPI","-1.2","604.01","","611.37"
"A000650","천일고속","12","0","KOSPI","-0.48","88.18","","88.61"
"A000660","SK하이닉스","12","1","KOSPI","-1.21","59550.59","","60278.6"
"A000670","영풍","12","1","KOSPI","0","961.54","","961.54"
"A000680","LS네트웍스","12","0","KOSPI","-1.63","166.67","","169.43"
"A000700","유수홀딩스","12","0","KOSPI","-1.39","147.4","","149.48"
"A000720","현대건설","12","1","KOSPI","-1.75","3752.69","","3819.5"
"A000760","이화산업","12","0","KOSPI","-0.35","39.9","","40.04"
"A0007C0","아크릴","12","0","외감","","","",""
"A0007J0","인벤테라","12","0","외감","","","",""
"A000810","삼성화재","12","1","KOSPI","-2.62","7911.6","","8124.78"
"A000850","화천기공","12","0","KOSPI","-0.47","69.74","","70.07"
"A000860","강남제비스코","12","0","KOSPI","0","97.5","","97.5"
"A000880","한화","12","1","KOSPI","-3.35","1840.24","","1903.95"
"A000890","보해양조","12","0","KOSPI","-0.45","112.41","","112.92"
"A0008Z0","에스엔시스","12","0","외감","","","",""
"A000910","유니온","12","0","KOSPI","-0.89","139.26","","140.5"
"A000950","전방","12","0","KOSPI","-2.88","42.42","","43.68"
"A000970","한국주철관","12","0","KOSPI","3.07","214.32","","207.94"
"A000990","DB하이텍","12","1","KOSPI","2.35","1549.51","","1513.99"
"A0009K0","에임드바이오","12","0","외감","","","",""
"A001000","신라섬유","12","0","KOSDAQ","-1.74","54.87","","55.84"
"A001020","페이퍼코리아","12","0","KOSPI","4.83","61.01","","58.2"
"A001040","CJ","12","1","KOSPI","-1.21","2375.01","","2404.18"
"A001060","JW중외제약","12","1","KOSPI","-1.12","741.62","","749.98"
"A001070","대한방직","12","0","KOSPI","0","175.96","","175.96"
"A001080","만호제강","6","0","KOSPI","-0.66","62.87","","63.29"
