"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","12.42","518.13","","460.87"
"A000040","KR모터스","12","0","KOSPI","-0.98","97.58","","98.54"
"A000050","경방","12","0","KOSPI","0","371.48","","371.48"
"A000070","삼양홀딩스","12","1","KOSPI","-1.32","959.2","","972.04"
"A000080","하이트진로","12","1","KOSPI","-1.05","2314.41","","2338.96"
"A000100","유한양행","12","1","KOSPI","-0.49","4261.35","","4282.35"
"A000120","CJ대한통운","12","1","KOSPI","-1.88","3570.13","","3638.57"
"A000140","하이트진로홀딩스","12","0","KOSPI","-0.7","327.22","","329.54"
"A000150","두산","12","1","KOSPI","-3.92","1619.34","","1685.43"
"A000180","성창기업지주","12","0","KOSPI","-0.72","191.12","","192.51"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-3.54","1542.35","","1598.93"
"A000220","유유제약","12","0","KOSPI","-1.24","137.17","","138.89"
"A000230","일동홀딩스","12","0","KOSPI","-0.37","155.22","","155.8"
"A000240","한국앤컴퍼니","12","1","KOSPI","-2.17","1495.23","","1528.46"
"A000250","삼천당제약","12","0","KOSDAQ","-1.95","1087.17","","1108.8"
"A000270","기아","12","1","KOSPI","1.62","32996.58","","32469.6"
"A000300","DH오토넥스","12","0","KOSPI","-0.37","163.95","","164.56"
"A000320","노루홀딩스","12","0","KOSPI","1.2","168.13","","166.14"
"A000370","한화손해보험","12","0","KOSPI","0.33","525.91","","524.16"
"A000390","SP삼화","12","0","KOSPI","-0.6","269.86","","271.49"
"A000400","롯데손해보험","12","0","KOSPI","1.89","584.98","","574.12"
"A000430","대원강업","12","0","KOSPI","-1.21","253.89","","256.99"
"A000440","중앙에너비스","12","0","KOSDAQ","-2.54","119.25","","122.36"
"A000480","CR홀딩스","12","0","KOSPI","-1.57","350.8","","356.4"
"A000490","대동","12","0","KOSPI","0","240.84","","240.84"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","-1.89","118.78","","121.07"
"A000520","삼일제약","12","0","KOSPI","-0.94","113.98","","115.07"
"A000540","흥국화재","12","0","KOSPI","-1.18","241.23","","244.12"
"A000590","CS홀딩스","12","0","KOSPI","0.16","74.23","","74.12"
"A000640","동아쏘시오홀딩스","12","0","KOSPI","0.85","752.18","","745.83"
"A000650","천일고속","12","0","KOSPI","-0.72","97.9","","98.62"
"A000660","SK하이닉스","12","1","KOSPI","-3.38","72800.24","","75348.24"
"A000670","영풍","12","1","KOSPI","-1.47","1237.85","","1256.27"
"A000680","LS네트웍스","12","0","KOSPI","-4.29","290","","303"
"A000700","유수홀딩스","12","0","KOSPI","0.51","152.87","","152.08"
"A000720","현대건설","12","1","KOSPI","-1.15","5734.82","","5801.64"
"A000760","이화산업","12","0","KOSPI","-2.9","46.9","","48.3"
"A0007C0","아크릴","12","0","외감","","","",""
"A0007J0","인벤테라","12","0","외감","","","",""
"A000810","삼성화재","12","1","KOSPI","-0.64","10967.27","","11038.34"
"A000850","화천기공","12","0","KOSPI","-1.45","82.39","","83.6"
"A000860","강남제비스코","12","0","KOSPI","0.95","173.55","","171.93"
"A000880","한화","12","1","KOSPI","-4.07","2559.84","","2668.53"
"A000890","보해양조","12","0","KOSPI","0.1","136.65","","136.51"
"A0008Z0","에스엔시스","12","0","외감","","","",""
"A000910","유니온","12","0","KOSPI","-0.96","96.95","","97.88"
"A000950","전방","12","0","KOSPI","-2.98","68.38","","70.48"
"A000970","한국주철관","12","0","KOSPI","-1.46","230.29","","233.71"
"A000990","DB하이텍","12","1","KOSPI","-2.38","2366.44","","2424.16"
"A0009K0","에임드바이오","12","0","외감","","","",""
"A001000","신라섬유","12","0","KOSDAQ","1.68","66.28","","65.19"
"A001020","페이퍼코리아","12","0","KOSPI","0.83","91.56","","90.81"
"A001040","CJ","12","1","KOSPI","-1.9","2859.35","","2914.78"
"A001060","JW중외제약","12","0","KOSPI","-2.14","541.73","","553.58"
"A001070","대한방직","12","0","KOSPI","0","230.55","","230.55"
"A001080","만호제강","6","0","KOSPI","-0.68","91.3","","91.92"
"A0010F0","보원케미칼","12","0","외감","","","",""
"A0010V0","제이피아이헬스케어","12","0","외감","","","",""
"A001120","LX인터내셔널","12","1","KOSPI","2.16","1282.96","","1255.82"
"A001130","대한제분","12","0","KOSPI","-0.31","272.94","","273.78"
"A0011A0","액스비스","12","0","외감","","","",""
"A0011T0","채비","12","0","외감","","","",""
"A001200","유진투자증권","12","0","KOSPI","-2.06","367.61","","375.36"
"A001210","금호전기","12","0","KOSPI","-1.44","58.07","","58.91"
"A001230","동국홀딩스","12","1","KOSPI","-0.27","1760.73","","1765.51"
"A001250","GS글로벌","12","0","KOSPI","0","212.94","","212.94"
"A001260","남광토건","12","0","KOSPI","-0.66","148.91","","149.89"
"A001270","부국증권","12","0","KOSPI","0.4","257.69","","256.65"
"A001290","상상인증권","12","0","KOSPI","-0.81","118.42","","119.4"
"A001340","PKC","12","0","KOSPI","7","302.3","","282.54"
"A001360","삼성제약","12","0","KOSPI","-3.05","448.64","","462.75"
"A001380","SG글로벌","12","0","KOSPI","-2.76","102.97","","105.89"
"A001390","KG케미칼","12","0","KOSPI","-2.26","449.95","","460.35"
"A0013V0","삼진식품","12","0","외감","","","",""
"A001420","태원물산","12","0","KOSPI","-1.57","38.15","","38.76"
"A001430","세아베스틸지주","12","0","KOSPI","-0.76","939.59","","946.76"
"A001440","대한전선","12","1","KOSPI","-0.41","2089.79","","2098.36"
"A001450","현대해상","12","1","KOSPI","-1.55","2266.29","","2302.05"
"A001460","BYC","12","0","KOSPI","-2.08","278.89","","284.82"
"A001470","삼부토건","12","0","KOSPI","-3.81","312.92","","325.3"
"A001500","현대차증권","12","0","KOSPI","-0.8","394.82","","397.99"
"A001510","SK증권","12","0","KOSPI","-0.57","413.99","","416.35"
"A001520","동양","12","0","KOSPI","-1.56","377.12","","383.09"
"A001530","DI동일","12","0","KOSPI","-4.02","809.69","","843.58"
"A001540","안국약품","12","0","KOSDAQ","-3.07","144.12","","148.68"
"A001550","조비","12","0","KOSPI","-4.66","132.66","","139.15"
"A001560","제일연마","12","0","KOSPI","-2.12","83.2","","85"
"A001570","금양","12","0","KOSPI","3.84","249.93","","240.69"
"A0015G0","그린광학","12","0","외감","","","",""
"A0015N0","아로마티카","12","0","외감","","","",""
"A0015S0","페스카로","12","0","외감","","","",""
"A001620","케이비아이동국실업","12","0","KOSPI","0.83","106.41","","105.53"
"A001630","종근당홀딩스","12","0","KOSPI","-1.61","427.34","","434.35"
"A001680","대상","12","1","KOSPI","-1.86","824.62","","840.21"
"A001720","신영증권","3","0","KOSPI","-0.64","585.7","","589.46"
"A001740","SK네트웍스","12","1","KOSPI","-0.77","1273.2","","1283.13"
"A001750","한양증권","12","0","KOSPI","-0.54","234.84","","236.11"
"A001770","SHD","12","0","KOSPI","-0.7","34.5","","34.75"
"A001780","알루코","12","0","KOSPI","-1.67","393.32","","400.01"
"A001790","대한제당","12","0","KOSPI","3.37","302.73","","292.86"
"A0017J0","세미티에스","12","0","외감","","","",""
"A001800","오리온홀딩스","12","1","KOSPI","-0.9","1039.91","","1049.31"
"A001810","무림SP","12","0","KOSDAQ","-2.33","74.16","","75.93"
"A001820","삼화콘덴서","12","0","KOSPI","-3.88","617.46","","642.41"
