"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A001570","금양","12","0","KOSPI","-0.98","109.34","","110.42"
"A0015G0","그린광학","12","0","외감","","","",""
"A0015N0","아로마티카","12","0","외감","","","",""
"A0015S0","페스카로","12","0","외감","","","",""
"A001620","케이비아이동국실업","12","0","KOSPI","-2.45","63.71","","65.31"
"A001630","종근당홀딩스","12","0","KOSPI","-3.91","357.2","","371.73"
"A001680","대상","12","1","KOSPI","-2.26","822.89","","841.95"
"A001720","신영증권","3","0","KOSPI","-0.51","549.09","","551.91"
"A001740","SK네트웍스","12","1","KOSPI","-3.05","1422.12","","1466.79"
"A001750","한양증권","12","0","KOSPI","-1.69","96.23","","97.88"
"A001770","SHD","12","0","KOSPI","3.55","26.61","","25.69"
"A001780","알루코","12","0","KOSPI","-4.23","261.58","","273.13"
"A001790","대한제당","12","0","KOSPI","-1.55","196.25","","199.34"
"A0017J0","세미티에스","12","0","외감","","","",""
"A001800","오리온홀딩스","12","1","KOSPI","-3.91","1694.52","","1763.43"
"A001810","무림SP","12","0","KOSDAQ","-2.68","68.4","","70.29"
"A001820","삼화콘덴서","12","0","KOSPI","-5.27","466.74","","492.72"
"A001840","이화공영","12","0","KOSDAQ","10.89","143.2","","129.13"
"A001940","KISCO홀딩스","12","0","KOSPI","-3.6","237.24","","246.11"
"A002020","코오롱","12","0","KOSPI","-3.93","589.79","","613.91"
"A002030","아세아","12","0","KOSPI","-2.98","249.78","","257.45"
"A002070","비비안","12","0","KOSPI","-0.42","48.97","","49.17"
"A002100","경농","12","0","KOSPI","-2.24","132.32","","135.36"
"A002140","고려산업","12","0","KOSPI","1.62","85.79","","84.42"
"A002150","도화엔지니어링","12","0","KOSPI","-2.74","167.59","","172.31"
"A002170","SYTS","12","0","KOSPI","-2.01","131.85","","134.55"
"A002200","한국수출포장","12","0","KOSPI","-2.8","90.4","","93"
"A002210","동성제약","12","0","KOSPI","-9.65","544.64","","602.82"
"A002220","한일철강","12","0","KOSPI","-3.21","52.22","","53.96"
"A002230","피에스텍","12","0","KOSDAQ","-4.2","112.11","","117.03"
"A002240","고려제강","12","1","KOSPI","-1.21","572","","579"
"A002290","삼일기업공사","12","0","KOSDAQ","-2.61","37.08","","38.07"
"A002310","아세아제지","12","0","KOSPI","-1.52","260.63","","264.66"
"A002320","한진","12","0","KOSPI","-4.05","269.43","","280.81"
"A002350","넥센타이어","12","1","KOSPI","-1.63","1181.78","","1201.31"
"A002360","SH에너지화학","12","0","KOSPI","-2.8","154.48","","158.92"
"A002380","KCC","12","1","KOSPI","-1.72","3610.33","","3673.67"
"A002390","한독","12","0","KOSPI","-6.08","510.63","","543.66"
"A002410","범양건영","12","0","KOSPI","-3.59","44.69","","46.35"
"A002420","세기상사","12","0","KOSPI","-4.71","35.46","","37.21"
"A002450","삼익악기","12","0","KOSPI","-2.21","180.16","","184.23"
"A002460","HS화성","12","0","KOSPI","-3.21","188.01","","194.23"
"A002600","조흥","12","0","KOSPI","-4.39","137.1","","143.4"
"A002620","제일파마홀딩스","12","0","KOSPI","-5.12","132.97","","140.14"
"A002630","오리엔트바이오","3","0","KOSPI","-4.57","170.39","","178.54"
"A002680","한탑","12","0","KOSDAQ","-6.67","46.59","","49.92"
"A002690","동일제강","12","0","KOSPI","-3.32","48.08","","49.73"
"A002700","신일전자","12","0","KOSPI","-1.86","112.61","","114.74"
"A002710","TCC스틸","12","0","KOSPI","-2.27","43.23","","44.24"
"A002720","국제약품","12","0","KOSPI","-7.88","105.77","","114.82"
"A002760","보락","12","0","KOSPI","-2.9","90.15","","92.84"
"A002780","진흥기업","12","0","KOSPI","-0.26","275.44","","276.17"
"A002790","아모레퍼시픽홀딩스","12","1","KOSPI","-1.88","10760.79","","10966.94"
"A002800","신신제약","12","0","KOSDAQ","-6.25","170.67","","182.05"
"A002810","삼영무역","12","0","KOSPI","-0.28","295.58","","296.4"
"A002820","SUN&L","12","0","KOSPI","-3.24","86.62","","89.52"
"A002840","미원상사","12","0","KOSPI","-1.05","185.94","","187.93"
"A002870","신풍","12","0","KOSPI","-1.95","35.13","","35.83"
"A002880","디와이에이","12","0","KOSPI","-5.18","109.33","","115.3"
"A002900","TYM","12","0","KOSPI","-7.64","130.45","","141.24"
"A002920","유성기업","12","0","KOSPI","-1.9","87.18","","88.87"
"A002960","한국쉘석유","12","1","KOSPI","-1.19","432.25","","437.45"
"A002990","금호건설","12","0","KOSPI","-5.68","387.17","","410.48"
"A003000","부광약품","12","1","KOSPI","-5.53","1065.09","","1127.48"
"A003010","혜인","12","0","KOSPI","4.57","52.38","","50.09"
"A003030","세아제강지주","12","1","KOSPI","-4.82","510","","535.8"
"A003060","에이프로젠바이오로직스","12","0","KOSPI","-4.44","371.78","","389.07"
"A003070","코오롱글로벌","12","0","KOSPI","-2.81","244.54","","251.6"
"A003080","SB성보","12","0","KOSPI","0","121.72","","121.72"
"A003090","대웅","12","0","KOSPI","-5.6","1127.95","","1194.82"
"A003100","선광","12","0","KOSDAQ","-2.92","120.78","","124.41"
"A003120","일성아이에스","12","0","KOSPI","-3","300.58","","309.89"
"A003160","디아이","12","0","KOSPI","-3.78","152.13","","158.11"
"A003200","일신방직","12","0","KOSPI","-0.92","258","","260.4"
"A003220","대원제약","12","0","KOSPI","-5.65","382.93","","405.85"
"A003230","삼양식품","12","0","KOSPI","-5.29","606.41","","640.31"
"A003240","태광산업","12","1","KOSPI","-2.58","1302.68","","1337.19"
"A003280","흥아해운","12","0","KOSPI","-4.43","105.61","","110.51"
"A003300","한일홀딩스","12","1","KOSPI","-2.64","833.76","","856.39"
"A003310","대주산업","12","0","KOSDAQ","-2.03","59.64","","60.87"
"A003350","한국화장품제조","12","0","KOSPI","-6.59","183.09","","196.01"
"A003380","하림지주","12","0","KOSDAQ","-4.45","986.52","","1032.48"
"A003460","유화증권","12","0","KOSPI","-1.36","164.44","","166.71"
"A003470","유안타증권","12","0","KOSPI","-7.28","877.23","","946.09"
"A003480","한진중공업홀딩스","12","0","KOSPI","-3.43","108.08","","111.92"
"A003490","대한항공","12","1","KOSPI","-4.79","2921.21","","3068.22"
"A003520","영진약품","12","1","KOSPI","-5.19","1503.38","","1585.68"
"A003530","한화투자증권","12","0","KOSPI","-6.59","513.02","","549.23"
"A003540","대신증권","12","0","KOSPI","-5.61","682.9","","723.52"
"A003550","LG","12","1","KOSPI","-3.37","14839.91","","15357.58"
"A003570","SNT다이내믹스","12","0","KOSPI","-1.27","251.99","","255.24"
"A003580","HLB글로벌","12","0","KOSPI","-1.44","104.92","","106.46"
"A003610","방림","9","0","KOSPI","-1.33","78.7","","79.76"
"A003620","KG모빌리티","12","1","KOSPI","-0.2","691.13","","692.51"
"A003650","미창석유","12","0","KOSPI","0.25","137.43","","137.09"
"A003670","포스코퓨처엠","12","0","KOSDAQ","-5.17","2764.48","","2915.1"
"A003680","한성기업","12","0","KOSPI","-2.49","36.43","","37.36"
"A003690","코리안리","12","0","KOSPI","-1.3","1372.21","","1390.26"
"A003720","삼영","12","0","KOSPI","0","34.85","","34.85"
"A003780","진양산업","12","0","KOSPI","-4.46","37.64","","39.39"
"A003800","에이스침대","12","0","KOSDAQ","1.09","451.36","","446.48"
"A003830","대한화섬","12","0","KOSPI","0.9","148.74","","147.41"
"A003850","보령","12","1","KOSPI","-4.68","468.52","","491.5"
"A003920","남양유업","12","1","KOSPI","-1.76","481.68","","490.32"
"A003960","사조대림","12","0","KOSPI","-4.43","167.19","","174.94"
"A004000","롯데정밀화학","12","1","KOSPI","-2.35","1824.06","","1867.92"
"A004020","현대제철","12","1","KOSPI","-2.85","6598.89","","6792.39"
"A004060","SG세계물산","12","0","KOSPI","-5.08","173.88","","183.19"
