"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","0.2","274.85","","274.29"
"A000040","KR모터스","12","0","KOSPI","-0.16","60.47","","60.57"
"A000050","경방","12","0","KOSPI","-0.4","338.58","","339.95"
"A000070","삼양홀딩스","12","1","KOSPI","-2.54","625.19","","641.46"
"A000080","하이트진로","12","1","KOSPI","-2.5","2188.17","","2244.28"
"A000100","유한양행","12","1","KOSPI","-0.71","4078.99","","4108.29"
"A000120","CJ대한통운","12","1","KOSPI","0.44","2623.42","","2612.01"
"A000140","하이트진로홀딩스","12","0","KOSPI","-1.29","266.88","","270.36"
"A000150","두산","12","1","KOSPI","1.14","1176.5","","1163.28"
"A000180","성창기업지주","12","0","KOSPI","0.75","141.25","","140.2"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-1.42","1452.24","","1473.2"
"A000220","유유제약","12","0","KOSPI","-0.49","105.81","","106.32"
"A000230","일동홀딩스","12","0","KOSPI","-0.71","242.93","","244.66"
"A000240","한국앤컴퍼니","12","1","KOSPI","-1.15","1219.92","","1234.16"
"A000250","삼천당제약","12","0","KOSDAQ","-2.51","794.6","","815.1"
"A000270","기아","12","1","KOSPI","-6.11","31172.44","","33199.26"
"A000300","DH오토넥스","12","0","KOSPI","0.11","108.05","","107.93"
"A000320","노루홀딩스","12","0","KOSPI","-1.4","140.89","","142.88"
"A000370","한화손해보험","12","0","KOSPI","6.65","496.14","","465.2"
"A000390","SP삼화","12","0","KOSPI","1.34","185.8","","183.35"
"A000400","롯데손해보험","12","0","KOSPI","0.29","535.33","","533.78"
"A000430","대원강업","12","0","KOSPI","0","178.56","","178.56"
"A000440","중앙에너비스","12","0","KOSDAQ","-2.25","148.83","","152.25"
"A000480","CR홀딩스","12","0","KOSPI","0.12","320.8","","320.4"
"A000490","대동","12","0","KOSPI","-1.27","280.01","","283.6"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","2.41","106.09","","103.59"
"A000520","삼일제약","12","0","KOSPI","5.61","110.98","","105.09"
"A000540","흥국화재","12","0","KOSPI","-0.9","211.36","","213.29"
"A000590","CS홀딩스","12","0","KOSPI","-0.7","65.57","","66.04"
"A000640","동아쏘시오홀딩스","12","0","KOSPI","0","647.59","","647.59"
"A000650","천일고속","12","0","KOSPI","0.16","89.61","","89.47"
"A000660","SK하이닉스","12","1","KOSPI","-1.36","68432.22","","69378.63"
"A000670","영풍","12","1","KOSPI","-2.39","979.97","","1003.91"
"A000680","LS네트웍스","12","0","KOSPI","0","210.8","","210.8"
"A000700","유수홀딩스","12","0","KOSPI","0.69","152.34","","151.3"
"A000720","현대건설","12","1","KOSPI","0.63","4420.82","","4392.98"
"A000760","이화산업","12","0","KOSPI","0.32","43.68","","43.54"
"A0007C0","아크릴","12","0","외감","","","",""
"A0007J0","인벤테라","12","0","외감","","","",""
"A000810","삼성화재","12","1","KOSPI","-0.25","9474.97","","9498.65"
"A000850","화천기공","12","0","KOSPI","0","71.72","","71.72"
"A000860","강남제비스코","12","0","KOSPI","0","138.45","","138.45"
"A000880","한화","12","1","KOSPI","1.15","1971.41","","1948.93"
"A000890","보해양조","12","0","KOSPI","0.54","103.78","","103.23"
"A0008Z0","에스엔시스","12","0","외감","","","",""
"A000910","유니온","12","0","KOSPI","3.11","87.89","","85.24"
"A000950","전방","12","0","KOSPI","1.51","84.5","","83.24"
"A000970","한국주철관","12","0","KOSPI","-0.49","185.14","","186.05"
"A000990","DB하이텍","12","1","KOSPI","-0.19","2313.17","","2317.61"
"A0009K0","에임드바이오","12","0","외감","","","",""
"A001000","신라섬유","12","0","KOSDAQ","1.13","43.34","","42.85"
"A001020","페이퍼코리아","12","0","KOSPI","0.31","76.82","","76.58"
"A001040","CJ","12","1","KOSPI","-0.51","2287.48","","2299.15"
"A001060","JW중외제약","12","0","KOSPI","0","501.22","","501.22"
