"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","0.98","431.54","","427.35"
"A000040","KR모터스","12","0","KOSPI","-0.34","84.79","","85.08"
"A000050","경방","12","0","KOSPI","0.37","374.22","","372.85"
"A000070","삼양홀딩스","12","1","KOSPI","-1.48","856.43","","869.27"
"A000080","하이트진로","12","1","KOSPI","-0.83","2093.49","","2111.02"
"A000100","유한양행","12","1","KOSPI","1.39","4590.23","","4527.25"
"A000120","CJ대한통운","12","1","KOSPI","1.14","3045.45","","3011.23"
"A000140","하이트진로홀딩스","12","0","KOSPI","0.4","287.76","","286.6"
"A000150","두산","12","1","KOSPI","5.24","1991.12","","1891.98"
"A000180","성창기업지주","12","0","KOSPI","-1.59","172.29","","175.08"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","3.7","1351.65","","1303.46"
"A000220","유유제약","12","0","KOSPI","3.63","157.5","","151.99"
"A000230","일동홀딩스","12","0","KOSPI","1.85","190.99","","187.53"
"A000240","한국앤컴퍼니","12","1","KOSPI","-0.64","1476.24","","1485.74"
"A000250","삼천당제약","12","0","KOSDAQ","-4.15","1025.7","","1070.1"
"A000270","기아","12","1","KOSPI","-1.28","34293.74","","34739.64"
"A000300","DH오토넥스","12","0","KOSPI","-0.79","151.25","","152.46"
"A000320","노루홀딩스","12","0","KOSPI","0.39","170.13","","169.46"
"A000370","한화손해보험","12","0","KOSPI","3.76","450.61","","434.27"
"A000390","SP삼화","12","0","KOSPI","0","247.28","","247.28"
"A000400","롯데손해보험","12","0","KOSPI","1.54","510.5","","502.74"
"A000430","대원강업","12","0","KOSPI","-0.14","229.09","","229.4"
"A000440","중앙에너비스","12","0","KOSDAQ","1.99","95.59","","93.72"
"A000480","CR홀딩스","12","0","KOSPI","-0.6","332","","334"
"A000490","대동","12","0","KOSPI","-0.5","238.47","","239.65"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","0.62","101.72","","101.1"
"A000520","삼일제약","12","0","KOSPI","0.12","113.31","","113.17"
"A000540","흥국화재","12","0","KOSPI","-0.94","236.41","","238.66"
"A000590","CS홀딩스","12","0","KOSPI","0.16","73.89","","73.77"
"A000640","동아쏘시오홀딩스","12","0","KOSPI","0","726.79","","726.79"
"A000650","천일고속","12","0","KOSPI","0.3","94.33","","94.04"
"A000660","SK하이닉스","12","1","KOSPI","-1.61","88816.29","","90272.29"
"A000670","영풍","12","1","KOSPI","1.53","1219.43","","1201.01"
"A000680","LS네트웍스","12","0","KOSPI","0","232.47","","232.47"
"A000700","유수홀딩스","12","0","KOSPI","0.15","175","","174.74"
"A000720","현대건설","12","1","KOSPI","0","5322.81","","5322.81"
"A000760","이화산업","12","0","KOSPI","0.63","44.38","","44.1"
"A0007C0","아크릴","12","0","외감","","","",""
"A0007J0","인벤테라","12","0","외감","","","",""
"A000810","삼성화재","12","1","KOSPI","1.89","10209.28","","10019.78"
"A000850","화천기공","12","0","KOSPI","1","77.66","","76.89"
"A000860","강남제비스코","12","0","KOSPI","0.43","152.1","","151.45"
"A000880","한화","12","1","KOSPI","0.62","2436.16","","2421.17"
"A000890","보해양조","12","0","KOSPI","0.44","126.7","","126.15"
"A0008Z0","에스엔시스","12","0","외감","","","",""
"A000910","유니온","12","0","KOSPI","2.15","111.15","","108.81"
"A000950","전방","12","0","KOSPI","-0.12","68.21","","68.29"
"A000970","한국주철관","12","0","KOSPI","1.43","209.99","","207.03"
"A000990","DB하이텍","12","1","KOSPI","-2.24","3099.02","","3170.06"
"A0009K0","에임드바이오","12","0","외감","","","",""
"A001000","신라섬유","12","0","KOSDAQ","-0.69","52.44","","52.8"
"A001020","페이퍼코리아","12","0","KOSPI","0.3","68.1","","67.89"
"A001040","CJ","12","1","KOSPI","1.88","2529.65","","2482.96"
"A001060","JW중외제약","12","0","KOSPI","-2.49","505.11","","518.04"
"A001070","대한방직","12","0","KOSPI","0.11","252.02","","251.75"
"A001080","만호제강","6","0","KOSPI","2.29","92.55","","90.47"
"A0010F0","보원케미칼","12","0","외감","","","",""
"A0010V0","제이피아이헬스케어","12","0","외감","","","",""
"A001120","LX인터내셔널","12","1","KOSPI","2.92","1023.26","","994.19"
"A001130","대한제분","12","0","KOSPI","2.6","267.02","","260.26"
"A0011A0","액스비스","12","0","외감","","","",""
"A0011T0","채비","12","0","외감","","","",""
"A001200","유진투자증권","12","0","KOSPI","0.81","363.73","","360.83"
"A001210","금호전기","12","0","KOSPI","2.27","66.38","","63.41"
"A001230","동국홀딩스","12","1","KOSPI","1.55","1560.33","","1536.47"
"A001250","GS글로벌","12","0","KOSPI","2.17","193.95","","189.83"
"A001260","남광토건","12","0","KOSPI","0.43","115.98","","115.49"
"A001270","부국증권","12","0","KOSPI","0","262.88","","262.88"
"A001290","상상인증권","12","0","KOSPI","-0.45","108.23","","108.72"
"A001340","PKC","12","0","KOSPI","1.16","235.82","","233.13"
"A001360","삼성제약","12","0","KOSPI","-0.4","337.15","","338.5"
"A001380","SG글로벌","12","0","KOSPI","1.12","81.39","","80.49"
"A001390","KG케미칼","12","0","KOSPI","0.79","439.56","","436.09"
"A0013V0","삼진식품","12","0","외감","","","",""
"A001420","태원물산","12","0","KOSPI","0","40.05","","40.05"
"A001430","세아베스틸지주","12","0","KOSPI","2.23","740.55","","724.41"
"A001440","대한전선","12","1","KOSPI","0","1554.5","","1554.5"
"A001450","현대해상","12","1","KOSPI","1.82","2252.88","","2212.65"
"A001460","BYC","12","0","KOSPI","1.18","267.96","","264.84"
"A001470","삼부토건","12","0","KOSPI","0.48","290.24","","288.87"
"A001500","현대차증권","12","0","KOSPI","1.57","410.68","","404.34"
"A001510","SK증권","12","0","KOSPI","0","484.4","","484.4"
"A001520","동양","12","0","KOSPI","0.33","365.19","","363.99"
"A001530","DI동일","12","0","KOSPI","0.38","660.3","","657.79"
"A001540","안국약품","12","0","KOSDAQ","2.33","143.47","","140.21"
"A001550","조비","12","0","KOSPI","-0.75","103.33","","104.1"
"A001560","제일연마","12","0","KOSPI","-2.12","92.4","","94.4"
"A001570","금양","12","0","KOSPI","-0.1","233.54","","233.78"
"A0015G0","그린광학","12","0","외감","","","",""
"A0015N0","아로마티카","12","0","외감","","","",""
"A0015S0","페스카로","12","0","외감","","","",""
"A001620","케이비아이동국실업","12","0","KOSPI","1.66","69.34","","68.2"
"A001630","종근당홀딩스","12","0","KOSPI","-1.75","366.72","","373.23"
"A001680","대상","12","1","KOSPI","0.86","812.5","","805.57"
"A001720","신영증권","3","0","KOSPI","1.18","565.05","","558.48"
"A001740","SK네트웍스","12","1","KOSPI","-0.59","1245.9","","1253.35"
"A001750","한양증권","12","0","KOSPI","1.25","206.2","","203.66"
"A001770","SHD","12","0","KOSPI","0","34.14","","34.14"
"A001780","알루코","12","0","KOSPI","1.33","307.98","","303.94"
"A001790","대한제당","12","0","KOSPI","-0.16","278.06","","278.51"
"A0017J0","세미티에스","12","0","외감","","","",""
"A001800","오리온홀딩스","12","1","KOSPI","0.61","1027.38","","1021.12"
"A001810","무림SP","12","0","KOSDAQ","-0.64","68.63","","69.07"
"A001820","삼화콘덴서","12","0","KOSPI","-0.55","565.49","","568.61"
"A001840","이화공영","12","0","KOSDAQ","0.54","110.12","","109.53"
"A001940","KISCO홀딩스","12","0","KOSPI","1.31","286.38","","282.69"
"A002020","코오롱","12","0","KOSPI","0.63","400.89","","398.36"
"A002030","아세아","12","0","KOSPI","0.79","279.36","","277.16"
"A002070","비비안","12","0","KOSPI","-0.35","85.21","","85.51"
"A002100","경농","12","0","KOSPI","0.87","226.46","","224.51"
"A002140","고려산업","12","0","KOSPI","-0.35","71.83","","72.07"
