"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","-1.05","262.28","","265.07"
"A000040","KR모터스","12","0","KOSPI","-0.54","52.88","","53.16"
"A000050","경방","12","0","KOSPI","-0.46","294.71","","296.08"
"A000070","삼양홀딩스","12","0","KOSPI","0.71","606.35","","602.07"
"A000080","하이트진로","12","1","KOSPI","0.79","1795.42","","1781.39"
"A000100","유한양행","12","1","KOSPI","-2.13","4042.38","","4130.26"
"A000120","CJ대한통운","12","1","KOSPI","-1.55","2034.86","","2066.8"
"A000140","하이트진로홀딩스","12","0","KOSPI","-0.51","226.73","","227.89"
"A000150","두산","12","1","KOSPI","2.4","1480.54","","1445.84"
"A000180","성창기업지주","12","0","KOSPI","2.05","155.89","","152.76"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-0.49","1272.02","","1278.31"
"A000220","유유제약","12","0","KOSPI","-0.32","106.84","","107.19"
"A000230","일동홀딩스","12","0","KOSPI","-2.52","223.31","","229.08"
"A000240","한국앤컴퍼니","12","1","KOSPI","0","1286.37","","1286.37"
"A000250","삼천당제약","12","0","KOSDAQ","-3.09","1033.67","","1066.68"
"A000270","기아","12","1","KOSPI","-0.31","25902.72","","25983.79"
"A000300","DH오토넥스","12","0","KOSPI","-1.04","92.32","","93.29"
"A000320","노루홀딩스","12","0","KOSPI","-0.49","134.24","","134.91"
"A000370","한화손해보험","12","0","KOSPI","-2.95","517.74","","533.5"
"A000390","SP삼화","12","0","KOSPI","-0.17","159.14","","159.41"
"A000400","롯데손해보험","12","0","KOSPI","-0.34","459.3","","460.85"
"A000430","대원강업","12","0","KOSPI","-0.47","197.47","","198.4"
"A000440","중앙에너비스","12","0","KOSDAQ","-0.77","120.81","","121.74"
"A000480","CR홀딩스","12","0","KOSPI","0.13","303.2","","302.8"
"A000490","대동","12","0","KOSPI","-2.76","295.56","","303.94"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","-1.82","119.87","","122.09"
"A000520","삼일제약","12","0","KOSPI","-3.36","114.52","","118.49"
"A000540","흥국화재","12","0","KOSPI","-0.75","212.32","","213.93"
"A000590","CS홀딩스","12","0","KOSPI","-1.28","71","","71.92"
"A000640","동아쏘시오홀딩스","12","0","KOSPI","-1.32","619.02","","627.27"
"A000650","천일고속","12","0","KOSPI","0.17","84.47","","84.32"
"A000660","SK하이닉스","12","1","KOSPI","0.58","62972.2","","62608.2"
"A000670","영풍","12","1","KOSPI","-0.64","1142.06","","1149.43"
"A000680","LS네트웍스","12","0","KOSPI","-0.62","189.13","","190.31"
