"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","0.67","167.03","","165.91"
"A000040","KR모터스","12","0","KOSPI","4.06","33.17","","31.87"
"A000050","경방","12","0","KOSPI","1.85","271.69","","266.75"
"A000070","삼양홀딩스","12","0","KOSPI","0.86","456.48","","452.59"
"A000080","하이트진로","12","1","KOSPI","-1.5","1154.4","","1171.93"
"A000100","유한양행","12","1","KOSPI","3.19","6698.36","","6491.28"
"A000120","CJ대한통운","12","1","KOSPI","3.85","2030.3","","1955.02"
"A000140","하이트진로홀딩스","12","0","KOSPI","1.06","199.81","","197.72"
"A000150","두산","12","1","KOSPI","8.25","25910.14","","23934.49"
"A000180","성창기업지주","12","0","KOSPI","0.51","83","","82.59"
"A0001A0","덕양에너젠","12","0","KOSDAQ","-2.71","338.4","","347.82"
"A000210","DL","12","1","KOSPI","7.94","1196.58","","1108.57"
"A000220","유유제약","12","0","KOSPI","0","65.32","","65.32"
"A000230","일동홀딩스","12","0","KOSPI","1.52","92.67","","91.28"
"A000240","한국앤컴퍼니","12","1","KOSPI","6.47","2264.21","","2126.55"
"A000250","삼천당제약","12","0","KOSDAQ","2.31","8327.4","","8139.74"
"A000270","기아","12","1","KOSPI","12.38","65550.34","","58327.7"
"A000300","DH오토넥스","12","0","KOSPI","0","174.04","","174.04"
"A000320","노루홀딩스","12","0","KOSPI","2.93","251.87","","244.69"
"A000370","한화손해보험","12","0","KOSPI","-2.2","831.18","","849.86"
"A000390","SP삼화","12","0","KOSPI","2.14","207.56","","203.21"
"A000400","롯데손해보험","12","0","KOSPI","0","679.64","","679.64"
"A000430","대원강업","12","0","KOSPI","3.63","265.67","","256.37"
"A000440","중앙에너비스","12","0","KOSDAQ","-0.77","112.52","","113.4"
"A000480","CR홀딩스","12","0","KOSPI","0.1","223.9","","223.67"
"A000490","대동","12","0","KOSPI","5.38","270.97","","257.14"
"A0004V0","엔비알모션","12","0","KOSDAQ","0.13","155.13","","154.92"
"A000500","가온전선","12","0","KOSPI","17.02","6766.13","","5781.82"
"A000520","삼일제약","12","0","KOSPI","-10.33","152.49","","170.06"
"A000540","흥국화재","12","0","KOSPI","2.33","253.44","","247.66"
"A000590","CS홀딩스","12","0","KOSPI","0.53","88.2","","87.74"
"A000640","동아쏘시오홀딩스","12","0","KOSPI","1.93","605.93","","594.48"
"A000650","천일고속","12","0","KOSPI","-4.55","315.14","","330.15"
"A000660","SK하이닉스","12","1","KOSPI","11.17","1382642.59","","1243665.63"
"A000670","영풍","12","1","KOSPI","2.47","994.18","","970.24"
"A000680","LS네트웍스","12","0","KOSPI","4.86","297.48","","283.69"
"A000700","유수홀딩스","12","0","KOSPI","1.25","147.66","","145.83"
"A000720","현대건설","12","1","KOSPI","8","16380.43","","15166.66"
"A000760","이화산업","12","0","KOSPI","-1.73","41.3","","42.03"
"A0007C0","아크릴","12","0","KOSDAQ","6.8","252.15","","236.09"
"A0007J0","인벤테라","12","0","KOSDAQ","3.42","123.65","","119.56"
"A000810","삼성화재","12","1","KOSPI","4.24","25270.47","","24243.58"
"A000850","화천기공","12","0","KOSPI","0.15","75.9","","75.79"
"A000860","강남제비스코","12","0","KOSPI","2.32","194.74","","190.32"
"A000880","한화","12","1","KOSPI","9.43","9490.37","","8672.47"
"A000890","보해양조","12","0","KOSPI","-5.25","43.84","","46.27"
"A0008Z0","에스엔시스","12","0","KOSDAQ","2.41","320.37","","312.82"
"A000910","유니온","12","0","KOSPI","0.66","59.95","","59.56"
"A000950","전방","12","0","KOSPI","0.9","47.21","","46.79"
"A000970","한국주철관","12","0","KOSPI","1.64","155.73","","153.22"
"A000990","DB하이텍","12","0","KOSPI","11.73","7874.33","","7047.74"
"A0009K0","에임드바이오","12","0","KOSDAQ","1.2","2179.42","","2153.55"
"A001000","신라섬유","12","0","KOSDAQ","-2.02","32.9","","33.58"
"A001020","페이퍼코리아","12","0","KOSPI","0","119.96","","119.96"
"A001040","CJ","12","1","KOSPI","1.61","4965.93","","4887.15"
"A001060","JW중외제약","12","0","KOSPI","1.23","668.31","","660.16"
"A001070","대한방직","12","0","KOSPI","-0.17","32.01","","32.07"
"A001080","만호제강","6","0","KOSPI","-1.57","208.33","","211.65"
"A0010F0","보원케미칼","12","0","KOSDAQ","0.52","42.9","","42.68"
"A0010V0","제이피아이헬스케어","12","0","KOSDAQ","0","49.27","","49.27"
"A001120","LX인터내셔널","12","0","KOSPI","1.03","1705.44","","1688"
"A001130","대한제분","12","0","KOSPI","-3.82","208.55","","216.83"
"A0011A0","액스비스","12","0","KOSDAQ","13.62","194.61","","171.27"
"A0011T0","채비","12","0","KOSDAQ","9.38","643.77","","588.56"
"A001200","유진투자증권","12","0","KOSPI","5.45","505.64","","479.49"
"A001210","금호전기","12","0","KOSPI","-0.53","46.41","","46.66"
"A001230","동국홀딩스","12","0","KOSPI","0","362.53","","362.53"
"A001250","GS글로벌","12","0","KOSPI","0.14","293.82","","293.41"
"A001260","남광토건","12","0","KOSPI","4.24","82.1","","78.76"
"A001270","부국증권","12","0","KOSPI","4.35","670.93","","642.93"
"A001290","상상인증권","12","0","KOSPI","4.5","123.18","","117.87"
"A001340","PKC","12","0","KOSPI","4.68","261.29","","249.6"
"A001360","삼성제약","12","0","KOSPI","1.52","151.04","","148.78"
"A001380","SG글로벌","12","0","KOSPI","-1.77","39.95","","40.67"
"A001390","KG케미칼","12","0","KOSPI","2.18","346.25","","338.85"
"A0013V0","삼진식품","12","0","KOSDAQ","1.62","62.29","","61.3"
"A001420","태원물산","12","0","KOSPI","3.2","22.08","","21.39"
"A001430","세아베스틸지주","12","1","KOSPI","6.42","2316.69","","2176.83"
"A001440","대한전선","12","1","KOSPI","7.69","10975.59","","10191.61"
"A001450","현대해상","12","1","KOSPI","3.27","3230.91","","3128.61"
"A001460","BYC","12","0","KOSPI","-1.42","261.09","","264.84"
"A001470","삼부토건","12","0","KOSPI","0","79.7","","79.7"
"A001500","현대차증권","12","0","KOSPI","5.22","648.01","","615.86"
"A001510","SK증권","12","0","KOSPI","5.65","907.83","","859.26"
"A001520","동양","12","0","KOSPI","5.79","157.05","","148.46"
"A001530","DI동일","12","0","KOSPI","0.35","592.47","","590.4"
"A001540","안국약품","12","0","KOSDAQ","-2.88","140.73","","144.9"
"A001550","조비","12","0","KOSPI","1.37","65.53","","64.64"
"A001560","제일연마","12","0","KOSPI","0.99","77.9","","77.14"
"A001570","금양","12","0","KOSPI","0","633.28","","633.28"
"A0015G0","그린광학","12","0","KOSDAQ","6.06","286.71","","270.33"
"A0015N0","아로마티카","12","0","KOSDAQ","-1.26","89.64","","90.79"
"A0015S0","페스카로","12","0","KOSDAQ","6.36","113.86","","107.05"
"A001620","케이비아이동국실업","12","0","KOSPI","4.2","60.77","","58.32"
"A001630","종근당홀딩스","12","0","KOSPI","-0.66","226.2","","227.7"
"A001680","대상","12","1","KOSPI","1.72","675.98","","664.55"
"A001720","신영증권","3","0","KOSPI","6","2960.84","","2793.16"
"A001740","SK네트웍스","12","0","KOSPI","4.74","1638.85","","1564.63"
"A001750","한양증권","12","0","KOSPI","2.12","306.76","","300.39"
"A001770","SHD","12","0","KOSPI","-1.09","18.73","","18.94"
"A001780","알루코","12","0","KOSPI","4.34","244.5","","234.33"
"A001790","대한제당","12","0","KOSPI","-0.38","238.14","","239.04"
"A0017J0","세미티에스","12","0","외감","","","",""
"A001800","오리온홀딩스","12","1","KOSPI","0.82","1547.34","","1534.81"
"A001810","무림SP","12","0","KOSDAQ","-0.51","30.44","","30.59"
"A001820","삼화콘덴서","12","0","KOSPI","-0.13","816.01","","817.05"
"A001840","이화공영","12","0","KOSDAQ","0","62.59","","62.59"
"A001940","KISCO홀딩스","12","0","KOSPI","-0.66","322.51","","324.64"
"A002020","코오롱","12","0","KOSPI","1.42","831.25","","819.64"
"A002030","아세아","12","1","KOSPI","0.43","478.68","","476.62"
"A002070","비비안","12","0","KOSPI","-0.78","21.4","","21.57"
"A002100","경농","12","0","KOSPI","-0.65","180","","181.17"
"A002140","고려산업","12","0","KOSPI","-1.27","58.23","","58.98"
"A002150","도화엔지니어링","12","0","KOSPI","1.37","198.95","","196.25"
"A002170","SYTS","12","0","KOSPI","1.27","167.7","","165.6"
"A002200","한국수출포장","12","0","KOSPI","1.96","98.8","","96.9"
"A002210","동성제약","12","0","KOSPI","0","94.01","","94.01"
"A002220","한일철강","12","0","KOSPI","0","121.47","","121.47"
"A002230","피에스텍","12","0","KOSDAQ","0.9","146.65","","145.34"
"A002240","고려제강","12","0","KOSPI","-0.24","565.65","","567"
"A002290","삼일기업공사","12","0","KOSDAQ","-0.8","46","","46.38"
"A002310","아세아제지","12","0","KOSPI","1.11","324.27","","320.72"
"A002320","한진","12","0","KOSPI","-0.51","271.73","","273.13"
"A002350","넥센타이어","12","0","KOSPI","2.8","644.61","","627.03"
"A002360","SH에너지화학","12","0","KOSPI","0","39.79","","39.79"
"A002380","KCC","12","1","KOSPI","9.73","4554.23","","4150.37"
"A002390","한독","12","0","KOSPI","-0.33","123.46","","123.87"
"A002410","범양건영","12","0","KOSPI","0","53.17","","53.17"
"A002420","세기상사","12","0","KOSPI","7.25","38.86","","36.24"
"A002450","삼익악기","12","0","KOSPI","0","120.5","","120.5"
"A002460","HS화성","12","0","KOSPI","0.17","122.92","","122.71"
