"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A000020","동화약품","12","0","KOSPI","-1.47","224.85","","228.2"
"A000040","KR모터스","12","0","KOSPI","-3.77","53.23","","55.32"
"A000050","경방","12","0","KOSPI","-0.9","271.41","","273.88"
"A000070","삼양홀딩스","12","1","KOSPI","0.31","556.68","","554.96"
"A000080","하이트진로","12","1","KOSPI","3.51","1963.74","","1897.11"
"A000100","유한양행","12","1","KOSPI","0","3015.4","","3015.4"
"A000120","CJ대한통운","12","1","KOSPI","-0.33","3467.48","","3478.88"
"A000140","하이트진로홀딩스","12","0","KOSPI","2.79","299.37","","291.24"
"A000150","두산","12","1","KOSPI","-2.09","1159.97","","1184.76"
"A000180","성창기업지주","12","0","KOSPI","-0.32","109.16","","109.51"
"A0001A0","덕양에너젠","12","0","외감","","","",""
"A000210","DL","12","1","KOSPI","-0.45","3107.64","","3121.56"
"A000220","유유제약","12","0","KOSPI","-0.92","68.78","","69.42"
"A000230","일동홀딩스","12","0","KOSPI","0.44","125.43","","124.88"
"A000240","한국앤컴퍼니","12","1","KOSPI","-2.76","1311.58","","1348.79"
"A000250","삼천당제약","12","0","KOSDAQ","-1.85","702.96","","716.23"
"A000270","기아","12","1","KOSPI","1.34","18342.69","","18099.47"
"A000300","DH오토넥스","12","0","KOSPI","-0.27","79.19","","79.4"
"A000320","노루홀딩스","12","0","KOSPI","0","163.48","","163.48"
"A000370","한화손해보험","12","0","KOSPI","-0.35","332.12","","333.29"
"A000390","SP삼화","12","0","KOSPI","0.2","134.57","","134.31"
"A000400","롯데손해보험","12","0","KOSPI","1.26","623.78","","616.02"
"A000430","대원강업","12","0","KOSPI","0.88","213.59","","211.73"
"A000440","중앙에너비스","12","0","KOSDAQ","-0.15","41.35","","41.41"
"A000480","CR홀딩스","12","0","KOSPI","1.92","340.4","","334"
"A000490","대동","12","0","KOSPI","0.72","133.35","","132.4"
"A0004V0","엔비알모션","12","0","외감","","","",""
"A000500","가온전선","12","0","KOSPI","1.84","103.38","","101.51"
"A000520","삼일제약","12","0","KOSPI","-0.5","128.7","","129.35"
"A000540","흥국화재","12","0","KOSPI","-0.32","201.4","","202.04"
"A000590","CS홀딩스","12","0","KOSPI","0","65","","65"
"A000640","동아쏘시오홀딩스","12","1","KOSPI","-0.46","659.87","","662.94"
"A000650","천일고속","12","0","KOSPI","0.42","102.62","","102.19"
"A000660","SK하이닉스","12","1","KOSPI","0.22","67704.22","","67558.62"
"A000670","영풍","12","1","KOSPI","-0.93","1171.54","","1182.59"
"A000680","LS네트웍스","12","0","KOSPI","0","182.43","","182.43"
"A000700","유수홀딩스","12","0","KOSPI","-0.44","176.04","","176.82"
"A000720","현대건설","12","1","KOSPI","-0.35","4710.35","","4727.05"
"A000760","이화산업","12","0","KOSPI","-0.32","44.1","","44.24"
"A0007C0","아크릴","12","0","외감","","","",""
"A0007J0","인벤테라","12","0","외감","","","",""
"A000810","삼성화재","12","1","KOSPI","0.2","11938.46","","11914.77"
"A000850","화천기공","12","0","KOSPI","1.43","85.58","","84.37"
"A000860","강남제비스코","12","0","KOSPI","1","130.97","","129.68"
"A000880","한화","12","1","KOSPI","-0.6","1877.72","","1888.96"
"A000890","보해양조","12","0","KOSPI","-1.47","126.65","","128.54"
"A0008Z0","에스엔시스","12","0","외감","","","",""
"A000910","유니온","12","0","KOSPI","0.13","61.51","","61.43"
"A000950","전방","12","0","KOSPI","1.27","26.71","","26.38"
"A000970","한국주철관","12","0","KOSPI","2.9","242.83","","235.99"
"A000990","DB하이텍","12","1","KOSPI","3.29","1183.22","","1145.48"
"A0009K0","에임드바이오","12","0","외감","","","",""
"A001000","신라섬유","12","0","KOSDAQ","-3.86","48.43","","50.38"
"A001020","페이퍼코리아","12","0","KOSPI","-0.89","59.8","","60.34"
"A001040","CJ","12","1","KOSPI","-2.06","2768.9","","2827.25"
"A001060","JW중외제약","12","1","KOSPI","-0.87","582.11","","587.19"
"A001070","대한방직","12","0","KOSPI","0.5","106.53","","106"
"A001080","만호제강","6","0","KOSPI","-1.56","65.36","","66.4"
