date,sample,universe,breadth20,dispersion20,abs_opportunity20,range20,leader_abs_share20,rank_agreement_20_60,sign_agreement_20_60,avg_pair_corr_60,pc1_share_60,rank_persistence_next20,top2_same_share_next20,top2_survival_top4_next20,top2_alpha_vs_ew8_next20,bottom2_alpha_vs_ew8_next20,winner_minus_loser_next20,future_dispersion20,future_abs_opportunity20,future_breadth20,cur20_MOM1M,fwd20_MOM1M,cur20_MOM12_1,fwd20_MOM12_1,cur20_OP12_REV,fwd20_OP12_REV,cur20_OPFY1_REV,fwd20_OPFY1_REV,cur20_PBR12MF,fwd20_PBR12MF,cur20_PER12MF,fwd20_PER12MF,cur20_PRIVATE_FLOW,fwd20_PRIVATE_FLOW,cur20_FOREIGN_FLOW,fwd20_FOREIGN_FLOW
2016-04-01,2016_2019,K200,0.875,0.025305509769322113,0.028379647703858868,0.0782099961554783,0.2769395747088472,0.14285714285714288,0.625,-0.04505056829009312,0.6026823691374554,0.523809523809524,0.5,1.0,0.021579319523281362,-0.003307850904737439,0.0248871704280188,0.03521764477893208,0.02831166036224804,0.5,0.0039886178266381744,0.022130977614004177,0.010615111341820915,-0.0610861995765708,0.031154425416777265,-0.0022390330355368526,0.05138487294181027,0.014083162427844353,0.030254891535802964,0.04452151318870867,0.0628755805239487,0.025639965019001787,0.021429266412543058,-0.024610241013122036,-0.015334415631529597,-0.03218219102319564
2016-04-08,2016_2019,K200,0.75,0.029931601484286748,0.027026225038611587,0.08840801103591067,0.30253849998267673,-0.4761904761904762,0.375,-0.034684248554940955,0.559361480572856,-0.04761904761904763,0.0,0.0,-0.0024308054170530946,-0.008453686021974882,0.0060228806049217876,0.019589157065070587,0.015342433309883441,0.5,0.007265879361095129,0.01695251329828329,0.033180426236179894,-0.03410051491820043,0.0415126764011009,-0.012954502526634881,0.06541178866700648,-0.006526100772050514,-0.012333109871052295,0.005500235443277379,0.03289992806768205,0.006399987037688071,0.0006097693358717571,0.0032790125311266127,-0.022996222368904196,-0.03702659995180635
2016-04-18,2016_2019,K200,0.75,0.03405783677458294,0.03348280948268299,0.0914314678131195,0.2500117658925138,0.38095238095238104,0.625,-0.03281277767721267,0.5408450021581664,-0.3333333333333334,0.0,0.5,-0.014507146878596958,-4.873692658820261e-05,-0.014458409952008755,0.041724204859952214,0.035178644971431125,0.375,0.00633189936798817,0.03684061749530465,-0.02446269720665406,0.039129851313790764,0.05133336669734301,-0.012173254957841051,0.05972338985392511,-0.006107463280532022,0.04540344561937992,-0.060299706003722364,0.06696877060646544,-0.049169803009671886,0.007726185904533223,0.0122181660106091,-0.005912720605175004,-0.06549029769997716
2016-04-25,2016_2019,K200,0.625,0.04167240596081654,0.03516363978492293,0.13068787384408953,0.2605420024883373,0.6904761904761906,0.5,-0.021868399583933166,0.5591225884241099,-0.5952380952380953,0.0,0.5,-0.02471684570888484,0.016961733313935398,-0.04167857902282024,0.048607568662087305,0.03776721780301005,0.375,0.046518699596459934,0.010109467676583161,-0.057395032849350436,0.061743159591168606,0.011094821505805985,-0.0022811048087547636,0.02296360955890364,-0.00444928760040042,0.0732928409947391,-0.0796244528535055,0.046358266535681425,-0.056975626745234376,-0.008633810446317947,0.03905365642598313,-0.015052036792124968,-0.04790098672245047
2016-05-02,2016_2019,K200,0.5,0.03521764477893208,0.02831166036224804,0.10560771276527947,0.269704243741678,0.7857142857142858,0.625,-0.02171122028294909,0.5840521192142138,-0.7619047619047621,0.0,0.0,-0.05867583614116072,0.028071448410040514,-0.08674728455120123,0.049654594942967395,0.03962117289247043,0.25,0.022130977614004177,-0.014854360488537943,-0.0610861995765708,0.07124016853814918,-0.0022390330355368526,-0.0034967922156065034,0.014083162427844353,-0.0076845948653476714,0.04452151318870867,-0.07913886700893236,0.025639965019001787,-0.06822037799404923,-0.024610241013122036,0.027229377590412218,-0.03218219102319564,-0.04510484443872831
2016-05-11,2016_2019,K200,0.5,0.019589157065070587,0.015342433309883441,0.05397911325008964,0.30166824912931334,0.8095238095238096,1.0,-0.012725831718466706,0.5410234161325811,-0.38095238095238104,0.0,0.0,-0.018434590678117826,0.007669375591583025,-0.02610396626970085,0.02285600535985353,0.01813410812259096,0.5,0.01695251329828329,-0.007174129036216947,-0.03410051491820043,0.03430747381961541,-0.012954502526634881,0.006953216805430262,-0.006526100772050514,0.01339427883787403,0.005500235443277379,-0.016698528497678833,0.006399987037688071,-0.0364943834892647,0.0032790125311266127,0.004282800688952149,-0.03702659995180635,-0.025768053805695357
2016-05-18,2016_2019,K200,0.375,0.041724204859952214,0.035178644971431125,0.10462014901376793,0.23270615508770445,-0.09523809523809526,0.5,0.06422364139812527,0.45010938236624987,0.5476190476190477,0.5,0.5,0.00593742226005943,-0.00878770919687373,0.01472513145693316,0.02105312214937057,0.01679494934190333,0.5,0.03684061749530465,-0.017606746000589313,0.039129851313790764,0.020858337580540676,-0.012173254957841051,0.006720694483516532,-0.006107463280532022,0.018090043345250884,-0.060299706003722364,-0.020923924898464952,-0.049169803009671886,-0.04062088591344404,0.0122181660106091,0.004264216077970229,-0.06549029769997716,-0.005274746435450006
2016-05-25,2016_2019,K200,0.375,0.048607568662087305,0.03776721780301005,0.1413676124446741,0.26353692926501265,-0.4285714285714286,0.5,0.05317067773389753,0.44785927782101775,-0.1666666666666667,0.0,0.5,-0.008454023294593965,-0.010663771760601043,0.0022097484660070776,0.02193724391692631,0.017508182988409365,0.375,0.010109467676583161,-0.031797141843247445,0.061743159591168606,-0.0004180094138490631,-0.0022811048087547636,0.02116498718841786,-0.00444928760040042,0.030544078013314158,-0.0796244528535055,-0.005040823335599964,-0.056975626745234376,-0.021781185550677873,0.03905365642598313,-0.02198450254041462,-0.04790098672245047,0.00733473602175394
2016-06-01,2016_2019,K200,0.25,0.049654594942967395,0.03962117289247043,0.15037903554708154,0.24967353699911493,0.6428571428571429,0.5,0.10829467922372908,0.39000755509017143,0.2380952380952381,0.0,0.5,-0.003069312230014956,-0.026627465295352995,0.02355815306533804,0.025016952653643194,0.02293848245025258,0.5,-0.014854360488537943,-0.016492600236757027,0.07124016853814918,0.015867774513517396,-0.0034967922156065034,0.01771380975362935,-0.0076845948653476714,0.021153043990625786,-0.07913886700893236,-0.03131367883084002,-0.06822037799404923,-0.02828034674107005,0.027229377590412218,-0.02834549395475139,-0.04510484443872831,0.024341111580829633
2016-06-09,2016_2019,K200,0.5,0.02285600535985353,0.01813410812259096,0.07080185730888011,0.25155899067763515,0.8333333333333335,0.75,0.10407860058247152,0.39218509719786493,0.6666666666666669,0.5,1.0,0.025769150172667635,-0.009567337446621457,0.03533648761928909,0.032943912170108246,0.028147503031557733,0.5,-0.007174129036216947,-0.019792090537481766,0.03430747381961541,0.026835104752793493,0.006953216805430262,0.030102080116874097,0.01339427883787403,0.013803070389005079,-0.016698528497678833,-0.050072450371050015,-0.0364943834892647,-0.05008430655726448,0.004282800688952149,-0.014441415067508068,-0.025768053805695357,0.020049506460484867
