date,sample,universe_a,universe_b,rank_corr_20
2016-05-02,2016_2019,K200,KOSPI_KOSDAQ_ALL,0.8571428571428572
2016-05-02,2016_2019,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,0.9047619047619048
2016-05-02,2016_2019,KOSDAQ,KOSPI_ALL,0.7619047619047621
2016-05-02,2016_2019,KOSDAQ,KOSPI_EX_K200,-0.04761904761904763
2016-05-02,2016_2019,KOSDAQ,KOSPI_KOSDAQ_ALL,0.880952380952381
2016-05-02,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,0.8095238095238096
2016-05-02,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,0.14285714285714288
2016-05-02,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,0.9285714285714287
2016-05-02,2016_2019,KOSPI_ALL,KOSPI_EX_K200,0.2380952380952381
2016-05-02,2016_2019,KOSPI_ALL,KOSPI_KOSDAQ_ALL,0.9047619047619048
2016-05-02,2016_2019,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,-0.04761904761904763
2016-05-11,2016_2019,K200,KOSDAQ,-0.2142857142857143
2016-05-11,2016_2019,K200,KOSDAQ_PLUS_KOSPI_EX_K200,-0.04761904761904763
2016-05-11,2016_2019,K200,KOSPI_ALL,0.5714285714285715
2016-05-11,2016_2019,K200,KOSPI_EX_K200,-0.5714285714285715
2016-05-11,2016_2019,K200,KOSPI_KOSDAQ_ALL,0.09523809523809526
2016-05-11,2016_2019,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,0.8571428571428572
2016-05-11,2016_2019,KOSDAQ,KOSPI_ALL,0.0
2016-05-11,2016_2019,KOSDAQ,KOSPI_EX_K200,-0.3333333333333334
2016-05-11,2016_2019,KOSDAQ,KOSPI_KOSDAQ_ALL,0.8571428571428572
2016-05-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,0.09523809523809526
2016-05-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,-0.4761904761904762
2016-05-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,0.8095238095238096
