sample,n_pair_dates,median_pair_rank_corr_20,median_of_pair_medians,positive_pair_share
2016_2019,2755,0.6904761904761906,0.6904761904761906,0.9197822141560799
2020_2022,2155,0.6904761904761906,0.6904761904761906,0.9113689095127611
2023_2024,1455,0.6904761904761906,0.6904761904761906,0.8536082474226804
2025,735,0.7142857142857144,0.7142857142857144,0.8965986394557823
2026,375,0.7380952380952381,0.7142857142857144,0.8933333333333333
FULL,7475,0.6904761904761906,0.6904761904761906,0.9008695652173913
