sample,universe,factor,n_5d,mean_5d,median_5d,vol_5d,sharpe_5d_ann,positive_share,q10,q90,skew
2016_2019,K200,FOREIGN_FLOW,195,-0.0012039490412515158,-0.0010950914249339,0.01357993163006919,-0.6293986252825311,0.4717948717948718,-0.0179593546247213,0.014379312281133417,0.30138015506573057
2016_2019,K200,MOM12_1,195,-0.0015356525702818718,-0.0008549327667444,0.020052544406257877,-0.5436742354994715,0.49743589743589745,-0.0233224284386896,0.022498301847936133,-0.6431274288835813
2016_2019,K200,MOM1M,195,-0.002197121977585474,-0.0015993145436102,0.01920282737777745,-0.8122771916997805,0.46153846153846156,-0.022122524961561637,0.021326615428529917,-0.6287317563948569
2016_2019,K200,OP12_REV,195,0.0020416214615648336,0.0012131108554692,0.015365432529854133,0.9432910213263486,0.5487179487179488,-0.016628189808301417,0.02134623712100382,0.232914538991691
2016_2019,K200,OPFY1_REV,195,0.0005684608502576599,0.0014847443218813,0.01483120574480689,0.27210678362038315,0.5384615384615384,-0.01814245036186396,0.01675638499446043,0.10126632402928555
2016_2019,K200,PBR12MF,195,0.002332802276726864,-0.0006340117313013,0.02371747317236846,0.6982722461374766,0.4717948717948718,-0.021801667156020797,0.034868939735011296,0.9600788739033012
2016_2019,K200,PER12MF,195,0.0020943762022128877,-0.0002648730075947,0.022629550025261107,0.6570433805861053,0.49743589743589745,-0.02223400807862254,0.03255750606074415,0.5246844578815304
2016_2019,K200,PRIVATE_FLOW,195,0.0013445598491095387,0.0023944905683069,0.011983330417530424,0.796558859348256,0.558974358974359,-0.01462877309937612,0.015372048893240519,-0.02126372668928729
2016_2019,KOSDAQ,FOREIGN_FLOW,195,-0.001335045767412675,-0.0010770577955375,0.01813098834888003,-0.5227450675356519,0.4666666666666667,-0.02404020576872872,0.021760403656140518,-0.07365004867091196
2016_2019,KOSDAQ,MOM12_1,195,-0.0014882378550066602,-0.0006703838016828,0.03192616027620885,-0.33093364727644436,0.48205128205128206,-0.03483604100653866,0.03223387143378352,-0.5170813186715266
2016_2019,KOSDAQ,MOM1M,195,-0.0009106245898908921,-0.0006569609262895,0.03027082237739293,-0.21356516816419055,0.4666666666666667,-0.03510556061196274,0.03371706668742594,-0.19367568848437725
2016_2019,KOSDAQ,OP12_REV,195,0.0048495115223690256,0.0052480748562596,0.02268784611648621,1.5174695876246234,0.5846153846153846,-0.02378128378732282,0.034515325733387704,0.03927634159579065
2016_2019,KOSDAQ,OPFY1_REV,195,0.00268408427562423,0.002848710684327,0.022530112790959705,0.8457617695830283,0.558974358974359,-0.02501368158169694,0.0303582321329511,0.040832534875659104
2016_2019,KOSDAQ,PBR12MF,195,0.001689488140862799,-0.0005020083783319,0.029597882906609273,0.4052376313055698,0.49230769230769234,-0.03229871784664958,0.0380646260597311,0.12089539248536864
2016_2019,KOSDAQ,PER12MF,195,0.0018446534414391267,0.0035011523092426,0.025375783077263597,0.5160723623067778,0.558974358974359,-0.029868413505813197,0.037872186569761754,0.12042150221243411
2016_2019,KOSDAQ,PRIVATE_FLOW,195,0.0001461533630835808,-0.0020362487301391,0.017972950895140626,0.057730416888051576,0.4512820512820513,-0.01904354368935434,0.021842570156745195,0.23873964308871817
