sample,universe,n_states,median_rank_persistence_next20,positive_rank_persistence_share,mean_top2_same_share_next20,mean_top2_survival_top4_next20,mean_top2_alpha_vs_ew8_next20,mean_winner_minus_loser_next20,dispersion_current_future_spearman,abs_opportunity_current_future_spearman,breadth_current_future_spearman,median_avg_pair_corr_60,median_pc1_share_60,median_cross_horizon_rank_agreement
2016_2019,K200,184,0.0,0.4945652173913043,0.24728260869565216,0.5163043478260869,-0.00044311625282457683,-0.0028600646466810003,0.2004738880006164,0.21498526323900521,-0.011007962901017704,0.07798898057181894,0.44368060724602204,0.5476190476190477
2016_2019,KOSDAQ,184,0.059523809523809534,0.592391304347826,0.2554347826086957,0.5244565217391305,0.0011585615225811951,0.006433679841598156,0.12773593265396543,0.044246884090077244,0.0014513385189430022,0.08511507252472793,0.3829656911842294,0.523809523809524
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,184,0.10714285714285715,0.5706521739130435,0.26902173913043476,0.5516304347826086,0.0037153706848179046,0.008141121985601787,0.18575253799772684,0.09650170484097784,0.09339565200424035,0.10213400369759959,0.40012438267560224,0.5714285714285715
2016_2019,KOSPI_ALL,184,0.07142857142857144,0.5543478260869565,0.2418478260869565,0.5190217391304348,-0.0020453811237663637,-0.0017774864658851553,0.13834832694419294,0.08156074820365625,0.04698773146832797,0.08599168609952282,0.43243168533795195,0.5952380952380953
2016_2019,KOSPI_EX_K200,183,0.11904761904761905,0.5683060109289617,0.23497267759562843,0.5191256830601093,0.0015791656411741793,0.003540587315107955,0.1486492837169958,-0.0039182129346063774,0.002850333307537507,0.04443963683831508,0.38587019338487527,0.6190476190476191
2016_2019,KOSPI_KOSDAQ_ALL,184,0.07142857142857144,0.5489130434782609,0.26358695652173914,0.532608695652174,0.0010365162869182144,0.0019176699286041813,0.1847546762728516,0.02404114734834621,0.1453797669070749,0.08285682895740387,0.42958435437597725,0.5357142857142858
2020_2022,K200,149,-0.023809523809523815,0.4899328859060403,0.2516778523489933,0.4697986577181208,-0.0025660202787802485,-0.0030432735157294,0.023566116452022494,-0.13042626519136585,-0.08481912085184277,0.07593449083349538,0.5096949508037661,0.5714285714285715
2020_2022,KOSDAQ,149,0.11904761904761905,0.5704697986577181,0.3187919463087248,0.5302013422818792,0.004186997500917145,0.006797687538976952,0.20306185380010883,0.10560856158171594,0.034742892649313926,0.05113617147145706,0.4055042511647273,0.5952380952380953
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,149,0.2142857142857143,0.6174496644295302,0.3523489932885906,0.5637583892617449,0.006974994070553342,0.017832153460829597,0.23885724650825324,0.2166624342463269,0.04451633800183837,0.05205208528886797,0.4240494966342117,0.6666666666666669
2020_2022,KOSPI_ALL,149,0.04761904761904763,0.5369127516778524,0.21140939597315436,0.4865771812080537,-0.002082094387370404,0.0036636587827876877,0.2360058044621803,0.04400145111554508,-0.06991339539889134,0.06893529549993596,0.460311014866801,0.5476190476190477
