universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,LATE_2020_2022,10,0.030028779041317066,0.06690804621447849,-0.0019322538075846052,0.10692213750090124,7
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,NORMAL_2023_2024,10,-0.00023758612345659014,0.02023192184538755,-0.009065120535020565,0.09642857142857147,5
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,PRE_STRESS_2017_2024,10,0.005770110617788704,0.007837396670870467,0.010997040232222144,0.09934481188947125,6
K200,WEIGHTED_MOM_R1M_GE0,ACT5_KEEP_TOP70,60,YTD_2026,10,0.010400898537139991,-0.09888910159481967,0.010860456074823444,0.07738095238095233,5
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,BULL_2025,10,0.06270699784921996,0.0506066795725193,-0.0009076825799952393,-0.006385869565217445,7
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,EARLY_2017_2019,10,-0.002806612244857065,-0.015271375025209644,-0.0053209440684302,-0.001726598173516003,4
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,LATE_2020_2022,10,0.006623219797707025,0.03464652026511572,-0.008945009810536253,-0.005342927127985397,7
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,NORMAL_2023_2024,10,-0.00833161644385394,-0.0502125624580535,0.0054139853472499055,0.0015306122448980053,3
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,PRE_STRESS_2017_2024,10,-0.0006248632110190666,-0.003499996839666508,-0.003939712824839681,-0.0019599780701753944,5
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,30,YTD_2026,10,0.060027011206255754,0.036063963425349455,-0.0013045432050658445,-0.009340659340659335,7
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,BULL_2025,10,0.06125281369225666,0.05499136947248773,-0.0008385800738920368,-0.006385869565217445,7
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,EARLY_2017_2019,10,-0.002754095593094974,-0.013339291032576195,-0.010248273679216269,-0.001726598173516003,4
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,LATE_2020_2022,10,0.0065057106638628515,0.037514429964311036,-0.01058873536917071,-0.005342927127985397,7
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,NORMAL_2023_2024,10,-0.00848032416691058,-0.05394152417706053,0.0033490912999793454,0.0015306122448980053,3
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,PRE_STRESS_2017_2024,10,-0.0005466076679916942,-0.003179246894734533,-0.00044631645032039424,-0.0019599780701753944,5
K200,WEIGHTED_MOM_R1M_GE0,MCAP_W10,60,YTD_2026,10,0.060590583786965246,0.03812028726539057,-0.0012383409473887275,-0.009340659340659335,7
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,30,BULL_2025,10,0.0780446491589285,0.10613810091440223,0.0028230364583138323,-0.006385869565217445,9
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,30,EARLY_2017_2019,10,0.0026853904122071115,0.030666511841932587,-0.009967128339811504,-0.0020833333333333814,6
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,30,LATE_2020_2022,10,0.009859302345468224,0.038191317391421925,0.0021799596364107665,-0.00136835505788363,7
K200,WEIGHTED_MOM_R1M_GE0,RAW_TA_W10,30,NORMAL_2023_2024,10,-0.0012748971361974948,-0.004803651194511243,-0.0026098150819584,0.0051020408163265085,4
