universe,factor,overlay,phase,cost_bp,period,ann_return,sharpe,mdd,avg_turnover
K200,WEIGHTED_MOM,ACT1_W10,0,30,PRE_STRESS_2017_2024,-0.10189989836451363,-0.4620390662647417,-0.6127776489010333,0.5204081632653061
K200,WEIGHTED_MOM,ACT1_W10,0,30,EARLY_2017_2019,-0.124402168664839,-0.7937985313815337,-0.41617897039942076,0.5253424657534247
K200,WEIGHTED_MOM,ACT1_W10,0,30,LATE_2020_2022,-0.1292318921585638,-0.5038075101023124,-0.5440799555958697,0.5209459459459459
K200,WEIGHTED_MOM,ACT1_W10,0,30,NORMAL_2023_2024,-0.022734187006313022,-0.02136723259996586,-0.23211737742087568,0.5122448979591837
K200,WEIGHTED_MOM,ACT1_W10,0,30,BULL_2025,0.6920851994069974,1.6859832241370025,-0.12088857057475011,0.4770833333333333
K200,WEIGHTED_MOM,ACT1_W10,0,30,YTD_2026,0.8104778928332301,1.6694279698730092,-0.23218471945492103,0.4433333333333333
K200,WEIGHTED_MOM,ACT1_W10,0,60,PRE_STRESS_2017_2024,-0.1367311712625291,-0.6670834163210664,-0.6990027668937016,0.5204081632653061
K200,WEIGHTED_MOM,ACT1_W10,0,60,EARLY_2017_2019,-0.15873200848251745,-1.0534438740727625,-0.454966927825441,0.5253424657534247
K200,WEIGHTED_MOM,ACT1_W10,0,60,LATE_2020_2022,-0.16305193235489135,-0.680129105315484,-0.5710944896253344,0.5209459459459459
K200,WEIGHTED_MOM,ACT1_W10,0,60,NORMAL_2023_2024,-0.05993531392010809,-0.2195486595600382,-0.24739779359763114,0.5122448979591837
K200,WEIGHTED_MOM,ACT1_W10,0,60,BULL_2025,0.6331389957246039,1.5819842470796157,-0.12591622261731328,0.4770833333333333
K200,WEIGHTED_MOM,ACT1_W10,0,60,YTD_2026,0.7532539335494033,1.5876728192116822,-0.23701950382219483,0.4433333333333333
K200,WEIGHTED_MOM,ACT1_W10,1,30,PRE_STRESS_2017_2024,-0.0963170887255057,-0.41362803339590226,-0.5860667890814782,0.5178571428571429
K200,WEIGHTED_MOM,ACT1_W10,1,30,EARLY_2017_2019,-0.12996396576513847,-0.7424306478625718,-0.4439271343223812,0.5335616438356164
K200,WEIGHTED_MOM,ACT1_W10,1,30,LATE_2020_2022,-0.08974180343877514,-0.29359097901526127,-0.4741066029119475,0.5033783783783785
K200,WEIGHTED_MOM,ACT1_W10,1,30,NORMAL_2023_2024,-0.05417401269863764,-0.20648032435805644,-0.2578399913260926,0.5163265306122449
K200,WEIGHTED_MOM,ACT1_W10,1,30,BULL_2025,0.7136803975598014,1.6829045133705662,-0.13274682548823513,0.48333333333333334
K200,WEIGHTED_MOM,ACT1_W10,1,30,YTD_2026,0.638167491543651,1.205458821107538,-0.2575268258479022,0.43666666666666665
K200,WEIGHTED_MOM,ACT1_W10,1,60,PRE_STRESS_2017_2024,-0.131188987023654,-0.6120952701109773,-0.6826334174615327,0.5178571428571429
K200,WEIGHTED_MOM,ACT1_W10,1,60,EARLY_2017_2019,-0.16458834913945497,-0.9827125388573964,-0.4807361658149123,0.5335616438356164
K200,WEIGHTED_MOM,ACT1_W10,1,60,LATE_2020_2022,-0.12385256862998573,-0.45909031060597505,-0.5054377777645593,0.5033783783783785
K200,WEIGHTED_MOM,ACT1_W10,1,60,NORMAL_2023_2024,-0.09056072990541564,-0.4148378149549457,-0.2744052475438553,0.5163265306122449
K200,WEIGHTED_MOM,ACT1_W10,1,60,BULL_2025,0.6534327343943793,1.5824414720217623,-0.1382628317736463,0.48333333333333334
K200,WEIGHTED_MOM,ACT1_W10,1,60,YTD_2026,0.5862399103376825,1.1415320139093228,-0.2620062659185275,0.43666666666666665
K200,WEIGHTED_MOM,ACT1_W10,2,30,PRE_STRESS_2017_2024,-0.060391156542252133,-0.201127062786049,-0.4856016186278115,0.500761421319797
K200,WEIGHTED_MOM,ACT1_W10,2,30,EARLY_2017_2019,-0.10545270234015747,-0.6129762466942412,-0.3882599662118592,0.5195945945945946
K200,WEIGHTED_MOM,ACT1_W10,2,30,LATE_2020_2022,-0.020313054437282596,0.03235786829932818,-0.41991642253157624,0.4824324324324324
K200,WEIGHTED_MOM,ACT1_W10,2,30,NORMAL_2023_2024,-0.0498654117381071,-0.1351436590251713,-0.2489112809538323,0.5000000000000001
K200,WEIGHTED_MOM,ACT1_W10,2,30,BULL_2025,0.8757443637999553,1.962105290380539,-0.10274117530701266,0.45625
K200,WEIGHTED_MOM,ACT1_W10,2,30,YTD_2026,0.43511793384079667,0.9409943529290425,-0.2919662973789606,0.4766666666666666
K200,WEIGHTED_MOM,ACT1_W10,2,60,PRE_STRESS_2017_2024,-0.0954044053654316,-0.3859443450386331,-0.5818219633213172,0.500761421319797
K200,WEIGHTED_MOM,ACT1_W10,2,60,EARLY_2017_2019,-0.14009182454043223,-0.8580206238409563,-0.42721385455813854,0.5195945945945946
K200,WEIGHTED_MOM,ACT1_W10,2,60,LATE_2020_2022,-0.05541359952532354,-0.12066598171230083,-0.4421987528629663,0.4824324324324324
K200,WEIGHTED_MOM,ACT1_W10,2,60,NORMAL_2023_2024,-0.0852339636590207,-0.3119435033635047,-0.2630936102766862,0.5000000000000001
K200,WEIGHTED_MOM,ACT1_W10,2,60,BULL_2025,0.8132978109306832,1.8625318832390205,-0.10867545627688335,0.45625
K200,WEIGHTED_MOM,ACT1_W10,2,60,YTD_2026,0.38639872664306685,0.8748773849572546,-0.2968203201545414,0.4766666666666666
K200,WEIGHTED_MOM,ACT1_W10,3,30,PRE_STRESS_2017_2024,-0.11382489237571936,-0.4923782575012746,-0.6461035157022861,0.5104060913705584
K200,WEIGHTED_MOM,ACT1_W10,3,30,EARLY_2017_2019,-0.15644922780598913,-0.9373529692765259,-0.4506443613360157,0.5232876712328767
K200,WEIGHTED_MOM,ACT1_W10,3,30,LATE_2020_2022,-0.1066147700455673,-0.35426491315761205,-0.4789495353888773,0.49666666666666665
K200,WEIGHTED_MOM,ACT1_W10,3,30,NORMAL_2023_2024,-0.05805182289970234,-0.205021494199626,-0.25352136275724724,0.5122448979591837
K200,WEIGHTED_MOM,ACT1_W10,3,30,BULL_2025,0.9038204066442079,2.0563068061954812,-0.12890570946724256,0.4666666666666666
K200,WEIGHTED_MOM,ACT1_W10,3,30,YTD_2026,0.3543898967458723,0.8264373817944166,-0.2905638799921535,0.4607142857142858
K200,WEIGHTED_MOM,ACT1_W10,3,60,PRE_STRESS_2017_2024,-0.147570528185912,-0.6827673668391839,-0.7269920151554126,0.5104060913705584
K200,WEIGHTED_MOM,ACT1_W10,3,60,EARLY_2017_2019,-0.189405520810648,-1.176492390977064,-0.4868170891903322,0.5232876712328767
K200,WEIGHTED_MOM,ACT1_W10,3,60,LATE_2020_2022,-0.13973666204976098,-0.5125614210863815,-0.5038775569768494,0.49666666666666665
K200,WEIGHTED_MOM,ACT1_W10,3,60,NORMAL_2023_2024,-0.09398244599731975,-0.4000914939041598,-0.2691317724598784,0.5122448979591837
K200,WEIGHTED_MOM,ACT1_W10,3,60,BULL_2025,0.8393308532391637,1.9542219482232794,-0.13297998977631698,0.4666666666666666
K200,WEIGHTED_MOM,ACT1_W10,3,60,YTD_2026,0.30969255679376495,0.7605449322646721,-0.29406163591413936,0.4607142857142858
K200,WEIGHTED_MOM,ACT1_W10,4,30,PRE_STRESS_2017_2024,-0.09721192569173198,-0.40567588784487624,-0.5794835586695111,0.5214285714285715
K200,WEIGHTED_MOM,ACT1_W10,4,30,EARLY_2017_2019,-0.1301908126402357,-0.8438714633394837,-0.4225108471084452,0.5349315068493151
K200,WEIGHTED_MOM,ACT1_W10,4,30,LATE_2020_2022,-0.1059980515240615,-0.34097105836537,-0.42440759817060836,0.514
K200,WEIGHTED_MOM,ACT1_W10,4,30,NORMAL_2023_2024,-0.029932993215290304,-0.05211796988239092,-0.24112019740086688,0.5125000000000001
