sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,n_left,n_right,mkt_5d_diff,mkt_20d_diff,mom_top_fwd20_diff,mom_spread_fwd20_diff,oth_top_fwd20_diff,oth_spread_fwd20_diff
OOS,K200,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,11,14,0.004350897134022116,-0.014066419779163508,-0.054189779423489765,-0.0170597785476657,-0.0516489426767418,-0.004031209561629586
OOS,K200,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,33,-0.010891246521201657,-0.05134572137333556,-0.025213052099875673,-0.019693348412147895,-0.03880054183052029,-0.04597671289158905
OOS,K200,Q33,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,48,-0.0004548799474611634,-0.03016811236301767,-0.0291657872408797,-0.020274852333645746,-0.04513829706918316,-0.025403090166122112
OOS,K200,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,9,11,-0.005254446960193162,0.00315801999239846,0.022039187403735352,0.058983144430573356,-0.02558721414896771,-0.014276176397494428
OOS,K200,Q33,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,9,10,0.007259788084524463,-0.014205816473989163,0.015366844053408206,0.025922321260679476,-0.005186424485762668,0.025153377989286407
OOS,K200,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_MINUS_DEFENSIVE_ROTATION,8,8,-0.022492145488381743,-0.005493836387801421,0.021496371950659468,0.0638402584623089,-0.04980402462518707,-0.04586641331153307
OOS,K200,Q33,MOM12_1,PRIVATE_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,26,-0.029791660158442135,-0.06314717521569169,0.007616438741992998,0.005671280020923465,-0.022374453587152468,-0.0254293447073461
OOS,K200,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,19,-0.02343326291845979,-0.04389248894632126,-0.06421437713910563,-0.005693911099358108,-0.061914440570888504,-0.01788615998064061
OOS,K200,Q33,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,9,19,0.002543835114082566,-0.02432476313465087,-0.08370084624095724,-0.022831969364908115,-0.0749447619263404,-0.02477628391813125
OOS,K200,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,10,37,-0.023176790926332187,-0.053319314006012204,-0.03382199554768448,0.01045218784905734,-0.04916706161576867,-0.005880914126915902
OOS,K200,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,11,37,-0.004715532091046722,-0.006630985598294323,-0.015906180731000853,0.020180469298088064,-0.014052186761271963,0.02848363287805455
OOS,K200,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_MINUS_DEFENSIVE_ROTATION,12,9,-0.006379335835908612,-0.08976884135640055,-0.09078502028821205,-0.017952945801304524,-0.08612896743073939,-0.02623026883890529
OOS,K200,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,33,-0.02070739700328776,-0.06282705055505505,-0.046413534372025715,0.0032468473615522714,-0.04066600515031377,0.009609577706849722
OOS,K200,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,11,33,-0.003641494572669419,-0.026978248808589032,-0.033595964230823554,0.020274086878004766,-0.027491317057813873,0.024424765274059373
OOS,K200,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,16,8,-0.006586296851982086,-0.02480479776102866,-0.040685463028771456,0.00414913504422406,-0.04045574083270978,-0.005428281092692638
OOS,K200,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,16,9,-0.006713498526464372,-0.0459145431649086,-0.07470086132410816,-0.030535232201584446,-0.04398689472259578,0.024945568099986132
OOS,K200,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,9,-0.002802821540475335,-0.034189143003323486,-0.08788067762133009,-0.03903732924709745,-0.07743357527477017,0.0007970465454781514
OOS,K200,Q50,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,9,27,-0.01928789912780184,-0.08264353137213055,-0.06467079649382096,0.007700895840987085,-0.0549043963096967,0.011354447818206551
OOS,K200,Q50,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,8,-0.01594202931326708,-0.08050947826592726,-0.09659884977859928,-0.02543610400985838,-0.06591444319203554,0.033040793311654236
OOS,K200,Q50,MOM1M,PER12MF,MOMENTUM_X_VALUE,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,8,-0.014606180942464254,-0.06947990242879756,-0.11643042048591903,-0.056240467704440536,-0.10608284865361929,-0.0015899188283800686
OOS,KOSDAQ,Q25,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,9,44,0.000611902997264476,-0.008878414038649503,-0.00511663886356753,0.01620270904903507,-0.03984840829896007,-0.02954461947242125
OOS,KOSDAQ,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,14,42,0.004037158336892054,0.014278755030149613,0.008188856563992205,-0.003602733530497268,-0.026517931640524586,-0.030861681152094922
OOS,KOSDAQ,Q25,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,9,24,0.009885573175324378,0.020104683137505103,0.016137265647153416,-0.005902085645295742,0.04466020628410331,0.01874987466764751
OOS,KOSDAQ,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,30,0.004974401203652867,-0.016087148332165003,-0.04516145673831304,-0.028918734279353413,-0.013873396873098557,-0.01019976618574053
OOS,KOSDAQ,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,30,0.0074190209951136826,-0.0013364434993580372,-0.012724139686366126,-0.005898301822220824,0.03066411604768894,0.024392066731789855
OOS,KOSDAQ,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_MINUS_DEFENSIVE_ROTATION,12,8,-0.008762667864402067,0.016257307454885263,0.029575249961862726,0.008419967234801387,0.042764519903573744,0.026498178310941388
OOS,KOSDAQ,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,31,0.0077107823319161,0.033483987314472455,0.02241174116948805,-0.022281405185992267,0.047263094339381514,0.009110951543951099
OOS,KOSDAQ,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,11,31,0.01554154659465911,0.03316478880784538,0.03012570957513226,-0.0003470021522896487,0.05052100166215104,0.015429073187045991
OOS,KOSDAQ,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,8,16,0.005897357615019312,-0.0032177727616483458,-0.013035581051926329,-0.012107720880191013,0.012496191703588393,-0.011027457655843231
OOS,KOSDAQ,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,12,0.012651818183553045,-0.014709561562350308,-0.05524757296560979,-0.06198512272877525,0.017377462658562423,0.010651938190850922
OOS,KOSDAQ,Q33,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,39,0.0007542394022129602,-0.010612106667212086,-0.019377671168739473,-0.0062466625834063615,-0.0399632547645517,-0.02668178290232318
OOS,KOSDAQ,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,38,0.009225779780194766,0.022801678642889407,0.0005347130083312428,-0.029923644019624968,-0.025331048727615754,-0.02790818695281752
OOS,KOSDAQ,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,26,0.006867799571332262,-0.010818599623968644,-0.035196942649229485,-0.023957310301923853,-0.003121227650366421,-0.008090069818836552
OOS,KOSDAQ,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,27,0.008664505074734739,0.03180635757266337,0.029483556256311785,-0.01500121854264825,0.05344104657965956,0.017277852255770967
OOS,KOSDAQ,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,27,0.017440136857574555,0.05146521081872959,0.06678705376802314,0.03368569744823665,0.07094589236553438,0.01937221236078299
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,42,0.010159328488094095,0.040484621814195404,0.06020051110808348,0.02639960915034103,0.01285892726087206,-0.024197828911019282
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,FOREIGN_FLOW,MOMENTUM_X_FLOW,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,28,-0.0021239105958581316,-0.004025949008426678,-0.016683500271835093,-0.01662005754986586,0.0010182618951964668,-0.00912299913460949
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,13,35,-0.0032540945110476607,-0.019308590667988644,-0.029092594259892128,-0.009990614007319744,-0.01393923051769835,0.0018999048964643134
