date,universe,factor,family,cut_name,top_abs_20d,bottom_abs_20d,spread_20d,legacy_ls_compound_20d,relative_state,preferred_abs_sign,state5,state6,strength_vs_cut
2016-02-01,K200,MOM1M,MOMENTUM,Q25,0.04729433241423919,-0.008037846686674621,0.055332179100913814,0.0537396785576465,WORKING,POS,W+,W+,4.800892612274545
2016-02-01,K200,MOM1M,MOMENTUM,Q33,0.04729433241423919,-0.008037846686674621,0.055332179100913814,0.0537396785576465,WORKING,POS,W+,W+,3.4417699107487763
2016-02-01,K200,MOM1M,MOMENTUM,Q50,0.04729433241423919,-0.008037846686674621,0.055332179100913814,0.0537396785576465,WORKING,POS,W+,W+,2.105089848832386
2016-02-11,K200,MOM1M,MOMENTUM,Q25,-0.037220414703844296,-0.008994793937233903,-0.028225620766610393,-0.02886301279886616,REVERSE,NEG,R-,R-,-2.4489939925941737
2016-02-11,K200,MOM1M,MOMENTUM,Q33,-0.037220414703844296,-0.008994793937233903,-0.028225620766610393,-0.02886301279886616,REVERSE,NEG,R-,R-,-1.7556888928873051
2016-02-11,K200,MOM1M,MOMENTUM,Q50,-0.037220414703844296,-0.008994793937233903,-0.028225620766610393,-0.02886301279886616,REVERSE,NEG,R-,R-,-1.0738320579137077
2016-02-18,K200,MOM1M,MOMENTUM,Q25,-0.011242660072541044,0.052827697906587145,-0.06407035797912819,-0.06060090517152261,REVERSE,NEG,R-,R-,-5.559060085575086
2016-02-18,K200,MOM1M,MOMENTUM,Q33,-0.011242660072541044,0.052827697906587145,-0.06407035797912819,-0.06060090517152261,REVERSE,NEG,R-,R-,-3.9853017511075093
2016-02-18,K200,MOM1M,MOMENTUM,Q50,-0.011242660072541044,0.052827697906587145,-0.06407035797912819,-0.06060090517152261,REVERSE,NEG,R-,R-,-2.4375302470365274
2016-02-25,K200,MOM1M,MOMENTUM,Q25,-0.01671721780708202,0.05964865133769903,-0.07636586914478105,-0.0719210275865555,REVERSE,NEG,R-,R-,-6.625879243585567
2016-02-25,K200,MOM1M,MOMENTUM,Q33,-0.01671721780708202,0.05964865133769903,-0.07636586914478105,-0.0719210275865555,REVERSE,NEG,R-,R-,-4.750106626947304
2016-02-25,K200,MOM1M,MOMENTUM,Q50,-0.01671721780708202,0.05964865133769903,-0.07636586914478105,-0.0719210275865555,REVERSE,NEG,R-,R-,-2.9053078795388703
2016-03-04,K200,MOM1M,MOMENTUM,Q25,-0.015539127637936412,0.034581427719499125,-0.05012055535743554,-0.04771332821846186,REVERSE,NEG,R-,R-,-4.348706446203123
2016-03-04,K200,MOM1M,MOMENTUM,Q33,-0.015539127637936412,0.034581427719499125,-0.05012055535743554,-0.04771332821846186,REVERSE,NEG,R-,R-,-3.1175967066945156
2016-03-04,K200,MOM1M,MOMENTUM,Q50,-0.015539127637936412,0.034581427719499125,-0.05012055535743554,-0.04771332821846186,REVERSE,NEG,R-,R-,-1.9068157808922572
2016-03-11,K200,MOM1M,MOMENTUM,Q25,0.07606665289112446,0.07755124042176109,-0.0014845875306366274,-0.0014727739463026301,NEUTRAL,POS,N,N+,-0.1288101322579321
2016-03-11,K200,MOM1M,MOMENTUM,Q33,0.07606665289112446,0.07755124042176109,-0.0014845875306366274,-0.0014727739463026301,NEUTRAL,POS,N,N+,-0.09234425204001383
2016-03-11,K200,MOM1M,MOMENTUM,Q50,0.07606665289112446,0.07755124042176109,-0.0014845875306366274,-0.0014727739463026301,NEUTRAL,POS,N,N+,-0.05648051804984291
2016-03-18,K200,MOM1M,MOMENTUM,Q25,0.04712670864034352,0.0627451762642568,-0.01561846762391328,-0.014958412335794091,REVERSE,POS,R+,R+,-1.3551352404528034
2016-03-18,K200,MOM1M,MOMENTUM,Q33,0.04712670864034352,0.0627451762642568,-0.01561846762391328,-0.014958412335794091,NEUTRAL,POS,N,N+,-0.9714992757099076
2016-03-18,K200,MOM1M,MOMENTUM,Q50,0.04712670864034352,0.0627451762642568,-0.01561846762391328,-0.014958412335794091,NEUTRAL,POS,N,N+,-0.5941981354006377
2016-03-25,K200,MOM1M,MOMENTUM,Q25,0.03054769693064574,0.05695083631814035,-0.026403139387494612,-0.02523911677658397,REVERSE,POS,R+,R+,-2.2908665244341426
2016-03-25,K200,MOM1M,MOMENTUM,Q33,0.03054769693064574,0.05695083631814035,-0.026403139387494612,-0.02523911677658397,REVERSE,POS,R+,R+,-1.6423269816909134
2016-03-25,K200,MOM1M,MOMENTUM,Q50,0.03054769693064574,0.05695083631814035,-0.026403139387494612,-0.02523911677658397,REVERSE,POS,R+,R+,-1.0044965082715047
2016-04-01,K200,MOM1M,MOMENTUM,Q25,0.028629911412371145,0.023244067966756043,0.005385843445615102,0.0039886178266381744,NEUTRAL,POS,N,N+,0.4673023262243759
2016-04-01,K200,MOM1M,MOMENTUM,Q33,0.028629911412371145,0.023244067966756043,0.005385843445615102,0.0039886178266381744,NEUTRAL,POS,N,N+,0.3350100107446416
2016-04-01,K200,MOM1M,MOMENTUM,Q50,0.028629911412371145,0.023244067966756043,0.005385843445615102,0.0039886178266381744,NEUTRAL,POS,N,N+,0.20490218438871402
2016-04-08,K200,MOM1M,MOMENTUM,Q25,0.018137421704449874,0.009515405624895834,0.00862201607955404,0.007265879361095129,NEUTRAL,POS,N,N+,0.7480886162778959
2016-04-08,K200,MOM1M,MOMENTUM,Q33,0.018137421704449874,0.009515405624895834,0.00862201607955404,0.007265879361095129,NEUTRAL,POS,N,N+,0.5363062867717627
2016-04-08,K200,MOM1M,MOMENTUM,Q50,0.018137421704449874,0.009515405624895834,0.00862201607955404,0.007265879361095129,NEUTRAL,POS,N,N+,0.3280210326153424
2016-04-18,K200,MOM1M,MOMENTUM,Q25,0.02873819175735992,0.020738225990586834,0.007999965766773087,0.00633189936798817,NEUTRAL,POS,N,N+,0.6941164648170505
2016-04-18,K200,MOM1M,MOMENTUM,Q33,0.02873819175735992,0.020738225990586834,0.007999965766773087,0.00633189936798817,NEUTRAL,POS,N,N+,0.49761353900202976
2016-04-18,K200,MOM1M,MOMENTUM,Q50,0.02873819175735992,0.020738225990586834,0.007999965766773087,0.00633189936798817,NEUTRAL,POS,N,N+,0.3043553859667619
