universe,factor,family,cut_name,abs_spread_cut,train_n
KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q50,0.01743168285823149,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q25,0.007225131170415455,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q33,0.010128953116477286,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q50,0.017048575602199634,341
KOSPI_ALL,MOM1M,MOMENTUM,Q25,0.012765296092275946,341
KOSPI_ALL,MOM1M,MOMENTUM,Q33,0.01679064977722004,341
KOSPI_ALL,MOM1M,MOMENTUM,Q50,0.02755296129461926,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q25,0.014054171193403686,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q33,0.01768726363526818,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q50,0.02631346284842384,341
KOSPI_ALL,OP12_REV,REVISION,Q25,0.010954264744077347,341
KOSPI_ALL,OP12_REV,REVISION,Q33,0.013954061461960765,341
KOSPI_ALL,OP12_REV,REVISION,Q50,0.022210174255275272,341
KOSPI_ALL,OPFY1_REV,REVISION,Q25,0.010641908608861494,341
KOSPI_ALL,OPFY1_REV,REVISION,Q33,0.014373288146955118,341
KOSPI_ALL,OPFY1_REV,REVISION,Q50,0.022051002510728335,341
KOSPI_ALL,PBR12MF,VALUE,Q25,0.014455027595589698,341
KOSPI_ALL,PBR12MF,VALUE,Q33,0.019976763487316695,341
KOSPI_ALL,PBR12MF,VALUE,Q50,0.03070859999437947,341
KOSPI_ALL,PER12MF,VALUE,Q25,0.014851457129539947,341
KOSPI_ALL,PER12MF,VALUE,Q33,0.021048724485534815,341
KOSPI_ALL,PER12MF,VALUE,Q50,0.03276665589660632,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q25,0.006551569222871145,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q33,0.00882096111653182,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q50,0.014724383297016197,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q25,0.007316190404921041,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q33,0.010189592289097474,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q50,0.01513741812407532,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q25,0.01821692157091115,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q33,0.023166044759015958,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q50,0.03627505576059864,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q25,0.015907848205229502,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q33,0.019259654603286564,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q50,0.029702682762474564,341
KOSPI_EX_K200,OP12_REV,REVISION,Q25,0.013592532537267166,336
KOSPI_EX_K200,OP12_REV,REVISION,Q33,0.019693615719232668,336
KOSPI_EX_K200,OP12_REV,REVISION,Q50,0.03488459924267984,336
KOSPI_EX_K200,OPFY1_REV,REVISION,Q25,0.013448919388042602,337
KOSPI_EX_K200,OPFY1_REV,REVISION,Q33,0.019260991221707324,337
KOSPI_EX_K200,OPFY1_REV,REVISION,Q50,0.03081066645644126,337
KOSPI_EX_K200,PBR12MF,VALUE,Q25,0.018558048498256152,337
KOSPI_EX_K200,PBR12MF,VALUE,Q33,0.02391435654942531,337
KOSPI_EX_K200,PBR12MF,VALUE,Q50,0.03923519235579076,337
KOSPI_EX_K200,PER12MF,VALUE,Q25,0.020267318219549302,337
KOSPI_EX_K200,PER12MF,VALUE,Q33,0.026895138258869022,337
KOSPI_EX_K200,PER12MF,VALUE,Q50,0.041936307096655634,337
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q25,0.009761984224802012,341
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q33,0.01353672990338517,341
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q50,0.02033048793514114,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q25,0.010691762904517566,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q33,0.013198986027904999,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q50,0.024750333002656166,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q25,0.01357717782103518,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q33,0.019210420464854217,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q50,0.028662596124904294,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q25,0.013930091201864836,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q33,0.018952149812406817,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q50,0.03300949294933497,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q25,0.009286426412881577,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q33,0.012627264816380324,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q50,0.0222912741158916,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q25,0.011860634553997107,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q33,0.015581161356882884,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q50,0.022848478061581523,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q25,0.019346056606777906,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q33,0.023477381879307924,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q50,0.03501373891684234,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q25,0.01497481871331674,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q33,0.020579983679094527,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q50,0.031504627747807046,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q25,0.006544850626406973,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q33,0.00907566708875492,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q50,0.014461053101748611,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q25,0.007429744152974038,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q33,0.009149238851283565,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q50,0.014294330744357264,341
