strategy,period,median_delta_sharpe_vs_ew8,positive_universes_vs_ew8,median_delta_cagr_vs_ew8,median_delta_mdd_vs_ew8,median_annualized_turnover,primary_style_gate
CONF_BOTTOM2_VETO,VAL_2020_2022,-0.25551218229314,1,-0.010020486531396866,-0.010815888660473838,2.9513513513513514,False
CONF_BOTTOM2_VETO,CONF_2023_2024,0.011458654566231463,4,0.005295827122125396,-0.013241886317648166,2.8577319587628867,False
CONF_BOTTOM2_VETO,STRESS_2025,0.004984802806863864,3,0.004882295015657845,0.0012099353267969737,5.999999999999999,False
CONF_BOTTOM2_VETO,STRESS_2026,-0.3051999927942628,3,0.050469853742941995,-0.007818127074564085,4.2,False
CONF_HALF_TOP3,VAL_2020_2022,-0.17098880206653955,1,-0.0037760695291038093,-0.00270106184984531,4.100675675675676,False
CONF_HALF_TOP3,CONF_2023_2024,-0.19510841204555301,0,-0.008887916223036085,-0.0342643790818602,3.7020618556701033,False
CONF_HALF_TOP3,STRESS_2025,-0.013611633921953414,2,0.0036070060476373067,-0.0025266528144989864,7.157142857142857,False
CONF_HALF_TOP3,STRESS_2026,-0.6389739592556821,0,0.022011387435219798,-0.0118294539835746,6.91551724137931,False
CONF_SOFT,VAL_2020_2022,-0.041986275469224676,1,-0.0011262503359797948,-5.551115123125783e-17,0.742128650343089,False
CONF_SOFT,CONF_2023_2024,-0.016073920581456846,1,-0.00010103531325589277,-0.006056688574485658,0.6689795426452753,False
CONF_SOFT,STRESS_2025,0.02406075020919196,5,0.002305195152204509,-2.4864627141130136e-05,1.1115163709493552,False
CONF_SOFT,STRESS_2026,-0.058177505424729326,2,0.019983415770446822,-0.0005157599176346395,1.3255673657741993,False
CONT_HALF_TOP3,VAL_2020_2022,-0.1264920426134507,1,-0.0008421040706778626,-0.0008813858293461596,4.226039501039501,False
CONT_HALF_TOP3,CONF_2023_2024,-0.2159040092127489,0,-0.009218734437116516,-0.036827616955518394,4.332038065027756,False
CONT_HALF_TOP3,STRESS_2025,0.11015211106452483,5,0.006703284867331183,-0.0010354313323550635,5.8459968602825745,False
CONT_HALF_TOP3,STRESS_2026,-0.5677161003451168,0,0.03320138658795213,-0.00929479363921254,6.843899204244034,False
PAIRWISE_BOTTOM2_VETO,VAL_2020_2022,0.3750047208249213,6,0.0652573764943214,0.0008232287731224641,5.505405405405404,False
PAIRWISE_BOTTOM2_VETO,CONF_2023_2024,-0.5013087036009798,0,-0.03694174690978558,-0.08220690760247445,7.274226804123711,False
PAIRWISE_BOTTOM2_VETO,STRESS_2025,0.27125183790900487,4,0.032804611998278,0.004013399921080463,6.0,False
PAIRWISE_BOTTOM2_VETO,STRESS_2026,0.1564750315178709,4,0.18061745903819015,-0.00837111682435121,4.344827586206895,False
PAIRWISE_SOFT,VAL_2020_2022,0.050364435985541856,6,0.008372620951602183,-0.0005818778218917298,1.244074553882108,False
PAIRWISE_SOFT,CONF_2023_2024,-0.05689316567972286,0,-0.0036307948790192945,-0.014132139979540104,1.3492725678370614,False
PAIRWISE_SOFT,STRESS_2025,0.10030009930384354,5,0.006400336569676757,0.0010122290321406546,1.2347697750475222,False
PAIRWISE_SOFT,STRESS_2026,0.019928620965675492,4,0.037734353738795745,-0.0015810376437001006,1.508196352859447,False
PAIRWISE_TOP3,VAL_2020_2022,-0.12968764431127855,1,0.046009823131392125,-0.03134534440476566,16.34594594594595,False
PAIRWISE_TOP3,CONF_2023_2024,-0.6704806865701578,0,-0.04525830595518299,-0.14106385423615525,17.49278350515464,False
PAIRWISE_TOP3,STRESS_2025,0.47973991939914096,4,0.11591136517965273,-0.005521225758438442,14.4,False
PAIRWISE_TOP3,STRESS_2026,-1.2317374076720893,0,0.0781700406025464,-0.05407475818339075,15.062068965517238,False
