period,confidence_quintile,n,median_rank_ic,mean_rank_ic,mean_top3_minus_ew8,median_top3_minus_ew8,mean_bottom2_veto_minus_ew8,median_bottom2_veto_minus_ew8
CONF_2023_2024,1,126,0.0,0.028155706727135302,0.000339699276834064,0.0002940663241050545,0.0003727152784987346,7.081143718217723e-05
CONF_2023_2024,2,138,-0.07142857142857144,-0.08264320220841961,-0.0023075939888362457,-0.0017506266043192226,-0.0010799802480790247,0.0005465131183043661
CONF_2023_2024,3,108,-0.09523809523809526,-0.08619929453262788,-0.0024093373771585658,-0.0010416642258331832,-0.0025949204762235503,-0.0006854131747342932
CONF_2023_2024,4,72,0.1547619047619048,0.10251322751322754,0.004317178068392685,0.004370999235797036,-0.00021662435344571435,-0.00018727529224222455
CONF_2023_2024,5,138,0.14285714285714288,0.06987577639751553,-0.00041894216973700977,0.0025544621710880252,0.0005489744272896545,0.0006685343056225809
STRESS_2025,1,36,0.28571428571428575,0.24669312169312171,0.005430805492797728,0.0050646546827569135,0.0019406556249927922,0.0015799643704536037
STRESS_2025,2,60,0.3214285714285715,0.19404761904761908,0.003844035602102772,0.0032819125409185735,0.00247794276421676,0.002523794406343235
STRESS_2025,3,36,-0.34523809523809534,-0.19510582010582012,-0.0066382808875195855,-0.007449277225248958,-0.0031012302077484243,-0.003278334430139451
STRESS_2025,4,54,0.2142857142857143,0.14550264550264552,0.006790298926157623,0.006569093785302996,0.001317033714066522,0.0007723954345031693
STRESS_2025,5,108,0.0,0.013447971781305116,0.0009768811074898993,-0.0008570289936889537,0.0005139022913805496,0.0003878734772362149
STRESS_2026,1,12,0.44047619047619047,0.4325396825396826,0.006541151517395235,0.00638196910867086,0.006838809864321712,0.006591200408344826
STRESS_2026,2,24,0.2380952380952381,0.12996031746031747,-0.0026661024907691684,-0.0009295692539480706,0.005433804521374395,0.0037191186515460207
STRESS_2026,3,18,0.05952380952380954,0.07407407407407407,-0.00022591504545331343,-0.0018065675197131781,0.0011829086637758866,0.0007339360191088922
STRESS_2026,4,24,0.2142857142857143,0.15575396825396828,0.006081959810751873,0.005464530503307566,0.004671148901759411,0.0011523716645290229
STRESS_2026,5,96,-0.07142857142857145,0.017113095238095236,0.002004275485613109,-0.0006882943516760935,0.001603555496748759,-0.0008987938333799945
VAL_2020_2022,1,174,0.0,0.017788724685276407,-0.0007036825849449578,-0.0004924946306170675,0.0009903814039744082,0.0009350486584836276
VAL_2020_2022,2,198,0.14285714285714288,0.1115921115921116,0.0028589899957549353,0.0016523996218953977,0.001589877904856394,0.0010553961943078308
VAL_2020_2022,3,162,0.2023809523809524,0.1390358612580835,0.00205045456053326,0.0021492131517627066,0.0020079797491178164,0.0019390830506935495
VAL_2020_2022,4,102,0.2380952380952381,0.1888422035480859,0.003007512877985159,0.005148825918595637,0.0038944307564880267,0.0027994978070730618
VAL_2020_2022,5,252,0.035714285714285726,0.011337868480725627,0.00013517783130523225,-0.000271253537849746,-0.00013775604074974665,-0.000362135824138425
