date,pair_margin,score_sd,top_gap,cycle_rate,q_MOM1M,q_MOM12_1,q_OP12_REV,q_OPFY1_REV,q_PBR12MF,q_PER12MF,q_PRIVATE_FLOW,q_FOREIGN_FLOW,z_pair_margin,z_score_sd,z_top_gap,z_cycle_rate,combined_conf,disc_percentile,intensity,high_confidence,confidence_quintile,period
2016-04-18,0.09990239341644133,0.04867901056471977,0.03794231140471194,0.0,0.45559100817536535,0.4753078337291612,0.5399103267121219,0.5220430292183306,0.5293088111511309,0.5778526381168338,0.4516555640756423,0.44833078882141403,0.3415867493585761,0.3672199944279906,1.0570496064669084,0.2630825242339283,0.5072347186218509,0.7802197802197802,0.5604395604395604,False,4,
2016-04-25,0.0894055402978475,0.041730904868042026,0.02264335877865331,0.0,0.45322749054444794,0.4478463865987323,0.5394397183253062,0.5088053385239771,0.5299752936875191,0.5620830771039595,0.4747991874757719,0.48382350774028593,-0.029191379316480377,-0.1518672870086171,0.1300620958108542,0.2630825242339283,0.05302148842992126,0.5604395604395604,0.1208791208791209,False,3,
2016-05-02,0.1162407604571312,0.055459490018124405,0.04609630215964122,0.0,0.4649025552493013,0.41009557086670295,0.5053595320696201,0.5261632195775187,0.540401284946596,0.5864975871062372,0.5135380452155144,0.4530422049685091,0.9187034421912501,0.8737840566280691,1.551112682324126,0.2630825242339283,0.9016706763443434,0.9010989010989011,0.8021978021978022,True,5,
2016-05-11,0.12591477375239332,0.059547023239361424,0.045636250863494654,0.0,0.4967705309494241,0.41132216015696793,0.5192404137954999,0.5167644775808796,0.5501599832491905,0.5957962341126851,0.47152181653190706,0.43842438362344566,1.2604165733430186,1.1791603131533954,1.5232374534628632,0.2630825242339283,1.0564742160483014,0.9285714285714286,0.8571428571428572,True,5,
2016-05-18,0.0709008115121066,0.03380129255838873,0.00954478785277424,0.0,0.46754980008038644,0.4537754063755157,0.5387874935574513,0.5250734820946403,0.5016700050346534,0.529242705704677,0.5209962247661417,0.46290488238653416,-0.6828300111329831,-0.7442821229879176,-0.6636008399806222,0.2630825242339283,-0.45690761246689865,0.24725274725274726,0.0,False,2,
2016-05-25,0.11604165081285545,0.05483444465886159,0.013590411049554496,0.0,0.5129096474129561,0.556743844140499,0.5391248951662652,0.5703342551900535,0.4134769198396021,0.46672909010598046,0.4907242269232635,0.44995712122137993,0.9116703342234012,0.8270874301692289,-0.4184701916349342,0.2630825242339283,0.39584252424790606,0.7252747252747253,0.4505494505494505,False,4,
2016-06-01,0.13798767922279773,0.06842405001206014,0.052727837293671254,0.0,0.5240740154112377,0.5929148646500256,0.5401870273563544,0.5301921565647258,0.3719818438369461,0.4362668531499608,0.519125193512776,0.48525804551797375,1.6868652668145965,1.8423557070984624,1.952927786663485,0.2630825242339283,1.4363078212026181,0.978021978021978,0.956043956043956,True,5,
2016-06-09,0.1654120608238355,0.0787955538316001,0.05619793093915426,0.0,0.509666593428828,0.6174449721608335,0.5612470412216792,0.5475286377130819,0.3733319387174091,0.4151829569852475,0.4840721087837086,0.4915257509892121,2.6555709136614105,2.617202256233232,2.1631861977321383,0.2630825242339283,1.9247604729651773,1.0,1.0,True,5,
2016-06-16,0.1018621222037301,0.04799621876141748,0.02524669929627643,0.0,0.5287783271913228,0.5743138725022315,0.5490671732059551,0.5041750938533793,0.44429767853305874,0.4423675875775902,0.47780574216584365,0.4791945249706186,0.41080983595911597,0.31620917846805807,0.28780257679718,0.2630825242339283,0.31947602886457055,0.6868131868131868,0.37362637362637363,False,4,
2016-06-23,0.09506114295438782,0.04594214321115224,0.004466239647509029,0.0,0.4806161639454497,0.5436449079518465,0.5481111475993555,0.5191153216879638,0.43665463894697754,0.43203029326838277,0.5059774297559205,0.5338500968441038,0.17058028042096768,0.1627508777743288,-0.97131803302081,0.2630825242339283,-0.0937260876478963,0.43956043956043955,0.0,False,3,
