period,n_dates,high_confidence_share,mean_continuous_intensity,median_combined_conf
VAL_2020_2022,148,0.28378378378378377,0.3077665577665578,-0.01513199211421154
CONF_2023_2024,97,0.23711340206185566,0.266681771836411,-0.0724324749714324
STRESS_2025,49,0.3673469387755102,0.3734021080959857,0.21928797216779705
STRESS_2026,29,0.5517241379310345,0.5543766578249338,0.7394782567971916
