pair,phase,period,return_type,base_cagr,cf20_cagr,delta_cagr,base_sharpe,cf20_sharpe,delta_sharpe,base_mdd,cf20_mdd,delta_mdd,base_turnover,cf20_turnover,delta_turnover
KOSPI_ALL_PER,0,FULL_2016_2026,GROSS,0.14474726493368628,0.1699633501707012,0.025216085237014907,0.7192784169005212,0.813064616089386,0.09378619918886477,-0.6134095769431491,-0.5971461029057037,0.016263474037445436,4.094905694808999,5.753686476463737,1.6587807816547384
KOSPI_ALL_PER,0,FULL_2016_2026,NET30,0.13076614771805928,0.14993426311835645,0.01916811540029717,0.6639999700548488,0.7360188254458361,0.07201885539098729,-0.6210928875642602,-0.6092880187017741,0.011804868862486106,4.094905694808999,5.753686476463737,1.6587807816547384
KOSPI_ALL_PER,0,FULL_2016_2026,NET60,0.11694738420608819,0.13023315652807232,0.013285772321984135,0.6086388464543061,0.6588009810746241,0.050162134620318044,-0.6286274698595804,-0.6244077451521921,0.004219724707388295,4.094905694808999,5.753686476463737,1.6587807816547384
KOSPI_ALL_PER,0,PRE_STRESS_2016_2024,GROSS,0.0806987160917525,0.09504926709546768,0.014350551003715184,0.4784027947143451,0.5439602935564816,0.06555749884213646,-0.6134095769431491,-0.5971461029057037,0.016263474037445436,4.122475758520771,5.726252082637331,1.6037763241165601
KOSPI_ALL_PER,0,PRE_STRESS_2016_2024,NET30,0.06741148509668937,0.07639128941204865,0.008979804315359274,0.4186945783832089,0.460560808089292,0.04186622970608311,-0.6210928875642602,-0.6092880187017741,0.011804868862486106,4.122475758520771,5.726252082637331,1.6037763241165601
KOSPI_ALL_PER,0,PRE_STRESS_2016_2024,NET60,0.054279557838950554,0.058037334957310005,0.003757777118359451,0.3589189243485801,0.3770526036888193,0.01813367934023924,-0.6286274698595804,-0.6244077451521921,0.004219724707388295,4.122475758520771,5.726252082637331,1.6037763241165601
KOSPI_ALL_PER,0,EARLY_2016_2019,GROSS,0.005001569840036968,0.003521807950314315,-0.0014797618897226528,0.11005608150154056,0.10065410706034018,-0.009401974441200375,-0.33233689335842087,-0.31952202391172113,0.01281486944669974,4.43912765196778,6.041088620585057,1.601960968617277
KOSPI_ALL_PER,0,EARLY_2016_2019,NET30,-0.008298422288078533,-0.01450896871684293,-0.006210546428764396,0.024593724436322975,-0.015439390271513418,-0.040033114707836395,-0.3433116174302523,-0.3368385362410071,0.006473081189245167,4.43912765196778,6.041088620585057,1.601960968617277
KOSPI_ALL_PER,0,EARLY_2016_2019,NET60,-0.02143174880450638,-0.03223052551343786,-0.010798776708931479,-0.060808991997162,-0.13134308371341238,-0.07053409171625039,-0.35411155609529277,-0.35941502104186585,-0.005303464946573078,4.43912765196778,6.041088620585057,1.601960968617277
KOSPI_ALL_PER,0,LATE_2020_2022,GROSS,0.13341642520267327,0.17607066712560004,0.04265424192292677,0.6003901551061441,0.7444971313532752,0.1441069762471311,-0.4318505532984718,-0.42961264578684766,0.0022379075116241154,4.15668474329763,5.596606586430911,1.4399218431332814
KOSPI_ALL_PER,0,LATE_2020_2022,NET30,0.11936653879076387,0.15648271819747506,0.03711617940671119,0.5539841717170578,0.6811475969381496,0.1271634252210918,-0.4335780868302761,-0.43171020163880736,0.0018678851914687433,4.15668474329763,5.596606586430911,1.4399218431332814
KOSPI_ALL_PER,0,LATE_2020_2022,NET60,0.1054831427693741,0.1372076744665276,0.0317245316971535,0.5075367695881602,0.6177097760467413,0.11017300645858108,-0.435361820673432,-0.43380165338749666,0.0015601672859353322,4.15668474329763,5.596606586430911,1.4399218431332814
KOSPI_ALL_PER,0,NORMAL_2023_2024,GROSS,0.16267428769640646,0.1702708206230874,0.007596532926680943,0.8920692316813894,0.9192128861540879,0.02714365447269851,-0.14179726714503993,-0.13929464291762395,0.0025026242274159838,3.4366163098724045,5.292656965120648,1.8560406552482438
KOSPI_ALL_PER,0,NORMAL_2023_2024,NET30,0.15074604450838813,0.1518297176823591,0.001083673173970956,0.8380141934562431,0.8365508560468796,-0.001463337409363441,-0.1452382694535328,-0.14420084991320103,0.0010374195403317632,3.4366163098724045,5.292656965120648,1.8560406552482438
KOSPI_ALL_PER,0,NORMAL_2023_2024,NET60,0.13893457666530673,0.13366676078983186,-0.005267815875474868,0.7837710729252495,0.7535326179444666,-0.030238454980782925,-0.1486669555005664,-0.1501256541322581,-0.0014586986316916795,3.4366163098724045,5.292656965120648,1.8560406552482438
KOSPI_ALL_PER,0,BULL_2025,GROSS,0.760230644235278,0.8700777455254076,0.10984710129012965,2.6713968413620495,2.8864950417078177,0.2150982003457682,-0.12800836320167586,-0.1313361624471432,-0.0033277992454673333,3.9000882438431335,5.797661079778795,1.8975728359356614
KOSPI_ALL_PER,0,BULL_2025,NET30,0.7397498406339789,0.8378211954702528,0.09807135483627394,2.6170500011690425,2.809462047047228,0.19241204587818528,-0.129394105679576,-0.13312303707525308,-0.003728931395677093,3.9000882438431335,5.797661079778795,1.8975728359356614
KOSPI_ALL_PER,0,BULL_2025,NET60,0.7194961496307197,0.8060983059444364,0.0866021563137167,2.562448472910923,2.731801628419229,0.16935315550830587,-0.13077841940732637,-0.13490763810463824,-0.004129218697311865,3.9000882438431335,5.797661079778795,1.8975728359356614
KOSPI_ALL_PER,0,YTD_2026,GROSS,0.3397229810114857,0.46186280864102014,0.12213982762953446,0.9509821424730679,1.1398775860850592,0.1888954436119913,-0.17291930641309305,-0.18120579635731404,-0.008286489944220987,4.001136867126832,6.093741961865829,2.092605094738997
KOSPI_ALL_PER,0,YTD_2026,NET30,0.32373304140899206,0.4353700477257001,0.11163700631670803,0.9197500822555885,1.095025947306745,0.17527586505115644,-0.1745983100619991,-0.18202624901355569,-0.007427938951556579,4.001136867126832,6.093741961865829,2.092605094738997
KOSPI_ALL_PER,0,YTD_2026,NET60,0.3079244029167012,0.4093359461573809,0.10141154324067969,0.8884868251180033,1.0500485525758645,0.16156172745786124,-0.1764391778060983,-0.18284670166979766,-0.00640752386369936,4.001136867126832,6.093741961865829,2.092605094738997
KOSPI_ALL_PER,1,FULL_2016_2026,GROSS,0.14305483756177484,0.15104653187250383,0.007991694310728992,0.7112895868498993,0.7383429943863116,0.027053407536412277,-0.6025315709015255,-0.5916917817856111,0.010839789115914433,4.117600020000597,5.859247379599169,1.7416473595985718
KOSPI_ALL_PER,1,FULL_2016_2026,NET30,0.1290174597728364,0.1309826984030409,0.00196523863020448,0.6556117535996285,0.6598712058984936,0.004259452298865041,-0.6108173072120501,-0.6043241423765793,0.006493164835470799,4.117600020000597,5.859247379599169,1.7416473595985718
KOSPI_ALL_PER,1,FULL_2016_2026,NET60,0.11514396009997152,0.11125320906365221,-0.0038907510363193065,0.5999180643418202,0.5813481494699368,-0.01856991487188331,-0.6189347538949567,-0.6194168873524653,-0.0004821334575085823,4.117600020000597,5.859247379599169,1.7416473595985718
KOSPI_ALL_PER,1,PRE_STRESS_2016_2024,GROSS,0.0871997301487415,0.07218323282746164,-0.015016497321279854,0.5076264502645021,0.4406472535451788,-0.06697919671932334,-0.6025315709015255,-0.5916917817856111,0.010839789115914433,4.131048197411522,5.850309162407562,1.7192609649960406
KOSPI_ALL_PER,1,PRE_STRESS_2016_2024,NET30,0.0738049222598367,0.05352228291368899,-0.020282639346147713,0.4476512258431533,0.3556762106322123,-0.09197501521094104,-0.6108173072120501,-0.6043241423765793,0.006493164835470799,4.131048197411522,5.850309162407562,1.7192609649960406
KOSPI_ALL_PER,1,PRE_STRESS_2016_2024,NET60,0.060566972065758895,0.03517173025097131,-0.025395241814787584,0.3876526672178455,0.27070297389035114,-0.11694969332749439,-0.6189347538949567,-0.6194168873524653,-0.0004821334575085823,4.131048197411522,5.850309162407562,1.7192609649960406
KOSPI_ALL_PER,1,EARLY_2016_2019,GROSS,0.021744406718282816,0.0019024897625838921,-0.019841916955698924,0.21587276961689095,0.09016920805582053,-0.12570356156107043,-0.32800702421831573,-0.2997309054521359,0.02827611876617986,4.454766142958385,6.308432717633,1.853666574674615
KOSPI_ALL_PER,1,EARLY_2016_2019,NET30,0.00817546757377885,-0.01688866521037935,-0.0250641327841582,0.13038828065444857,-0.03143455827454258,-0.16182283892899116,-0.3394874426441361,-0.3183164288521605,0.021171013791975613,4.454766142958385,6.308432717633,1.853666574674615
KOSPI_ALL_PER,1,EARLY_2016_2019,NET60,-0.005222921644068124,-0.03534340030715577,-0.030120478663087646,0.04489782862466471,-0.15296108110470039,-0.1978589097293651,-0.35077774474652534,-0.3413409381956296,0.009436806550895738,4.454766142958385,6.308432717633,1.853666574674615
KOSPI_ALL_PER,1,LATE_2020_2022,GROSS,0.11522094818667417,0.12839496282206841,0.013174014635394249,0.5410098983086554,0.586438388126132,0.0454284898174766,-0.423027877377126,-0.42937987825763935,-0.006352000880513353,4.044604116621864,5.467141785640095,1.4225376690182312
KOSPI_ALL_PER,1,LATE_2020_2022,NET30,0.10176722920664383,0.11003224282176349,0.008265013615119665,0.4956557961005646,0.524820626862012,0.029164830761447436,-0.4246255788866813,-0.43123521486669736,-0.006609635980016071,4.044604116621864,5.467141785640095,1.4225376690182312
KOSPI_ALL_PER,1,LATE_2020_2022,NET60,0.0884686878593075,0.09195577875932859,0.0034870909000210837,0.45029989573764984,0.46318995926457224,0.012890063526922402,-0.4262200038677284,-0.4330859479459658,-0.006865944078237374,4.044604116621864,5.467141785640095,1.4225376690182312
KOSPI_ALL_PER,1,NORMAL_2023_2024,GROSS,0.18433344234065707,0.13627166850434413,-0.04806177383631294,0.9905610782732066,0.7619105367121948,-0.22865054156101183,-0.12393483512085068,-0.14661543999917637,-0.022680604878325683,3.614781034223572,5.515473490732681,1.900692456509109
KOSPI_ALL_PER,1,NORMAL_2023_2024,NET30,0.17155630323031223,0.11761836359444988,-0.05393793963586235,0.9326920718020102,0.6750414519704963,-0.25765061983151394,-0.12814149862161606,-0.15167474617855725,-0.023533247556941195,3.614781034223572,5.515473490732681,1.900692456509109
KOSPI_ALL_PER,1,NORMAL_2023_2024,NET60,0.15891065717910413,0.09925794741810567,-0.05965270976099846,0.8747621234980385,0.5881993299547554,-0.28656279354328307,-0.13233009175583033,-0.15756965923665656,-0.02523956748082623,3.614781034223572,5.515473490732681,1.900692456509109
KOSPI_ALL_PER,1,BULL_2025,GROSS,0.7344619586185381,0.822271234761337,0.08780927614279888,2.6056548195969604,2.779873779157851,0.1742189595608905,-0.13523914332050435,-0.14063533872348377,-0.00539619540297942,3.97950986736743,5.407256466549073,1.4277465991816434
KOSPI_ALL_PER,1,BULL_2025,NET30,0.7138723458323737,0.7929396352288411,0.07906728939646746,2.548896868497892,2.7059251753452482,0.15702830684735636,-0.1366005120568624,-0.14199571987131043,-0.005395207814448022,3.97950986736743,5.407256466549073,1.4277465991816434
KOSPI_ALL_PER,1,BULL_2025,NET60,0.693515673938035,0.7640612419974737,0.07054556805943868,2.4919523912964063,2.6315759483118417,0.13962355701543538,-0.1379604949657034,-0.1433547059307776,-0.005394210965074198,3.97950986736743,5.407256466549073,1.4277465991816434
KOSPI_ALL_PER,1,YTD_2026,GROSS,0.22149421312622897,0.5697407772709011,0.34824656414467214,0.7046418507997153,1.3093722363407236,0.6047303855410083,-0.1885807034910426,-0.1814721873456986,0.007108516145344024,4.142843510044788,6.737657738336457,2.5948142282916695
KOSPI_ALL_PER,1,YTD_2026,NET30,0.20640202428825605,0.538316204580658,0.33191418029240194,0.6726780739254954,1.2589325086365188,0.5862544347110235,-0.19131043011053417,-0.18226804063416946,0.00904238947636471,4.142843510044788,6.737657738336457,2.5948142282916695
KOSPI_ALL_PER,1,YTD_2026,NET60,0.19148689117260598,0.5074933146929994,0.31600642352039343,0.6407821053508035,1.2084838499959434,0.5677017446451399,-0.19403264497952344,-0.18306389392264055,0.010968751056882886,4.142843510044788,6.737657738336457,2.5948142282916695
KOSPI_ALL_PER,2,FULL_2016_2026,GROSS,0.14518656164234667,0.14316537446661903,-0.0020211871757276345,0.722326713816443,0.7089195693567818,-0.01340714445966118,-0.5937642114946395,-0.5711798734509679,0.02258433804367166,4.144643748484655,5.797571132845978,1.6529273843613232
