factor,state_var_q,mean_obs_var_r,initial_var_p0
MOM1M,0.0008437631884037185,2.45508603857837e-05,0.00039747545507125927
MOM12_1,0.0007216909773401685,2.5169132652131378e-05,0.00042126975547297557
OP12_REV,0.00024726460165932536,2.0171473351039938e-05,0.0001572224506337653
OPFY1_REV,0.0002218548933035048,2.06078773757365e-05,0.00015844261832066606
PBR12MF,0.0008642361304615951,2.450630929080159e-05,0.000492523406828477
PER12MF,0.0005966974947580837,2.1292849853115868e-05,0.00036103799939605824
PRIVATE_FLOW,0.0001410899833308477,1.4715738335852054e-05,8.546394671748993e-05
FOREIGN_FLOW,0.00016430637378944367,1.7054093041468643e-05,9.480489539482149e-05
