strategy,period,median_delta_sharpe_vs_ew8,positive_universes_vs_ew8,median_delta_sharpe_vs_mom20,median_delta_cagr_vs_ew8,primary_gate_pass
ADAPTIVE_HEDGE,VAL_2020_2022,0.7997246692929969,5,1.2543035157615408,0.14218828172132525,False
ADAPTIVE_HEDGE,CONF_2023_2024,-0.17077887608004272,2,0.5227514898538298,0.010715222373283262,False
ADAPTIVE_HEDGE,STRESS_2025,1.6062509427059144,6,2.698910340496858,0.2572840337503638,False
ADAPTIVE_HEDGE,STRESS_2026,-2.581091619940406,0,-1.0421076162340142,-0.20195046061974503,False
CP_SOFTMAX,VAL_2020_2022,0.4089120680344265,5,0.9168447229829073,0.07253830426884833,False
CP_SOFTMAX,CONF_2023_2024,-0.29865622060603836,0,0.2337483283199872,-0.008076910764913237,False
CP_SOFTMAX,STRESS_2025,0.9393875695861663,5,2.026538911253421,0.09539980418130067,False
CP_SOFTMAX,STRESS_2026,-1.9817975471163711,0,-0.8978775158471916,-0.14158739997898184,False
CP_TOP2,VAL_2020_2022,0.17963515667771723,4,0.8112904671571488,0.08441488754433768,False
CP_TOP2,CONF_2023_2024,-0.326372781301287,1,0.3218421851901023,0.003962016410690161,False
CP_TOP2,STRESS_2025,0.9878498754515747,5,2.233759962961974,0.11375337402395824,False
CP_TOP2,STRESS_2026,-2.189013598332651,0,-0.754742120105997,-0.13342770456061803,False
DPP_LATENT3,VAL_2020_2022,-0.699248738062116,0,-0.1897873371526224,-0.02951595130678375,False
DPP_LATENT3,CONF_2023_2024,-0.8949450011836313,0,-0.26236898685405124,-0.06839225973174101,False
DPP_LATENT3,STRESS_2025,-0.33288945864978026,2,0.35558347574913124,0.0024703726886798894,False
DPP_LATENT3,STRESS_2026,-0.7205656492997246,0,0.7789225454964402,0.22021307155722702,False
DPP_PAIRWISE3,VAL_2020_2022,-0.1952803636377316,1,0.26463003694691906,0.019459284764690055,False
DPP_PAIRWISE3,CONF_2023_2024,-0.2774375496523265,2,0.3261252172679401,-0.0006602734485274819,False
DPP_PAIRWISE3,STRESS_2025,0.07145389689512582,3,0.4162357060872398,0.04493735230316931,False
DPP_PAIRWISE3,STRESS_2026,-0.5616381592366599,2,0.9318022210714086,0.18788530826563254,False
FTRL,VAL_2020_2022,0.8042442050867322,5,1.3278855683876611,0.15135886632323137,False
FTRL,CONF_2023_2024,-0.2013701631594751,2,0.49491597616641914,0.011772996491337007,False
FTRL,STRESS_2025,1.5812526384939187,6,2.6460720350877134,0.2768886505220334,False
FTRL,STRESS_2026,-2.8569399976330114,0,-1.214706656091627,-0.2176703692162235,False
LATENT_PROB,VAL_2020_2022,-0.6874232690392779,0,-0.2808216247829278,-0.03652681032563365,False
LATENT_PROB,CONF_2023_2024,-0.738858604310357,0,-0.304323278960261,-0.05859242238339174,False
LATENT_PROB,STRESS_2025,0.32920230933365946,5,1.125780100685231,0.07575172522759976,False
LATENT_PROB,STRESS_2026,-0.539229567087355,1,0.6589629912334387,0.17875524691556122,False
LATENT_TOP3,VAL_2020_2022,-0.735523818117906,0,-0.30998774557818554,-0.03457211155474671,False
LATENT_TOP3,CONF_2023_2024,-0.9719825096338621,0,-0.48288937333503346,-0.09205396480409234,False
LATENT_TOP3,STRESS_2025,-0.5186099744177488,0,0.26464582023019595,-0.012703799686100914,False
LATENT_TOP3,STRESS_2026,-0.8534638922906986,0,0.23018071769475934,0.19765915601905426,False
MOM20_TOP2,VAL_2020_2022,-0.4169223078046676,0,0.0,0.03196475442644775,False
MOM20_TOP2,CONF_2023_2024,-0.434535325350096,0,0.0,-0.02277357136053837,False
MOM20_TOP2,STRESS_2025,-1.0068424122791368,2,0.0,-0.03571877895101039,False
MOM20_TOP2,STRESS_2026,-1.2817528291463365,1,0.0,0.11407222684803953,False
PAIRWISE_SOFT,VAL_2020_2022,0.050364435985541856,6,0.5213929791638379,0.008372620951602183,False
PAIRWISE_SOFT,CONF_2023_2024,-0.05689316567972286,0,0.3637913776140041,-0.0036307948790192945,False
PAIRWISE_SOFT,STRESS_2025,0.10030009930384354,5,1.1071425115829805,0.006400336569676757,False
PAIRWISE_SOFT,STRESS_2026,0.019928620965675492,4,1.301681450112012,0.037734353738795745,False
PAIRWISE_TOP3,VAL_2020_2022,-0.12968764431127855,1,0.3351612858497875,0.046009823131392125,False
PAIRWISE_TOP3,CONF_2023_2024,-0.6704806865701578,0,-0.21926005359203882,-0.04525830595518299,False
PAIRWISE_TOP3,STRESS_2025,0.47973991939914096,4,0.8965905555781892,0.11591136517965273,False
PAIRWISE_TOP3,STRESS_2026,-1.2317374076720893,0,0.20096911098992798,0.0781700406025464,False
