date,period,universe,strategy,cost_bps,gross_return,net_return,turnover
2021-03-02,VAL_2020_2022,K200,EW8,0,0.006163427468701339,0.006163427468701339,0.0
2021-03-09,VAL_2020_2022,K200,EW8,0,0.015427384802071951,0.015427384802071951,0.0
2021-03-16,VAL_2020_2022,K200,EW8,0,-0.017238101716310062,-0.017238101716310062,0.0
2021-03-23,VAL_2020_2022,K200,EW8,0,0.0018090418563089378,0.0018090418563089378,0.0
2021-03-30,VAL_2020_2022,K200,EW8,0,0.006166641176152726,0.006166641176152726,0.0
2021-04-06,VAL_2020_2022,K200,EW8,0,0.004070844689532063,0.004070844689532063,0.0
2021-04-13,VAL_2020_2022,K200,EW8,0,-0.006993548718382912,-0.006993548718382912,0.0
2021-04-20,VAL_2020_2022,K200,EW8,0,0.004854502542975812,0.004854502542975812,0.0
2021-04-27,VAL_2020_2022,K200,EW8,0,0.03307078554109215,0.03307078554109215,0.0
2021-05-04,VAL_2020_2022,K200,EW8,0,0.0018249172523060377,0.0018249172523060377,0.0
2021-05-12,VAL_2020_2022,K200,EW8,0,0.010631688377703275,0.010631688377703275,0.0
2021-05-20,VAL_2020_2022,K200,EW8,0,-0.02027451361251929,-0.02027451361251929,0.0
2021-05-27,VAL_2020_2022,K200,EW8,0,-0.01651263117827074,-0.01651263117827074,0.0
2021-06-03,VAL_2020_2022,K200,EW8,0,0.0009027507941727242,0.0009027507941727242,0.0
2021-06-10,VAL_2020_2022,K200,EW8,0,-0.01098022363769045,-0.01098022363769045,0.0
2021-06-17,VAL_2020_2022,K200,EW8,0,0.001391120357994885,0.001391120357994885,0.0
2021-06-24,VAL_2020_2022,K200,EW8,0,0.0008115903969894746,0.0008115903969894746,0.0
2021-07-01,VAL_2020_2022,K200,EW8,0,0.0003543217982062625,0.0003543217982062625,0.0
2021-07-08,VAL_2020_2022,K200,EW8,0,-0.005871754657291724,-0.005871754657291724,0.0
2021-07-15,VAL_2020_2022,K200,EW8,0,0.00456686106584975,0.00456686106584975,0.0
2021-07-22,VAL_2020_2022,K200,EW8,0,-0.004792069165970638,-0.004792069165970638,0.0
2021-07-29,VAL_2020_2022,K200,EW8,0,0.0017856546946744744,0.0017856546946744744,0.0
2021-08-05,VAL_2020_2022,K200,EW8,0,-0.011175888941160662,-0.011175888941160662,0.0
2021-08-12,VAL_2020_2022,K200,EW8,0,0.002224666502333338,0.002224666502333338,0.0
2021-08-20,VAL_2020_2022,K200,EW8,0,-0.0015159939831535247,-0.0015159939831535247,0.0
2021-08-27,VAL_2020_2022,K200,EW8,0,0.004747202897628099,0.004747202897628099,0.0
2021-09-03,VAL_2020_2022,K200,EW8,0,0.0014990598057738251,0.0014990598057738251,0.0
2021-09-10,VAL_2020_2022,K200,EW8,0,0.015633146398138325,0.015633146398138325,0.0
2021-09-17,VAL_2020_2022,K200,EW8,0,0.013596833995143887,0.013596833995143887,0.0
2021-09-29,VAL_2020_2022,K200,EW8,0,0.017484212749958927,0.017484212749958927,0.0
2021-10-07,VAL_2020_2022,K200,EW8,0,-0.0046692415524750355,-0.0046692415524750355,0.0
2021-10-15,VAL_2020_2022,K200,EW8,0,-0.007928937843453,-0.007928937843453,0.0
2021-10-22,VAL_2020_2022,K200,EW8,0,-0.0046298372498939635,-0.0046298372498939635,0.0
2021-10-29,VAL_2020_2022,K200,EW8,0,0.004884349863842375,0.004884349863842375,0.0
2021-11-05,VAL_2020_2022,K200,EW8,0,0.014709215659949263,0.014709215659949263,0.0
2021-11-12,VAL_2020_2022,K200,EW8,0,0.001148274254929338,0.001148274254929338,0.0
2021-11-19,VAL_2020_2022,K200,EW8,0,0.008028430744379625,0.008028430744379625,0.0
2021-11-26,VAL_2020_2022,K200,EW8,0,0.0020064256296529375,0.0020064256296529375,0.0
2021-12-03,VAL_2020_2022,K200,EW8,0,-0.0029768073600103494,-0.0029768073600103494,0.0
