date,universe,dpp_latent_det,dpp_pairwise_det,dpp_latent_avg_corr,top3_latent_avg_corr,dpp_pairwise_avg_corr,top3_pairwise_avg_corr
2016-01-18,K200,0.018087890625,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-01-25,K200,1.1576180542673642,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-02-01,K200,0.6034668747458692,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-02-11,K200,0.7374198648651298,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-02-18,K200,1.1121233752156698,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-02-25,K200,1.1576158416606506,4.415988922119136e-06,0.0,0.0,0.0,0.0
2016-03-04,K200,0.016733214646266707,3.0638304935746633e-06,-0.3297008673609186,-0.3297008673609186,-0.2077571313835557,-0.1881902737951577
2016-03-11,K200,0.008423205361553276,3.783164987366009e-06,-0.07450880297158013,-0.0745088029715801,-0.20339125677422684,-0.18955279786329085
2016-03-18,K200,0.17328497324912273,3.6654574945136705e-06,0.010200064639693843,0.010200064639693843,-0.20961583526211672,-0.1806170616434327
2016-03-25,K200,0.02260559211616396,3.4546428450555635e-06,-0.3211865879178762,-0.3211865879178762,-0.2222471900857522,-0.10024836575027202
2016-04-01,K200,0.3657164815004962,3.742038692676949e-06,-0.16994973228969604,-0.16994973228969604,-0.05033124129272213,-0.07778281922478346
2016-04-08,K200,1.0973337513560477,4.1928316965393555e-06,-0.0052829462677166095,0.37754846102985784,-0.0052829462677166095,-0.021755752947774248
2016-04-18,K200,0.16283198304703825,0.01665602675195733,-0.146136655674709,-0.146136655674709,-0.21342942871500367,-0.16651184698795876
2016-04-25,K200,0.07503739499414948,0.01625430479830356,0.16357670366978058,0.16357670366978058,-0.2806029968659633,-0.11069899163193442
2016-05-02,K200,0.21409255633528693,0.018266244598661472,-0.08292356035755545,0.03794323518683592,-0.18337160355072857,-0.10514120268304084
2016-05-11,K200,0.9639983564887094,0.016299517122303594,-0.08828181617129971,-0.29623020566842856,-0.23745541926740632,-0.1367207932781448
2016-05-18,K200,0.07636407827000521,0.018543159722158184,0.0027196574288142297,0.8064648503018711,-0.07707351806472085,-0.013400989675870001
2016-05-25,K200,0.9065170287790402,0.02404935501486841,0.0862538229800327,0.614831670661555,0.0862538229800327,0.614831670661555
