feature,coefficient
intercept,-3.5065235387694115e-05
current5_diff,-0.12030576705924058
trail20_diff,0.1852664629328836
trail60_diff,0.03479832983629642
vol20_diff,-0.062088614467119475
rank_diff,0.13222113980590564
