period,test,n,mean_diff,median_diff,win_rate,p10
STRESS_2025,FHIGH_MINUS_FLOW,58,0.004796505551365933,0.004296659294708799,0.6206896551724138,-0.02013132996266982
STRESS_2025,STRONGER_BASE_MINUS_WEAKER,92,0.004312919300897087,0.0038868618663296496,0.6195652173913043,-0.02142058647399113
STRESS_2026,FHIGH_MINUS_FLOW,17,0.009310070637208854,0.013353153837708699,0.5882352941176471,-0.04063991880251512
STRESS_2026,STRONGER_BASE_MINUS_WEAKER,26,0.012652850844288133,0.006951800787444496,0.5769230769230769,-0.03206924129345885
TRAIN_2016_2022,FHIGH_MINUS_FLOW,282,0.0008980301873336413,-0.0013170166467429,0.48936170212765956,-0.02551818052493767
TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,504,0.0018710206665415409,0.0020656578860381,0.5515873015873016,-0.022958813323965106
VALID_2023_2024,FHIGH_MINUS_FLOW,95,-0.00014490692327379535,-0.0017121520830360986,0.4631578947368421,-0.03539302182332776
VALID_2023_2024,STRONGER_BASE_MINUS_WEAKER,140,-0.003451875302228399,-0.00462518835296955,0.37857142857142856,-0.033348671351350806
