universe,period,spec,n,switch_share,win_rate,mean5,beat_wplus,mean_edge,beat_market,cagr,mdd,worst5
K200,STRESS_2025,TILT_0BP_W50,49,0.8571428571428571,0.5918367346938775,0.01273893093972158,0.42857142857142855,0.0018702948469066585,0.4489795918367347,0.8348155692736567,-0.0914510121931923,-0.0361338673590079
K200,STRESS_2025,TILT_10BP_W55,49,0.0,0.5714285714285714,0.01086863609281492,0.0,0.0,0.4897959183673469,0.6752039881708869,-0.08226489165743323,-0.0406898096706884
K200,STRESS_2025,TILT_20BP_W55,49,0.0,0.5714285714285714,0.01086863609281492,0.0,0.0,0.4897959183673469,0.6752039881708869,-0.08226489165743323,-0.0406898096706884
K200,STRESS_2025,TILT_20BP_W60,49,0.0,0.5714285714285714,0.01086863609281492,0.0,0.0,0.4897959183673469,0.6752039881708869,-0.08226489165743323,-0.0406898096706884
K200,STRESS_2026,TILT_0BP_W50,20,0.75,0.5,0.0035625325497166994,0.4,-0.0027731341255291093,0.3,0.09426725321017448,-0.2610334170498021,-0.081431793942896
K200,STRESS_2026,TILT_10BP_W55,20,0.0,0.5,0.006335666675245807,0.0,0.0,0.3,0.20261029150900844,-0.28365788691950644,-0.1263883730489126
K200,STRESS_2026,TILT_20BP_W55,20,0.0,0.5,0.006335666675245807,0.0,0.0,0.3,0.20261029150900844,-0.28365788691950644,-0.1263883730489126
K200,STRESS_2026,TILT_20BP_W60,20,0.0,0.5,0.006335666675245807,0.0,0.0,0.3,0.20261029150900844,-0.28365788691950644,-0.1263883730489126
K200,TRAIN_2016_2022,TILT_0BP_W50,328,0.7195121951219512,0.5335365853658537,0.0009831106659237126,0.38414634146341464,0.00041285995317494144,0.5,0.030138009695321655,-0.4018918145994633,-0.1598697098638999
K200,TRAIN_2016_2022,TILT_10BP_W55,328,0.0,0.5304878048780488,0.000570250712748771,0.0,0.0,0.4634146341463415,0.010147417263845382,-0.45502078947211644,-0.1523163359458333
K200,TRAIN_2016_2022,TILT_20BP_W55,328,0.0,0.5304878048780488,0.000570250712748771,0.0,0.0,0.4634146341463415,0.010147417263845382,-0.45502078947211644,-0.1523163359458333
K200,TRAIN_2016_2022,TILT_20BP_W60,328,0.0,0.5304878048780488,0.000570250712748771,0.0,0.0,0.4634146341463415,0.010147417263845382,-0.45502078947211644,-0.1523163359458333
K200,VALID_2023_2024,TILT_0BP_W50,97,0.7835051546391752,0.5154639175257731,0.0025751718652635607,0.38144329896907214,-5.11959400560165e-05,0.4845360824742268,0.1185835003254676,-0.11507403684583772,-0.0635960628681975
K200,VALID_2023_2024,TILT_10BP_W55,97,0.0,0.5257731958762887,0.0026263678053195768,0.0,0.0,0.4639175257731959,0.11951671961322163,-0.12409347826228034,-0.0707523827426301
K200,VALID_2023_2024,TILT_20BP_W55,97,0.0,0.5257731958762887,0.0026263678053195768,0.0,0.0,0.4639175257731959,0.11951671961322163,-0.12409347826228034,-0.0707523827426301
