universe,period,policy,n,switch_share,win_rate,wplus_win,mean5,mean_edge,switched_n,switched_win,switched_wplus_win,switched_edge,cagr,mdd
K200,STRESS_2025,HIT_TILT_10PP,49,0.0,0.5714285714285714,0.5714285714285714,0.01086863609281492,0.0,0,,,,0.6752039881708869,-0.08226489165743323
K200,STRESS_2026,HIT_TILT_10PP,20,0.0,0.5,0.5,0.006335666675245807,0.0,0,,,,0.20261029150900844,-0.28365788691950644
K200,TRAIN_2016_2022,HIT_TILT_10PP,328,0.0,0.5304878048780488,0.5304878048780488,0.000570250712748771,0.0,0,,,,0.010147417263845382,-0.45502078947211644
K200,VALID_2023_2024,HIT_TILT_10PP,97,0.0,0.5257731958762887,0.5257731958762887,0.0026263678053195768,0.0,0,,,,0.11951671961322163,-0.12409347826228034
KOSDAQ,STRESS_2025,HIT_TILT_10PP,45,0.0,0.6222222222222222,0.6222222222222222,0.010537933964738937,0.0,0,,,,0.5971510635629831,-0.10058698392159982
KOSDAQ,STRESS_2026,HIT_TILT_10PP,13,0.0,0.6923076923076923,0.6923076923076923,0.02233824879287821,0.0,0,,,,1.1961507943752738,-0.06774718424035031
KOSDAQ,TRAIN_2016_2022,HIT_TILT_10PP,256,0.0,0.5625,0.5625,0.0015413079880922324,0.0,0,,,,0.04108080383750168,-0.3936556834696189
KOSDAQ,VALID_2023_2024,HIT_TILT_10PP,73,0.0,0.5753424657534246,0.5753424657534246,0.0016310722677836836,0.0,0,,,,0.04304703111776975,-0.24942657042650196
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,HIT_TILT_10PP,49,0.0,0.6938775510204082,0.6938775510204082,0.011327248363180494,0.0,0,,,,0.7222863988092076,-0.0757979982339948
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,HIT_TILT_10PP,19,0.0,0.5789473684210527,0.5789473684210527,0.008841887664243162,0.0,0,,,,0.3206657091077054,-0.23490188436903991
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,HIT_TILT_10PP,328,0.0,0.5823170731707317,0.5823170731707317,0.001296479897828479,0.0,0,,,,0.04005873488510736,-0.3731870712669365
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,HIT_TILT_10PP,96,0.0,0.5625,0.5625,0.0010144226514430738,0.0,0,,,,0.027001948179328217,-0.31172072114019034
KOSPI_ALL,STRESS_2025,HIT_TILT_10PP,49,0.0,0.6530612244897959,0.6530612244897959,0.009658046597440647,0.0,0,,,,0.5850513658230523,-0.0747127439264339
KOSPI_ALL,STRESS_2026,HIT_TILT_10PP,21,0.0,0.5238095238095238,0.5238095238095238,0.010547283310459768,0.0,0,,,,0.4503520445048599,-0.20010222935679756
KOSPI_ALL,TRAIN_2016_2022,HIT_TILT_10PP,328,0.0,0.5548780487804879,0.5548780487804879,0.0008142354886097708,0.0,0,,,,0.02180976072504337,-0.45436794103521927
KOSPI_ALL,VALID_2023_2024,HIT_TILT_10PP,97,0.0,0.5670103092783505,0.5670103092783505,0.0029005049717246768,0.0,0,,,,0.1344795360353268,-0.1545240075125046
KOSPI_EX_K200,STRESS_2025,HIT_TILT_10PP,49,0.0,0.6122448979591837,0.6122448979591837,0.007739867095488137,0.0,0,,,,0.4442478359745008,-0.05804548611649163
KOSPI_EX_K200,STRESS_2026,HIT_TILT_10PP,15,0.0,0.7333333333333333,0.7333333333333333,0.01628251996951429,0.0,0,,,,0.8284614491503883,-0.11865046308934946
KOSPI_EX_K200,TRAIN_2016_2022,HIT_TILT_10PP,288,0.0,0.5659722222222222,0.5659722222222222,0.001549662016893937,0.0,0,,,,0.05329773302482543,-0.3410803239575877
KOSPI_EX_K200,VALID_2023_2024,HIT_TILT_10PP,91,0.0,0.5604395604395604,0.5604395604395604,0.001883272520578945,0.0,0,,,,0.0761537220271773,-0.2000972464077262
KOSPI_KOSDAQ_ALL,STRESS_2025,HIT_TILT_10PP,49,0.0,0.673469387755102,0.673469387755102,0.010172522922402831,0.0,0,,,,0.6276147654699857,-0.07955820704924832
KOSPI_KOSDAQ_ALL,STRESS_2026,HIT_TILT_10PP,21,0.0,0.5238095238095238,0.5238095238095238,0.006187812052829003,0.0,0,,,,0.21095410923356162,-0.24510880160492088
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,HIT_TILT_10PP,328,0.0,0.5701219512195121,0.5701219512195121,0.0009422185645252935,0.0,0,,,,0.02680393344176335,-0.41516686694491756
KOSPI_KOSDAQ_ALL,VALID_2023_2024,HIT_TILT_10PP,96,0.0,0.5208333333333334,0.5208333333333334,0.00064173275983274,0.0,0,,,,0.012648086178826068,-0.25717491892443245
