period,rule,n,win_rate,mean5,cagr,mdd,worst5
STRESS_2025,EW3,45,0.6666666666666666,0.008904386316134093,0.4895208730878038,-0.06625011485840371,-0.0375668260500139
STRESS_2025,HEALTH_2X,45,0.6444444444444445,0.009342076974189258,0.5190180975308882,-0.06850374196582942,-0.0375668260500139
STRESS_2025,FHIGH_ONLY,45,0.6222222222222222,0.01019021154136103,0.5757329123297539,-0.07640252485845844,-0.0375668260500139
STRESS_2025,BASE_WEIGHT,45,0.6444444444444445,0.009148843830568397,0.5059739028762316,-0.0683486838263545,-0.03619779661718499
STRESS_2025,HEALTH_BASE,45,0.6444444444444445,0.0094112864118668,0.5238453422070786,-0.06946611763477128,-0.03619779661718499
STRESS_2026,EW3,13,0.6923076923076923,0.020684877037304965,1.0780189563077958,-0.07072101857700752,-0.07072101857700752
STRESS_2026,HEALTH_2X,13,0.7692307692307693,0.021355619804659033,1.1290329455040697,-0.07072101857700752,-0.07072101857700752
STRESS_2026,FHIGH_ONLY,13,0.6923076923076923,0.021891944084077616,1.1651944444052669,-0.07072101857700752,-0.07072101857700752
STRESS_2026,BASE_WEIGHT,13,0.6923076923076923,0.021220736546445816,1.1199670482935784,-0.06955610460809403,-0.06955610460809397
STRESS_2026,HEALTH_BASE,13,0.6923076923076923,0.02158934329043396,1.14853342295666,-0.06955610460809392,-0.06955610460809397
TRAIN_2016_2022,EW3,247,0.5587044534412956,0.0008912760728885071,0.022408845697545754,-0.3479388746626685,-0.07776760581599806
TRAIN_2016_2022,HEALTH_2X,247,0.5587044534412956,0.0009699938917136153,0.024967441776052812,-0.3447349170372186,-0.07776760581599806
TRAIN_2016_2022,FHIGH_ONLY,247,0.5587044534412956,0.0010562099206007744,0.02621859092045753,-0.35313912324414465,-0.0987587117774958
TRAIN_2016_2022,BASE_WEIGHT,247,0.562753036437247,0.0010192774329343078,0.027112442171627116,-0.3456329788854886,-0.07754909032403551
TRAIN_2016_2022,HEALTH_BASE,247,0.5546558704453441,0.0010697748813567156,0.02880371297662987,-0.34276862334120595,-0.07754909032403551
VALID_2023_2024,EW3,73,0.5753424657534246,0.0022936800947865165,0.08273527119198354,-0.1569514476945545,-0.08081746980015003
VALID_2023_2024,HEALTH_2X,73,0.5616438356164384,0.002308627063766948,0.08239128307743093,-0.1489487959497976,-0.08743464025685074
VALID_2023_2024,FHIGH_ONLY,73,0.5753424657534246,0.0026405375328588747,0.09289148164964733,-0.13126370415377087,-0.0973603959419018
VALID_2023_2024,BASE_WEIGHT,73,0.5753424657534246,0.002102817104155435,0.07425891616473668,-0.1627401475789383,-0.08144103564518279
VALID_2023_2024,HEALTH_BASE,73,0.5753424657534246,0.002097021560755834,0.07346771298553367,-0.15790573319438184,-0.08599636241930933
