universe,policy,action,train_win,train_mean,train_beat,train_excess
K200,ABS_UNCOND,EW4,0.5604050014807468,0.0015781251660497043,,
K200,ALPHA_UNCOND,LEADER,,,0.5179839167187611,0.0009198097515207962
KOSDAQ,ABS_UNCOND,LEADER_OR_ROTATE,0.5850999490705373,0.002903938724264573,,
KOSDAQ,ALPHA_UNCOND,LEADER,,,0.5959861217214159,0.0030396042855859763
KOSDAQ_PLUS_KOSPI_EX_K200,ABS_UNCOND,POSABS,0.6053366899209878,0.0018430896335503682,,
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA_UNCOND,LEADER_OR_ROTATE,,,0.5624095764988194,0.0015402092031808765
KOSPI_ALL,ABS_UNCOND,POSABS,0.5815251306427777,0.0017853805138725815,,
KOSPI_ALL,ALPHA_UNCOND,WPLUS,,,0.5337534361063773,0.0014986649046245578
KOSPI_EX_K200,ABS_UNCOND,WPLUS,0.5557077293554248,0.0020219273203231996,,
KOSPI_EX_K200,ALPHA_UNCOND,EW4,,,0.5522152952949698,0.0009059398808770004
KOSPI_KOSDAQ_ALL,ABS_UNCOND,MARKET,0.5753002477458012,0.00017494289983717803,,
KOSPI_KOSDAQ_ALL,ALPHA_UNCOND,LEADER_OR_ROTATE,,,0.5328752654886956,0.0010751917884908346
