universe,period,base_state,factor_substate,policy,action,n,win_rate,mean_5d,beat_mkt_rate,mean_excess
K200,TRAIN_2016_2022,B2,F_LOW,ABS_STATE,CASH,73,0.0,0.0,0.4383561643835616,0.001850409402544115
K200,TRAIN_2016_2022,B2,F_LOW,ALPHA_STATE,LEADER,73,0.5205479452054794,-0.004567067460314855,0.4383561643835616,-0.0027166580577707394
K200,TRAIN_2016_2022,B3,F_HIGH,ABS_STATE,CASH,51,0.0,0.0,0.5686274509803921,7.001032990547455e-05
K200,TRAIN_2016_2022,B3,F_HIGH,ALPHA_STATE,LEADER,51,0.47058823529411764,0.0012326648472608215,0.5882352941176471,0.0013026751771662963
K200,TRAIN_2016_2022,B3,F_LOW,ABS_STATE,CASH,86,0.0,0.0,0.43023255813953487,0.0009171569222758664
K200,TRAIN_2016_2022,B3,F_LOW,ALPHA_STATE,EW4,86,0.5,-0.001984057199091452,0.4186046511627907,-0.001066900276815586
K200,TRAIN_2016_2022,B4,F_HIGH,ABS_STATE,EW4,26,0.6153846153846154,0.007570432219059507,0.6153846153846154,0.002773940474426507
K200,TRAIN_2016_2022,B4,F_HIGH,ALPHA_STATE,EW4,26,0.6153846153846154,0.007570432219059507,0.6153846153846154,0.002773940474426507
K200,TRAIN_2016_2022,B4,F_LOW,ABS_STATE,WPLUS,68,0.6470588235294118,0.005134842291389139,0.5294117647058824,0.0018257046049574225
K200,TRAIN_2016_2022,B4,F_LOW,ALPHA_STATE,POSABS,68,0.6029411764705882,0.004263357209037155,0.5588235294117647,0.0009542195226054396
K200,VALID_2023_2024,B2,F_HIGH,ABS_STATE,LEADER,6,0.5,0.005857912409485916,0.6666666666666666,0.0045671146028488
K200,VALID_2023_2024,B2,F_HIGH,ALPHA_STATE,WPLUS,6,0.5,0.005326101487674814,0.5,0.004035303681037697
K200,VALID_2023_2024,B2,F_LOW,ABS_STATE,CASH,21,0.0,0.0,0.47619047619047616,-0.0022688379267857234
K200,VALID_2023_2024,B2,F_LOW,ALPHA_STATE,LEADER,21,0.5238095238095238,0.0015129790653713618,0.47619047619047616,-0.0007558588614143618
K200,VALID_2023_2024,B3,F_HIGH,ABS_STATE,CASH,16,0.0,0.0,0.375,-0.0020409465021623127
K200,VALID_2023_2024,B3,F_HIGH,ALPHA_STATE,LEADER,16,0.5,0.0023796751083817805,0.375,0.00033872860621946867
K200,VALID_2023_2024,B3,F_LOW,ABS_STATE,CASH,29,0.0,0.0,0.4482758620689655,-0.001114067850841162
K200,VALID_2023_2024,B3,F_LOW,ALPHA_STATE,EW4,29,0.5172413793103449,0.0038037079263863413,0.6206896551724138,0.0026896400755451787
K200,VALID_2023_2024,B4,F_HIGH,ABS_STATE,EW4,10,0.6,0.004917633521888327,0.5,0.006025999829172067
K200,VALID_2023_2024,B4,F_HIGH,ALPHA_STATE,EW4,10,0.6,0.004917633521888327,0.5,0.006025999829172067
K200,VALID_2023_2024,B4,F_LOW,ABS_STATE,WPLUS,15,0.4,-0.006111333335568963,0.3333333333333333,-0.0033195402851198307
K200,VALID_2023_2024,B4,F_LOW,ALPHA_STATE,POSABS,15,0.4666666666666667,-0.004594024659036962,0.4,-0.0018022316085878282
KOSDAQ,STRESS_2025,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,16,0.75,0.015446562074308006,0.6875,0.0068424830963431885
KOSDAQ,STRESS_2025,B3,F_HIGH,ALPHA_STATE,POSABS,16,0.8125,0.01617387283966064,0.6875,0.0075697938616958215
KOSDAQ,STRESS_2025,B3,F_LOW,ABS_STATE,LEADER_OR_ROTATE,9,0.5555555555555556,0.0044341680140331675,0.6666666666666666,0.008141199311322568
KOSDAQ,STRESS_2025,B3,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,9,0.5555555555555556,0.0044341680140331675,0.6666666666666666,0.008141199311322568
KOSDAQ,STRESS_2025,B4,F_HIGH,ABS_STATE,LEADER,11,0.6363636363636364,0.017408486671406088,0.6363636363636364,0.007573490005561826
KOSDAQ,STRESS_2025,B4,F_HIGH,ALPHA_STATE,LEADER,11,0.6363636363636364,0.017408486671406088,0.6363636363636364,0.007573490005561826
KOSDAQ,STRESS_2025,B4,F_LOW,ABS_STATE,POSABS,9,0.5555555555555556,0.0010695212619923457,0.4444444444444444,-0.001002527057616887
KOSDAQ,STRESS_2025,B4,F_LOW,ALPHA_STATE,WPLUS,9,0.4444444444444444,0.0017150484052944903,0.2222222222222222,-0.0003569999143147428
KOSDAQ,STRESS_2026,B3,F_LOW,ABS_STATE,LEADER_OR_ROTATE,1,1.0,0.0555493480810569,1.0,0.0045124598871147045
KOSDAQ,STRESS_2026,B3,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,1,1.0,0.0555493480810569,1.0,0.0045124598871147045
KOSDAQ,STRESS_2026,B4,F_HIGH,ABS_STATE,LEADER,8,0.625,0.02259892256483918,0.5,0.004920030684293836
KOSDAQ,STRESS_2026,B4,F_HIGH,ALPHA_STATE,LEADER,8,0.625,0.02259892256483918,0.5,0.004920030684293836
KOSDAQ,STRESS_2026,B4,F_LOW,ABS_STATE,POSABS,4,0.75,0.017795502172102927,0.75,0.0171862146934387
KOSDAQ,STRESS_2026,B4,F_LOW,ALPHA_STATE,WPLUS,4,0.75,0.014262848692125702,0.75,0.013653561213461477
KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,68,0.5882352941176471,0.0036019392599314676,0.5588235294117647,0.002136729560207929
KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,ALPHA_STATE,POSABS,68,0.5147058823529411,0.003887194280624858,0.5882352941176471,0.0024219845809013195
KOSDAQ,TRAIN_2016_2022,B3,F_LOW,ABS_STATE,LEADER_OR_ROTATE,77,0.5974025974025974,0.0007807610299361056,0.6493506493506493,0.00504144060814454
KOSDAQ,TRAIN_2016_2022,B3,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,77,0.5974025974025974,0.0007807610299361056,0.6493506493506493,0.00504144060814454
KOSDAQ,TRAIN_2016_2022,B4,F_HIGH,ABS_STATE,LEADER,48,0.5833333333333334,0.004015612038102733,0.6666666666666666,0.0038226820270456873
KOSDAQ,TRAIN_2016_2022,B4,F_HIGH,ALPHA_STATE,LEADER,48,0.5833333333333334,0.004015612038102733,0.6666666666666666,0.0038226820270456873
KOSDAQ,TRAIN_2016_2022,B4,F_LOW,ABS_STATE,POSABS,63,0.5714285714285714,0.003845694382588279,0.5238095238095238,0.0021311054921182467
KOSDAQ,TRAIN_2016_2022,B4,F_LOW,ALPHA_STATE,WPLUS,63,0.5714285714285714,0.0033260373242042936,0.5555555555555556,0.0016114484337342607
KOSDAQ,VALID_2023_2024,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,20,0.4,0.002991765613090242,0.5,0.0005239497723757421
KOSDAQ,VALID_2023_2024,B3,F_HIGH,ALPHA_STATE,POSABS,20,0.5,0.005385029872928543,0.55,0.0029172140322140426
KOSDAQ,VALID_2023_2024,B3,F_LOW,ABS_STATE,LEADER_OR_ROTATE,31,0.5806451612903226,-0.0007503647512468678,0.45161290322580644,-0.0015387896116865936
KOSDAQ,VALID_2023_2024,B3,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,31,0.5806451612903226,-0.0007503647512468678,0.45161290322580644,-0.0015387896116865936
KOSDAQ,VALID_2023_2024,B4,F_HIGH,ABS_STATE,LEADER,10,0.6,-0.01273327176042539,0.4,-0.006115270065331079
KOSDAQ,VALID_2023_2024,B4,F_HIGH,ALPHA_STATE,LEADER,10,0.6,-0.01273327176042539,0.4,-0.006115270065331079
KOSDAQ,VALID_2023_2024,B4,F_LOW,ABS_STATE,POSABS,12,0.6666666666666666,0.006028052456816594,0.75,0.004830750956032436
KOSDAQ,VALID_2023_2024,B4,F_LOW,ALPHA_STATE,WPLUS,12,0.5833333333333334,0.006890685957492739,0.8333333333333334,0.005693384456708581
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B2,F_HIGH,ABS_STATE,POSABS,1,1.0,0.04027062164615135,0.0,-0.005575540714160054
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B2,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,1,1.0,0.0439974975399424,0.0,-0.0018486648203690018
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B2,F_LOW,ABS_STATE,CASH,3,0.0,0.0,0.3333333333333333,-0.01966507223880967
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B2,F_LOW,ALPHA_STATE,LEADER,3,0.6666666666666666,0.013747245329465333,0.3333333333333333,-0.0059178269093443335
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B3,F_HIGH,ABS_STATE,WPLUS,17,0.6470588235294118,0.013359968119450689,0.7058823529411765,0.007111509758881025
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B3,F_HIGH,ALPHA_STATE,POSABS,17,0.6470588235294118,0.01256610048270236,0.7058823529411765,0.0063176421221326955
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B3,F_LOW,ABS_STATE,CASH,7,0.0,0.0,0.5714285714285714,-0.0012668843041574143
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B3,F_LOW,ALPHA_STATE,POSABS,7,0.5714285714285714,0.006831636890198056,1.0,0.005564752586040641
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B4,F_HIGH,ABS_STATE,POSABS,12,0.75,0.009239959665304996,0.5833333333333334,0.005504161384948396
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B4,F_HIGH,ALPHA_STATE,LEADER,12,0.6666666666666666,0.006744517366043218,0.5833333333333334,0.003008719085686617
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B4,F_LOW,ABS_STATE,LEADER,9,0.7777777777777778,0.0074532998856904,0.7777777777777778,2.8205835055010185e-05
