universe,period,policy,n,participation,positive_rate_all,active_win_rate,mean_5d,median_5d,beat_mkt_rate,mean_excess,cagr_gross,mdd_gross,vol_ann,sharpe_gross,worst_5d,action_switch_rate,compound_net10,compound_net30
K200,STRESS_2025,ABS_STATE_0PP,49,0.5714285714285714,0.3469387755102041,0.6071428571428571,0.007808832204904484,0.0,0.4489795918367347,-0.006438975308316307,0.45183214494782,-0.07224742742698875,0.16508669585105598,2.3839906728902442,-0.0387889633462105,0.40816326530612246,0.4061129672255077,0.33033253829353626
K200,STRESS_2025,ABS_STATE_3PP,49,0.5714285714285714,0.3469387755102041,0.6071428571428571,0.007808832204904484,0.0,0.4489795918367347,-0.006438975308316307,0.45183214494782,-0.07224742742698875,0.16508669585105598,2.3839906728902442,-0.0387889633462105,0.40816326530612246,0.4061129672255077,0.33033253829353626
K200,STRESS_2025,ABS_STATE_5PP,49,0.5714285714285714,0.3469387755102041,0.6071428571428571,0.007808832204904484,0.0,0.4489795918367347,-0.006438975308316307,0.45183214494782,-0.07224742742698875,0.16508669585105598,2.3839906728902442,-0.0387889633462105,0.40816326530612246,0.4061129672255077,0.33033253829353626
K200,STRESS_2025,ABS_UNCOND,49,1.0,0.7142857142857143,0.7142857142857143,0.01424780751322079,0.0132408993242223,0.0,0.0,0.9738385462145245,-0.0859450902900869,0.21391929035399385,3.3568244241930336,-0.0485567318099933,0.02040816326530612,0.8658015400315509,0.6934918755472994
K200,STRESS_2025,ALPHA_STATE_0PP,49,1.0,0.6326530612244898,0.6326530612244898,0.011293391220320477,0.011832239845539,0.5102040816326531,-0.0029544162929003113,0.7130345631693014,-0.08150850395196751,0.19779805763457148,2.8776163138857265,-0.0443703726930794,0.40816326530612246,0.6217246256314894,0.47155499187030214
K200,STRESS_2025,ALPHA_STATE_3PP,49,1.0,0.6326530612244898,0.6326530612244898,0.011293391220320477,0.011832239845539,0.5102040816326531,-0.0029544162929003113,0.7130345631693014,-0.08150850395196751,0.19779805763457148,2.8776163138857265,-0.0443703726930794,0.40816326530612246,0.6217246256314894,0.47155499187030214
K200,STRESS_2025,ALPHA_STATE_5PP,49,1.0,0.6326530612244898,0.6326530612244898,0.011293391220320477,0.011832239845539,0.5102040816326531,-0.0029544162929003113,0.7130345631693014,-0.08150850395196751,0.19779805763457148,2.8776163138857265,-0.0443703726930794,0.40816326530612246,0.6217246256314894,0.47155499187030214
K200,STRESS_2025,ALPHA_UNCOND,49,1.0,0.6122448979591837,0.6122448979591837,0.010786383829231404,0.011832239845539,0.42857142857142855,-0.0034614236839893876,0.6654008954936255,-0.10003560210571916,0.2148405252479185,2.5304059574697484,-0.0446606968309655,0.02040816326530612,0.5770986903670883,0.4309726515208503
K200,STRESS_2025,EW4,49,1.0,0.6326530612244898,0.6326530612244898,0.01186003034425389,0.012014780230158402,0.5306122448979592,-0.0023877771689669006,0.7622594083467118,-0.08389640284292221,0.19506703485199003,3.0643082764032594,-0.0387889633462105,0.02040816326530612,0.6678229831045304,0.5134706515576484
K200,STRESS_2025,LEADER,49,1.0,0.6122448979591837,0.6122448979591837,0.010786383829231404,0.011832239845539,0.42857142857142855,-0.0034614236839893876,0.6654008954936255,-0.10003560210571916,0.2148405252479185,2.5304059574697484,-0.0446606968309655,0.02040816326530612,0.5770986903670883,0.4309726515208503
K200,STRESS_2025,LEADER_OR_ROTATE,49,1.0,0.5918367346938775,0.5918367346938775,0.010298910796835321,0.011832239845539,0.42857142857142855,-0.003948896716385469,0.6254432054064585,-0.10003560210571916,0.21662534253786767,2.3961421045174522,-0.0446606968309655,0.02040816326530612,0.5396574716923774,0.3969328834835568
