universe,period,spec,n,mean_edge,median_edge,win_vs_wplus,abs_win
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_0BP_W50,184,0.0019902552348737717,0.0017668851537763503,0.5978260869565217,0.5815217391304348
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_10BP_W55,136,0.0021588583463569215,0.0027565231787584007,0.625,0.6029411764705882
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W55,63,0.002619996598071674,0.0021333690509832,0.6031746031746031,0.6190476190476191
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W60,63,0.002619996598071674,0.0021333690509832,0.6031746031746031,0.6190476190476191
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_0BP_W50,57,0.0015097260095464722,0.0017017591615016998,0.5614035087719298,0.543859649122807
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_10BP_W55,40,0.0022002629066905127,0.0014789118760641,0.575,0.55
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W55,9,0.006182397672056647,0.0012560645906265003,0.5555555555555556,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,TILT_20BP_W60,9,0.006182397672056647,0.0012560645906265003,0.5555555555555556,0.6666666666666666
KOSPI_ALL,STRESS_2025,TILT_0BP_W50,39,0.001890438226188882,0.0015697260908748983,0.5641025641025641,0.7948717948717948
KOSPI_ALL,STRESS_2025,TILT_10BP_W55,19,0.002538026928350421,0.0021189132382483933,0.631578947368421,0.7368421052631579
KOSPI_ALL,STRESS_2025,TILT_20BP_W55,19,0.002538026928350421,0.0021189132382483933,0.631578947368421,0.7368421052631579
KOSPI_ALL,STRESS_2025,TILT_20BP_W60,19,0.002538026928350421,0.0021189132382483933,0.631578947368421,0.7368421052631579
KOSPI_ALL,STRESS_2026,TILT_0BP_W50,17,0.001137365025107993,0.0,0.47058823529411764,0.5882352941176471
KOSPI_ALL,STRESS_2026,TILT_10BP_W55,12,0.0032585205707919996,0.0011104946987875453,0.5833333333333334,0.6666666666666666
