feature,train_spearman,bad_direction,frozen_threshold,TRAIN_2016_2022_bad_share,TRAIN_2016_2022_bad_mean,TRAIN_2016_2022_rest_mean,TRAIN_2016_2022_delta,OOS_2023_2024_bad_share,OOS_2023_2024_bad_mean,OOS_2023_2024_rest_mean,OOS_2023_2024_delta,BULL_2025_bad_share,BULL_2025_bad_mean,BULL_2025_rest_mean,BULL_2025_delta,YTD_2026_bad_share,YTD_2026_bad_mean,YTD_2026_rest_mean,YTD_2026_delta,train_oos_same_bad_sign,healthy_2025_filter,captures_2026,screen_pass
MKT_RET_20D,-0.04991852109101595,HIGH_BAD,0.014452404872928598,0.3333333333333333,0.00549170325394945,-0.001515727733130481,0.00700743098707993,0.2631578947368421,-0.020081697457885392,0.013625669894587555,-0.03370736735247295,0.7272727272727273,0.03289299695951231,0.08776911786245739,-0.05487612090294508,0.5454545454545454,-0.09483548250172623,-0.05574668748055398,-0.03908879502117225,False,False,True,False
MKT_RET_60D,-0.03381508294820079,HIGH_BAD,0.038362347991647096,0.3333333333333333,0.005764458347672191,-0.0016521052799918518,0.007416563627664042,0.3157894736842105,0.011248299984554374,0.0017585454867286533,0.009489754497825721,0.7272727272727273,0.02956102018879539,0.09665438925103587,-0.06709336906224048,0.6363636363636364,-0.057697433777967176,-0.11096607399183925,0.05326864021387207,False,False,True,False
MKT_VOL_20D,0.07607725803435472,LOW_BAD,0.13073673313350842,0.3333333333333333,0.00012916611862154353,0.0011655408345334736,-0.00103637471591193,0.23684210526315788,-0.005257318630503726,0.007862677591176929,-0.013119996221680655,0.09090909090909091,0.08918309400592425,0.043726823525754646,0.045456270480169605,0.0,,-0.07706784840119339,,True,True,False,False
MKT_DD_60D,-0.09023709713020488,HIGH_BAD,-0.02554555592841767,0.3333333333333333,-0.002665897857907012,0.0025630728227977522,-0.005228970680704765,0.23684210526315788,-0.028815248647955777,0.015173759320731018,-0.043989007968686794,0.7727272727272727,0.031361662776980034,0.10395087826365615,-0.07258921548667611,0.45454545454545453,-0.09935760840436267,-0.0584930483985523,-0.04086456000581037,True,False,False,False
LIQ_5D_20D,0.15291854780541236,LOW_BAD,0.29106477769693373,0.3333333333333333,-0.012357722142698988,0.00740898496519374,-0.019766707107892727,0.39473684210526316,0.013957786938896762,-0.0012463052875588635,0.015204092226455626,0.22727272727272727,0.05620561997739841,0.04540438580234996,0.010801234175048448,0.36363636363636365,-0.11096607399183925,-0.057697433777967176,-0.05326864021387207,False,True,False,False
RELATIVE_WORKING_BREADTH,0.05690988883075745,LOW_BAD,0.5,0.6181818181818182,-0.001275195591594317,0.004212437756595035,-0.005487633348189352,0.5789473684210527,-0.001688299893028596,0.01361527375726416,-0.015303573650292756,0.5,0.04225825219903123,0.05346017130341801,-0.011201919104386775,0.5454545454545454,-0.03177046906652207,-0.13142470360279898,0.09965423453627692,True,False,True,False
ABS_CONFIRMED_BREADTH,-0.01927580333639178,HIGH_BAD,0.5,0.3939393939393939,0.004574515772869461,-0.0016202989691364803,0.006194814742005941,0.4473684210526316,0.009858810976525304,0.000623904565174639,0.009234906411350665,0.6818181818181818,0.039870237903560826,0.06497844142478988,-0.025108203521229056,0.45454545454545453,-0.09168358058458322,-0.06488807158170187,-0.026795509002881343,False,False,False,False
DEFENSIVE_WORKING_BREADTH,0.043362879702450764,LOW_BAD,0.0,0.4727272727272727,0.0022232701630069338,-0.0004379476366859069,0.0026612177996928406,0.5,0.00048144432570117337,0.009029175804277641,-0.008547731478576468,0.9090909090909091,0.04212156942940819,0.10523563496938884,-0.06311406553998065,0.6363636363636364,-0.057697433777967176,-0.11096607399183925,0.05326864021387207,False,False,True,False
WPLUS_PAIR_SHARE,-0.021633886764114332,HIGH_BAD,0.1666666666666666,0.48484848484848486,0.002796098540517604,-0.0010396971166887227,0.003835795657206327,0.5526315789473685,0.0026430562482910097,0.0073645647797344945,-0.004721508531443485,0.7727272727272727,0.05078913922066731,0.03789745835511944,0.012891680865547865,0.5454545454545454,-0.09483548250172623,-0.05574668748055398,-0.03908879502117225,False,False,True,False
CONFLICT_PAIR_SHARE,0.060753365521955226,LOW_BAD,0.0,0.7454545454545455,-0.0020721586510158547,0.009290217676138501,-0.011362376327154356,0.6842105263157895,0.015999471392838274,-0.019607039478683138,0.03560651087152141,0.6818181818181818,0.049065086850873546,0.0452751936805483,0.0037898931703252495,1.0,-0.07706784840119339,,,False,False,True,False
