date,sample,return_type,horizon,factor_breadth_20d,breadth_bin,breadth_group,breadth_transition,breadth_delta,base_state,factor_substate,REVISION_state,high_base_cell,high_revision_cell,high_factor_substate_cell,fwd_mean_across_phases,fwd_median_across_phases,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,FAMILY_MEMBER_AGREEMENT,MKT_MOM_ACCEL
2016-02-01,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,,,,,,,,-0.0423740152127486,-0.0444263564635961,,,,,,,,,,,,,,
2016-02-11,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.125,,,,,,,0.0074150300764171,0.0131652980537214,,,,,,,,,,,,,,
2016-07-28,TRAIN_2016_2022,NET60,20,0.875,HIGH,HIGH,HIGH_PERSIST,0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0198848968627036,0.0208541476902076,0.0299418617049049,0.0162804618037075,0.0905535685450603,-0.015915972119973,0.3280821917808219,0.375,0.375,0.0,0.1666666666666666,0.0,0.0799200375354163,0.01331249452733,0.75,0.024515041103669064
2016-08-04,TRAIN_2016_2022,NET60,20,0.875,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0142550510957365,0.0129357077461211,0.004871593158277,-0.0057056557529983,0.0548578293654032,-0.0189113321104079,0.3472602739726027,0.875,0.75,0.125,0.5,0.0,0.0647872692859357,0.0165422186106326,0.75,0.0067734784092764325
2016-08-11,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,-0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,-0.0277897624817027,-0.0304069538001737,0.0040547639287087,0.019613667652311,0.0605768109026678,-0.0136953252264013,0.3353909465020576,0.5,0.5,0.0,0.1666666666666666,0.0,0.0502556248818706,0.025505541589298,1.0,-0.002483125288728301
2016-08-19,TRAIN_2016_2022,NET60,20,1.0,HIGH,HIGH,HIGH_PERSIST,0.25,B4,F_LOW,W+,HIGH|B4,HIGH|W+,HIGH|F_LOW,-0.0378696030683975,-0.038474156660028,-0.0093445752275999,0.004470348225416,0.0714774678548536,-0.0233283173038939,0.3995887594242632,0.875,0.5,0.375,0.1666666666666666,0.0,0.047062279250792,0.0247537005223735,1.0,-0.010834691302738567
2016-08-26,TRAIN_2016_2022,NET60,20,1.0,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0190655922183444,-0.0165741322247698,-0.0258634700232575,-0.0320724313004967,0.0784247720804344,-0.0413677998754145,0.2703071672354948,0.875,0.25,0.625,0.0,0.0,0.0469689528525388,0.0218182291038401,1.0,-0.0151726595897586
2016-09-02,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,-0.25,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0321029753412282,-0.0327884260330856,-0.0253271337580636,-0.0405531220975362,0.120292480525928,-0.0421759045191103,0.2648464163822525,0.625,0.0,0.625,0.0,0.0,0.0411116993014982,0.0249077431311601,0.5,-0.0118094263922182
2016-09-09,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0244223096013504,-0.0235956766643969,-0.047966998421117,-0.0208911170935006,0.1169290040094768,-0.0519379081815309,0.332425068119891,0.625,0.0,0.625,0.0,0.0,0.0537745964271419,0.0188771079970565,0.5,-0.041003292723283465
2016-10-06,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.25,B4,F_LOW,W-,HIGH|B4,HIGH|W-,HIGH|F_LOW,-0.0726339971680263,-0.0732702985948136,0.0043620415305156,-0.0163066486823458,0.1222616896739105,-0.0303140274672835,0.3955071477195371,0.375,0.125,0.25,0.0,0.1666666666666666,0.0877117502936301,0.0312533247840437,1.0,0.009797591091297533
2016-10-13,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,-0.0597700139773106,-0.0611844188245515,-0.0036322407441244,-0.0475787638320732,0.1273969177594647,-0.0553814979393944,0.3152173913043478,0.625,0.375,0.25,0.1666666666666666,0.3333333333333333,0.0945358118000309,0.0380984905583003,1.0,0.012227347199899999
2016-10-20,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0304226648616782,-0.0315144611738473,-0.029514798726854,-0.0608812576069988,0.0973680695277107,-0.0651968458957686,0.2554347826086957,0.75,0.25,0.5,0.0,0.1666666666666666,0.1133463179512287,0.0403365018031909,1.0,-0.009221046191187732
2016-10-27,TRAIN_2016_2022,NET60,20,0.875,HIGH,HIGH,HIGH_PERSIST,0.125,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0773460055984806,-0.0790404173495777,-0.0526661264441489,-0.069849960364476,0.1138895114101665,-0.0758150775796224,0.3133922501699524,0.75,0.125,0.625,0.0,0.0,0.1079468573330919,0.038361668970822,0.75,-0.029382806322656902
2016-11-03,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,-0.125,B2,F_LOW,W-,HIGH|B1_B2,HIGH|W-,HIGH|F_LOW,-0.0319712853840316,-0.0340732671877606,-0.0992263034025264,-0.1182106227126731,0.161326257244752,-0.1265323819829887,0.3095238095238095,0.625,0.0,0.625,0.0,0.0,0.1221206157673631,0.033404544593529,0.5,-0.05982276249830203
2016-11-24,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.25,B2,F_LOW,N-,HIGH|B1_B2,HIGH|N-,HIGH|F_LOW,0.0345742924700741,0.0361626934435379,-0.0701860740774996,-0.1121712065647255,0.2685149516108169,-0.1231074310624482,0.2673869007427414,0.25,0.0,0.25,0.0,0.0,0.1552378214439344,0.0421624559098151,1.0,-0.03279567188925777
2016-12-08,TRAIN_2016_2022,NET60,20,1.0,HIGH,HIGH,HIGH_ENTRY,0.5,B2,F_LOW,W-,HIGH|B1_B2,HIGH|W-,HIGH|F_LOW,0.0231550949871526,0.0220051500035634,-0.0434029600987869,-0.1038499690313147,0.1510443986178195,-0.1330202171739365,0.2602006688963211,0.75,0.25,0.5,0.0,0.0,0.1338858377860413,0.0350259725074121,1.0,-0.00878630375501533
2016-12-15,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.375,B3,F_HIGH,N-,HIGH|B3,HIGH|N-,HIGH|F_HIGH,-0.0337809583193364,-0.0337618943994911,-0.01649905431918,-0.0764800452843125,0.1603739913409634,-0.092244267954238,0.4255177020708083,0.625,0.625,0.0,0.0,0.0,0.1217186055164692,0.019466971330024,0.25,0.008994294108924165
2017-01-31,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B3,F_LOW,N-,HIGH|B3,HIGH|N-,HIGH|F_LOW,0.0203654522503604,0.021021777879884,-0.0195385160366693,0.0135314685049361,0.086856421423416,-0.0351195037374554,0.2913907284768212,0.375,0.0,0.375,0.0,0.0,0.0636570316101138,0.0063860844534873,0.5,-0.024049005538314665
2017-02-07,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.125,B3,F_LOW,N-,HIGH|B3,HIGH|N-,HIGH|F_LOW,0.0422706945625616,0.0448170376641401,-0.0377252247593627,-0.005920433399158,0.0987230701552048,-0.0377252247593624,0.371523178807947,0.125,0.0,0.125,0.0,0.0,0.0868872900068831,0.0107384571872189,0.75,-0.035751746959643366
2017-02-14,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_LOW,N-,HIGH|B3,HIGH|N-,HIGH|F_LOW,0.0227257633356428,0.0217253315342323,-0.0195550944866219,-0.0177011876853879,0.0968127694821854,-0.0316422023733163,0.3514228987425546,0.25,0.25,0.0,0.0,0.0,0.0781212717492454,0.0199193214643653,0.75,-0.013654698591492601
2017-02-21,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.0221768303345654,-0.0218849515553942,0.0143066469599351,0.0532989556135707,0.0962100802931634,-0.0135023380623504,0.3692918596955658,0.375,0.375,0.0,0.1666666666666666,0.3333333333333333,0.042049380227288,0.0282618491891941,0.75,-0.0034596715779218017
2017-03-08,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.25,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0274098250731406,0.0262288559542122,0.0056148370564119,0.045018037575832,0.0747453882536701,-0.0323222086928908,0.3141534391534391,0.5,0.5,0.0,0.1666666666666666,0.0,0.0427721740306709,0.0255766385232963,0.5,-0.009391175468865434
2017-03-15,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_LOW,W+,HIGH|B4,HIGH|W+,HIGH|F_LOW,0.0252389352333822,0.0255737064382428,0.0046358245861946,0.0034078580540564,0.0859685276382924,-0.0271530654868455,0.4064771976206213,0.625,0.5,0.125,0.0,0.1666666666666666,0.0567029973382203,0.0194269138785509,0.5,0.0034998719015091333
2017-05-23,TRAIN_2016_2022,NET60,20,1.0,HIGH,HIGH,HIGH_ENTRY,0.5,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0528597593735836,0.0528028699512952,0.0183073118150209,0.0465504078432945,0.0924706427460887,0.0,0.4493333333333333,0.75,0.75,0.0,0.5,0.0,0.0517941640705955,0.0159446091568055,1.0,0.002790509200589401
2017-05-30,TRAIN_2016_2022,NET60,20,1.0,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0684396732068737,0.0657628870959911,0.0290621179654897,0.072046610039685,0.0858173481587124,0.0,0.429427430093209,0.75,0.75,0.0,0.5,0.0,0.0433201215426469,0.0164636349614553,1.0,0.005046581285594699
2017-06-07,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,-0.25,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0242236713950188,0.0221359822485822,0.0485279623027303,0.1129316733804572,0.0702409945810277,0.0,0.4493041749502982,0.5,0.5,0.0,0.5,0.0,0.0979329963808858,0.0301979366564842,1.0,0.010884071175911232
2017-06-14,TRAIN_2016_2022,NET60,20,0.875,HIGH,HIGH,HIGH_PERSIST,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0232263235024884,0.0206184516089926,0.0543403104733635,0.1090153635031807,0.0782303123167755,0.0,0.431023102310231,0.375,0.375,0.0,0.5,0.0,0.0769656316535858,0.0248550618221134,0.75,0.018001855972303263
2017-06-21,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.25,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0553417052484849,0.0501338307642142,0.0321655919099697,0.0903479212598452,0.0904684194249425,-0.0134399849910581,0.3650689428759028,0.375,0.375,0.0,0.1666666666666666,0.0,0.0996629234344488,0.0241702924117373,0.75,0.0020496181566879643
2017-06-28,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0320375823853331,0.0321920397965705,0.0183402698651962,0.0794161991459534,0.0933282360845312,-0.0130781287851529,0.2675409836065573,0.5,0.5,0.0,0.5,0.0,0.1095159419352883,0.0210623786910324,1.0,-0.008131796516788265
2017-07-05,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0325895156928422,0.0280920261407551,-0.0153396426554516,0.0549384722516002,0.0956158365712657,-0.018243805018089,0.2366362451108213,0.625,0.625,0.0,0.1666666666666666,0.0,0.0969054146539466,0.0238321260338502,0.75,-0.033652466739318335
2017-07-12,TRAIN_2016_2022,NET60,20,0.875,HIGH,HIGH,HIGH_PERSIST,0.25,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0068750236061016,-0.0151294917322615,-0.0311695990652308,0.0527317912747158,0.0863160578198885,-0.0322843688471981,0.2220052083333333,0.625,0.125,0.5,0.0,0.0,0.0904340655220194,0.0222816784732446,0.75,-0.0487468628234694
2017-07-19,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,-0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,-0.0679836765151615,-0.0704717608775891,0.0005868959881036,0.0516786331814209,0.0900400410172345,-0.0128609768762261,0.3131510416666667,0.375,0.375,0.0,0.1666666666666666,0.3333333333333333,0.0924914371631584,0.0314310617485929,1.0,-0.016639315072370035
2017-08-31,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,-0.0052362208248959,-0.0006040459774754,-0.0030777178154698,-0.0212271105693029,0.1270930351599646,-0.0241139084035539,0.3348445595854922,0.375,0.25,0.125,0.1666666666666666,0.6666666666666666,0.0498213697798063,0.0260587185596602,0.75,0.003997985707631167
2017-09-07,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0037777065195411,0.0080090026563508,0.0112225009559436,-0.0290919770288339,0.1120680008637707,-0.0302091373946051,0.4042690815006468,0.5,0.5,0.0,0.1666666666666666,0.3333333333333333,0.0856847511991572,0.0406308531354771,0.75,0.020919826632221566
2017-09-14,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.0025038076578766,-0.000642856211559,0.0181485449036247,-0.0138653322700345,0.0927923711938517,-0.0222963339304093,0.4301423027166882,0.5,0.5,0.0,0.1666666666666666,0.3333333333333333,0.085153890125864,0.0523141827116356,1.0,0.02277032232696953
2017-11-24,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.25,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,-0.0674982220953309,-0.0660715031346963,0.1051505378630976,0.1393503461811536,0.1090048776545439,-0.0016056314744783,0.6168045830681095,0.625,0.625,0.0,0.1666666666666666,0.0,0.0802706129936597,0.0676547891727871,0.75,0.058700422469379725
2018-01-10,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.25,B4,F_HIGH,R+,HIGH|B4,HIGH|R+,HIGH|F_HIGH,-0.0311477232700446,-0.0322008152763227,0.0883993143793386,0.1808267620002126,0.2050399965210403,0.0,0.5214917825537294,0.375,0.375,0.0,0.1666666666666666,0.0,0.1961454652566932,0.0725374653476465,0.75,0.02812372704593439
2018-01-17,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,R+,HIGH|B4,HIGH|R+,HIGH|F_HIGH,-0.0597613385767724,-0.0607913263618241,0.1030090030308532,0.2170252466107376,0.2030254231026585,-0.0064940343576689,0.5138713745271122,0.25,0.25,0.0,0.1666666666666666,0.0,0.1811474112763092,0.0577514737289845,0.75,0.030667254160607324
2018-02-14,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_ENTRY,0.125,B3,F_LOW,N-,HIGH|B3,HIGH|N-,HIGH|F_LOW,0.0200642143857595,0.0173840670786461,-0.0127166401567461,0.0825172406652048,0.2617895452950814,-0.0679127552835706,0.1894604767879548,0.625,0.25,0.375,0.0,0.1666666666666666,0.0248328640160298,0.0520829547159834,0.75,-0.0402223870451477
2018-02-23,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.125,B3,F_LOW,W-,HIGH|B3,HIGH|W-,HIGH|F_LOW,-0.0208555809550788,-0.0213396887219249,-0.0087186870601975,0.0924229460217165,0.2681296507195042,-0.042325720325037,0.2041327489041953,0.625,0.125,0.5,0.0,0.0,0.0298086224744971,0.0392304464609511,0.75,-0.039526335734102996
2018-03-26,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_ENTRY,0.375,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0641813668065804,0.0686767129672579,-0.0140244246710278,0.126360223973273,0.2453489760197157,-0.055756551119719,0.4840525328330206,0.625,0.375,0.25,0.1666666666666666,0.3333333333333333,0.0029175826197254,0.0499526863754462,1.0,-0.05614449932878547
2018-04-02,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_HIGH,W+,HIGH|B3,HIGH|W+,HIGH|F_HIGH,0.0556826217824481,0.0601004288785015,0.0156846330359587,0.0781314143529363,0.2448010860026287,-0.0391443489349351,0.304755944931164,0.5,0.5,0.0,0.1666666666666666,0.3333333333333333,0.0651422732883804,0.0567195280429385,1.0,-0.0103591717483534
2018-04-09,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.0,B3,F_HIGH,W-,HIGH|B3,HIGH|W-,HIGH|F_HIGH,0.0473978996019816,0.0469778137887608,-0.0062375105401781,0.0696657420883477,0.2076755324413469,-0.0313472351995689,0.342714196372733,0.75,0.5,0.25,0.1666666666666666,0.3333333333333333,0.0510772265430599,0.0571718284852721,1.0,-0.029459424569627336
2018-04-16,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0240093098086268,0.0213842798909416,0.0265738307892049,0.0536761936576346,0.211225032196321,-0.0052317499551839,0.3901064495929868,0.625,0.625,0.0,0.1666666666666666,0.3333333333333333,0.0616230863532062,0.0432133370864964,0.75,0.008681766236660032
2018-04-23,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,0.0,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0275790537018526,0.0316832213058891,0.0480759545547708,0.0243675990540936,0.1085336960463637,-0.0103611459827103,0.5734002509410289,0.5,0.5,0.0,0.1666666666666666,0.0,0.1116517763259128,0.0333606957438755,0.75,0.0399534215367396
2018-04-30,TRAIN_2016_2022,NET60,20,0.75,HIGH,HIGH,HIGH_PERSIST,0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0393201242238145,0.0424167065940035,0.0288531117500354,0.0031534039973912,0.0988723943935184,-0.010431048052934,0.4610552763819096,0.625,0.625,0.0,0.1666666666666666,0.0,0.1677335095745858,0.040505585805977,0.5,0.027801977084238334
2018-05-09,TRAIN_2016_2022,NET60,20,0.625,HIGH,HIGH,HIGH_PERSIST,-0.125,B4,F_HIGH,W+,HIGH|B4,HIGH|W+,HIGH|F_HIGH,0.0538683813616025,0.0492039087034515,-0.0037002476412082,0.061953340388865,0.1453694547090905,-0.0339654005966661,0.4962121212121212,0.5,0.5,0.0,0.1666666666666666,0.3333333333333333,0.1793369726826995,0.0666927356931729,0.75,-0.0243513611041632
