feature,target,n_universe_years,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
CROSS_HORIZON_RANK_CORR,TARGET_TOP2_SAME_20,42,0.06410794237659098,0.5555555555555556,0.020833333333333343,0.17949470454773908,0.5833333333333334,0.08026009316770186,-0.0012835411377609754,0.5,-0.007936507936507936,-0.2537637603517904,0.0,-0.18333333333333332,5,6,True
CROSS_HORIZON_RANK_CORR,TARGET_FACTOR_MOM_20,42,0.02733987213179998,0.5555555555555556,-0.00016468864502945917,0.1787018736858525,0.75,0.005720964457300539,-0.1873202324826932,0.0,-0.024663000829303054,0.012399046385241766,0.5,-0.03053665484522229,5,6,True
DISPERSION_60,TARGET_TOP2_SURVIVAL_20,42,0.17439017084509567,0.6111111111111112,0.14706766917293235,0.17485753530491566,0.8333333333333334,0.1246000376435159,-0.12651919279945079,0.3333333333333333,-0.15743464052287584,-0.1375768614497333,0.3333333333333333,,5,6,True
ABS_OPPORTUNITY_20,TARGET_TOP2_SURVIVAL_20,42,0.10971426972165119,0.6111111111111112,0.08437499999999998,0.16152894106650664,0.8333333333333334,0.025666788454512257,-0.0703426659967892,0.16666666666666666,-0.015109890109890112,0.14239935864491038,0.8333333333333334,0.38888888888888895,6,6,True
LOSER_WEAKNESS_20,TARGET_TOP2_SURVIVAL_20,42,0.05631400762110757,0.5555555555555556,0.0625,0.13072035792837267,0.8333333333333334,0.08670343137254902,-0.01425723269562804,0.3333333333333333,-0.012254901960784298,0.039643857398546756,0.5,-0.19444444444444448,5,6,True
DISPERSION_60,TARGET_TOP2_SAME_20,42,0.10343356055671396,0.7222222222222222,0.10780155516997622,0.1302433348283824,0.6666666666666666,0.06277056277056277,-0.020676602935990867,0.16666666666666666,-0.05525252525252525,-0.042460388780422346,0.3333333333333333,,6,6,True
SIGN_ALIGNMENT_20_60,TARGET_RANK_CORR_20,42,0.1433099419056273,0.6666666666666666,0.10133278598795842,0.12838792186791753,0.75,0.12776077097505667,-0.08343588595424455,0.3333333333333333,0.0128764437770649,0.05151926581991407,0.5,0.06387362637362642,5,6,True
DISPERSION_60,TARGET_RANK_CORR_20,42,0.10410600920673424,0.6666666666666666,0.21127391127391132,0.11957955200063189,0.5833333333333334,0.13219954648526078,-0.013413431914381591,0.5,-0.10895365809158916,0.020499311813431453,0.5,,5,6,True
DISPERSION_20,TARGET_TOP2_SURVIVAL_20,42,0.05920490136883468,0.6111111111111112,0.025613275613275616,0.11348452525820776,0.8333333333333334,0.06587301587301586,-0.02251026304265244,0.3333333333333333,0.004598189020939419,0.13433161651487205,1.0,0.1111111111111111,5,6,True
LEADER_STRENGTH_20,TARGET_TOP2_SURVIVAL_20,42,0.03862367021096703,0.5555555555555556,0.03039772727272727,0.10628744412577937,0.8333333333333334,0.0446981424148607,-0.043612670691670526,0.3333333333333333,-0.03402777777777777,0.1377718949278146,0.8333333333333334,0.125,5,6,True
DISPERSION_CHANGE_20,TARGET_TOP2_SURVIVAL_20,42,0.09680763760221367,0.7222222222222222,0.04242424242424242,0.10562680872119001,0.75,0.04758986928104575,0.04818097347879674,0.6666666666666666,0.04194078947368421,-0.030552444007256045,0.16666666666666666,-0.029761904761904767,5,6,True
PC1_SHARE_60,TARGET_FACTOR_MOM_20,42,0.02267707082833133,0.6111111111111112,-0.005468710018781478,0.09732088580112896,0.6666666666666666,0.009661124054950999,0.07428571428571429,0.6666666666666666,-0.008527082335056021,-0.023284313725490197,0.3333333333333333,0.03095502105663218,4,6,True
RANGE_20,TARGET_TOP2_SURVIVAL_20,42,0.08632306611634936,0.6666666666666666,0.011904761904761862,0.0969013530321317,0.8333333333333334,0.06228632478632476,-0.020110950045057828,0.5,0.033333333333333326,0.18861127976360947,0.8333333333333334,0.0,5,6,True
LEADER_STRENGTH_20,TARGET_RANK_CORR_20,42,0.08307784518526629,0.5555555555555556,0.054910714285714306,0.09190754990361463,0.8333333333333334,0.10467853808189945,-0.10660610328950151,0.3333333333333333,-0.050736961451247176,0.10181801460568173,0.8333333333333334,0.25198412698412703,5,6,True
BREADTH_CHANGE_20,TARGET_TOP2_SURVIVAL_20,42,0.0017781726350521061,0.5,-0.027059496567505725,0.08101808726723485,0.6666666666666666,0.04467963386727691,-0.1653019930138419,0.0,-0.10665987886382622,-0.16314120650509234,0.16666666666666666,-0.11904761904761907,4,6,True
DISPERSION_CHANGE_20,TARGET_RANK_CORR_60,42,0.004011734993124301,0.5555555555555556,0.04011611821762197,0.07936641116256692,0.5833333333333334,0.07802148637232675,0.004978905421750359,0.5,0.016482799260054887,0.15577913354259226,0.8333333333333334,0.08110827664399095,5,6,True
SIGN_ALIGNMENT_20_60,TARGET_TOP2_SURVIVAL_20,42,0.021840250066156162,0.5,0.07142857142857142,0.07922574886507927,0.6666666666666666,0.037651350862925814,0.0684546799437205,0.8333333333333334,0.05822649572649574,0.16419368514004692,0.6666666666666666,0.09601648351648348,4,6,True
RANGE_20,TARGET_RANK_CORR_20,42,0.10452562213136699,0.7222222222222222,0.11313999283924098,0.061050741152591,0.8333333333333334,0.010690737833594989,-0.06956351462213702,0.3333333333333333,-0.005564182194616955,0.1238504218072578,0.6666666666666666,-0.04166666666666665,5,6,True
ABS_OPPORTUNITY_20,TARGET_RANK_CORR_20,42,0.09827750546620004,0.6111111111111112,0.0861801242236025,0.05874439100796244,0.75,0.006560846560846597,-0.08368807281683134,0.3333333333333333,-0.15004506075934648,0.21765791951275507,0.8333333333333334,0.3227513227513228,5,6,True
LOSER_WEAKNESS_20,TARGET_RANK_CORR_20,42,0.0706171344240627,0.6111111111111112,0.05555555555555558,0.05850222985768953,0.75,0.07852033357202533,-0.051543411567538826,0.16666666666666666,0.0065758759644208575,0.02693973940190951,0.5,-0.4358465608465609,5,6,True
LEADER_STRENGTH_20,TARGET_FACTOR_MOM_20,42,0.035816326530612244,0.6666666666666666,0.005299885051980563,0.05756187581415545,0.75,0.012824510523213414,-0.10428571428571427,0.3333333333333333,-0.009552581361351276,0.14460784313725492,0.8333333333333334,0.04092102195146407,5,6,True
LOSER_WEAKNESS_20,TARGET_TOP2_SAME_20,42,0.004898827760022451,0.5555555555555556,-0.05769230769230771,0.05476241760174684,0.75,0.021839985994397765,-0.05233101229071527,0.3333333333333333,-0.03199891067538127,0.12808246381391392,0.8333333333333334,-0.08333333333333333,4,6,True
SIGN_ALIGNMENT_20_60,TARGET_FACTOR_MOM_20,42,0.03731034304902208,0.6111111111111112,-0.0025895867681553202,0.05183447502425273,0.8333333333333334,0.0037769226612022616,0.014262205623968297,0.5,0.012869471289179143,0.05060570663806171,0.5,-0.0066265546624880295,5,6,True
DISPERSION_CHANGE_20,TARGET_FACTOR_MOM_20,42,0.08326530612244898,0.6666666666666666,0.010294552831506853,0.04203973078593139,0.5,0.00654558053379674,-0.03704081632653061,0.3333333333333333,-0.0063120847842111985,0.18504901960784315,1.0,0.03166855051350628,5,6,True
