date,universe,BREADTH_20,BREADTH_60,DISPERSION_20,DISPERSION_60,ABS_OPPORTUNITY_20,RANGE_20,LEADER_STRENGTH_20,LOSER_WEAKNESS_20,WINNER_GAP_20,CROSS_HORIZON_RANK_CORR,PREV_RANK_CORR_20,RANK_TURNOVER_20,BREADTH_CHANGE_20,DISPERSION_CHANGE_20,AVG_PAIR_CORR_60,PC1_SHARE_60,FACTOR_VOL_MEDIAN_60,SIGN_ALIGNMENT_20_60,TARGET_RANK_CORR_20,TARGET_RANK_CORR_60,TARGET_TOP2_SURVIVAL_20,TARGET_TOP2_SAME_20,TARGET_FACTOR_MOM_20,CUR20_MOM1M,FWD20_MOM1M,CUR20_MOM12_1,FWD20_MOM12_1,CUR20_OP12_REV,FWD20_OP12_REV,CUR20_OPFY1_REV,FWD20_OPFY1_REV,CUR20_PBR12MF,FWD20_PBR12MF,CUR20_PER12MF,FWD20_PER12MF,CUR20_PRIVATE_FLOW,FWD20_PRIVATE_FLOW,CUR20_FOREIGN_FLOW,FWD20_FOREIGN_FLOW
2018-05-31,KOSDAQ_PLUS_KOSPI_EX_K200,0.875,1.0,0.038244755126941206,0.08473831253184348,0.043171243202230286,0.10706966243007154,0.06214615534338164,0.04492350708668991,0.01446892274436129,0.7142857142857144,0.6428571428571429,0.3571428571428571,0.125,-0.006733257956226091,0.1465089089343176,0.4806354477905085,0.02201889094404609,0.875,-0.09523809523809526,0.2380952380952381,1.0,0.0,0.020150570551400016,0.018736103519765512,-0.025503541707906474,-0.01042201115045871,-0.0358978076188301,0.09664765127961283,0.024918614368332426,0.08217872853525154,0.021970174634008188,0.048277299843417776,-0.07169331833315473,0.06378142442140255,-0.08343555578183681,0.00460103483888874,0.042485455518370685,0.020725692029044618,0.041735975493047306
2018-06-08,KOSDAQ_PLUS_KOSPI_EX_K200,0.625,0.875,0.03024556216258497,0.0846737906085805,0.023358455817443197,0.07436374628437303,0.05952198816218446,0.014841758122188575,0.004597864557326803,0.5476190476190477,0.261904761904762,0.738095238095238,0.0,-0.04295628624399509,0.15686139847023242,0.4146394064212626,0.021108442468108023,0.5,0.023809523809523815,0.30952380952380953,1.0,0.0,0.060590029138895274,-0.011678595896036037,-0.007809122795655932,0.005956764213575605,-0.041202318314169206,0.062685150388337,0.012012658517792207,0.058087285831010194,0.014636026646140277,-0.0035118536674295653,-0.08672225031820213,0.04342811220013587,-0.10803116252719036,0.00036956023872947164,0.029414069379910535,-0.0011503241042918333,0.06568883889435284
2018-06-18,KOSDAQ_PLUS_KOSPI_EX_K200,0.5,0.875,0.025526675297498847,0.09598403842838168,0.02126579714243243,0.0753156846473958,0.03214174803744607,0.043173936609949726,0.007861399588836804,0.4285714285714286,-0.04761904761904763,1.0476190476190477,-0.25,-0.06886942254912519,0.17245884888551952,0.4216784320057875,0.021048899287223803,0.625,0.523809523809524,0.2380952380952381,1.0,0.5,0.056721272677303425,-0.002187223464956256,-0.04759726218764537,-0.012372983539989613,0.0186920282620342,0.03925032840509424,0.01538834457902416,0.03138892881625743,0.022391625300223206,-0.03606535624230156,-0.09435460373739368,-0.01132754314876161,-0.07378040111742934,0.021129629321846144,0.012043680094153464,0.016404384200252586,0.035190930490220484
2018-06-25,KOSDAQ_PLUS_KOSPI_EX_K200,0.625,0.875,0.049117989193585926,0.0854936720106066,0.04325143941686217,0.11774754080325667,0.025996315665249403,0.09175122513800726,0.0052371166971001415,0.2380952380952381,0.2380952380952381,0.7619047619047619,0.0,0.00029136085610324824,0.15235903638777923,0.3913686548957962,0.02113518966011757,0.75,0.11904761904761905,0.4285714285714286,0.5,0.0,0.009516200305420108,0.017247551536599737,-0.04109130411761741,-0.01680544605525147,-0.06126830638331582,0.053426490439608676,-0.0016889146952808742,0.03761279801211881,0.01954327935213751,-0.062457011996389644,-0.029897823831307346,-0.06432105036364799,0.015788181655150835,0.048189373742508534,0.006611673129964579,0.045951793188772516,0.006914933001240353
2018-07-02,KOSDAQ_PLUS_KOSPI_EX_K200,0.5,0.875,0.05039694784830075,0.08714841923826179,0.04345505543193584,0.1259210113002075,0.04425213905531983,0.08166887224488767,0.0007494800253233791,0.1666666666666667,-0.09523809523809526,1.0952380952380953,-0.375,0.01215219272135954,0.1428298415074459,0.3819036691464794,0.021047188222955832,0.625,-0.14285714285714288,0.38095238095238104,0.5,0.0,-0.0315136154636666,-0.025503541707906474,-0.08114356238504172,-0.0358978076188301,-0.04632450824913126,0.024918614368332426,-0.005967683894132159,0.021970174634008188,0.016245617994999018,-0.07169331833315473,0.001014865238410989,-0.08343555578183681,0.050044714956203995,0.042485455518370685,0.0031364532251323407,0.041735975493047306,-0.015104103957850556
2018-07-09,KOSDAQ_PLUS_KOSPI_EX_K200,0.5,0.75,0.05931504027070273,0.09279496686210159,0.045689555924176686,0.1737200014215432,0.0635870710332847,0.1101329303882585,0.03627476951444231,0.5714285714285715,0.023809523809523815,0.9761904761904762,-0.125,0.02906947810811776,0.18005853086070583,0.4224886853355285,0.02068930689461157,0.75,-0.3571428571428572,0.5000000000000001,0.5,0.0,-0.10365933772843827,-0.007809122795655932,-0.07993798398328134,-0.041202318314169206,-0.041263570935974214,0.012012658517792207,0.02560203687697782,0.014636026646140277,0.03426975280612288,-0.08672225031820213,0.08460723277734572,-0.10803116252719036,0.10853688245070647,0.029414069379910535,0.025679476990540406,0.06568883889435284,-0.03985403721936476
2018-07-16,KOSDAQ_PLUS_KOSPI_EX_K200,0.625,0.75,0.05002020943018831,0.09642019848203574,0.03992985947101549,0.12954553422761417,0.021474918153631672,0.1080706160739825,0.012799305189997279,0.38095238095238104,0.523809523809524,0.47619047619047605,0.125,0.024493534132689464,0.17240193280903995,0.4189681213789435,0.020813843279516367,0.625,-0.4523809523809524,0.5476190476190477,0.5,0.0,-0.09215302202421694,-0.04759726218764537,-0.058262655346396075,0.0186920282620342,-0.05467023038364016,0.01538834457902416,0.014369745572797576,0.022391625300223206,0.03052039287054109,-0.09435460373739368,0.09355304840316525,-0.07378040111742934,0.08552386170931547,0.012043680094153464,0.029372602252031088,0.035190930490220484,-0.035749526806494236
2018-07-23,KOSDAQ_PLUS_KOSPI_EX_K200,0.5,0.625,0.029657010607731592,0.0912331171655776,0.02285055202075184,0.08081158573545333,0.017081900134795658,0.06372968560065767,0.0037550976969866756,0.6904761904761906,0.11904761904761905,0.8809523809523809,-0.125,-0.019460978585854334,0.2121321057933496,0.4488657642019669,0.02165348352556657,0.875,0.0,0.38095238095238104,1.0,0.5,0.0578178120290464,-0.04109130411761741,-0.09049958312968254,-0.06126830638331582,0.059123261787079384,-0.0016889146952808742,0.03150553506400877,0.01954327935213751,0.04727896393437425,-0.029897823831307346,0.04293847779131399,0.015788181655150835,0.036980338781115396,0.006611673129964579,0.01390870095096619,0.006914933001240353,-0.036400612564226664
2018-07-30,KOSDAQ_PLUS_KOSPI_EX_K200,0.5,0.625,0.039660757204770816,0.08264455026886114,0.027372688737612755,0.13118827734124572,0.05252112428406458,0.07866715305718114,0.03379909696120498,0.5714285714285715,-0.14285714285714288,1.1428571428571428,0.0,-0.01073619064352993,0.17508579218639495,0.40662027973706477,0.02100284543799066,0.625,0.19047619047619052,0.28571428571428575,0.5,0.0,0.006226676778079865,-0.08114356238504172,-0.06704374859536422,-0.04632450824913126,0.09749376549071465,-0.005967683894132159,0.057621553036022455,0.016245617994999018,0.05021969238554291,0.001014865238410989,-0.017901522014479143,0.050044714956203995,-0.0073163219340327545,0.0031364532251323407,0.0036460440620642576,-0.015104103957850556,-0.019552659529065375
2018-08-06,KOSDAQ_PLUS_KOSPI_EX_K200,0.625,0.625,0.06478444733328424,0.07604563255832919,0.0549688717550392,0.1884748664339878,0.08289612551694736,0.10557874091704045,0.023929649673360753,0.523809523809524,-0.3571428571428572,1.3571428571428572,0.125,0.005469407062581512,0.15962801580697664,0.39045692712107544,0.02055299365058382,0.75,-0.5000000000000001,0.4285714285714286,0.0,0.0,-0.13004420446909598,-0.07993798398328134,-0.020901867800859675,-0.041263570935974214,0.13038337908138375,0.02560203687697782,0.05806002288041778,0.03426975280612288,0.03884764943794505,0.08460723277734572,-0.0918127323184823,0.10853688245070647,-0.05879416533918558,0.025679476990540406,-0.004573189880547335,-0.03985403721936476,-0.03467027060139516
