universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
K200,2020,DEV_2020_2022,BREADTH_20,TARGET_RANK_CORR_20,184,50,0.05188463688246678,1,-0.0533054274643532,-0.0533054274643532,0.375,0.625,14,28,-0.04591836734693879,-0.04591836734693879
K200,2020,DEV_2020_2022,BREADTH_60,TARGET_RANK_CORR_20,184,50,0.023707162976820982,1,-0.07983782924489494,-0.07983782924489494,0.375,0.625,4,39,0.13934676434676435,0.13934676434676435
K200,2020,DEV_2020_2022,DISPERSION_20,TARGET_RANK_CORR_20,184,50,-0.1618586466829117,-1,-0.3352632217137704,0.3352632217137704,0.022663510812147538,0.032702402280084926,1,34,,
K200,2020,DEV_2020_2022,DISPERSION_60,TARGET_RANK_CORR_20,184,50,0.07309409702473588,1,-0.2962500752489407,-0.2962500752489407,0.039090124446788194,0.05059534250563763,1,44,,
K200,2020,DEV_2020_2022,ABS_OPPORTUNITY_20,TARGET_RANK_CORR_20,184,50,-0.17388460636711373,-1,-0.28865884724223734,0.28865884724223734,0.020501157242856324,0.029633930405406447,6,32,-0.26711309523809523,0.26711309523809523
K200,2020,DEV_2020_2022,RANGE_20,TARGET_RANK_CORR_20,184,50,-0.1626553677162238,-1,-0.32301155625991373,0.32301155625991373,0.06599606081279774,0.09399513891438072,2,34,,
K200,2020,DEV_2020_2022,LEADER_STRENGTH_20,TARGET_RANK_CORR_20,184,50,-0.06355174897763012,-1,-0.10719006128452588,0.10719006128452588,0.027867766952549555,0.044464535292127016,8,29,0.018575533661740563,-0.018575533661740563
K200,2020,DEV_2020_2022,LOSER_WEAKNESS_20,TARGET_RANK_CORR_20,184,50,-0.16367174098121082,-1,-0.38763308581064765,0.38763308581064765,0.031001265969220204,0.04763611386267086,6,36,-0.3115079365079365,0.3115079365079365
K200,2020,DEV_2020_2022,WINNER_GAP_20,TARGET_RANK_CORR_20,184,50,-0.18225065891038142,-1,-0.13395154229549897,0.13395154229549897,0.007769964267881679,0.018230841974312684,17,19,-0.12206988058381245,0.12206988058381245
K200,2020,DEV_2020_2022,CROSS_HORIZON_RANK_CORR,TARGET_RANK_CORR_20,184,50,-0.004005406455176934,-1,-0.24646110394483894,0.24646110394483894,0.38095238095238104,0.7142857142857144,16,21,-0.26211734693877553,0.26211734693877553
