strategy,universe,sample,family,n_dates,gross_delta,positive_date_rate
PROMOTE20,KOSDAQ,YTD_2026,MOMENTUM,13,0.004183448969618633,0.6153846153846154
PROMOTE20,KOSDAQ,YTD_2026,REVISION,13,0.006264426723525793,0.7692307692307693
PROMOTE20,KOSDAQ,YTD_2026,VALUE,13,0.000649343539232407,0.38461538461538464
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,FLOW,25,-0.0012137146801347045,0.44
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,MOMENTUM,25,-0.00018218134639092886,0.48
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,REVISION,25,0.0013305663947660073,0.68
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,VALUE,25,0.0018403718060334146,0.6
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,FLOW,98,0.000970809281865026,0.5102040816326531
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,MOMENTUM,98,0.0004956121395493404,0.5408163265306123
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,REVISION,98,-0.000640698419516092,0.4387755102040816
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,VALUE,98,0.0012043937984833073,0.5612244897959183
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,FLOW,75,0.001657658107930657,0.56
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,MOMENTUM,75,-0.0005828584750157891,0.4266666666666667
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,REVISION,75,0.0011438439649385183,0.52
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,VALUE,75,0.0010592582015249308,0.5466666666666666
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,FLOW,48,-0.002860853022109399,0.4583333333333333
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,MOMENTUM,48,0.002755942785737703,0.5416666666666666
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,REVISION,48,0.00099543346887393,0.5416666666666666
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,VALUE,48,0.0008566079967919264,0.4791666666666667
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,FLOW,13,-0.004839785511550996,0.23076923076923078
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,MOMENTUM,13,0.0006092448415613703,0.6923076923076923
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,REVISION,13,0.00798810211737853,0.5384615384615384
PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,VALUE,13,-0.0023319728028809296,0.3076923076923077
